dataset,outer_fold,subject,method,base_correct_new_correct,base_correct_new_wrong,base_wrong_new_correct,base_wrong_new_wrong,fix_rate,break_rate,net_correction
WBCIC,0,41,B3_CROSS_SESSION_RELATION_OOF,210,0,2,188,0.005,0.0,0.005
WBCIC,0,50,B3_CROSS_SESSION_RELATION_OOF,200,0,0,200,0.0,0.0,0.0
OpenBMI,1,7,B1_GENERIC_OOF,166,0,0,34,0.0,0.0,0.0
OpenBMI,1,8,B1_GENERIC_OOF,163,0,0,37,0.0,0.0,0.0
OpenBMI,1,29,B1_GENERIC_OOF,143,0,0,57,0.0,0.0,0.0
OpenBMI,1,42,B1_GENERIC_OOF,157,0,0,43,0.0,0.0,0.0
OpenBMI,1,43,B1_GENERIC_OOF,184,0,0,16,0.0,0.0,0.0
OpenBMI,1,49,B1_GENERIC_OOF,171,1,0,28,0.0,0.005,-0.005
OpenBMI,1,51,B1_GENERIC_OOF,154,0,0,46,0.0,0.0,0.0
OpenBMI,1,7,B2_GENERIC_PROTOTYPE_OOF,166,0,0,34,0.0,0.0,0.0
OpenBMI,1,8,B2_GENERIC_PROTOTYPE_OOF,163,0,0,37,0.0,0.0,0.0
OpenBMI,1,29,B2_GENERIC_PROTOTYPE_OOF,143,0,0,57,0.0,0.0,0.0
OpenBMI,1,42,B2_GENERIC_PROTOTYPE_OOF,157,0,0,43,0.0,0.0,0.0
OpenBMI,1,43,B2_GENERIC_PROTOTYPE_OOF,184,0,0,16,0.0,0.0,0.0
OpenBMI,1,49,B2_GENERIC_PROTOTYPE_OOF,172,0,0,28,0.0,0.0,0.0
OpenBMI,1,51,B2_GENERIC_PROTOTYPE_OOF,154,0,0,46,0.0,0.0,0.0
OpenBMI,1,7,B3_CROSS_SESSION_RELATION_OOF,166,0,0,34,0.0,0.0,0.0
OpenBMI,1,8,B3_CROSS_SESSION_RELATION_OOF,163,0,0,37,0.0,0.0,0.0
OpenBMI,1,29,B3_CROSS_SESSION_RELATION_OOF,143,0,0,57,0.0,0.0,0.0
OpenBMI,1,42,B3_CROSS_SESSION_RELATION_OOF,157,0,0,43,0.0,0.0,0.0
OpenBMI,1,43,B3_CROSS_SESSION_RELATION_OOF,184,0,0,16,0.0,0.0,0.0
OpenBMI,1,49,B3_CROSS_SESSION_RELATION_OOF,171,1,0,28,0.0,0.005,-0.005
OpenBMI,1,51,B3_CROSS_SESSION_RELATION_OOF,154,0,0,46,0.0,0.0,0.0
WBCIC,1,9,B1_GENERIC_OOF,245,1,1,153,0.0025,0.0025,0.0
WBCIC,1,17,B1_GENERIC_OOF,277,2,1,120,0.0025,0.005,-0.0025
WBCIC,1,23,B1_GENERIC_OOF,325,0,1,73,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,24,B1_GENERIC_OOF,350,0,1,48,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,47,B1_GENERIC_OOF,308,1,0,91,0.0,0.0025,-0.0025
WBCIC,1,9,B2_GENERIC_PROTOTYPE_OOF,245,1,1,153,0.0025,0.0025,0.0
WBCIC,1,17,B2_GENERIC_PROTOTYPE_OOF,277,2,1,120,0.0025,0.005,-0.0025
WBCIC,1,23,B2_GENERIC_PROTOTYPE_OOF,325,0,1,73,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,24,B2_GENERIC_PROTOTYPE_OOF,350,0,1,48,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,47,B2_GENERIC_PROTOTYPE_OOF,308,1,0,91,0.0,0.0025,-0.0025
WBCIC,1,9,B3_CROSS_SESSION_RELATION_OOF,245,1,1,153,0.0025,0.0025,0.0
WBCIC,1,17,B3_CROSS_SESSION_RELATION_OOF,279,0,1,120,0.0025,0.0,0.0025
WBCIC,1,23,B3_CROSS_SESSION_RELATION_OOF,325,0,1,73,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,24,B3_CROSS_SESSION_RELATION_OOF,350,0,1,48,0.002506265664160401,0.0,0.002506265664160401
WBCIC,1,47,B3_CROSS_SESSION_RELATION_OOF,308,1,0,91,0.0,0.0025,-0.0025
OpenBMI,2,20,B1_GENERIC_OOF,149,1,0,50,0.0,0.005,-0.005
OpenBMI,2,22,B1_GENERIC_OOF,135,0,0,65,0.0,0.0,0.0
OpenBMI,2,25,B1_GENERIC_OOF,183,0,0,17,0.0,0.0,0.0
OpenBMI,2,30,B1_GENERIC_OOF,146,0,0,54,0.0,0.0,0.0
OpenBMI,2,34,B1_GENERIC_OOF,134,0,0,66,0.0,0.0,0.0
OpenBMI,2,41,B1_GENERIC_OOF,155,0,0,45,0.0,0.0,0.0
OpenBMI,2,46,B1_GENERIC_OOF,127,0,0,73,0.0,0.0,0.0
OpenBMI,2,20,B2_GENERIC_PROTOTYPE_OOF,149,1,0,50,0.0,0.005,-0.005
OpenBMI,2,22,B2_GENERIC_PROTOTYPE_OOF,135,0,0,65,0.0,0.0,0.0
OpenBMI,2,25,B2_GENERIC_PROTOTYPE_OOF,183,0,0,17,0.0,0.0,0.0
OpenBMI,2,30,B2_GENERIC_PROTOTYPE_OOF,146,0,0,54,0.0,0.0,0.0
OpenBMI,2,34,B2_GENERIC_PROTOTYPE_OOF,134,0,0,66,0.0,0.0,0.0
OpenBMI,2,41,B2_GENERIC_PROTOTYPE_OOF,155,0,0,45,0.0,0.0,0.0
OpenBMI,2,46,B2_GENERIC_PROTOTYPE_OOF,127,0,0,73,0.0,0.0,0.0
OpenBMI,2,20,B3_CROSS_SESSION_RELATION_OOF,149,1,0,50,0.0,0.005,-0.005
OpenBMI,2,22,B3_CROSS_SESSION_RELATION_OOF,135,0,0,65,0.0,0.0,0.0
OpenBMI,2,25,B3_CROSS_SESSION_RELATION_OOF,183,0,0,17,0.0,0.0,0.0
OpenBMI,2,30,B3_CROSS_SESSION_RELATION_OOF,146,0,0,54,0.0,0.0,0.0
OpenBMI,2,34,B3_CROSS_SESSION_RELATION_OOF,134,0,0,66,0.0,0.0,0.0
OpenBMI,2,41,B3_CROSS_SESSION_RELATION_OOF,155,0,0,45,0.0,0.0,0.0
OpenBMI,2,46,B3_CROSS_SESSION_RELATION_OOF,127,0,0,73,0.0,0.0,0.0
WBCIC,2,7,B1_GENERIC_OOF,315,1,1,83,0.0025,0.0025,0.0
WBCIC,2,34,B1_GENERIC_OOF,196,0,3,201,0.0075,0.0,0.0075
WBCIC,2,35,B1_GENERIC_OOF,383,0,0,17,0.0,0.0,0.0
WBCIC,2,48,B1_GENERIC_OOF,340,2,0,58,0.0,0.005,-0.005
WBCIC,2,49,B1_GENERIC_OOF,340,0,0,60,0.0,0.0,0.0
WBCIC,2,7,B2_GENERIC_PROTOTYPE_OOF,316,0,1,83,0.0025,0.0,0.0025
WBCIC,2,34,B2_GENERIC_PROTOTYPE_OOF,196,0,1,203,0.0025,0.0,0.0025
WBCIC,2,35,B2_GENERIC_PROTOTYPE_OOF,383,0,0,17,0.0,0.0,0.0
WBCIC,2,48,B2_GENERIC_PROTOTYPE_OOF,341,1,0,58,0.0,0.0025,-0.0025
WBCIC,2,49,B2_GENERIC_PROTOTYPE_OOF,340,0,0,60,0.0,0.0,0.0
WBCIC,2,7,B3_CROSS_SESSION_RELATION_OOF,315,1,1,83,0.0025,0.0025,0.0
WBCIC,2,34,B3_CROSS_SESSION_RELATION_OOF,196,0,3,201,0.0075,0.0,0.0075
WBCIC,2,35,B3_CROSS_SESSION_RELATION_OOF,383,0,0,17,0.0,0.0,0.0
WBCIC,2,48,B3_CROSS_SESSION_RELATION_OOF,341,1,0,58,0.0,0.0025,-0.0025
WBCIC,2,49,B3_CROSS_SESSION_RELATION_OOF,340,0,0,60,0.0,0.0,0.0
OpenBMI,3,11,B1_GENERIC_OOF,144,0,0,56,0.0,0.0,0.0
OpenBMI,3,12,B1_GENERIC_OOF,158,0,1,41,0.005,0.0,0.005
OpenBMI,3,23,B1_GENERIC_OOF,131,0,0,69,0.0,0.0,0.0
OpenBMI,3,35,B1_GENERIC_OOF,177,0,0,23,0.0,0.0,0.0
OpenBMI,3,37,B1_GENERIC_OOF,141,0,0,59,0.0,0.0,0.0
OpenBMI,3,38,B1_GENERIC_OOF,147,0,1,52,0.005,0.0,0.005
OpenBMI,3,52,B1_GENERIC_OOF,163,0,0,37,0.0,0.0,0.0
OpenBMI,3,11,B2_GENERIC_PROTOTYPE_OOF,144,0,0,56,0.0,0.0,0.0
OpenBMI,3,12,B2_GENERIC_PROTOTYPE_OOF,158,0,0,42,0.0,0.0,0.0
OpenBMI,3,23,B2_GENERIC_PROTOTYPE_OOF,131,0,0,69,0.0,0.0,0.0
OpenBMI,3,35,B2_GENERIC_PROTOTYPE_OOF,177,0,0,23,0.0,0.0,0.0
OpenBMI,3,37,B2_GENERIC_PROTOTYPE_OOF,141,0,0,59,0.0,0.0,0.0
OpenBMI,3,38,B2_GENERIC_PROTOTYPE_OOF,147,0,0,53,0.0,0.0,0.0
OpenBMI,3,52,B2_GENERIC_PROTOTYPE_OOF,163,0,0,37,0.0,0.0,0.0
OpenBMI,3,11,B3_CROSS_SESSION_RELATION_OOF,144,0,0,56,0.0,0.0,0.0
OpenBMI,3,12,B3_CROSS_SESSION_RELATION_OOF,158,0,1,41,0.005,0.0,0.005
OpenBMI,3,23,B3_CROSS_SESSION_RELATION_OOF,131,0,0,69,0.0,0.0,0.0
OpenBMI,3,35,B3_CROSS_SESSION_RELATION_OOF,177,0,0,23,0.0,0.0,0.0
OpenBMI,3,37,B3_CROSS_SESSION_RELATION_OOF,141,0,0,59,0.0,0.0,0.0
OpenBMI,3,38,B3_CROSS_SESSION_RELATION_OOF,147,0,1,52,0.005,0.0,0.005
OpenBMI,3,52,B3_CROSS_SESSION_RELATION_OOF,163,0,0,37,0.0,0.0,0.0
WBCIC,3,12,B1_GENERIC_OOF,213,6,3,178,0.0075,0.015,-0.0075
WBCIC,3,22,B1_GENERIC_OOF,274,2,2,122,0.005,0.005,0.0
WBCIC,3,26,B1_GENERIC_OOF,307,1,0,91,0.0,0.002506265664160401,-0.002506265664160401
WBCIC,3,31,B1_GENERIC_OOF,261,3,2,134,0.005,0.0075,-0.0024999999999999996
WBCIC,3,42,B1_GENERIC_OOF,313,1,1,85,0.0025,0.0025,0.0
WBCIC,3,12,B2_GENERIC_PROTOTYPE_OOF,217,2,2,179,0.005,0.005,0.0
WBCIC,3,22,B2_GENERIC_PROTOTYPE_OOF,274,2,0,124,0.0,0.005,-0.005
WBCIC,3,26,B2_GENERIC_PROTOTYPE_OOF,308,0,0,91,0.0,0.0,0.0
WBCIC,3,31,B2_GENERIC_PROTOTYPE_OOF,262,2,1,135,0.0025,0.005,-0.0025
WBCIC,3,42,B2_GENERIC_PROTOTYPE_OOF,313,1,1,85,0.0025,0.0025,0.0
WBCIC,3,12,B3_CROSS_SESSION_RELATION_OOF,218,1,2,179,0.005,0.0025,0.0025
WBCIC,3,22,B3_CROSS_SESSION_RELATION_OOF,275,1,0,124,0.0,0.0025,-0.0025
WBCIC,3,26,B3_CROSS_SESSION_RELATION_OOF,308,0,0,91,0.0,0.0,0.0
WBCIC,3,31,B3_CROSS_SESSION_RELATION_OOF,262,2,1,135,0.0025,0.005,-0.0025
WBCIC,3,42,B3_CROSS_SESSION_RELATION_OOF,313,1,1,85,0.0025,0.0025,0.0
OpenBMI,4,9,B1_GENERIC_OOF,132,0,0,68,0.0,0.0,0.0
OpenBMI,4,21,B1_GENERIC_OOF,159,0,0,41,0.0,0.0,0.0
OpenBMI,4,24,B1_GENERIC_OOF,119,0,0,81,0.0,0.0,0.0
OpenBMI,4,27,B1_GENERIC_OOF,181,0,0,19,0.0,0.0,0.0
OpenBMI,4,31,B1_GENERIC_OOF,170,0,0,30,0.0,0.0,0.0
OpenBMI,4,39,B1_GENERIC_OOF,154,0,0,46,0.0,0.0,0.0
OpenBMI,4,9,B2_GENERIC_PROTOTYPE_OOF,132,0,0,68,0.0,0.0,0.0
OpenBMI,4,21,B2_GENERIC_PROTOTYPE_OOF,159,0,0,41,0.0,0.0,0.0
OpenBMI,4,24,B2_GENERIC_PROTOTYPE_OOF,119,0,0,81,0.0,0.0,0.0
OpenBMI,4,27,B2_GENERIC_PROTOTYPE_OOF,181,0,0,19,0.0,0.0,0.0
OpenBMI,4,31,B2_GENERIC_PROTOTYPE_OOF,170,0,0,30,0.0,0.0,0.0
OpenBMI,4,39,B2_GENERIC_PROTOTYPE_OOF,154,0,0,46,0.0,0.0,0.0
OpenBMI,4,9,B3_CROSS_SESSION_RELATION_OOF,132,0,0,68,0.0,0.0,0.0
OpenBMI,4,21,B3_CROSS_SESSION_RELATION_OOF,159,0,0,41,0.0,0.0,0.0
OpenBMI,4,24,B3_CROSS_SESSION_RELATION_OOF,119,0,0,81,0.0,0.0,0.0
OpenBMI,4,27,B3_CROSS_SESSION_RELATION_OOF,181,0,0,19,0.0,0.0,0.0
OpenBMI,4,31,B3_CROSS_SESSION_RELATION_OOF,170,0,0,30,0.0,0.0,0.0
OpenBMI,4,39,B3_CROSS_SESSION_RELATION_OOF,154,0,0,46,0.0,0.0,0.0
WBCIC,4,6,B1_GENERIC_OOF,342,0,0,58,0.0,0.0,0.0
WBCIC,4,29,B1_GENERIC_OOF,253,0,0,147,0.0,0.0,0.0
WBCIC,4,30,B1_GENERIC_OOF,366,0,0,34,0.0,0.0,0.0
WBCIC,4,38,B1_GENERIC_OOF,259,0,0,141,0.0,0.0,0.0
WBCIC,4,6,B2_GENERIC_PROTOTYPE_OOF,342,0,0,58,0.0,0.0,0.0
WBCIC,4,29,B2_GENERIC_PROTOTYPE_OOF,253,0,0,147,0.0,0.0,0.0
WBCIC,4,30,B2_GENERIC_PROTOTYPE_OOF,366,0,0,34,0.0,0.0,0.0
WBCIC,4,38,B2_GENERIC_PROTOTYPE_OOF,259,0,0,141,0.0,0.0,0.0
WBCIC,4,6,B3_CROSS_SESSION_RELATION_OOF,342,0,0,58,0.0,0.0,0.0
WBCIC,4,29,B3_CROSS_SESSION_RELATION_OOF,253,0,0,147,0.0,0.0,0.0
WBCIC,4,30,B3_CROSS_SESSION_RELATION_OOF,366,0,0,34,0.0,0.0,0.0
WBCIC,4,38,B3_CROSS_SESSION_RELATION_OOF,259,0,0,141,0.0,0.0,0.0
