dataset,outer_fold,subject,method,B0_BA,method_BA,delta_BA_pp,delta_Macro_F1_pp
OpenBMI,2,46,B3_CROSS_SESSION_RELATION_OOF,0.635,0.635,0.0,0.0
WBCIC,2,7,B1_GENERIC_OOF,0.79,0.79,0.0,-0.010020291089452016
WBCIC,2,34,B1_GENERIC_OOF,0.49,0.49750000000000005,0.7500000000000062,0.7216233239965064
WBCIC,2,35,B1_GENERIC_OOF,0.9575,0.9575,0.0,0.0
WBCIC,2,48,B1_GENERIC_OOF,0.855,0.85,-0.5000000000000004,-0.5044439933400979
WBCIC,2,49,B1_GENERIC_OOF,0.8500000000000001,0.8500000000000001,0.0,0.0
WBCIC,2,7,B2_GENERIC_PROTOTYPE_OOF,0.79,0.7925,0.24999999999999467,0.2456882302090957
WBCIC,2,34,B2_GENERIC_PROTOTYPE_OOF,0.49,0.49250000000000005,0.2500000000000058,0.24108393680395968
WBCIC,2,35,B2_GENERIC_PROTOTYPE_OOF,0.9575,0.9575,0.0,0.0
WBCIC,2,48,B2_GENERIC_PROTOTYPE_OOF,0.855,0.8525,-0.24999999999999467,-0.2520949620120172
WBCIC,2,49,B2_GENERIC_PROTOTYPE_OOF,0.8500000000000001,0.8500000000000001,0.0,0.0
WBCIC,2,7,B3_CROSS_SESSION_RELATION_OOF,0.79,0.79,0.0,-0.010020291089452016
WBCIC,2,34,B3_CROSS_SESSION_RELATION_OOF,0.49,0.49750000000000005,0.7500000000000062,0.7216233239965064
WBCIC,2,35,B3_CROSS_SESSION_RELATION_OOF,0.9575,0.9575,0.0,0.0
WBCIC,2,48,B3_CROSS_SESSION_RELATION_OOF,0.855,0.8525,-0.24999999999999467,-0.2520949620120172
WBCIC,2,49,B3_CROSS_SESSION_RELATION_OOF,0.8500000000000001,0.8500000000000001,0.0,0.0
OpenBMI,3,11,B1_GENERIC_OOF,0.72,0.72,0.0,0.0
OpenBMI,3,12,B1_GENERIC_OOF,0.79,0.795,0.5000000000000004,0.5037898232984839
OpenBMI,3,23,B1_GENERIC_OOF,0.655,0.655,0.0,0.0
OpenBMI,3,35,B1_GENERIC_OOF,0.885,0.885,0.0,0.0
OpenBMI,3,37,B1_GENERIC_OOF,0.7050000000000001,0.7050000000000001,0.0,0.0
OpenBMI,3,38,B1_GENERIC_OOF,0.7350000000000001,0.74,0.49999999999998934,0.46535084686402106
OpenBMI,3,52,B1_GENERIC_OOF,0.815,0.815,0.0,0.0
OpenBMI,3,11,B2_GENERIC_PROTOTYPE_OOF,0.72,0.72,0.0,0.0
OpenBMI,3,12,B2_GENERIC_PROTOTYPE_OOF,0.79,0.79,0.0,0.0
OpenBMI,3,23,B2_GENERIC_PROTOTYPE_OOF,0.655,0.655,0.0,0.0
OpenBMI,3,35,B2_GENERIC_PROTOTYPE_OOF,0.885,0.885,0.0,0.0
OpenBMI,3,37,B2_GENERIC_PROTOTYPE_OOF,0.7050000000000001,0.7050000000000001,0.0,0.0
OpenBMI,3,38,B2_GENERIC_PROTOTYPE_OOF,0.7350000000000001,0.7350000000000001,0.0,0.0
OpenBMI,3,52,B2_GENERIC_PROTOTYPE_OOF,0.815,0.815,0.0,0.0
OpenBMI,3,11,B3_CROSS_SESSION_RELATION_OOF,0.72,0.72,0.0,0.0
OpenBMI,3,12,B3_CROSS_SESSION_RELATION_OOF,0.79,0.795,0.5000000000000004,0.5037898232984839
OpenBMI,3,23,B3_CROSS_SESSION_RELATION_OOF,0.655,0.655,0.0,0.0
OpenBMI,3,35,B3_CROSS_SESSION_RELATION_OOF,0.885,0.885,0.0,0.0
OpenBMI,3,37,B3_CROSS_SESSION_RELATION_OOF,0.7050000000000001,0.7050000000000001,0.0,0.0
OpenBMI,3,38,B3_CROSS_SESSION_RELATION_OOF,0.7350000000000001,0.74,0.49999999999998934,0.46535084686402106
OpenBMI,3,52,B3_CROSS_SESSION_RELATION_OOF,0.815,0.815,0.0,0.0
WBCIC,3,12,B1_GENERIC_OOF,0.5475,0.54,-0.7499999999999951,-0.6161471340851765
WBCIC,3,22,B1_GENERIC_OOF,0.69,0.69,0.0,0.034308975972652256
WBCIC,3,26,B1_GENERIC_OOF,0.7720100502512564,0.7694974874371859,-0.2512562814070418,-0.24751674435669058
WBCIC,3,31,B1_GENERIC_OOF,0.6599999999999999,0.6575,-0.24999999999999467,-0.2214339858941372
WBCIC,3,42,B1_GENERIC_OOF,0.7849999999999999,0.7849999999999999,0.0,0.013543270095361937
WBCIC,3,12,B2_GENERIC_PROTOTYPE_OOF,0.5475,0.5475,0.0,0.0663110962866309
WBCIC,3,22,B2_GENERIC_PROTOTYPE_OOF,0.69,0.685,-0.49999999999998934,-0.48357340771167934
WBCIC,3,26,B2_GENERIC_PROTOTYPE_OOF,0.7720100502512564,0.7720100502512564,0.0,0.0
WBCIC,3,31,B2_GENERIC_PROTOTYPE_OOF,0.6599999999999999,0.6575,-0.24999999999999467,-0.23172763491052795
WBCIC,3,42,B2_GENERIC_PROTOTYPE_OOF,0.7849999999999999,0.7849999999999999,0.0,0.013543270095361937
WBCIC,3,12,B3_CROSS_SESSION_RELATION_OOF,0.5475,0.55,0.2500000000000058,0.301839301563378
WBCIC,3,22,B3_CROSS_SESSION_RELATION_OOF,0.69,0.6875,-0.24999999999999467,-0.24165983689232728
WBCIC,3,26,B3_CROSS_SESSION_RELATION_OOF,0.7720100502512564,0.7720100502512564,0.0,0.0
WBCIC,3,31,B3_CROSS_SESSION_RELATION_OOF,0.6599999999999999,0.6575,-0.24999999999999467,-0.23172763491052795
WBCIC,3,42,B3_CROSS_SESSION_RELATION_OOF,0.7849999999999999,0.7849999999999999,0.0,0.013543270095361937
OpenBMI,4,9,B1_GENERIC_OOF,0.6599999999999999,0.6599999999999999,0.0,0.0
OpenBMI,4,21,B1_GENERIC_OOF,0.795,0.795,0.0,0.0
OpenBMI,4,24,B1_GENERIC_OOF,0.595,0.595,0.0,0.0
OpenBMI,4,27,B1_GENERIC_OOF,0.905,0.905,0.0,0.0
OpenBMI,4,31,B1_GENERIC_OOF,0.85,0.85,0.0,0.0
OpenBMI,4,39,B1_GENERIC_OOF,0.77,0.77,0.0,0.0
OpenBMI,4,9,B2_GENERIC_PROTOTYPE_OOF,0.6599999999999999,0.6599999999999999,0.0,0.0
OpenBMI,4,21,B2_GENERIC_PROTOTYPE_OOF,0.795,0.795,0.0,0.0
OpenBMI,4,24,B2_GENERIC_PROTOTYPE_OOF,0.595,0.595,0.0,0.0
OpenBMI,4,27,B2_GENERIC_PROTOTYPE_OOF,0.905,0.905,0.0,0.0
OpenBMI,4,31,B2_GENERIC_PROTOTYPE_OOF,0.85,0.85,0.0,0.0
OpenBMI,4,39,B2_GENERIC_PROTOTYPE_OOF,0.77,0.77,0.0,0.0
OpenBMI,4,9,B3_CROSS_SESSION_RELATION_OOF,0.6599999999999999,0.6599999999999999,0.0,0.0
OpenBMI,4,21,B3_CROSS_SESSION_RELATION_OOF,0.795,0.795,0.0,0.0
OpenBMI,4,24,B3_CROSS_SESSION_RELATION_OOF,0.595,0.595,0.0,0.0
OpenBMI,4,27,B3_CROSS_SESSION_RELATION_OOF,0.905,0.905,0.0,0.0
OpenBMI,4,31,B3_CROSS_SESSION_RELATION_OOF,0.85,0.85,0.0,0.0
OpenBMI,4,39,B3_CROSS_SESSION_RELATION_OOF,0.77,0.77,0.0,0.0
WBCIC,4,6,B1_GENERIC_OOF,0.855,0.855,0.0,0.0
WBCIC,4,29,B1_GENERIC_OOF,0.6325000000000001,0.6325000000000001,0.0,0.0
WBCIC,4,30,B1_GENERIC_OOF,0.915,0.915,0.0,0.0
WBCIC,4,38,B1_GENERIC_OOF,0.6475,0.6475,0.0,0.0
WBCIC,4,6,B2_GENERIC_PROTOTYPE_OOF,0.855,0.855,0.0,0.0
WBCIC,4,29,B2_GENERIC_PROTOTYPE_OOF,0.6325000000000001,0.6325000000000001,0.0,0.0
WBCIC,4,30,B2_GENERIC_PROTOTYPE_OOF,0.915,0.915,0.0,0.0
WBCIC,4,38,B2_GENERIC_PROTOTYPE_OOF,0.6475,0.6475,0.0,0.0
WBCIC,4,6,B3_CROSS_SESSION_RELATION_OOF,0.855,0.855,0.0,0.0
WBCIC,4,29,B3_CROSS_SESSION_RELATION_OOF,0.6325000000000001,0.6325000000000001,0.0,0.0
WBCIC,4,30,B3_CROSS_SESSION_RELATION_OOF,0.915,0.915,0.0,0.0
WBCIC,4,38,B3_CROSS_SESSION_RELATION_OOF,0.6475,0.6475,0.0,0.0
