dataset,outer_fold,inner_fold,role,subject
WBCIC,0,1,backbone_train,31
WBCIC,0,1,query,34
WBCIC,0,1,query,35
WBCIC,0,1,backbone_train,38
WBCIC,0,1,backbone_train,42
WBCIC,0,1,query,47
WBCIC,0,1,backbone_train,48
WBCIC,0,1,backbone_train,49
WBCIC,0,2,backbone_train,6
WBCIC,0,2,backbone_train,7
WBCIC,0,2,backbone_train,9
WBCIC,0,2,query,12
WBCIC,0,2,backbone_train,17
WBCIC,0,2,backbone_train,22
WBCIC,0,2,backbone_train,23
WBCIC,0,2,backbone_train,24
WBCIC,0,2,query,26
WBCIC,0,2,query,29
WBCIC,0,2,backbone_train,30
WBCIC,0,2,backbone_train,31
WBCIC,0,2,backbone_train,34
WBCIC,0,2,backbone_train,35
WBCIC,0,2,backbone_train,38
WBCIC,0,2,query,42
WBCIC,0,2,backbone_train,47
WBCIC,0,2,backbone_train,48
WBCIC,0,2,query,49
WBCIC,0,3,backbone_train,6
WBCIC,0,3,backbone_train,7
WBCIC,0,3,backbone_train,9
WBCIC,0,3,backbone_train,12
WBCIC,0,3,query,17
WBCIC,0,3,backbone_train,22
WBCIC,0,3,backbone_train,23
WBCIC,0,3,backbone_train,24
WBCIC,0,3,backbone_train,26
WBCIC,0,3,backbone_train,29
WBCIC,0,3,query,30
WBCIC,0,3,query,31
WBCIC,0,3,backbone_train,34
WBCIC,0,3,backbone_train,35
WBCIC,0,3,query,38
WBCIC,0,3,backbone_train,42
WBCIC,0,3,backbone_train,47
WBCIC,0,3,backbone_train,48
WBCIC,0,3,backbone_train,49
OpenBMI,1,0,query,4
OpenBMI,1,0,backbone_train,5
OpenBMI,1,0,backbone_train,9
OpenBMI,1,0,backbone_train,11
OpenBMI,1,0,backbone_train,12
OpenBMI,1,0,backbone_train,15
OpenBMI,1,0,backbone_train,16
OpenBMI,1,0,backbone_train,18
OpenBMI,1,0,backbone_train,20
OpenBMI,1,0,backbone_train,21
OpenBMI,1,0,query,22
OpenBMI,1,0,query,23
OpenBMI,1,0,backbone_train,24
OpenBMI,1,0,query,25
OpenBMI,1,0,backbone_train,26
OpenBMI,1,0,backbone_train,27
OpenBMI,1,0,backbone_train,30
OpenBMI,1,0,query,31
OpenBMI,1,0,query,34
OpenBMI,1,0,backbone_train,35
OpenBMI,1,0,backbone_train,37
OpenBMI,1,0,backbone_train,38
OpenBMI,1,0,backbone_train,39
OpenBMI,1,0,backbone_train,41
OpenBMI,1,0,query,44
OpenBMI,1,0,backbone_train,46
OpenBMI,1,0,backbone_train,52
OpenBMI,1,1,backbone_train,4
OpenBMI,1,1,query,5
OpenBMI,1,1,backbone_train,9
OpenBMI,1,1,backbone_train,11
OpenBMI,1,1,backbone_train,12
OpenBMI,1,1,query,15
OpenBMI,1,1,backbone_train,16
OpenBMI,1,1,query,18
OpenBMI,1,1,backbone_train,20
OpenBMI,1,1,query,21
OpenBMI,1,1,backbone_train,22
OpenBMI,1,1,backbone_train,23
OpenBMI,1,1,backbone_train,24
OpenBMI,1,1,backbone_train,25
OpenBMI,1,1,backbone_train,26
OpenBMI,1,1,backbone_train,27
OpenBMI,1,1,backbone_train,30
OpenBMI,1,1,backbone_train,31
OpenBMI,1,1,backbone_train,34
OpenBMI,1,1,backbone_train,35
OpenBMI,1,1,query,37
OpenBMI,1,1,backbone_train,38
OpenBMI,1,1,query,39
OpenBMI,1,1,query,41
OpenBMI,1,1,backbone_train,44
OpenBMI,1,1,backbone_train,46
OpenBMI,1,1,backbone_train,52
OpenBMI,1,2,backbone_train,4
OpenBMI,1,2,backbone_train,5
OpenBMI,1,2,backbone_train,9
OpenBMI,1,2,backbone_train,11
OpenBMI,1,2,backbone_train,12
OpenBMI,1,2,backbone_train,15
OpenBMI,1,2,backbone_train,16
OpenBMI,1,2,backbone_train,18
OpenBMI,1,2,query,20
OpenBMI,1,2,backbone_train,21
OpenBMI,1,2,backbone_train,22
OpenBMI,1,2,backbone_train,23
OpenBMI,1,2,backbone_train,24
OpenBMI,1,2,backbone_train,25
OpenBMI,1,2,query,26
OpenBMI,1,2,query,27
OpenBMI,1,2,backbone_train,30
OpenBMI,1,2,backbone_train,31
OpenBMI,1,2,backbone_train,34
OpenBMI,1,2,query,35
OpenBMI,1,2,backbone_train,37
OpenBMI,1,2,query,38
OpenBMI,1,2,backbone_train,39
OpenBMI,1,2,backbone_train,41
OpenBMI,1,2,backbone_train,44
OpenBMI,1,2,query,46
OpenBMI,1,2,query,52
OpenBMI,1,3,backbone_train,4
OpenBMI,1,3,backbone_train,5
OpenBMI,1,3,query,9
OpenBMI,1,3,query,11
OpenBMI,1,3,query,12
OpenBMI,1,3,backbone_train,15
OpenBMI,1,3,query,16
OpenBMI,1,3,backbone_train,18
OpenBMI,1,3,backbone_train,20
OpenBMI,1,3,backbone_train,21
OpenBMI,1,3,backbone_train,22
OpenBMI,1,3,backbone_train,23
OpenBMI,1,3,query,24
OpenBMI,1,3,backbone_train,25
OpenBMI,1,3,backbone_train,26
OpenBMI,1,3,backbone_train,27
OpenBMI,1,3,query,30
OpenBMI,1,3,backbone_train,31
OpenBMI,1,3,backbone_train,34
OpenBMI,1,3,backbone_train,35
OpenBMI,1,3,backbone_train,37
OpenBMI,1,3,backbone_train,38
OpenBMI,1,3,backbone_train,39
OpenBMI,1,3,backbone_train,41
OpenBMI,1,3,backbone_train,44
OpenBMI,1,3,backbone_train,46
OpenBMI,1,3,backbone_train,52
WBCIC,1,0,query,6
WBCIC,1,0,backbone_train,7
WBCIC,1,0,backbone_train,12
WBCIC,1,0,backbone_train,14
WBCIC,1,0,backbone_train,22
WBCIC,1,0,backbone_train,25
WBCIC,1,0,query,26
WBCIC,1,0,backbone_train,29
WBCIC,1,0,backbone_train,30
WBCIC,1,0,query,31
WBCIC,1,0,backbone_train,32
WBCIC,1,0,backbone_train,34
WBCIC,1,0,backbone_train,35
WBCIC,1,0,query,38
WBCIC,1,0,backbone_train,41
WBCIC,1,0,backbone_train,42
WBCIC,1,0,backbone_train,48
WBCIC,1,0,query,49
WBCIC,1,0,backbone_train,50
WBCIC,1,1,backbone_train,6
WBCIC,1,1,query,7
WBCIC,1,1,backbone_train,12
WBCIC,1,1,backbone_train,14
WBCIC,1,1,backbone_train,22
WBCIC,1,1,backbone_train,25
WBCIC,1,1,backbone_train,26
WBCIC,1,1,query,29
WBCIC,1,1,backbone_train,30
WBCIC,1,1,backbone_train,31
WBCIC,1,1,query,32
WBCIC,1,1,backbone_train,34
WBCIC,1,1,query,35
WBCIC,1,1,backbone_train,38
WBCIC,1,1,backbone_train,41
WBCIC,1,1,backbone_train,42
WBCIC,1,1,backbone_train,48
WBCIC,1,1,backbone_train,49
WBCIC,1,1,query,50
WBCIC,1,2,backbone_train,6
WBCIC,1,2,backbone_train,7
WBCIC,1,2,query,12
WBCIC,1,2,backbone_train,14
WBCIC,1,2,backbone_train,22
WBCIC,1,2,query,25
WBCIC,1,2,backbone_train,26
WBCIC,1,2,backbone_train,29
WBCIC,1,2,query,30
WBCIC,1,2,backbone_train,31
WBCIC,1,2,backbone_train,32
WBCIC,1,2,backbone_train,34
WBCIC,1,2,backbone_train,35
WBCIC,1,2,backbone_train,38
WBCIC,1,2,query,41
WBCIC,1,2,query,42
WBCIC,1,2,backbone_train,48
WBCIC,1,2,backbone_train,49
WBCIC,1,2,backbone_train,50
WBCIC,1,3,backbone_train,6
WBCIC,1,3,backbone_train,7
WBCIC,1,3,backbone_train,12
WBCIC,1,3,query,14
WBCIC,1,3,query,22
WBCIC,1,3,backbone_train,25
WBCIC,1,3,backbone_train,26
WBCIC,1,3,backbone_train,29
WBCIC,1,3,backbone_train,30
WBCIC,1,3,backbone_train,31
WBCIC,1,3,backbone_train,32
WBCIC,1,3,query,34
WBCIC,1,3,backbone_train,35
WBCIC,1,3,backbone_train,38
WBCIC,1,3,backbone_train,41
WBCIC,1,3,backbone_train,42
WBCIC,1,3,query,48
WBCIC,1,3,backbone_train,49
WBCIC,1,3,backbone_train,50
OpenBMI,2,0,backbone_train,4
OpenBMI,2,0,query,5
OpenBMI,2,0,backbone_train,7
OpenBMI,2,0,backbone_train,8
OpenBMI,2,0,backbone_train,9
OpenBMI,2,0,backbone_train,11
OpenBMI,2,0,backbone_train,12
OpenBMI,2,0,backbone_train,15
OpenBMI,2,0,backbone_train,16
OpenBMI,2,0,query,18
OpenBMI,2,0,backbone_train,21
OpenBMI,2,0,query,23
OpenBMI,2,0,query,24
OpenBMI,2,0,backbone_train,26
OpenBMI,2,0,backbone_train,27
OpenBMI,2,0,backbone_train,29
OpenBMI,2,0,backbone_train,31
OpenBMI,2,0,backbone_train,35
OpenBMI,2,0,query,37
OpenBMI,2,0,backbone_train,38
OpenBMI,2,0,backbone_train,39
OpenBMI,2,0,query,42
OpenBMI,2,0,backbone_train,43
OpenBMI,2,0,query,44
OpenBMI,2,0,backbone_train,49
OpenBMI,2,0,backbone_train,51
OpenBMI,2,0,backbone_train,52
OpenBMI,2,1,backbone_train,4
OpenBMI,2,1,backbone_train,5
OpenBMI,2,1,query,7
OpenBMI,2,1,backbone_train,8
OpenBMI,2,1,backbone_train,9
OpenBMI,2,1,query,11
OpenBMI,2,1,backbone_train,12
OpenBMI,2,1,backbone_train,15
OpenBMI,2,1,backbone_train,16
OpenBMI,2,1,backbone_train,18
OpenBMI,2,1,query,21
OpenBMI,2,1,backbone_train,23
OpenBMI,2,1,backbone_train,24
OpenBMI,2,1,query,26
OpenBMI,2,1,backbone_train,27
OpenBMI,2,1,query,29
OpenBMI,2,1,backbone_train,31
OpenBMI,2,1,backbone_train,35
OpenBMI,2,1,backbone_train,37
OpenBMI,2,1,backbone_train,38
OpenBMI,2,1,query,39
OpenBMI,2,1,backbone_train,42
OpenBMI,2,1,backbone_train,43
OpenBMI,2,1,backbone_train,44
OpenBMI,2,1,backbone_train,49
OpenBMI,2,1,query,51
OpenBMI,2,1,backbone_train,52
OpenBMI,2,2,backbone_train,4
OpenBMI,2,2,backbone_train,5
OpenBMI,2,2,backbone_train,7
OpenBMI,2,2,query,8
OpenBMI,2,2,query,9
OpenBMI,2,2,backbone_train,11
OpenBMI,2,2,query,12
OpenBMI,2,2,query,15
OpenBMI,2,2,query,16
OpenBMI,2,2,backbone_train,18
OpenBMI,2,2,backbone_train,21
OpenBMI,2,2,backbone_train,23
OpenBMI,2,2,backbone_train,24
OpenBMI,2,2,backbone_train,26
OpenBMI,2,2,backbone_train,27
OpenBMI,2,2,backbone_train,29
OpenBMI,2,2,query,31
OpenBMI,2,2,backbone_train,35
OpenBMI,2,2,backbone_train,37
OpenBMI,2,2,backbone_train,38
OpenBMI,2,2,backbone_train,39
OpenBMI,2,2,backbone_train,42
OpenBMI,2,2,backbone_train,43
OpenBMI,2,2,backbone_train,44
OpenBMI,2,2,backbone_train,49
OpenBMI,2,2,backbone_train,51
OpenBMI,2,2,query,52
OpenBMI,2,3,query,4
OpenBMI,2,3,backbone_train,5
OpenBMI,2,3,backbone_train,7
OpenBMI,2,3,backbone_train,8
OpenBMI,2,3,backbone_train,9
OpenBMI,2,3,backbone_train,11
OpenBMI,2,3,backbone_train,12
OpenBMI,2,3,backbone_train,15
OpenBMI,2,3,backbone_train,16
OpenBMI,2,3,backbone_train,18
OpenBMI,2,3,backbone_train,21
OpenBMI,2,3,backbone_train,23
OpenBMI,2,3,backbone_train,24
OpenBMI,2,3,backbone_train,26
OpenBMI,2,3,query,27
OpenBMI,2,3,backbone_train,29
OpenBMI,2,3,backbone_train,31
OpenBMI,2,3,query,35
OpenBMI,2,3,backbone_train,37
OpenBMI,2,3,query,38
OpenBMI,2,3,backbone_train,39
OpenBMI,2,3,backbone_train,42
OpenBMI,2,3,query,43
OpenBMI,2,3,backbone_train,44
OpenBMI,2,3,query,49
OpenBMI,2,3,backbone_train,51
OpenBMI,2,3,backbone_train,52
WBCIC,2,0,backbone_train,6
WBCIC,2,0,backbone_train,9
WBCIC,2,0,backbone_train,12
WBCIC,2,0,query,14
WBCIC,2,0,backbone_train,17
WBCIC,2,0,backbone_train,22
WBCIC,2,0,query,23
WBCIC,2,0,backbone_train,24
WBCIC,2,0,backbone_train,25
WBCIC,2,0,query,26
WBCIC,2,0,backbone_train,29
WBCIC,2,0,backbone_train,30
WBCIC,2,0,query,31
WBCIC,2,0,query,32
WBCIC,2,0,backbone_train,38
WBCIC,2,0,backbone_train,41
WBCIC,2,0,backbone_train,42
WBCIC,2,0,backbone_train,47
WBCIC,2,0,backbone_train,50
WBCIC,2,1,backbone_train,6
WBCIC,2,1,backbone_train,9
WBCIC,2,1,query,12
WBCIC,2,1,backbone_train,14
WBCIC,2,1,backbone_train,17
WBCIC,2,1,query,22
WBCIC,2,1,backbone_train,23
WBCIC,2,1,query,24
WBCIC,2,1,backbone_train,25
WBCIC,2,1,backbone_train,26
WBCIC,2,1,backbone_train,29
WBCIC,2,1,backbone_train,30
WBCIC,2,1,backbone_train,31
WBCIC,2,1,backbone_train,32
WBCIC,2,1,query,38
WBCIC,2,1,query,41
WBCIC,2,1,backbone_train,42
WBCIC,2,1,backbone_train,47
WBCIC,2,1,backbone_train,50
WBCIC,2,2,query,6
WBCIC,2,2,query,9
WBCIC,2,2,backbone_train,12
WBCIC,2,2,backbone_train,14
WBCIC,2,2,backbone_train,17
WBCIC,2,2,backbone_train,22
WBCIC,2,2,backbone_train,23
WBCIC,2,2,backbone_train,24
WBCIC,2,2,query,25
WBCIC,2,2,backbone_train,26
WBCIC,2,2,backbone_train,29
WBCIC,2,2,backbone_train,30
WBCIC,2,2,backbone_train,31
WBCIC,2,2,backbone_train,32
WBCIC,2,2,backbone_train,38
WBCIC,2,2,backbone_train,41
WBCIC,2,2,backbone_train,42
WBCIC,2,2,query,47
WBCIC,2,2,query,50
WBCIC,2,3,backbone_train,6
WBCIC,2,3,backbone_train,9
WBCIC,2,3,backbone_train,12
WBCIC,2,3,backbone_train,14
WBCIC,2,3,query,17
WBCIC,2,3,backbone_train,22
WBCIC,2,3,backbone_train,23
WBCIC,2,3,backbone_train,24
WBCIC,2,3,backbone_train,25
WBCIC,2,3,backbone_train,26
WBCIC,2,3,query,29
WBCIC,2,3,query,30
WBCIC,2,3,backbone_train,31
WBCIC,2,3,backbone_train,32
WBCIC,2,3,backbone_train,38
WBCIC,2,3,backbone_train,41
WBCIC,2,3,query,42
WBCIC,2,3,backbone_train,47
WBCIC,2,3,backbone_train,50
OpenBMI,3,0,backbone_train,4
OpenBMI,3,0,backbone_train,5
OpenBMI,3,0,backbone_train,7
OpenBMI,3,0,query,8
OpenBMI,3,0,backbone_train,9
OpenBMI,3,0,backbone_train,15
OpenBMI,3,0,backbone_train,16
OpenBMI,3,0,backbone_train,18
OpenBMI,3,0,backbone_train,20
OpenBMI,3,0,backbone_train,21
OpenBMI,3,0,query,22
OpenBMI,3,0,backbone_train,24
OpenBMI,3,0,backbone_train,25
OpenBMI,3,0,backbone_train,26
OpenBMI,3,0,backbone_train,27
OpenBMI,3,0,query,29
OpenBMI,3,0,query,30
OpenBMI,3,0,query,31
OpenBMI,3,0,query,34
OpenBMI,3,0,backbone_train,39
OpenBMI,3,0,backbone_train,41
OpenBMI,3,0,backbone_train,42
OpenBMI,3,0,backbone_train,43
OpenBMI,3,0,backbone_train,44
OpenBMI,3,0,query,46
OpenBMI,3,0,backbone_train,49
OpenBMI,3,0,backbone_train,51
OpenBMI,3,1,query,4
OpenBMI,3,1,backbone_train,5
OpenBMI,3,1,backbone_train,7
OpenBMI,3,1,backbone_train,8
OpenBMI,3,1,backbone_train,9
OpenBMI,3,1,backbone_train,15
OpenBMI,3,1,backbone_train,16
OpenBMI,3,1,backbone_train,18
OpenBMI,3,1,backbone_train,20
OpenBMI,3,1,query,21
OpenBMI,3,1,backbone_train,22
OpenBMI,3,1,query,24
OpenBMI,3,1,backbone_train,25
OpenBMI,3,1,backbone_train,26
OpenBMI,3,1,backbone_train,27
OpenBMI,3,1,backbone_train,29
OpenBMI,3,1,backbone_train,30
OpenBMI,3,1,backbone_train,31
OpenBMI,3,1,backbone_train,34
OpenBMI,3,1,query,39
OpenBMI,3,1,backbone_train,41
OpenBMI,3,1,query,42
OpenBMI,3,1,backbone_train,43
OpenBMI,3,1,query,44
OpenBMI,3,1,backbone_train,46
OpenBMI,3,1,query,49
OpenBMI,3,1,backbone_train,51
OpenBMI,3,2,backbone_train,4
OpenBMI,3,2,query,5
OpenBMI,3,2,backbone_train,7
OpenBMI,3,2,backbone_train,8
OpenBMI,3,2,backbone_train,9
OpenBMI,3,2,query,15
OpenBMI,3,2,backbone_train,16
OpenBMI,3,2,query,18
OpenBMI,3,2,backbone_train,20
OpenBMI,3,2,backbone_train,21
OpenBMI,3,2,backbone_train,22
OpenBMI,3,2,backbone_train,24
OpenBMI,3,2,backbone_train,25
OpenBMI,3,2,backbone_train,26
OpenBMI,3,2,query,27
OpenBMI,3,2,backbone_train,29
OpenBMI,3,2,backbone_train,30
OpenBMI,3,2,backbone_train,31
OpenBMI,3,2,backbone_train,34
OpenBMI,3,2,backbone_train,39
OpenBMI,3,2,query,41
OpenBMI,3,2,backbone_train,42
OpenBMI,3,2,query,43
OpenBMI,3,2,backbone_train,44
OpenBMI,3,2,backbone_train,46
OpenBMI,3,2,backbone_train,49
OpenBMI,3,2,query,51
OpenBMI,3,3,backbone_train,4
OpenBMI,3,3,backbone_train,5
OpenBMI,3,3,query,7
OpenBMI,3,3,backbone_train,8
OpenBMI,3,3,query,9
OpenBMI,3,3,backbone_train,15
OpenBMI,3,3,query,16
OpenBMI,3,3,backbone_train,18
OpenBMI,3,3,query,20
OpenBMI,3,3,backbone_train,21
OpenBMI,3,3,backbone_train,22
OpenBMI,3,3,backbone_train,24
OpenBMI,3,3,query,25
OpenBMI,3,3,query,26
OpenBMI,3,3,backbone_train,27
OpenBMI,3,3,backbone_train,29
OpenBMI,3,3,backbone_train,30
OpenBMI,3,3,backbone_train,31
OpenBMI,3,3,backbone_train,34
OpenBMI,3,3,backbone_train,39
OpenBMI,3,3,backbone_train,41
OpenBMI,3,3,backbone_train,42
OpenBMI,3,3,backbone_train,43
OpenBMI,3,3,backbone_train,44
OpenBMI,3,3,backbone_train,46
OpenBMI,3,3,backbone_train,49
OpenBMI,3,3,backbone_train,51
WBCIC,3,0,backbone_train,6
WBCIC,3,0,backbone_train,7
WBCIC,3,0,backbone_train,9
WBCIC,3,0,backbone_train,14
WBCIC,3,0,backbone_train,17
WBCIC,3,0,query,23
WBCIC,3,0,backbone_train,24
WBCIC,3,0,backbone_train,25
WBCIC,3,0,backbone_train,29
WBCIC,3,0,backbone_train,30
WBCIC,3,0,query,32
WBCIC,3,0,query,34
WBCIC,3,0,backbone_train,35
WBCIC,3,0,backbone_train,38
WBCIC,3,0,query,41
WBCIC,3,0,backbone_train,47
WBCIC,3,0,backbone_train,48
WBCIC,3,0,backbone_train,49
WBCIC,3,0,query,50
WBCIC,3,1,backbone_train,6
WBCIC,3,1,query,7
WBCIC,3,1,query,9
WBCIC,3,1,query,14
WBCIC,3,1,query,17
WBCIC,3,1,backbone_train,23
WBCIC,3,1,backbone_train,24
WBCIC,3,1,backbone_train,25
WBCIC,3,1,query,29
WBCIC,3,1,backbone_train,30
WBCIC,3,1,backbone_train,32
WBCIC,3,1,backbone_train,34
WBCIC,3,1,backbone_train,35
WBCIC,3,1,backbone_train,38
WBCIC,3,1,backbone_train,41
WBCIC,3,1,backbone_train,47
WBCIC,3,1,backbone_train,48
WBCIC,3,1,backbone_train,49
WBCIC,3,1,backbone_train,50
WBCIC,3,2,query,6
WBCIC,3,2,backbone_train,7
WBCIC,3,2,backbone_train,9
WBCIC,3,2,backbone_train,14
WBCIC,3,2,backbone_train,17
WBCIC,3,2,backbone_train,23
WBCIC,3,2,query,24
WBCIC,3,2,backbone_train,25
WBCIC,3,2,backbone_train,29
WBCIC,3,2,backbone_train,30
WBCIC,3,2,backbone_train,32
WBCIC,3,2,backbone_train,34
WBCIC,3,2,query,35
WBCIC,3,2,backbone_train,38
WBCIC,3,2,backbone_train,41
WBCIC,3,2,query,47
WBCIC,3,2,backbone_train,48
WBCIC,3,2,query,49
WBCIC,3,2,backbone_train,50
WBCIC,3,3,backbone_train,6
WBCIC,3,3,backbone_train,7
WBCIC,3,3,backbone_train,9
WBCIC,3,3,backbone_train,14
WBCIC,3,3,backbone_train,17
WBCIC,3,3,backbone_train,23
WBCIC,3,3,backbone_train,24
WBCIC,3,3,query,25
WBCIC,3,3,backbone_train,29
WBCIC,3,3,query,30
WBCIC,3,3,backbone_train,32
WBCIC,3,3,backbone_train,34
WBCIC,3,3,backbone_train,35
WBCIC,3,3,query,38
WBCIC,3,3,backbone_train,41
WBCIC,3,3,backbone_train,47
WBCIC,3,3,query,48
WBCIC,3,3,backbone_train,49
WBCIC,3,3,backbone_train,50
OpenBMI,4,0,backbone_train,4
OpenBMI,4,0,backbone_train,5
OpenBMI,4,0,backbone_train,7
OpenBMI,4,0,query,8
OpenBMI,4,0,query,11
OpenBMI,4,0,backbone_train,12
OpenBMI,4,0,query,15
OpenBMI,4,0,backbone_train,16
OpenBMI,4,0,backbone_train,18
OpenBMI,4,0,backbone_train,20
OpenBMI,4,0,query,22
OpenBMI,4,0,backbone_train,23
OpenBMI,4,0,backbone_train,25
OpenBMI,4,0,backbone_train,26
OpenBMI,4,0,backbone_train,29
OpenBMI,4,0,query,30
OpenBMI,4,0,backbone_train,34
OpenBMI,4,0,query,35
OpenBMI,4,0,backbone_train,37
OpenBMI,4,0,backbone_train,38
OpenBMI,4,0,backbone_train,41
OpenBMI,4,0,backbone_train,42
OpenBMI,4,0,backbone_train,43
OpenBMI,4,0,backbone_train,44
OpenBMI,4,0,backbone_train,46
OpenBMI,4,0,backbone_train,49
OpenBMI,4,0,query,51
OpenBMI,4,0,backbone_train,52
OpenBMI,4,1,query,4
OpenBMI,4,1,backbone_train,5
OpenBMI,4,1,backbone_train,7
OpenBMI,4,1,backbone_train,8
OpenBMI,4,1,backbone_train,11
OpenBMI,4,1,backbone_train,12
OpenBMI,4,1,backbone_train,15
OpenBMI,4,1,backbone_train,16
OpenBMI,4,1,backbone_train,18
OpenBMI,4,1,query,20
OpenBMI,4,1,backbone_train,22
OpenBMI,4,1,backbone_train,23
OpenBMI,4,1,backbone_train,25
OpenBMI,4,1,query,26
OpenBMI,4,1,query,29
OpenBMI,4,1,backbone_train,30
OpenBMI,4,1,backbone_train,34
OpenBMI,4,1,backbone_train,35
OpenBMI,4,1,backbone_train,37
OpenBMI,4,1,backbone_train,38
OpenBMI,4,1,backbone_train,41
OpenBMI,4,1,backbone_train,42
OpenBMI,4,1,backbone_train,43
OpenBMI,4,1,query,44
OpenBMI,4,1,query,46
OpenBMI,4,1,query,49
OpenBMI,4,1,backbone_train,51
OpenBMI,4,1,backbone_train,52
