dataset,outer_fold,method,subject,BA,Macro_F1,trials
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,24,0.8799371859296483,0.8786557858989306,399
WBCIC,1,B2_GENERIC_PROTOTYPE_OOF,47,0.77,0.7593890574327858,400
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,9,0.615,0.5882242840717666,400
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,17,0.7000000000000001,0.6824640787489085,400
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,23,0.8173492462311558,0.814355915027056,399
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,24,0.8799371859296483,0.8786557858989306,399
WBCIC,1,B3_CROSS_SESSION_RELATION_OOF,47,0.77,0.7593890574327858,400
OpenBMI,2,B0_OOF_ERM,20,0.75,0.7406369955389562,200
OpenBMI,2,B0_OOF_ERM,22,0.675,0.6607427124924972,200
OpenBMI,2,B0_OOF_ERM,25,0.915,0.9149808706959066,200
OpenBMI,2,B0_OOF_ERM,30,0.73,0.7297567811029927,200
OpenBMI,2,B0_OOF_ERM,34,0.6699999999999999,0.6691729323308271,200
OpenBMI,2,B0_OOF_ERM,41,0.775,0.7749493636068115,200
OpenBMI,2,B0_OOF_ERM,46,0.635,0.6002081108464087,200
OpenBMI,2,B1_GENERIC_OOF,20,0.745,0.7349203461628421,200
OpenBMI,2,B1_GENERIC_OOF,22,0.675,0.6607427124924972,200
OpenBMI,2,B1_GENERIC_OOF,25,0.915,0.9149808706959066,200
OpenBMI,2,B1_GENERIC_OOF,30,0.73,0.7297567811029927,200
OpenBMI,2,B1_GENERIC_OOF,34,0.6699999999999999,0.6691729323308271,200
OpenBMI,2,B1_GENERIC_OOF,41,0.775,0.7749493636068115,200
OpenBMI,2,B1_GENERIC_OOF,46,0.635,0.6002081108464087,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,20,0.745,0.7349203461628421,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,22,0.675,0.6607427124924972,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,25,0.915,0.9149808706959066,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,30,0.73,0.7297567811029927,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,34,0.6699999999999999,0.6691729323308271,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,41,0.775,0.7749493636068115,200
OpenBMI,2,B2_GENERIC_PROTOTYPE_OOF,46,0.635,0.6002081108464087,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,20,0.745,0.7349203461628421,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,22,0.675,0.6607427124924972,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,25,0.915,0.9149808706959066,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,30,0.73,0.7297567811029927,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,34,0.6699999999999999,0.6691729323308271,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,41,0.775,0.7749493636068115,200
OpenBMI,2,B3_CROSS_SESSION_RELATION_OOF,46,0.635,0.6002081108464087,200
WBCIC,2,B0_OOF_ERM,7,0.79,0.7895738871214208,400
WBCIC,2,B0_OOF_ERM,34,0.49,0.4893744837425847,400
WBCIC,2,B0_OOF_ERM,35,0.9575,0.9574997343733398,400
WBCIC,2,B0_OOF_ERM,48,0.855,0.8549093183239524,400
WBCIC,2,B0_OOF_ERM,49,0.8500000000000001,0.8495448732415557,400
WBCIC,2,B1_GENERIC_OOF,7,0.79,0.7894736842105263,400
WBCIC,2,B1_GENERIC_OOF,34,0.49750000000000005,0.49659071698254975,400
WBCIC,2,B1_GENERIC_OOF,35,0.9575,0.9574997343733398,400
WBCIC,2,B1_GENERIC_OOF,48,0.85,0.8498648783905515,400
WBCIC,2,B1_GENERIC_OOF,49,0.8500000000000001,0.8495448732415557,400
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,7,0.7925,0.7920307694235118,400
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,34,0.49250000000000005,0.4917853231106243,400
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,35,0.9575,0.9574997343733398,400
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,48,0.8525,0.8523883687038323,400
WBCIC,2,B2_GENERIC_PROTOTYPE_OOF,49,0.8500000000000001,0.8495448732415557,400
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,7,0.79,0.7894736842105263,400
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,34,0.49750000000000005,0.49659071698254975,400
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,35,0.9575,0.9574997343733398,400
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,48,0.8525,0.8523883687038323,400
WBCIC,2,B3_CROSS_SESSION_RELATION_OOF,49,0.8500000000000001,0.8495448732415557,400
OpenBMI,3,B0_OOF_ERM,11,0.72,0.7144022847817217,200
OpenBMI,3,B0_OOF_ERM,12,0.79,0.7899159663865546,200
OpenBMI,3,B0_OOF_ERM,23,0.655,0.6465073388150311,200
OpenBMI,3,B0_OOF_ERM,35,0.885,0.8843494657448145,200
OpenBMI,3,B0_OOF_ERM,37,0.7050000000000001,0.7044014128610436,200
OpenBMI,3,B0_OOF_ERM,38,0.7350000000000001,0.7256089668918744,200
OpenBMI,3,B0_OOF_ERM,52,0.815,0.8149583656322672,200
OpenBMI,3,B1_GENERIC_OOF,11,0.72,0.7144022847817217,200
OpenBMI,3,B1_GENERIC_OOF,12,0.795,0.7949538646195394,200
OpenBMI,3,B1_GENERIC_OOF,23,0.655,0.6465073388150311,200
OpenBMI,3,B1_GENERIC_OOF,35,0.885,0.8843494657448145,200
OpenBMI,3,B1_GENERIC_OOF,37,0.7050000000000001,0.7044014128610436,200
OpenBMI,3,B1_GENERIC_OOF,38,0.74,0.7302624753605146,200
OpenBMI,3,B1_GENERIC_OOF,52,0.815,0.8149583656322672,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,11,0.72,0.7144022847817217,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,12,0.79,0.7899159663865546,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,23,0.655,0.6465073388150311,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,35,0.885,0.8843494657448145,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,37,0.7050000000000001,0.7044014128610436,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,38,0.7350000000000001,0.7256089668918744,200
OpenBMI,3,B2_GENERIC_PROTOTYPE_OOF,52,0.815,0.8149583656322672,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,11,0.72,0.7144022847817217,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,12,0.795,0.7949538646195394,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,23,0.655,0.6465073388150311,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,35,0.885,0.8843494657448145,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,37,0.7050000000000001,0.7044014128610436,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,38,0.74,0.7302624753605146,200
OpenBMI,3,B3_CROSS_SESSION_RELATION_OOF,52,0.815,0.8149583656322672,200
WBCIC,3,B0_OOF_ERM,12,0.5475,0.5447657492816227,400
WBCIC,3,B0_OOF_ERM,22,0.69,0.6888799678843838,400
WBCIC,3,B0_OOF_ERM,26,0.7720100502512564,0.7717233444614195,399
WBCIC,3,B0_OOF_ERM,31,0.6599999999999999,0.6594551282051282,400
WBCIC,3,B0_OOF_ERM,42,0.7849999999999999,0.7840877708317642,400
WBCIC,3,B1_GENERIC_OOF,12,0.54,0.5386042779407709,400
WBCIC,3,B1_GENERIC_OOF,22,0.69,0.6892230576441103,400
WBCIC,3,B1_GENERIC_OOF,26,0.7694974874371859,0.7692481770178526,399
WBCIC,3,B1_GENERIC_OOF,31,0.6575,0.6572407883461868,400
WBCIC,3,B1_GENERIC_OOF,42,0.7849999999999999,0.7842232035327178,400
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,12,0.5475,0.545428860244489,400
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,22,0.685,0.684044233807267,400
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,26,0.7720100502512564,0.7717233444614195,399
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,31,0.6575,0.6571378518560229,400
WBCIC,3,B2_GENERIC_PROTOTYPE_OOF,42,0.7849999999999999,0.7842232035327178,400
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,12,0.55,0.5477841422972565,400
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,22,0.6875,0.6864633695154605,400
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,26,0.7720100502512564,0.7717233444614195,399
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,31,0.6575,0.6571378518560229,400
WBCIC,3,B3_CROSS_SESSION_RELATION_OOF,42,0.7849999999999999,0.7842232035327178,400
OpenBMI,4,B0_OOF_ERM,9,0.6599999999999999,0.6594551282051282,200
OpenBMI,4,B0_OOF_ERM,21,0.795,0.7922525398393758,200
OpenBMI,4,B0_OOF_ERM,24,0.595,0.5789911380233373,200
OpenBMI,4,B0_OOF_ERM,27,0.905,0.9045969219954307,200
OpenBMI,4,B0_OOF_ERM,31,0.85,0.8499399759903962,200
OpenBMI,4,B0_OOF_ERM,39,0.77,0.7681217864704104,200
OpenBMI,4,B1_GENERIC_OOF,9,0.6599999999999999,0.6594551282051282,200
OpenBMI,4,B1_GENERIC_OOF,21,0.795,0.7922525398393758,200
OpenBMI,4,B1_GENERIC_OOF,24,0.595,0.5789911380233373,200
OpenBMI,4,B1_GENERIC_OOF,27,0.905,0.9045969219954307,200
OpenBMI,4,B1_GENERIC_OOF,31,0.85,0.8499399759903962,200
OpenBMI,4,B1_GENERIC_OOF,39,0.77,0.7681217864704104,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,9,0.6599999999999999,0.6594551282051282,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,21,0.795,0.7922525398393758,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,24,0.595,0.5789911380233373,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,27,0.905,0.9045969219954307,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,31,0.85,0.8499399759903962,200
OpenBMI,4,B2_GENERIC_PROTOTYPE_OOF,39,0.77,0.7681217864704104,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,9,0.6599999999999999,0.6594551282051282,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,21,0.795,0.7922525398393758,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,24,0.595,0.5789911380233373,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,27,0.905,0.9045969219954307,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,31,0.85,0.8499399759903962,200
OpenBMI,4,B3_CROSS_SESSION_RELATION_OOF,39,0.77,0.7681217864704104,200
WBCIC,4,B0_OOF_ERM,6,0.855,0.8546365914786967,400
WBCIC,4,B0_OOF_ERM,29,0.6325000000000001,0.6314842785427334,400
WBCIC,4,B0_OOF_ERM,30,0.915,0.9149468417761101,400
WBCIC,4,B0_OOF_ERM,38,0.6475,0.646702873358014,400
WBCIC,4,B1_GENERIC_OOF,6,0.855,0.8546365914786967,400
WBCIC,4,B1_GENERIC_OOF,29,0.6325000000000001,0.6314842785427334,400
WBCIC,4,B1_GENERIC_OOF,30,0.915,0.9149468417761101,400
WBCIC,4,B1_GENERIC_OOF,38,0.6475,0.646702873358014,400
WBCIC,4,B2_GENERIC_PROTOTYPE_OOF,6,0.855,0.8546365914786967,400
WBCIC,4,B2_GENERIC_PROTOTYPE_OOF,29,0.6325000000000001,0.6314842785427334,400
WBCIC,4,B2_GENERIC_PROTOTYPE_OOF,30,0.915,0.9149468417761101,400
WBCIC,4,B2_GENERIC_PROTOTYPE_OOF,38,0.6475,0.646702873358014,400
WBCIC,4,B3_CROSS_SESSION_RELATION_OOF,6,0.855,0.8546365914786967,400
WBCIC,4,B3_CROSS_SESSION_RELATION_OOF,29,0.6325000000000001,0.6314842785427334,400
WBCIC,4,B3_CROSS_SESSION_RELATION_OOF,30,0.915,0.9149468417761101,400
WBCIC,4,B3_CROSS_SESSION_RELATION_OOF,38,0.6475,0.646702873358014,400
