dataset,fold,seed,subject_id,method,BA,accuracy,macro_F1,NLL,trials
OpenBMI,0,0,40,GENERIC_RESIDUAL,0.81,0.81,0.8099809980998101,0.3794561556552554,100
OpenBMI,0,0,47,GENERIC_RESIDUAL,0.9299999999999999,0.93,0.9298245614035088,0.14951812282094226,100
OpenBMI,0,0,50,GENERIC_RESIDUAL,0.5800000000000001,0.58,0.5625,0.8523350147118873,100
OpenBMI,0,0,53,GENERIC_RESIDUAL,0.8,0.8,0.797979797979798,0.44657397434926915,100
OpenBMI,0,0,13,GENERIC_PROTOTYPE,0.72,0.72,0.719551282051282,4.7197685683210775,100
OpenBMI,0,0,14,GENERIC_PROTOTYPE,0.71,0.71,0.7092731829573935,5.684059475332222,100
OpenBMI,0,0,19,GENERIC_PROTOTYPE,0.74,0.74,0.7331691297208538,5.0433730288618746,100
OpenBMI,0,0,2,GENERIC_PROTOTYPE,0.79,0.79,0.78997899789979,3.0083826278289,100
OpenBMI,0,0,32,GENERIC_PROTOTYPE,0.74,0.74,0.7383252818035426,5.33467492428589,100
OpenBMI,0,0,33,GENERIC_PROTOTYPE,0.94,0.94,0.9399038461538461,0.7446000536025775,100
OpenBMI,0,0,36,GENERIC_PROTOTYPE,0.98,0.98,0.9799919967987194,0.21266830728444192,100
OpenBMI,0,0,40,GENERIC_PROTOTYPE,0.82,0.82,0.82,2.5087000121916403,100
OpenBMI,0,0,47,GENERIC_PROTOTYPE,0.94,0.94,0.9399038461538461,0.7771473455871597,100
OpenBMI,0,0,50,GENERIC_PROTOTYPE,0.63,0.63,0.6214833759590792,7.116450537776404,100
OpenBMI,0,0,53,GENERIC_PROTOTYPE,0.8,0.8,0.797077922077922,3.872039688745176,100
OpenBMI,0,0,13,CROSS_SESSION_RELATION,0.71,0.71,0.7097387648883995,0.6161016336816075,100
OpenBMI,0,0,14,CROSS_SESSION_RELATION,0.71,0.71,0.7092731829573935,0.716801159908651,100
OpenBMI,0,0,19,CROSS_SESSION_RELATION,0.74,0.74,0.7331691297208538,0.6234848299679776,100
OpenBMI,0,0,2,CROSS_SESSION_RELATION,0.79,0.79,0.78997899789979,0.41752751137119104,100
OpenBMI,0,0,32,CROSS_SESSION_RELATION,0.74,0.74,0.7383252818035426,0.6149098333195229,100
OpenBMI,0,0,33,CROSS_SESSION_RELATION,0.94,0.94,0.9399038461538461,0.17268050201175075,100
OpenBMI,0,0,36,CROSS_SESSION_RELATION,0.98,0.98,0.9799919967987194,0.06219613148993262,100
OpenBMI,0,0,40,CROSS_SESSION_RELATION,0.82,0.82,0.82,0.3934886635738689,100
OpenBMI,0,0,47,CROSS_SESSION_RELATION,0.94,0.94,0.9399038461538461,0.1533186253853937,100
OpenBMI,0,0,50,CROSS_SESSION_RELATION,0.63,0.63,0.6214833759590792,0.8662554633172934,100
OpenBMI,0,0,53,CROSS_SESSION_RELATION,0.8,0.8,0.797077922077922,0.48899485492036193,100
WBCIC,0,0,1,SUBJECT_BALANCED_ERM,0.9299999999999999,0.93,0.9299929992999301,0.2583269266181089,200
WBCIC,0,0,16,SUBJECT_BALANCED_ERM,0.53,0.53,0.5283018867924528,0.7773995284546145,200
WBCIC,0,0,19,SUBJECT_BALANCED_ERM,0.96,0.96,0.96,0.1394307775275021,200
WBCIC,0,0,21,SUBJECT_BALANCED_ERM,0.8300000000000001,0.83,0.8297275641025641,0.3556416473094383,200
WBCIC,0,0,28,SUBJECT_BALANCED_ERM,0.595,0.595,0.5874818568409259,0.6355747749727646,200
WBCIC,0,0,3,SUBJECT_BALANCED_ERM,0.8500000000000001,0.85,0.8497596153846154,0.3712621163031733,200
WBCIC,0,0,33,SUBJECT_BALANCED_ERM,0.935,0.935,0.9349853717086345,0.2096675204215812,200
WBCIC,0,0,37,SUBJECT_BALANCED_ERM,0.835,0.835,0.8349958748968724,0.4216348299113672,200
WBCIC,0,0,5,SUBJECT_BALANCED_ERM,0.76,0.76,0.7596153846153846,0.496858641539541,200
WBCIC,0,0,1,GENERIC_RESIDUAL,0.9299999999999999,0.93,0.9299929992999301,0.24940147217119613,200
WBCIC,0,0,16,GENERIC_RESIDUAL,0.525,0.525,0.5223130106851037,0.7893104217705124,200
WBCIC,0,0,19,GENERIC_RESIDUAL,0.96,0.96,0.96,0.13426624720327657,200
WBCIC,0,0,21,GENERIC_RESIDUAL,0.8300000000000001,0.83,0.8297275641025641,0.353710513802819,200
WBCIC,0,0,28,GENERIC_RESIDUAL,0.595,0.595,0.5874818568409259,0.6449657731266403,200
WBCIC,0,0,3,GENERIC_RESIDUAL,0.8500000000000001,0.85,0.8497596153846154,0.3669017468701105,200
WBCIC,0,0,33,GENERIC_RESIDUAL,0.935,0.935,0.9349853717086345,0.20383508511366968,200
WBCIC,0,0,37,GENERIC_RESIDUAL,0.835,0.835,0.8349958748968724,0.41928328385361513,200
WBCIC,0,0,5,GENERIC_RESIDUAL,0.76,0.76,0.7596153846153846,0.5064189008422013,200
WBCIC,0,0,1,GENERIC_PROTOTYPE,0.93,0.93,0.93,0.8916503715851387,200
WBCIC,0,0,16,GENERIC_PROTOTYPE,0.515,0.515,0.5059967915255532,6.9619515339257125,200
WBCIC,0,0,19,GENERIC_PROTOTYPE,0.965,0.965,0.9649991249781245,0.8206284492896618,200
WBCIC,0,0,21,GENERIC_PROTOTYPE,0.8300000000000001,0.83,0.8291628982011858,2.653291266341962,200
WBCIC,0,0,28,GENERIC_PROTOTYPE,0.6399999999999999,0.64,0.6390977443609023,5.537152630858623,200
WBCIC,0,0,3,GENERIC_PROTOTYPE,0.835,0.835,0.8346651970239736,2.62657991355556,200
WBCIC,0,0,33,GENERIC_PROTOTYPE,0.94,0.94,0.94,0.9978978518449813,200
WBCIC,0,0,37,GENERIC_PROTOTYPE,0.845,0.845,0.8449961249031226,2.5259612225235917,200
WBCIC,0,0,5,GENERIC_PROTOTYPE,0.74,0.74,0.7398959583833533,4.952566860328991,200
WBCIC,0,0,1,CROSS_SESSION_RELATION,0.93,0.93,0.93,0.21194484169546407,200
WBCIC,0,0,16,CROSS_SESSION_RELATION,0.535,0.535,0.5276190476190477,0.9484847863595037,200
WBCIC,0,0,19,CROSS_SESSION_RELATION,0.965,0.965,0.9649991249781245,0.11674514411195376,200
WBCIC,0,0,21,CROSS_SESSION_RELATION,0.8300000000000001,0.83,0.8291628982011858,0.37582321982642525,200
WBCIC,0,0,28,CROSS_SESSION_RELATION,0.6399999999999999,0.64,0.6390977443609023,0.7420912329286382,200
WBCIC,0,0,3,CROSS_SESSION_RELATION,0.8400000000000001,0.84,0.8395989974937343,0.4003848012002932,200
WBCIC,0,0,33,CROSS_SESSION_RELATION,0.94,0.94,0.94,0.18186789395729466,200
WBCIC,0,0,37,CROSS_SESSION_RELATION,0.85,0.85,0.84998499849985,0.41531046385718595,200
WBCIC,0,0,5,CROSS_SESSION_RELATION,0.74,0.74,0.7398959583833533,0.6406174556695897,200
