dataset,seed,fold,subject_id,summary_type,BA,accuracy,macro_F1,NLL,trials,seed_0_BA,seed_1_BA,seed_2_BA
WBCIC,all,0,33,primary_three_seed_probability_mean,0.965,0.965,0.9649921232277263,0.258114493006045,200,0.95,0.95,0.97
WBCIC,all,0,37,primary_three_seed_probability_mean,0.87,0.87,0.8699869986998701,0.43573193641217733,200,0.8200000000000001,0.86,0.855
WBCIC,all,0,5,primary_three_seed_probability_mean,0.74,0.74,0.7397657892102892,0.45099418340172875,200,0.745,0.73,0.75
WBCIC,all,1,11,primary_three_seed_probability_mean,0.6950000000000001,0.695,0.6948092557848655,0.522810532818648,200,0.6499999999999999,0.73,0.69
WBCIC,all,1,13,primary_three_seed_probability_mean,0.8500000000000001,0.85,0.8497596153846154,0.33012809506093865,200,0.81,0.84,0.865
WBCIC,all,1,18,primary_three_seed_probability_mean,0.645,0.645,0.6417669466939125,0.6142891689037705,200,0.655,0.6299999999999999,0.645
WBCIC,all,1,2,primary_three_seed_probability_mean,0.78,0.78,0.78,0.4740538529994909,200,0.765,0.745,0.765
WBCIC,all,1,27,primary_three_seed_probability_mean,0.645,0.645,0.6337846550612508,0.639464989667158,200,0.58,0.64,0.635
WBCIC,all,1,36,primary_three_seed_probability_mean,0.98,0.98,0.98,0.10272923714069158,200,0.98,0.975,0.985
WBCIC,all,1,44,primary_three_seed_probability_mean,0.8049999999999999,0.805,0.80389692017599,0.3924593515647469,200,0.79,0.8049999999999999,0.79
WBCIC,all,1,45,primary_three_seed_probability_mean,0.94,0.94,0.9399459513562206,0.16008008639410976,200,0.94,0.9450000000000001,0.95
WBCIC,all,2,22,primary_three_seed_probability_mean,0.745,0.745,0.7446872418712923,0.5311924298631575,200,0.7250000000000001,0.76,0.735
WBCIC,all,2,25,primary_three_seed_probability_mean,0.99,0.99,0.99,0.0487816069429762,200,0.995,0.98,0.99
WBCIC,all,2,26,primary_three_seed_probability_mean,0.69,0.69,0.6892230576441103,0.575070827628018,200,0.675,0.6799999999999999,0.645
WBCIC,all,2,29,primary_three_seed_probability_mean,0.885,0.885,0.8849741191768148,0.31076858731631946,200,0.885,0.835,0.885
WBCIC,all,2,34,primary_three_seed_probability_mean,0.585,0.585,0.5849066039858968,0.7350820600285707,200,0.565,0.595,0.52
WBCIC,all,2,35,primary_three_seed_probability_mean,0.945,0.945,0.9449986249656241,0.15590132987822983,200,0.935,0.955,0.945
WBCIC,all,2,49,primary_three_seed_probability_mean,0.925,0.925,0.9249981249531238,0.2104892167824842,200,0.91,0.905,0.935
WBCIC,all,2,9,primary_three_seed_probability_mean,0.625,0.625,0.6234089026135422,0.6394198820764405,200,0.605,0.615,0.615
WBCIC,all,3,23,primary_three_seed_probability_mean,0.965,0.965,0.9649781113195748,0.0807956572212629,200,0.965,0.965,0.975
WBCIC,all,3,24,primary_three_seed_probability_mean,0.9176136363636365,0.9179487179487179,0.9178428481145987,0.2137315967583289,195,0.9332386363636365,0.9023042929292929,0.912405303030303
WBCIC,all,3,30,primary_three_seed_probability_mean,0.87,0.87,0.87,0.3453192756164413,200,0.855,0.825,0.87
WBCIC,all,3,31,primary_three_seed_probability_mean,0.565,0.565,0.5618342524741256,0.7616657853081438,200,0.545,0.5800000000000001,0.5800000000000001
WBCIC,all,3,38,primary_three_seed_probability_mean,0.505,0.505,0.49714285714285716,0.7388775952877511,200,0.515,0.475,0.47500000000000003
WBCIC,all,3,41,primary_three_seed_probability_mean,0.845,0.845,0.8443423464135975,0.2946839745204321,200,0.845,0.8300000000000001,0.86
WBCIC,all,3,42,primary_three_seed_probability_mean,0.71,0.71,0.7097387648883995,0.5146256246706838,200,0.71,0.72,0.725
WBCIC,all,3,6,primary_three_seed_probability_mean,0.93,0.93,0.93,0.1565370791622873,200,0.915,0.9199999999999999,0.925
WBCIC,all,4,12,primary_three_seed_probability_mean,0.755,0.755,0.7527687378591791,0.4972197554728988,200,0.765,0.72,0.505
WBCIC,all,4,14,primary_three_seed_probability_mean,0.585,0.585,0.576087234096887,0.6905459771566504,200,0.585,0.5599999999999999,0.5
WBCIC,all,4,17,primary_three_seed_probability_mean,0.855,0.855,0.8549963749093727,0.39987166919376316,200,0.835,0.8400000000000001,0.5
WBCIC,all,4,32,primary_three_seed_probability_mean,0.6000000000000001,0.6,0.5985547972701726,0.6820937347505827,200,0.615,0.54,0.505
WBCIC,all,4,47,primary_three_seed_probability_mean,0.955,0.955,0.9549988749718743,0.31378904655565487,200,0.9299999999999999,0.96,0.5
WBCIC,all,4,48,primary_three_seed_probability_mean,0.785,0.785,0.784865540963102,0.47605390810824105,200,0.79,0.76,0.51
WBCIC,all,4,50,primary_three_seed_probability_mean,0.94,0.94,0.94,0.25771284700552277,200,0.9450000000000001,0.935,0.505
WBCIC,all,4,7,primary_three_seed_probability_mean,0.835,0.835,0.8342999171499585,0.43916261208935126,200,0.8200000000000001,0.79,0.5
