subject,metric,projector_id,random_metric,random_harm_pp
sub-01,WS_BA,64,0.55,28.999999999999993
sub-01,WS_BA,65,0.7649999999999999,7.500000000000007
sub-01,WS_BA,66,0.71,13.0
sub-01,WS_BA,67,0.545,29.499999999999993
sub-01,WS_BA,68,0.5,34.0
sub-01,WS_BA,69,0.7,14.000000000000002
sub-01,WS_BA,70,0.845,-0.5000000000000004
sub-01,WS_BA,71,0.815,2.500000000000002
sub-01,WS_BA,72,0.68,15.999999999999993
sub-01,WS_BA,73,0.5800000000000001,25.99999999999999
sub-01,WS_BA,74,0.81,2.9999999999999916
sub-01,WS_BA,75,0.7849999999999999,5.500000000000005
sub-01,WS_BA,76,0.5,34.0
sub-01,WS_BA,77,0.84,0.0
sub-01,WS_BA,78,0.56,27.999999999999993
sub-01,WS_BA,79,0.505,33.5
sub-01,WS_BA,80,0.9099999999999999,-6.999999999999995
sub-01,WS_BA,81,0.71,13.0
sub-01,WS_BA,82,0.5,34.0
sub-01,WS_BA,83,0.545,29.499999999999993
sub-01,WS_BA,84,0.85,-1.0000000000000009
sub-01,WS_BA,85,0.79,4.999999999999993
sub-01,WS_BA,86,0.52,31.999999999999996
sub-01,WS_BA,87,0.54,29.999999999999993
sub-01,WS_BA,88,0.5700000000000001,26.99999999999999
sub-01,WS_BA,89,0.87,-3.0000000000000027
sub-01,WS_BA,90,0.76,7.9999999999999964
sub-01,WS_BA,91,0.5,34.0
sub-01,WS_BA,92,0.76,7.9999999999999964
sub-01,WS_BA,93,0.595,24.5
sub-01,WS_BA,94,0.8300000000000001,0.9999999999999898
sub-01,WS_BA,95,0.6,24.0
sub-01,WS_BA,96,0.705,13.5
sub-01,WS_BA,97,0.745,9.499999999999996
sub-01,WS_BA,98,0.765,7.499999999999996
sub-01,WS_BA,99,0.745,9.499999999999996
sub-02,future_S2_BA,0,0.565,27.0
sub-02,future_S2_BA,1,0.79,4.499999999999993
sub-02,future_S2_BA,2,0.565,27.0
sub-02,future_S2_BA,3,0.66,17.499999999999993
sub-02,future_S2_BA,4,0.74,9.499999999999996
sub-02,future_S2_BA,5,0.74,9.499999999999996
sub-02,future_S2_BA,6,0.715,12.0
sub-02,future_S2_BA,7,0.57,26.5
sub-02,future_S2_BA,8,0.55,28.499999999999993
sub-02,future_S2_BA,9,0.8200000000000001,1.4999999999999902
sub-02,future_S2_BA,10,0.75,8.499999999999996
sub-02,future_S2_BA,11,0.7849999999999999,5.000000000000004
sub-02,future_S2_BA,12,0.6950000000000001,13.99999999999999
sub-02,future_S2_BA,13,0.58,25.5
sub-02,future_S2_BA,14,0.555,27.999999999999993
sub-02,future_S2_BA,15,0.705,13.0
sub-02,future_S2_BA,16,0.825,1.0000000000000009
sub-02,future_S2_BA,17,0.75,8.499999999999996
sub-02,future_S2_BA,18,0.505,32.99999999999999
sub-02,future_S2_BA,19,0.8049999999999999,3.0000000000000027
sub-02,future_S2_BA,20,0.745,8.999999999999996
sub-02,future_S2_BA,21,0.815,2.0000000000000018
sub-02,future_S2_BA,22,0.65,18.499999999999993
sub-02,future_S2_BA,23,0.6699999999999999,16.500000000000004
sub-02,future_S2_BA,24,0.5549999999999999,28.000000000000004
sub-02,future_S2_BA,25,0.82,1.5000000000000013
sub-02,future_S2_BA,26,0.59,24.5
sub-02,future_S2_BA,27,0.635,19.999999999999996
sub-02,future_S2_BA,28,0.765,6.999999999999995
sub-02,future_S2_BA,29,0.8500000000000001,-1.5000000000000124
sub-02,future_S2_BA,30,0.715,12.0
sub-02,future_S2_BA,31,0.845,-1.0000000000000009
sub-02,future_S2_BA,32,0.515,31.999999999999996
