pool,policy_family,method_id,fold_id,seed_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,32,200,0.95,0.95,0.9499949994999499,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,33,200,0.98,0.98,0.98,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,34,200,0.6699999999999999,0.67,0.6683750376846548,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,36,200,0.97,0.97,0.9699729756781104,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,37,200,0.985,0.985,0.9849966242404541,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,41,200,0.69,0.69,0.69,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,44,200,0.925,0.925,0.9247724366207779,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,47,200,0.8999999999999999,0.9,0.8998397435897436,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,49,200,0.79,0.79,0.7844827586206897,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,51,200,0.7050000000000001,0.705,0.7037483367226531,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,52,200,0.8,0.8,0.7992773986350863,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,54,200,0.655,0.655,0.6485956558274554,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,1,1,8,200,0.7849999999999999,0.785,0.7837837837837838,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,10,200,0.755,0.755,0.7548467792370231,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,11,200,0.675,0.675,0.6743405395926751,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,12,200,0.735,0.735,0.7330714411623983,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,13,200,0.645,0.645,0.6362611747227132,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,15,200,0.835,0.835,0.8347976270931892,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,19,200,0.81,0.81,0.8096955128205128,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,2,200,0.715,0.715,0.7118228468869283,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,20,200,0.87,0.87,0.87,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,23,200,0.8400000000000001,0.84,0.839421918908069,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,24,200,0.71,0.71,0.7023809523809523,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,27,200,0.8400000000000001,0.84,0.8398558702832549,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,3,200,0.91,0.91,0.9099639855942376,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,31,200,0.7949999999999999,0.795,0.794377993430126,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,32,200,0.93,0.93,0.93,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,33,200,0.965,0.965,0.9649991249781245,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,36,200,0.975,0.975,0.9749943737340903,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,37,200,0.96,0.96,0.959983993597439,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,38,200,0.66,0.66,0.6392190152801358,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,40,200,0.7849999999999999,0.785,0.7845637415766928,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,41,200,0.625,0.625,0.6247654784240151,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,42,200,0.735,0.735,0.7344622861294121,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,43,200,0.8200000000000001,0.82,0.8197115384615384,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,45,200,0.835,0.835,0.8337991992143234,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,47,200,0.88,0.88,0.88,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,48,200,0.745,0.745,0.7435575109993715,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,50,200,0.645,0.645,0.6324195594211902,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,0,8,200,0.8,0.8,0.797979797979798,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,10,200,0.79,0.79,0.78997899789979,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,11,200,0.6950000000000001,0.695,0.6948092557848655,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,12,200,0.78,0.78,0.7749360613810742,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,13,200,0.71,0.71,0.7033248081841432,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,15,200,0.88,0.88,0.8799519807923168,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,19,200,0.845,0.845,0.8435883851762154,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,2,200,0.835,0.835,0.8346651970239736,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,20,200,0.88,0.88,0.8796992481203008,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,23,200,0.89,0.89,0.889823717948718,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,24,200,0.7,0.7,0.6956168831168831,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,27,200,0.87,0.87,0.8693598633303186,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,3,200,0.915,0.915,0.9149808706959066,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,31,200,0.8300000000000001,0.83,0.8298468621759583,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,32,200,0.9450000000000001,0.945,0.9449656035021888,False
exploration,KEEP_ONLY_ENSEMBLE,B0_TARGET_KEEP,2,1,33,200,0.985,0.985,0.9849996249906248,False
