pool,policy_family,method_id,fold_id,seed_id,subjects,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED,delta_balanced_accuracy_vs_target_keep,delta_balanced_accuracy_vs_best_ensemble,delta_accuracy_vs_target_keep,delta_accuracy_vs_best_ensemble,delta_macro_f1_vs_target_keep,delta_macro_f1_vs_best_ensemble,analysis_role
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,0,0,26,0.8478846153846153,0.8478846153846155,0.847049642558432,False,0.015576923076923044,-1.1102230246251565e-16,0.015576923076923155,0.0,0.015665767330443336,-1.0467502639555093e-05,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,0,1,26,0.8478846153846153,0.8478846153846155,0.847049642558432,False,0.017115384615384532,-1.1102230246251565e-16,0.017115384615384643,0.0,0.017897596158156337,-1.0467502639555093e-05,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,1,0,26,0.8546153846153846,0.8546153846153846,0.8537390744166508,False,0.01961538461538448,-0.00019230769230782485,0.01961538461538448,-0.00019230769230782485,0.02006625984020971,-0.00021329445404405512,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,1,1,26,0.8546153846153846,0.8546153846153846,0.8537390744166508,False,0.03826923076923061,-0.00019230769230782485,0.03826923076923061,-0.00019230769230782485,0.03930872022609544,-0.00021329445404405512,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,2,0,27,0.8444444444444444,0.8444444444444444,0.8424590323155554,False,0.04833333333333334,-0.00018518518518517713,0.04833333333333334,-0.00018518518518517713,0.04870746705969575,-0.00018027457357483456,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B4_ALL_RUN_PROBABILITY_MEAN,2,1,27,0.8444444444444444,0.8444444444444444,0.8424590323155554,False,0.01907407407407402,-0.00018518518518517713,0.01907407407407402,-0.00018518518518517713,0.019036224568239946,-0.00018027457357483456,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,0,0,26,0.8390384615384616,0.8390384615384616,0.8378995221800682,False,0.006730769230769318,-0.008846153846153837,0.006730769230769318,-0.008846153846153837,0.006515646952079623,-0.009160587881003268,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,0,1,26,0.8388461538461538,0.8388461538461538,0.8379487588588592,False,0.008076923076922982,-0.009038461538461662,0.008076923076922982,-0.009038461538461662,0.0087967124585836,-0.009111351202212292,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,1,0,26,0.8480769230769231,0.8480769230769231,0.8469569411815474,False,0.013076923076922986,-0.006730769230769318,0.013076923076922986,-0.006730769230769318,0.013284126605106361,-0.006995427689147404,SEPARATE_POOL_AUDIT
exploration,KEEP_ONLY_ENSEMBLE,B5_OTHER_RUN_LOGIT_MEAN,1,1,26,0.8565384615384615,0.8565384615384615,0.8557783343239541,False,0.04019230769230753,0.0017307692307690914,0.04019230769230753,0.0017307692307690914,0.0413479801333988,0.001825965453259304,SEPARATE_POOL_AUDIT
