task,fold,role,direction,classification,group_argmax_alpha,peak_near_native_significant,peak_minus_alpha0_ci95_low,peak_minus_alpha2_ci95_low,subject_argmax_alpha_distribution,mean_margin_curve,biological_subjects,label_scope
OpenBMI_MI,0,inner_train,10,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 6, ""0.25"": 0, ""0.5"": 2, ""0.75"": 3, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 13}","[1.717305302619934, 1.7185982465744019, 1.7197339534759521, 1.7207082509994507, 1.7215244770050049, 1.7221875190734863, 1.722699522972107, 1.7232835292816162]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,11,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 8, ""0.25"": 0, ""0.5"": 1, ""0.75"": 2, ""1.0"": 1, ""1.25"": 1, ""1.5"": 0, ""2.0"": 13}","[1.7192193269729614, 1.7199463844299316, 1.7205748558044434, 1.721100926399231, 1.7215244770050049, 1.7218444347381592, 1.7220604419708252, 1.7221800088882446]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,12,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 0, ""0.5"": 2, ""0.75"": 2, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 10}","[1.721585988998413, 1.7217366695404053, 1.7217780351638794, 1.7217072248458862, 1.7215244770050049, 1.7212309837341309, 1.7208268642425537, 1.7196922302246094]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,13,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 1, ""0.5"": 2, ""0.75"": 2, ""1.0"": 1, ""1.25"": 1, ""1.5"": 0, ""2.0"": 8}","[1.7213560342788696, 1.7216459512710571, 1.7217724323272705, 1.7217326164245605, 1.7215244770050049, 1.721148133277893, 1.7206014394760132, 1.719003677368164]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,14,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 2, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 12}","[1.7214032411575317, 1.7216562032699585, 1.7217597961425781, 1.7217150926589966, 1.7215244770050049, 1.7211858034133911, 1.7207012176513672, 1.7193127870559692]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,15,NONMONOTONIC,0.75,False,-0.002121759345754981,-0.0024780146777629852,"{""0.0"": 12, ""0.25"": 0, ""0.5"": 1, ""0.75"": 1, ""1.0"": 0, ""1.25"": 2, ""1.5"": 1, ""2.0"": 9}","[1.7204039096832275, 1.721065640449524, 1.72147536277771, 1.721629023551941, 1.7215244770050049, 1.7211635112762451, 1.7205497026443481, 1.7185826301574707]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,0,NONMONOTONIC,0.25,False,nan,nan,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 0, ""0.75"": 1, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 2}","[1.56987726688385, 1.570203423500061, 1.5701996088027954, 1.5698579549789429, 1.5691760778427124, 1.5681556463241577, 1.5668054819107056, 1.563217043876648]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,1,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 1, ""0.25"": 0, ""0.5"": 0, ""0.75"": 1, ""1.0"": 0, ""1.25"": 1, ""1.5"": 0, ""2.0"": 3}","[1.559036135673523, 1.5619922876358032, 1.5646919012069702, 1.5670968294143677, 1.5691760778427124, 1.5709123611450195, 1.57229745388031, 1.5740042924880981]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,2,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 5, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 0}","[1.5723366737365723, 1.571982741355896, 1.5713356733322144, 1.570394515991211, 1.5691760778427124, 1.5677024126052856, 1.5659886598587036, 1.5619302988052368]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,3,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 4, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 2}","[1.5704482793807983, 1.5703307390213013, 1.570076584815979, 1.569689154624939, 1.5691760778427124, 1.5685447454452515, 1.5677995681762695, 1.5659903287887573]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,4,NONMONOTONIC,0.75,False,-0.0023438334465026855,-0.0036153991241008043,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 1}","[1.5686143636703491, 1.569097876548767, 1.5693470239639282, 1.5693691968917847, 1.5691760778427124, 1.5687795877456665, 1.5682028532028198, 1.5666022300720215]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,5,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 3}","[1.5645824670791626, 1.5659011602401733, 1.5671039819717407, 1.5681953430175781, 1.5691760778427124, 1.5700454711914062, 1.5708030462265015, 1.5719757080078125]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,6,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 0, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 6}","[1.549123764038086, 1.554722785949707, 1.5599441528320312, 1.5647697448730469, 1.5691760778427124, 1.573135495185852, 1.5766299962997437, 1.5822206735610962]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,7,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 0, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 6}","[1.5565024614334106, 1.559923529624939, 1.56317937374115, 1.566263198852539, 1.5691760778427124, 1.5719133615493774, 1.574464201927185, 1.5790168046951294]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,8,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 0, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 6}","[1.5259987115859985, 1.5379362106323242, 1.5491361618041992, 1.5595608949661255, 1.5691760778427124, 1.578009009361267, 1.5861536264419556, 1.600603699684143]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,9,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 4, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 2}","[1.5729509592056274, 1.572488784790039, 1.57171630859375, 1.570614218711853, 1.5691760778427124, 1.5674196481704712, 1.565360188484192, 1.5603641271591187]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,10,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 3}","[1.5716606378555298, 1.5712509155273438, 1.5707001686096191, 1.5700092315673828, 1.5691760778427124, 1.5682005882263184, 1.567086100578308, 1.5644570589065552]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,11,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 5, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 0}","[1.57468843460083, 1.5734272003173828, 1.572087287902832, 1.5706697702407837, 1.5691760778427124, 1.567605972290039, 1.5659599304199219, 1.562447190284729]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,12,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 1, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 2}","[1.565786361694336, 1.5668288469314575, 1.5677424669265747, 1.5685256719589233, 1.5691760778427124, 1.5696929693222046, 1.570076584815979, 1.5704535245895386]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,13,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 6, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 0}","[1.5763860940933228, 1.5748153924942017, 1.5730897188186646, 1.57120943069458, 1.5691760778427124, 1.5669933557510376, 1.564663052558899, 1.559572696685791]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,14,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 2}","[1.5692834854125977, 1.5693994760513306, 1.5694208145141602, 1.5693469047546387, 1.5691760778427124, 1.5689090490341187, 1.5685476064682007, 1.56753671169281]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,discovery,15,NONMONOTONIC,1.0,False,-0.0061594643630087376,-0.0052453079260885715,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 3}","[1.5673078298568726, 1.568166732788086, 1.5687650442123413, 1.569101333618164, 1.5691760778427124, 1.5689886808395386, 1.5685396194458008, 1.5668734312057495]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,0,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 5, ""0.25"": 2, ""0.5"": 0, ""0.75"": 2, ""1.0"": 1, ""1.25"": 2, ""1.5"": 0, ""2.0"": 14}","[1.7490553855895996, 1.7506194114685059, 1.75193452835083, 1.7529886960983276, 1.7537884712219238, 1.7543524503707886, 1.754693865776062, 1.754781723022461]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,1,MONOTONIC_DECREASING,0.25,False,nan,nan,"{""0.0"": 15, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 9}","[1.7543799877166748, 1.754433274269104, 1.754361867904663, 1.7541539669036865, 1.7537884712219238, 1.7532637119293213, 1.7526112794876099, 1.750977873802185]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,2,FLAT,1.0,False,nan,nan,"{""0.0"": 11, ""0.25"": 0, ""0.5"": 1, ""0.75"": 1, ""1.0"": 1, ""1.25"": 1, ""1.5"": 0, ""2.0"": 11}","[1.7528340816497803, 1.7532341480255127, 1.7535284757614136, 1.7537131309509277, 1.7537884712219238, 1.7537572383880615, 1.7536180019378662, 1.7530192136764526]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,3,NONMONOTONIC,0.25,False,nan,nan,"{""0.0"": 13, ""0.25"": 1, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 1, ""1.5"": 1, ""2.0"": 10}","[1.7544435262680054, 1.7545477151870728, 1.7544745206832886, 1.7542222738265991, 1.7537884712219238, 1.7531588077545166, 1.7523455619812012, 1.7502459287643433]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,4,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 4, ""0.25"": 1, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 2, ""2.0"": 19}","[1.736889362335205, 1.741687297821045, 1.746114730834961, 1.750150442123413, 1.7537884712219238, 1.7570449113845825, 1.7599400281906128, 1.7647311687469482]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,5,NONMONOTONIC,0.25,False,nan,nan,"{""0.0"": 11, ""0.25"": 1, ""0.5"": 3, ""0.75"": 3, ""1.0"": 0, ""1.25"": 2, ""1.5"": 1, ""2.0"": 5}","[1.7543301582336426, 1.7544879913330078, 1.754454255104065, 1.7542216777801514, 1.7537884712219238, 1.7531554698944092, 1.752327561378479, 1.7501438856124878]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,6,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 2, ""0.5"": 2, ""0.75"": 1, ""1.0"": 2, ""1.25"": 1, ""1.5"": 0, ""2.0"": 7}","[1.753995418548584, 1.7541725635528564, 1.7541987895965576, 1.754070520401001, 1.7537884712219238, 1.7533557415008545, 1.752773404121399, 1.7511837482452393]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,7,FLAT,1.0,False,nan,nan,"{""0.0"": 11, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 15}","[1.753286600112915, 1.7535297870635986, 1.7536970376968384, 1.7537846565246582, 1.7537884712219238, 1.7537052631378174, 1.7535392045974731, 1.7529860734939575]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,8,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 4, ""0.25"": 1, ""0.5"": 2, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 2, ""2.0"": 17}","[1.742614507675171, 1.7457225322723389, 1.748624324798584, 1.7513141632080078, 1.7537884712219238, 1.7560486793518066, 1.7581000328063965, 1.7616238594055176]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,9,NONMONOTONIC,0.75,False,-0.0021855339873582125,-0.002737418282777071,"{""0.0"": 13, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 1, ""1.5"": 2, ""2.0"": 10}","[1.7531229257583618, 1.7535851001739502, 1.7538485527038574, 1.7539149522781372, 1.7537884712219238, 1.7534737586975098, 1.7529754638671875, 1.751442790031433]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,10,NONMONOTONIC,0.25,False,nan,nan,"{""0.0"": 10, ""0.25"": 1, ""0.5"": 1, ""0.75"": 2, ""1.0"": 1, ""1.25"": 0, ""1.5"": 0, ""2.0"": 11}","[1.7546442747116089, 1.7547614574432373, 1.754662275314331, 1.7543413639068604, 1.7537884712219238, 1.7530030012130737, 1.7519861459732056, 1.74929678440094]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,11,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 6, ""0.25"": 0, ""0.5"": 1, ""0.75"": 1, ""1.0"": 1, ""1.25"": 0, ""1.5"": 0, ""2.0"": 17}","[1.7490131855010986, 1.7504101991653442, 1.7516734600067139, 1.7528002262115479, 1.7537884712219238, 1.754637598991394, 1.7553467750549316, 1.7563557624816895]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,12,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 11, ""0.25"": 3, ""0.5"": 1, ""0.75"": 1, ""1.0"": 2, ""1.25"": 0, ""1.5"": 1, ""2.0"": 7}","[1.7546775341033936, 1.7545394897460938, 1.7543470859527588, 1.7540982961654663, 1.7537884712219238, 1.753415584564209, 1.75298011302948, 1.7519428730010986]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,13,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 2, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 1, ""1.5"": 0, ""2.0"": 22}","[1.7471750974655151, 1.748945951461792, 1.7506389617919922, 1.7522526979446411, 1.7537884712219238, 1.7552464008331299, 1.7566250562667847, 1.7591370344161987]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,14,NONMONOTONIC,1.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 2, ""2.0"": 12}","[1.7512340545654297, 1.7521196603775024, 1.7528436183929443, 1.7534008026123047, 1.7537884712219238, 1.7540040016174316, 1.7540446519851685, 1.7536081075668335]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,inner_train,15,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 17, ""0.25"": 2, ""0.5"": 1, ""0.75"": 0, ""1.0"": 1, ""1.25"": 2, ""1.5"": 0, ""2.0"": 3}","[1.7555769681930542, 1.755249261856079, 1.7548422813415527, 1.7543551921844482, 1.7537884712219238, 1.7531369924545288, 1.7523972988128662, 1.750662088394165]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,0,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 1, ""0.25"": 2, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 3}","[1.8790960311889648, 1.880566954612732, 1.881816029548645, 1.88284432888031, 1.883655071258545, 1.8842483758926392, 1.8846373558044434, 1.88481867313385]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,1,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 1, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 0, ""2.0"": 4}","[1.8835244178771973, 1.883673071861267, 1.8837441205978394, 1.8837388753890991, 1.883655071258545, 1.8834940195083618, 1.8832584619522095, 1.8825763463974]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,2,FLAT,0.75,False,nan,nan,"{""0.0"": 2, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 2}","[1.883384108543396, 1.8835529088974, 1.8836547136306763, 1.8836885690689087, 1.883655071258545, 1.8835538625717163, 1.8833842277526855, 1.882849097251892]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,3,NONMONOTONIC,1.5,False,nan,nan,"{""0.0"": 2, ""0.25"": 1, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 3}","[1.8814120292663574, 1.8821369409561157, 1.8827565908432007, 1.8832677602767944, 1.883655071258545, 1.8839077949523926, 1.8840216398239136, 1.8838415145874023]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,4,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 0, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 5}","[1.870069146156311, 1.8740397691726685, 1.8776354789733887, 1.8808420896530151, 1.883655071258545, 1.8860845565795898, 1.8881524801254272, 1.8913240432739258]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,5,NONMONOTONIC,1.0,False,-0.0026638905983418226,-0.0009282628889195621,"{""0.0"": 3, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 2}","[1.8824273347854614, 1.8830132484436035, 1.8834208250045776, 1.8836382627487183, 1.883655071258545, 1.8834632635116577, 1.883064866065979, 1.881723403930664]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,6,FLAT,1.0,False,nan,nan,"{""0.0"": 2, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 2, ""1.5"": 0, ""2.0"": 2}","[1.882805347442627, 1.883150577545166, 1.8834104537963867, 1.8835817575454712, 1.883655071258545, 1.8836246728897095, 1.8834882974624634, 1.8828810453414917]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,7,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 0, ""0.25"": 1, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 5}","[1.8793944120407104, 1.8805294036865234, 1.8816150426864624, 1.8826541900634766, 1.883655071258545, 1.884626030921936, 1.8855756521224976, 1.8874133825302124]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,8,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 1, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 0, ""2.0"": 5}","[1.8622488975524902, 1.8678487539291382, 1.8732870817184448, 1.8785589933395386, 1.883655071258545, 1.8885722160339355, 1.8933067321777344, 1.9022268056869507]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,discovery,9,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 2, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 3}","[1.8774484395980835, 1.879215121269226, 1.880843162536621, 1.8823251724243164, 1.883655071258545, 1.8848284482955933, 1.8858429193496704, 1.8874025344848633]",6,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
