dataset,model,outer_fold,seed,learning_rate,weight_decay,selected_epoch,validation_balanced_accuracy
hmc,labram,3,2,0.001,0.0,30,0.49818984466681043
hmc,labram,3,3,0.001,0.0,30,0.5206344472001629
hmc,labram,3,4,0.001,0.0,25,0.5319000224109759
hmc,labram,4,0,0.001,0.0,30,0.5337165720219131
hmc,labram,4,1,0.001,0.0,11,0.3941245072445723
hmc,labram,4,2,0.001,0.0,30,0.502272000046942
hmc,labram,4,3,0.001,0.0,30,0.5143438556419313
hmc,labram,4,4,0.001,0.0,28,0.5485421532680845
hmc,biot,0,0,0.001,0.0,20,0.5519395550043472
hmc,biot,0,1,0.001,0.0,24,0.5618327465051979
hmc,biot,0,2,0.001,0.0,16,0.4652150730752996
hmc,biot,0,3,0.001,0.0,27,0.5351240355368649
hmc,biot,0,4,0.001,0.0,20,0.521022883339771
hmc,biot,1,0,0.001,0.0,23,0.5451585526031005
hmc,biot,1,1,0.001,0.0,30,0.5512186742882363
hmc,biot,1,2,0.001,0.0,6,0.3260341201602005
hmc,biot,1,3,0.001,0.0,30,0.5509568547541166
hmc,biot,1,4,0.001,0.0,19,0.5737062191101809
hmc,biot,2,0,0.001,0.0,30,0.5352504428097327
hmc,biot,2,1,0.001,0.0,30,0.5099801169327347
hmc,biot,2,2,0.001,0.0,5,0.30093308985440237
hmc,biot,2,3,0.001,0.0,30,0.5007521100494847
hmc,biot,2,4,0.001,0.0,30,0.5053312204841438
hmc,biot,3,0,0.001,0.0,21,0.5291692955453615
hmc,biot,3,1,0.001,0.0,30,0.5561614336767489
hmc,biot,3,2,0.0003,0.0,18,0.35652420393177875
hmc,biot,3,3,0.001,0.0,30,0.5307760004726434
hmc,biot,3,4,0.001,0.0,11,0.5011442313600554
hmc,biot,4,0,0.001,0.0,20,0.5374963173411498
hmc,biot,4,1,0.001,0.0,16,0.5454216380668472
hmc,biot,4,2,0.001,0.0,6,0.3426601638372385
hmc,biot,4,3,0.001,0.0,30,0.49203034435387016
hmc,biot,4,4,0.001,0.0,18,0.4943864140791277
eegmmidb,cbramod,0,0,0.001,0.0,10,0.2671909218456666
eegmmidb,cbramod,0,1,0.001,0.0,12,0.2700294873186218
eegmmidb,cbramod,0,2,0.0003,0.0,14,0.2795899314622926
eegmmidb,cbramod,0,3,0.001,0.0,6,0.25524164152617385
eegmmidb,cbramod,0,4,0.001,0.0,14,0.27279322020113134
eegmmidb,cbramod,1,0,0.001,0.0,19,0.2641421269772638
eegmmidb,cbramod,1,1,0.0003,0.0,3,0.26770471871874807
eegmmidb,cbramod,1,2,0.001,0.0,3,0.25931086790015856
eegmmidb,cbramod,1,3,0.0003,0.0,6,0.2604005602945502
eegmmidb,cbramod,1,4,0.0001,0.0,1,0.2490954789259594
eegmmidb,cbramod,2,0,0.0001,0.0,5,0.26421346871851603
eegmmidb,cbramod,2,1,0.001,0.0,16,0.2800023705576737
eegmmidb,cbramod,2,2,0.0003,0.0,2,0.2609440745935481
eegmmidb,cbramod,2,3,0.001,0.0,6,0.2934701013413405
eegmmidb,cbramod,2,4,0.0003,0.0,4,0.2514667825605974
eegmmidb,cbramod,3,0,0.001,0.0,16,0.2941045548214971
eegmmidb,cbramod,3,1,0.0001,0.0,4,0.2624192406702316
eegmmidb,cbramod,3,2,0.0003,0.0,10,0.26682861896950083
eegmmidb,cbramod,3,3,0.0001,0.0,1,0.2654518302011847
eegmmidb,cbramod,3,4,0.001,0.0,13,0.27252897550245864
eegmmidb,cbramod,4,0,0.001,0.0,11,0.27173969422164473
eegmmidb,cbramod,4,1,0.001,0.0,14,0.27491429160337433
eegmmidb,cbramod,4,2,0.001,0.0,22,0.2906834222731434
eegmmidb,cbramod,4,3,0.001,0.0,7,0.26123297704556003
eegmmidb,cbramod,4,4,0.0001,0.0,5,0.29050965121661465
eegmmidb,labram,0,0,0.001,0.0,4,0.25637618652218325
eegmmidb,labram,0,1,0.0001,0.0,6,0.2545715676728335
eegmmidb,labram,0,2,0.001,0.0,7,0.2596559309681543
eegmmidb,labram,0,3,0.001,0.0,6,0.26406986213066996
eegmmidb,labram,0,4,0.001,0.0,5,0.25884742669225264
eegmmidb,labram,1,0,0.001,0.0,3,0.2686423657489294
eegmmidb,labram,1,1,0.0001,0.0,1,0.25
eegmmidb,labram,1,2,0.001,0.0,10,0.2665205223503639
eegmmidb,labram,1,3,0.0001,0.0,1,0.25
eegmmidb,labram,1,4,0.0003,0.0,10,0.2674188294223108
eegmmidb,labram,2,0,0.0001,0.0,11,0.2486863159558286
eegmmidb,labram,2,1,0.001,0.0,6,0.278041721815057
eegmmidb,labram,2,2,0.0001,0.0,1,0.25
eegmmidb,labram,2,3,0.001,0.0,8,0.25343236996503427
eegmmidb,labram,2,4,0.001,0.0,23,0.2713646510341558
eegmmidb,labram,3,0,0.001,0.0,8,0.27181616789204643
eegmmidb,labram,3,1,0.001,0.0,5,0.2524253658842546
eegmmidb,labram,3,2,0.0001,0.0,1,0.25
eegmmidb,labram,3,3,0.001,0.0,4,0.2519549987691857
eegmmidb,labram,3,4,0.001,0.0,4,0.2657368751954333
eegmmidb,labram,4,0,0.0001,0.0,6,0.2600076594372329
eegmmidb,labram,4,1,0.0003,0.0,15,0.2531102068061705
eegmmidb,labram,4,2,0.001,0.0,17,0.26755164951821003
eegmmidb,labram,4,3,0.0001,0.0,1,0.25
eegmmidb,labram,4,4,0.0003,0.0,5,0.2545809143686502
eegmmidb,biot,0,0,0.0003,0.0,16,0.2727222155711902
eegmmidb,biot,0,1,0.0003,0.0,5,0.2666126615689631
eegmmidb,biot,0,2,0.0003,0.0,6,0.25799563212812426
eegmmidb,biot,0,3,0.001,0.0,7,0.26840037589334076
eegmmidb,biot,0,4,0.0003,0.0,8,0.2802911674317531
eegmmidb,biot,1,0,0.001,0.0,4,0.26024419618491845
eegmmidb,biot,1,1,0.001,0.0,1,0.277181495878614
eegmmidb,biot,1,2,0.001,0.0,5,0.2682772122862577
eegmmidb,biot,1,3,0.001,0.0,3,0.28047972836429325
eegmmidb,biot,1,4,0.0001,0.0,8,0.2777251513571135
eegmmidb,biot,2,0,0.001,0.0,4,0.259304438869244
eegmmidb,biot,2,1,0.0003,0.0,12,0.2771083147310405
eegmmidb,biot,2,2,0.001,0.0,5,0.26124039430275975
eegmmidb,biot,2,3,0.001,0.0,10,0.2584846210070919
eegmmidb,biot,2,4,0.0001,0.0,5,0.27164615475790677
eegmmidb,biot,3,0,0.0003,0.0,16,0.26360158699694036
eegmmidb,biot,3,1,0.0003,0.0,9,0.27409495303616643
eegmmidb,biot,3,2,0.001,0.0,7,0.2568078263660187
eegmmidb,biot,3,3,0.001,0.0,9,0.2652837528214633
eegmmidb,biot,3,4,0.0001,0.0,7,0.25455966964291526
eegmmidb,biot,4,0,0.001,0.0,7,0.25834057798921173
eegmmidb,biot,4,1,0.0001,0.0,5,0.2692686600218957
eegmmidb,biot,4,2,0.0003,0.0,8,0.260238689043621
eegmmidb,biot,4,3,0.0003,0.0,12,0.29114849592781933
eegmmidb,biot,4,4,0.001,0.0,1,0.2758753281048747
