model,fold,seed,protected_rank,active_rank,protected_coordinates,subject,protected_BA_S1,protected_BA_S2,random_BA_S1,random_BA_S2,protected_only_WSBA,random_only_WSBA,PSWA_pp,random_draws,checkpoint_sha256,normalizer_sha256
SIRE-EEG,1,0,1,20,[3],sub-12,0.56,0.59,0.5115500000000001,0.51685,0.56,0.5005999999999999,5.940000000000012,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
EEGNet,2,0,2,20,"[0, 3]",sub-01,0.855,0.85,0.6081,0.6195499999999999,0.85,0.5900500000000001,25.99499999999999,100,d2a19fb6287b0275c7a7a3b2cef15737a75699aa17076958a053587c87e559b3,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9
EEGNet,2,0,2,20,"[0, 3]",sub-04,0.8300000000000001,0.67,0.5570499999999999,0.5478000000000001,0.67,0.531,13.900000000000002,100,d2a19fb6287b0275c7a7a3b2cef15737a75699aa17076958a053587c87e559b3,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9
SIRE-EEG,2,0,3,20,"[0, 1, 2]",sub-01,0.75,0.81,0.6121500000000001,0.6168,0.75,0.5884,16.159999999999997,100,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9
SIRE-EEG,2,0,3,20,"[0, 1, 2]",sub-04,0.815,0.6950000000000001,0.59875,0.5775,0.6950000000000001,0.5637,13.130000000000008,100,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9
EEGNet,3,0,2,20,"[0, 1]",sub-07,0.535,0.56,0.5111000000000001,0.5072,0.535,0.49339999999999995,4.160000000000008,100,6c7e788bf233aee9562bb433e7e99392b6bfe054e53c09e9716ab359916096ce,09e8c6d6ac4fb3bc189642321bc4dbb0e406a0f74c5e06a37de0ece1e81d5a58
EEGNet,3,0,2,20,"[0, 1]",sub-11,0.56,0.5,0.51055,0.5151,0.5,0.49729999999999996,0.27000000000000357,100,6c7e788bf233aee9562bb433e7e99392b6bfe054e53c09e9716ab359916096ce,09e8c6d6ac4fb3bc189642321bc4dbb0e406a0f74c5e06a37de0ece1e81d5a58
SIRE-EEG,3,0,3,20,"[0, 2, 3]",sub-07,0.485,0.45999999999999996,0.5189,0.5198,0.45999999999999996,0.4993,-3.930000000000006,100,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,09e8c6d6ac4fb3bc189642321bc4dbb0e406a0f74c5e06a37de0ece1e81d5a58
SIRE-EEG,3,0,3,20,"[0, 2, 3]",sub-11,0.525,0.53,0.5191,0.51175,0.525,0.49689999999999995,2.8100000000000067,100,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,09e8c6d6ac4fb3bc189642321bc4dbb0e406a0f74c5e06a37de0ece1e81d5a58
EEGNet,4,0,2,20,"[0, 1]",sub-02,0.765,0.7949999999999999,0.5308999999999999,0.5579,0.765,0.5224,24.260000000000005,100,8fac1376e380ed4fe9bf74366bd5cf6200b7b7d475fe59cf5c2e870ef87082c6,45abbf2347ce5878f8fdca522044914d06f947c13125842892a6a6eff1ad2f01
EEGNet,4,0,2,20,"[0, 1]",sub-09,0.54,0.6,0.5347000000000002,0.5291,0.54,0.5115,2.850000000000008,100,8fac1376e380ed4fe9bf74366bd5cf6200b7b7d475fe59cf5c2e870ef87082c6,45abbf2347ce5878f8fdca522044914d06f947c13125842892a6a6eff1ad2f01
SIRE-EEG,4,0,2,20,"[4, 5]",sub-02,0.7749999999999999,0.69,0.6106999999999999,0.63035,0.69,0.596,9.399999999999997,100,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45abbf2347ce5878f8fdca522044914d06f947c13125842892a6a6eff1ad2f01
SIRE-EEG,4,0,2,20,"[4, 5]",sub-09,0.565,0.605,0.5225,0.5422499999999999,0.565,0.50545,5.954999999999999,100,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45abbf2347ce5878f8fdca522044914d06f947c13125842892a6a6eff1ad2f01
