task,seed,fold,epoch,inner_val_BA,inner_val_macro_F1,inner_val_accuracy,delta_BA_vs_epoch0_pp,dW_norm,db_norm,residual_logit_norm_mean,residual_logit_norm_max,base_final_logit_cosine_mean,changed_prediction_percentage,training_CE,regularization_term,selected_at_epoch
WBCIC_MI,0,2,2,0.889,0.8889231978740095,0.889,-0.7000000000000117,0.021994328126311302,0.002832301426678896,0.10195194184780121,1.1342427730560303,0.9860872030258179,2.3,0.30212258776893436,4.1261006563308085e-09,False
WBCIC_MI,0,2,3,0.89,0.8899322409781358,0.89,-0.6000000000000116,0.022280322387814522,0.003081846982240677,0.09885426610708237,1.0754972696304321,0.9866653680801392,2.1999999999999997,0.30208529705225035,6.432775553987685e-09,False
WBCIC_MI,0,2,4,0.891,0.8909326159875111,0.891,-0.5000000000000115,0.02249029092490673,0.003293979214504361,0.09054820239543915,0.9510132074356079,0.9882495403289795,2.1,0.3020533475914011,7.0570496355564794e-09,False
WBCIC_MI,0,2,5,0.891,0.8909326159875111,0.891,-0.5000000000000115,0.023991864174604416,0.0035573672503232956,0.08614382147789001,0.8753246665000916,0.9892096519470215,2.1,0.3020517118247219,7.796792732375446e-09,False
WBCIC_MI,0,2,6,0.89,0.8899322409781358,0.89,-0.6000000000000116,0.02817765437066555,0.004130666609853506,0.09675426036119461,0.9707183241844177,0.9872382283210754,2.1999999999999997,0.3019956664670614,9.990252648811954e-09,False
WBCIC_MI,0,3,0,0.759,0.7587950445753828,0.759,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3328680396080017,0.0,True
WBCIC_MI,0,3,1,0.759,0.7587950445753828,0.759,0.0,0.005447555799037218,0.001101042376831174,0.005413400940597057,0.014314078725874424,0.9997960329055786,0.0,0.33424814493693716,2.6814161642373425e-10,False
WBCIC_MI,0,3,2,0.759,0.7587950445753828,0.759,0.0,0.0069509707391262054,0.0022111162543296814,0.006736003793776035,0.018551085144281387,0.9995976090431213,0.0,0.3326791919941126,1.5057001366599817e-09,False
WBCIC_MI,0,3,3,0.759,0.7587950445753828,0.759,0.0,0.0074980007484555244,0.0033608463127166033,0.0035999559331685305,0.01582805998623371,0.9999485611915588,0.0,0.3326441756365567,3.913299811729381e-09,False
WBCIC_MI,0,3,4,0.758,0.757788568768423,0.758,-0.10000000000000009,0.008132405579090118,0.004670244641602039,0.002466585487127304,0.00970588531345129,0.9999745488166809,0.1,0.33260462777588956,8.477057119331767e-09,False
WBCIC_MI,0,3,5,0.759,0.7587805411371236,0.759,0.0,0.00938986986875534,0.005848691798746586,0.0065483166836202145,0.009332852438092232,0.9998756051063538,0.2,0.3325577093962283,1.4276393942271793e-08,False
WBCIC_MI,0,4,0,0.766,0.7659559316392934,0.766,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24295777082443237,0.0,True
WBCIC_MI,0,4,1,0.7649999999999999,0.7649233149828355,0.7649999999999999,-0.10000000000001119,0.021454092115163803,0.0020595116075128317,0.09241441637277603,0.6561664342880249,0.9903613924980164,1.5,0.24163181050352123,1.099052530713938e-09,False
WBCIC_MI,0,4,2,0.765,0.7647632857860432,0.765,-0.10000000000000009,0.038346488028764725,0.003769770497456193,0.16615526378154755,1.1750553846359253,0.9806872010231018,2.7,0.24005711643680328,7.81808292408744e-09,False
WBCIC_MI,0,4,3,0.763,0.7627004154014628,0.7629999999999999,-0.30000000000000027,0.047171954065561295,0.004737457260489464,0.2050495743751526,1.4440555572509766,0.9739076495170593,3.5000000000000004,0.23963577398334282,1.6270875648317278e-08,False
WBCIC_MI,0,4,4,0.76,0.759652287740152,0.76,-0.6000000000000005,0.05068003386259079,0.0053420052863657475,0.22054030001163483,1.5370820760726929,0.9709702730178833,3.8,0.23962266282506917,2.253751145711026e-08,False
WBCIC_MI,0,4,5,0.76,0.759652287740152,0.76,-0.6000000000000005,0.050596125423908234,0.005466367583721876,0.21771711111068726,1.5045723915100098,0.9715896248817444,3.8,0.2395937871700409,2.4681215869581196e-08,False
