pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,12,200,0.865,0.865,0.8649966249156229,0.835,0.835,0.8349628666449951,0.030000000000000027,0.030000000000000027,0.03003375827062782,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,13,200,0.765,0.765,0.7599530120789602,0.71,0.71,0.705762987012987,0.05500000000000005,0.05500000000000005,0.054190025065973146,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,15,200,0.915,0.915,0.9148275257396228,0.9099999999999999,0.91,0.9097744360902256,0.0050000000000001155,0.0050000000000000044,0.005053089649397213,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,16,200,0.9,0.9,0.8999599839935974,0.885,0.885,0.8849741191768148,0.015000000000000013,0.015000000000000013,0.014985864816782657,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,18,200,0.935,0.935,0.9348027784046742,0.9099999999999999,0.91,0.9094202898550725,0.025000000000000133,0.025000000000000022,0.02538248854960168,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,19,200,0.8999999999999999,0.9,0.8998397435897436,0.85,0.85,0.8487750781328763,0.04999999999999993,0.050000000000000044,0.051064665456867275,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,2,200,0.87,0.87,0.8697916666666667,0.825,0.825,0.8249956248906223,0.04500000000000004,0.04500000000000004,0.04479604177604446,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,20,200,0.9099999999999999,0.91,0.9097744360902256,0.8999999999999999,0.9,0.899749373433584,0.010000000000000009,0.010000000000000009,0.010025062656641603,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,23,200,0.9299999999999999,0.93,0.9299369432489241,0.91,0.91,0.9099639855942376,0.019999999999999907,0.020000000000000018,0.01997295765468643,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,24,200,0.7050000000000001,0.705,0.6977381592766208,0.69,0.69,0.6807743795695603,0.015000000000000124,0.015000000000000013,0.016963779707060422,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,25,200,0.905,0.905,0.9041348167209062,0.875,0.875,0.8744696342045141,0.030000000000000027,0.030000000000000027,0.029665182516392163,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,26,200,0.88,0.88,0.8798919027124412,0.85,0.85,0.85,0.030000000000000027,0.030000000000000027,0.029891902712441243,False
