fold,seed,inner_fold,run,kind,draw,subject,n_trials,logit_rms,logit_rms_over_train_margin,margin_displacement,flip_rate,total_variation,js_divergence,q_movement_relative
0,0,0,0_0,matched_random,11,42,200,0.021973139647921153,0.014743152247936306,0.02644830697759365,0.005,0.004185621771517619,1.9146176650251108e-05,0.1652483195066452
0,0,0,0_0,matched_random,11,43,200,0.02262905529519606,0.015183247036597632,0.027268315779510884,0.005833333333333334,0.003876728986912794,1.8029154002474506e-05,0.1652483195066452
0,0,0,0_0,matched_random,12,7,200,0.016005547193275193,0.010739121621352403,0.017245117265653486,0.005416666666666667,0.0030880878469557865,1.1381616159164679e-05,0.1652483195066452
0,0,0,0_0,matched_random,12,16,200,0.016698856997389124,0.011204306486183754,0.01789303722868984,0.0016666666666666668,0.001996624886844674,7.747332460458891e-06,0.1652483195066452
0,0,0,0_0,matched_random,12,24,200,0.015776296717769065,0.010585303154012057,0.016947805287782104,0.007083333333333333,0.0030660630421019365,1.1310494595508624e-05,0.1652483195066452
0,0,0,0_0,matched_random,12,37,200,0.01623509358566826,0.010893138637820767,0.01733682208073636,0.0008333333333333334,0.0010408180461127217,3.915302442163701e-06,0.1652483195066452
0,0,0,0_0,matched_random,12,41,200,0.01617344790798097,0.010851776701104685,0.017407130722422153,0.0125,0.003741181935600751,1.4022531008990026e-05,0.1652483195066452
0,0,0,0_0,matched_random,12,42,200,0.015818230628065023,0.010613439234415255,0.016938377653714268,0.0025,0.0026807335785378897,9.920239389621532e-06,0.1652483195066452
0,0,0,0_0,matched_random,12,43,200,0.016446103927418937,0.011034718659800631,0.017703264199662953,0.005833333333333334,0.002516989501620245,9.520618971951175e-06,0.1652483195066452
0,0,0,0_0,matched_random,13,7,200,0.016070986273497834,0.010783028788837164,0.019245950634358452,0.0075,0.003447349154374301,1.1496742783298676e-05,0.1652483195066452
0,0,0,0_0,matched_random,13,16,200,0.01671834029711471,0.011217379049265274,0.02001745575806126,0.0008333333333333334,0.0022347391225073735,7.796866848308188e-06,0.1652483195066452
0,0,0,0_0,matched_random,13,24,200,0.015859309822886532,0.010641001832804942,0.018989637938793748,0.008333333333333333,0.003439206169487256,1.1456092447235334e-05,0.1652483195066452
0,0,0,0_0,matched_random,13,37,200,0.016182778797008114,0.010858037377536912,0.01934883259702474,0.0,0.001161388724227261,3.920751229040536e-06,0.1652483195066452
0,0,0,0_0,matched_random,13,41,200,0.016276695434998455,0.010921051917775221,0.01949441378082459,0.017083333333333332,0.004188678688914976,1.4200365622308367e-05,0.1652483195066452
0,0,0,0_0,matched_random,13,42,200,0.015844655611306845,0.010631169406676742,0.018963097426264237,0.00125,0.003002235468877932,9.963093814194043e-06,0.1652483195066452
0,0,0,0_0,matched_random,13,43,200,0.016546799675374518,0.011102281728466123,0.019827447007410227,0.0033333333333333335,0.0028184080782456132,9.657840661049771e-06,0.1652483195066452
0,0,0,0_0,matched_random,14,7,200,0.01968879235842636,0.013210440927851076,0.021874342862671863,0.009166666666666667,0.003921431965626128,1.7254181051411938e-05,0.1652483195066452
0,0,0,0_0,matched_random,14,16,200,0.020769915168071966,0.013935833768233347,0.023201121005695314,0.0016666666666666668,0.002590106113820086,1.2010629089139444e-05,0.1652483195066452
0,0,0,0_0,matched_random,14,24,200,0.019578773295204993,0.013136622264463051,0.021869651997306696,0.009166666666666667,0.00394571519943634,1.736992572275889e-05,0.1652483195066452
0,0,0,0_0,matched_random,14,37,200,0.02014099084739763,0.013513849146977416,0.022409541869225603,0.0008333333333333334,0.0013380274917921538,6.0063597049375386e-06,0.1652483195066452
0,0,0,0_0,matched_random,14,41,200,0.020121670369453334,0.013500885831201894,0.022522100942054143,0.01875,0.004840724701320528,2.1710089545594776e-05,0.1652483195066452
0,0,0,0_0,matched_random,14,42,200,0.019729879850962636,0.01323800909369603,0.02206084348494187,0.00375,0.0034900236446398776,1.5430142287926206e-05,0.1652483195066452
0,0,0,0_0,matched_random,14,43,200,0.02036313951653226,0.013662902568709898,0.02272955051312844,0.004166666666666667,0.0032338767253683905,1.4621809109868958e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,7,200,0.019558516222885087,0.01312303052900352,0.02459725565665091,0.008333333333333333,0.0044034463018496756,1.700668260794788e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,16,200,0.020508021423141377,0.013760112891919744,0.025723784505389632,0.00125,0.0028724805266327155,1.1728908288619866e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,24,200,0.01942951152163681,0.013036473214860986,0.024406256831716745,0.010416666666666666,0.004416416790470428,1.7151696084317305e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,37,200,0.01988101132952198,0.013339412645193822,0.024867645238991827,0.0004166666666666667,0.0014904493893169108,5.878233440835181e-06,0.1652483195066452
0,0,0,0_0,matched_random,15,41,200,0.019944635902265872,0.013382102346242613,0.025060088831620912,0.020416666666666666,0.005385538023365575,2.13301336526072e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,42,200,0.019534403284102057,0.01310685165182349,0.024472439317808795,0.0033333333333333335,0.0038763037000103676,1.5150551300349941e-05,0.1652483195066452
0,0,0,0_0,matched_random,15,43,200,0.02015929957249043,0.01352613361455164,0.02535088944947347,0.005,0.003603709362736654,1.4330385594744465e-05,0.1652483195066452
0,0,0,0_0,matched_random,16,7,200,0.016298394856723932,0.010935611415567389,0.01898447340276713,0.006666666666666667,0.0034001075289428486,1.1811497050036097e-05,0.1652483195066452
0,0,0,0_0,matched_random,16,16,200,0.01705682466308542,0.01144448935853437,0.020039089356238642,0.0004166666666666667,0.0022416748223531677,8.120679613201267e-06,0.1652483195066452
0,0,0,0_0,matched_random,16,24,200,0.01618568033141697,0.010859984198256567,0.019041964175024382,0.008333333333333333,0.0034408919651091217,1.1906349323291931e-05,0.1652483195066452
0,0,0,0_0,matched_random,16,37,200,0.01653569244361662,0.011094829192711849,0.01935510830876107,0.0004166666666666667,0.0011579247334395921,4.076407340101572e-06,0.1652483195066452
0,0,0,0_0,matched_random,16,41,200,0.016603709391071933,0.011140466012385383,0.019571605110540985,0.013333333333333334,0.0042077551161055,1.4785781095002434e-05,0.1652483195066452
0,0,0,0_0,matched_random,16,42,200,0.01626600634782844,0.010913879941350181,0.019206816063572964,0.00125,0.0030432750156032945,1.0509033807755066e-05,0.1652483195066452
0,0,0,0_0,matched_random,16,43,200,0.016776201753683582,0.011256201915598939,0.01962765757072096,0.004583333333333333,0.0027936556059060553,9.930045063825465e-06,0.1652483195066452
0,0,0,0_0,matched_random,17,7,200,0.019993260067318525,0.013414727336562004,0.02406125923851505,0.009583333333333333,0.004301914192574019,1.7743287690133224e-05,0.1652483195066452
0,0,0,0_0,matched_random,17,16,200,0.020831989430985676,0.013977483269555377,0.024885169613795975,0.0020833333333333333,0.0027733818894925422,1.2053156384288614e-05,0.1652483195066452
0,0,0,0_0,matched_random,17,24,200,0.019710729224496033,0.01322515974188903,0.02364780466693143,0.009583333333333333,0.00428230099948035,1.766889620787694e-05,0.1652483195066452
0,0,0,0_0,matched_random,17,37,200,0.020261197358632885,0.01359450320573876,0.0241582940146327,0.0008333333333333334,0.0014494257338121834,6.098537045424996e-06,0.1652483195066452
0,0,0,0_0,matched_random,17,41,200,0.020186942484438267,0.013544680971276868,0.024190440548118204,0.019166666666666665,0.0051980392707350045,2.1843164283895648e-05,0.1652483195066452
0,0,0,0_0,matched_random,17,42,200,0.0197532466291725,0.013253687325128214,0.02360756090066085,0.0033333333333333335,0.0037380874006600912,1.54764562875342e-05,0.1652483195066452
0,0,0,0_0,matched_random,17,43,200,0.020516123738332837,0.013765549241405637,0.024591948898353925,0.005416666666666667,0.0034915943390161257,1.480558980918092e-05,0.1652483195066452
0,0,0,0_0,matched_random,18,7,200,0.015459333459146777,0.010372632700278673,0.01947078956058249,0.006666666666666667,0.003483318822393886,1.0618866998790575e-05,0.1652483195066452
0,0,0,0_0,matched_random,18,16,200,0.016241907699601855,0.01089771065259733,0.020449806462662916,0.0016666666666666668,0.002280465674343056,7.339389313841586e-06,0.1652483195066452
0,0,0,0_0,matched_random,18,24,200,0.015344540463252503,0.010295610907190214,0.01935625957713152,0.009583333333333333,0.0034990948685270774,1.0689298794129178e-05,0.1652483195066452
0,0,0,0_0,matched_random,18,37,200,0.015764423553432425,0.010577336706236059,0.0198119713862737,0.0004166666666666667,0.0011829217000567439,3.6780121276904867e-06,0.1652483195066452
0,0,0,0_0,matched_random,18,41,200,0.015744882585534033,0.01056422544997436,0.01986401042357708,0.01875,0.004268669842336136,1.3289112294409903e-05,0.1652483195066452
0,0,0,0_0,matched_random,18,42,200,0.015436344443302162,0.010357207933219521,0.019460863238200544,0.0025,0.003081075207836719,9.451693255716703e-06,0.1652483195066452
0,0,0,0_0,matched_random,18,43,200,0.01594532297153063,0.010698713428239338,0.020072938092829038,0.004166666666666667,0.002851182069737023,8.952158147709814e-06,0.1652483195066452
0,0,0,0_0,matched_random,19,7,200,0.015465742597843153,0.010376932991866167,0.01916249223984778,0.006666666666666667,0.0034316528615367077,1.0651961191940831e-05,0.1652483195066452
0,0,0,0_0,matched_random,19,16,200,0.016385140477380388,0.01099381447223894,0.020222006775438787,0.0016666666666666668,0.002256222906386368,7.482356381294803e-06,0.1652483195066452
0,0,0,0_0,matched_random,19,24,200,0.01545387111983832,0.010368967675555542,0.01911778122885153,0.009583333333333333,0.0034532014570432482,1.0816096595308324e-05,0.1652483195066452
0,0,0,0_0,matched_random,19,37,200,0.01586442392663291,0.01064443320453209,0.01955798763471345,0.0004166666666666667,0.001167780349221976,3.7188870781718287e-06,0.1652483195066452
0,0,0,0_0,matched_random,19,41,200,0.01588482940602415,0.010658124515568093,0.019640677146768818,0.01875,0.004220970425961154,1.3529536096330482e-05,0.1652483195066452
0,0,0,0_0,matched_random,19,42,200,0.015590831027374566,0.010460862634629411,0.019242095407098533,0.002916666666666667,0.0030452570524049636,9.63527516350375e-06,0.1652483195066452
0,0,0,0_0,matched_random,19,43,200,0.01604188178229948,0.010763500767274864,0.019832420056530586,0.004583333333333333,0.0028191215314163345,9.077965655959861e-06,0.1652483195066452
0,0,0,0_0,matched_random,20,7,200,0.01821567529987213,0.012222034654496696,0.01982027688723368,0.0075,0.003549276152182833,1.4748006920397173e-05,0.1652483195066452
0,0,0,0_0,matched_random,20,16,200,0.019238903955503667,0.012908582689786416,0.020854850937612354,0.0016666666666666668,0.002325895688503133,1.0290450724038518e-05,0.1652483195066452
