model,fold,seed,subject_id,selected_lr,anchor_S2_BA,adapted_S2_BA,Delta_S2,anchor_S3_BA,adapted_S3_BA,Delta_S3
CBraMod,0,1,37,0.001,0.74,0.765,0.025000000000000022,0.75,0.76,0.010000000000000009
CBraMod,0,2,1,0.001,0.94,0.9099999999999999,-0.030000000000000027,0.905,0.8899999999999999,-0.015000000000000124
CBraMod,0,2,3,0.001,0.885,0.89,0.0050000000000000044,0.865,0.8400000000000001,-0.02499999999999991
CBraMod,0,2,5,0.001,0.9099999999999999,0.915,0.0050000000000001155,0.765,0.765,0.0
CBraMod,0,2,16,0.001,0.495,0.44,-0.05499999999999999,0.5700000000000001,0.495,-0.07500000000000007
CBraMod,0,2,19,0.001,0.9199999999999999,0.9450000000000001,0.025000000000000133,0.915,0.925,0.010000000000000009
CBraMod,0,2,21,0.001,0.8200000000000001,0.835,0.014999999999999902,0.8049999999999999,0.815,0.010000000000000009
CBraMod,0,2,28,0.001,0.7,0.585,-0.11499999999999999,0.675,0.595,-0.08000000000000007
CBraMod,0,2,33,0.001,0.905,0.935,0.030000000000000027,0.935,0.9299999999999999,-0.0050000000000001155
CBraMod,0,2,37,0.001,0.755,0.7849999999999999,0.029999999999999916,0.825,0.79,-0.03499999999999992
CBraMod,1,0,2,0.001,0.5700000000000001,0.575,0.004999999999999893,0.685,0.7050000000000001,0.020000000000000018
CBraMod,1,0,11,0.001,0.7949999999999999,0.78,-0.014999999999999902,0.8,0.825,0.02499999999999991
CBraMod,1,0,13,0.001,0.54,0.52,-0.020000000000000018,0.765,0.755,-0.010000000000000009
CBraMod,1,0,18,0.001,0.655,0.665,0.010000000000000009,0.595,0.5900000000000001,-0.004999999999999893
CBraMod,1,0,27,0.001,0.485,0.49,0.0050000000000000044,0.645,0.635,-0.010000000000000009
CBraMod,1,0,36,0.001,0.915,0.91,-0.0050000000000000044,0.9450000000000001,0.965,0.019999999999999907
CBraMod,1,0,44,0.001,0.73,0.705,-0.025000000000000022,0.81,0.78,-0.030000000000000027
CBraMod,1,0,45,0.001,0.8300000000000001,0.835,0.004999999999999893,0.9199999999999999,0.9199999999999999,0.0
CBraMod,1,1,2,0.001,0.585,0.555,-0.029999999999999916,0.7,0.685,-0.014999999999999902
CBraMod,1,1,11,0.001,0.79,0.7949999999999999,0.004999999999999893,0.835,0.825,-0.010000000000000009
CBraMod,1,1,13,0.001,0.5650000000000001,0.55,-0.015000000000000013,0.7749999999999999,0.79,0.015000000000000124
CBraMod,1,1,18,0.001,0.645,0.645,0.0,0.585,0.5900000000000001,0.0050000000000001155
CBraMod,1,1,27,0.001,0.5,0.5,0.0,0.645,0.63,-0.015000000000000013
CBraMod,1,1,36,0.001,0.935,0.94,0.004999999999999893,0.935,0.95,0.014999999999999902
CBraMod,1,1,44,0.001,0.72,0.745,0.025000000000000022,0.78,0.7849999999999999,0.004999999999999893
CBraMod,1,1,45,0.001,0.8400000000000001,0.795,-0.04500000000000004,0.91,0.91,0.0
CBraMod,1,2,2,0.001,0.5549999999999999,0.5700000000000001,0.015000000000000124,0.665,0.665,0.0
CBraMod,1,2,11,0.001,0.8,0.82,0.019999999999999907,0.7749999999999999,0.785,0.01000000000000012
CBraMod,1,2,13,0.001,0.51,0.535,0.025000000000000022,0.775,0.745,-0.030000000000000027
CBraMod,1,2,18,0.001,0.625,0.635,0.010000000000000009,0.5900000000000001,0.6,0.009999999999999898
CBraMod,1,2,27,0.001,0.47,0.47,0.0,0.615,0.625,0.010000000000000009
CBraMod,1,2,36,0.001,0.935,0.935,0.0,0.955,0.965,0.010000000000000009
CBraMod,1,2,44,0.001,0.73,0.635,-0.09499999999999997,0.7849999999999999,0.7,-0.08499999999999996
CBraMod,1,2,45,0.001,0.8049999999999999,0.8049999999999999,0.0,0.935,0.94,0.004999999999999893
CBraMod,2,0,9,0.001,0.685,0.665,-0.020000000000000018,0.645,0.665,0.020000000000000018
CBraMod,2,0,22,0.001,0.7250000000000001,0.59,-0.13500000000000012,0.725,0.635,-0.08999999999999997
CBraMod,2,0,25,0.001,0.835,0.845,0.010000000000000009,0.9450000000000001,0.9550000000000001,0.010000000000000009
CBraMod,2,0,26,0.001,0.8300000000000001,0.835,0.004999999999999893,0.65,0.6699999999999999,0.019999999999999907
CBraMod,2,0,29,0.001,0.8600000000000001,0.825,-0.03500000000000014,0.895,0.895,0.0
CBraMod,2,0,34,0.001,0.41500000000000004,0.42,0.004999999999999949,0.52,0.505,-0.015000000000000013
CBraMod,2,0,35,0.001,0.935,0.9450000000000001,0.010000000000000009,0.915,0.9199999999999999,0.004999999999999893
CBraMod,2,0,49,0.001,0.835,0.835,0.0,0.8400000000000001,0.835,-0.0050000000000001155
CBraMod,2,1,9,0.001,0.7,0.69,-0.010000000000000009,0.575,0.6,0.025000000000000022
CBraMod,2,1,22,0.001,0.715,0.6950000000000001,-0.019999999999999907,0.645,0.63,-0.015000000000000013
CBraMod,2,1,25,0.001,0.825,0.8,-0.02499999999999991,0.905,0.95,0.04499999999999993
CBraMod,2,1,26,0.001,0.85,0.845,-0.0050000000000000044,0.685,0.71,0.02499999999999991
CBraMod,2,1,29,0.001,0.8,0.76,-0.040000000000000036,0.855,0.81,-0.04499999999999993
CBraMod,2,1,34,0.001,0.43,0.43999999999999995,0.009999999999999953,0.5249999999999999,0.56,0.03500000000000014
CBraMod,2,1,35,0.001,0.905,0.925,0.020000000000000018,0.91,0.9099999999999999,-1.1102230246251565e-16
CBraMod,2,1,49,0.001,0.845,0.845,0.0,0.85,0.85,0.0
CBraMod,2,2,9,0.001,0.71,0.685,-0.02499999999999991,0.6,0.59,-0.010000000000000009
CBraMod,2,2,22,0.001,0.735,0.675,-0.05999999999999994,0.6799999999999999,0.6799999999999999,0.0
CBraMod,2,2,25,0.001,0.845,0.835,-0.010000000000000009,0.97,0.97,0.0
CBraMod,2,2,26,0.001,0.835,0.845,0.010000000000000009,0.71,0.71,0.0
CBraMod,2,2,29,0.001,0.8300000000000001,0.495,-0.3350000000000001,0.8999999999999999,0.51,-0.3899999999999999
CBraMod,2,2,34,0.001,0.43999999999999995,0.425,-0.014999999999999958,0.53,0.55,0.020000000000000018
CBraMod,2,2,35,0.001,0.94,0.95,0.010000000000000009,0.9199999999999999,0.94,0.020000000000000018
CBraMod,2,2,49,0.001,0.8500000000000001,0.845,-0.0050000000000001155,0.8500000000000001,0.855,0.004999999999999893
CBraMod,3,0,6,0.001,0.875,0.8500000000000001,-0.02499999999999991,0.9199999999999999,0.9450000000000001,0.025000000000000133
CBraMod,3,0,23,0.001,0.885,0.905,0.020000000000000018,0.955,0.915,-0.039999999999999925
CBraMod,3,0,24,0.001,0.8844949494949494,0.8945454545454545,0.010050505050505087,0.8715277777777777,0.8713699494949495,-0.0001578282828281763
CBraMod,3,0,30,0.001,0.94,0.9299999999999999,-0.010000000000000009,0.875,0.87,-0.0050000000000000044
CBraMod,3,0,31,0.001,0.54,0.57,0.029999999999999916,0.525,0.525,0.0
CBraMod,3,0,38,0.001,0.735,0.72,-0.015000000000000013,0.41500000000000004,0.41,-0.00500000000000006
CBraMod,3,0,41,0.001,0.81,0.815,0.004999999999999893,0.77,0.8,0.030000000000000027
CBraMod,3,0,42,0.001,0.78,0.73,-0.050000000000000044,0.6950000000000001,0.69,-0.0050000000000001155
CBraMod,3,1,6,0.001,0.87,0.87,0.0,0.905,0.905,0.0
CBraMod,3,1,23,0.001,0.875,0.88,0.0050000000000000044,0.94,0.935,-0.004999999999999893
CBraMod,3,1,24,0.001,0.9196464646464646,0.9145454545454546,-0.005101010101010051,0.9026199494949495,0.9027777777777777,0.0001578282828281763
CBraMod,3,1,30,0.001,0.9299999999999999,0.915,-0.014999999999999902,0.87,0.885,0.015000000000000013
CBraMod,3,1,31,0.001,0.5499999999999999,0.54,-0.009999999999999898,0.535,0.5449999999999999,0.009999999999999898
CBraMod,3,1,38,0.001,0.7,0.72,0.020000000000000018,0.495,0.47,-0.025000000000000022
CBraMod,3,1,41,0.001,0.765,0.77,0.0050000000000000044,0.78,0.8,0.020000000000000018
CBraMod,3,1,42,0.001,0.765,0.745,-0.020000000000000018,0.72,0.71,-0.010000000000000009
CBraMod,3,2,6,0.001,0.845,0.845,0.0,0.9,0.905,0.0050000000000000044
CBraMod,3,2,23,0.001,0.9199999999999999,0.89,-0.029999999999999916,0.9199999999999999,0.945,0.025000000000000022
CBraMod,3,2,24,0.001,0.8943434343434344,0.8791919191919192,-0.015151515151515249,0.8972537878787878,0.8974116161616161,0.00015782828282828731
CBraMod,3,2,30,0.001,0.9199999999999999,0.935,0.015000000000000124,0.865,0.875,0.010000000000000009
CBraMod,3,2,31,0.001,0.555,0.54,-0.015000000000000013,0.5599999999999999,0.5800000000000001,0.02000000000000013
CBraMod,3,2,38,0.001,0.755,0.76,0.0050000000000000044,0.45000000000000007,0.44,-0.010000000000000064
CBraMod,3,2,41,0.001,0.79,0.7749999999999999,-0.015000000000000124,0.795,0.825,0.029999999999999916
CBraMod,3,2,42,0.001,0.815,0.77,-0.04499999999999993,0.6699999999999999,0.665,-0.004999999999999893
CBraMod,4,0,7,0.001,0.645,0.6499999999999999,0.004999999999999893,0.78,0.8,0.020000000000000018
CBraMod,4,0,12,0.001,0.53,0.52,-0.010000000000000009,0.74,0.73,-0.010000000000000009
CBraMod,4,0,14,0.001,0.5249999999999999,0.49,-0.03499999999999992,0.53,0.49,-0.040000000000000036
CBraMod,4,0,17,0.001,0.745,0.77,0.025000000000000022,0.78,0.77,-0.010000000000000009
CBraMod,4,0,32,0.001,0.48858585858585857,0.4986868686868687,0.01010101010101011,0.59,0.5549999999999999,-0.03500000000000003
CBraMod,4,0,47,0.001,0.82,0.83,0.010000000000000009,0.895,0.95,0.05499999999999994
CBraMod,4,0,48,0.001,0.8300000000000001,0.855,0.02499999999999991,0.735,0.7250000000000001,-0.009999999999999898
CBraMod,4,0,50,0.001,0.9299999999999999,0.925,-0.004999999999999893,0.9299999999999999,0.925,-0.004999999999999893
CBraMod,4,1,7,0.001,0.675,0.69,0.014999999999999902,0.7949999999999999,0.775,-0.019999999999999907
CBraMod,4,1,12,0.001,0.565,0.54,-0.02499999999999991,0.69,0.725,0.03500000000000003
CBraMod,4,1,14,0.001,0.5650000000000001,0.54,-0.025000000000000022,0.565,0.5349999999999999,-0.030000000000000027
CBraMod,4,1,17,0.001,0.795,0.81,0.015000000000000013,0.81,0.81,0.0
CBraMod,4,1,32,0.001,0.47363636363636363,0.49363636363636365,0.020000000000000018,0.505,0.505,0.0
CBraMod,4,1,47,0.001,0.85,0.865,0.015000000000000013,0.925,0.9199999999999999,-0.0050000000000001155
CBraMod,4,1,48,0.001,0.86,0.8300000000000001,-0.029999999999999916,0.755,0.76,0.0050000000000000044
CBraMod,4,1,50,0.001,0.9199999999999999,0.92,1.1102230246251565e-16,0.93,0.925,-0.0050000000000000044
CBraMod,4,2,7,0.001,0.705,0.6799999999999999,-0.025000000000000022,0.8,0.8,0.0
CBraMod,4,2,12,0.001,0.53,0.54,0.010000000000000009,0.73,0.715,-0.015000000000000013
CBraMod,4,2,14,0.001,0.515,0.475,-0.040000000000000036,0.525,0.54,0.015000000000000013
CBraMod,4,2,17,0.001,0.8,0.7949999999999999,-0.0050000000000001155,0.79,0.8,0.010000000000000009
CBraMod,4,2,32,0.001,0.4628787878787879,0.45792929292929296,-0.004949494949494926,0.5,0.515,0.015000000000000013
CBraMod,4,2,47,0.001,0.88,0.8700000000000001,-0.009999999999999898,0.9450000000000001,0.935,-0.010000000000000009
CBraMod,4,2,48,0.001,0.85,0.8300000000000001,-0.019999999999999907,0.745,0.7150000000000001,-0.029999999999999916
CBraMod,4,2,50,0.001,0.935,0.945,0.009999999999999898,0.9450000000000001,0.9199999999999999,-0.025000000000000133
LaBraM,0,0,1,0.001,0.9550000000000001,0.9550000000000001,0.0,0.895,0.89,-0.0050000000000000044
LaBraM,0,0,3,0.001,0.91,0.915,0.0050000000000000044,0.9,0.9,0.0
LaBraM,0,0,5,0.001,0.8500000000000001,0.855,0.004999999999999893,0.795,0.8,0.0050000000000000044
LaBraM,0,0,16,0.001,0.47,0.52,0.050000000000000044,0.495,0.52,0.025000000000000022
LaBraM,0,0,19,0.001,0.905,0.92,0.015000000000000013,0.94,0.935,-0.004999999999999893
LaBraM,0,0,21,0.001,0.86,0.855,-0.0050000000000000044,0.795,0.805,0.010000000000000009
LaBraM,0,0,28,0.001,0.61,0.73,0.12,0.59,0.71,0.12
LaBraM,0,0,33,0.001,0.9299999999999999,0.925,-0.004999999999999893,0.925,0.9299999999999999,0.004999999999999893
LaBraM,0,0,37,0.001,0.78,0.83,0.04999999999999993,0.79,0.81,0.020000000000000018
LaBraM,0,1,1,0.001,0.94,0.9299999999999999,-0.010000000000000009,0.86,0.8600000000000001,1.1102230246251565e-16
LaBraM,0,1,3,0.001,0.9099999999999999,0.9,-0.009999999999999898,0.815,0.855,0.040000000000000036
LaBraM,0,1,5,0.001,0.85,0.8500000000000001,1.1102230246251565e-16,0.7949999999999999,0.79,-0.004999999999999893
LaBraM,0,1,16,0.001,0.475,0.475,0.0,0.5,0.515,0.015000000000000013
LaBraM,0,1,19,0.001,0.915,0.915,0.0,0.9,0.9,0.0
LaBraM,0,1,21,0.001,0.8400000000000001,0.835,-0.0050000000000001155,0.835,0.8200000000000001,-0.014999999999999902
LaBraM,0,1,28,0.001,0.7,0.75,0.050000000000000044,0.61,0.7,0.08999999999999997
LaBraM,0,1,33,0.001,0.9099999999999999,0.925,0.015000000000000124,0.9199999999999999,0.925,0.0050000000000001155
LaBraM,0,1,37,0.001,0.75,0.8500000000000001,0.10000000000000009,0.7949999999999999,0.8200000000000001,0.025000000000000133
LaBraM,0,2,1,0.001,0.905,0.92,0.015000000000000013,0.865,0.865,0.0
LaBraM,0,2,3,0.001,0.88,0.885,0.0050000000000000044,0.825,0.825,0.0
LaBraM,0,2,5,0.001,0.865,0.8700000000000001,0.0050000000000001155,0.72,0.745,0.025000000000000022
LaBraM,0,2,16,0.001,0.51,0.48,-0.030000000000000027,0.525,0.51,-0.015000000000000013
LaBraM,0,2,19,0.001,0.91,0.925,0.015000000000000013,0.915,0.935,0.020000000000000018
LaBraM,0,2,21,0.001,0.8200000000000001,0.81,-0.010000000000000009,0.8200000000000001,0.8200000000000001,0.0
LaBraM,0,2,28,0.001,0.615,0.75,0.135,0.63,0.755,0.125
LaBraM,0,2,33,0.001,0.865,0.9,0.03500000000000003,0.91,0.935,0.025000000000000022
LaBraM,0,2,37,0.001,0.73,0.81,0.08000000000000007,0.74,0.815,0.07499999999999996
LaBraM,1,0,2,0.001,0.5800000000000001,0.5449999999999999,-0.03500000000000014,0.755,0.745,-0.010000000000000009
LaBraM,1,0,11,0.001,0.75,0.745,-0.0050000000000000044,0.8049999999999999,0.8,-0.004999999999999893
LaBraM,1,0,13,0.001,0.53,0.515,-0.015000000000000013,0.875,0.895,0.020000000000000018
LaBraM,1,0,18,0.001,0.625,0.575,-0.050000000000000044,0.67,0.5800000000000001,-0.08999999999999997
LaBraM,1,0,27,0.001,0.5,0.495,-0.0050000000000000044,0.625,0.635,0.010000000000000009
LaBraM,1,0,36,0.001,0.94,0.94,0.0,0.97,0.97,0.0
LaBraM,1,0,44,0.001,0.745,0.76,0.015000000000000013,0.8,0.8,0.0
LaBraM,1,0,45,0.001,0.785,0.7949999999999999,0.009999999999999898,0.935,0.9299999999999999,-0.0050000000000001155
LaBraM,1,1,2,0.001,0.5700000000000001,0.58,0.009999999999999898,0.69,0.685,-0.004999999999999893
LaBraM,1,1,11,0.001,0.77,0.78,0.010000000000000009,0.7849999999999999,0.79,0.0050000000000001155
LaBraM,1,1,13,0.001,0.515,0.515,0.0,0.78,0.77,-0.010000000000000009
LaBraM,1,1,18,0.001,0.575,0.6,0.025000000000000022,0.5900000000000001,0.595,0.004999999999999893
LaBraM,1,1,27,0.001,0.51,0.46,-0.04999999999999999,0.61,0.635,0.025000000000000022
LaBraM,1,1,36,0.001,0.93,0.9299999999999999,-1.1102230246251565e-16,0.955,0.955,0.0
LaBraM,1,1,44,0.001,0.74,0.745,0.0050000000000000044,0.7250000000000001,0.755,0.029999999999999916
LaBraM,1,1,45,0.001,0.79,0.79,0.0,0.905,0.905,0.0
LaBraM,1,2,2,0.001,0.585,0.585,0.0,0.74,0.74,0.0
LaBraM,1,2,11,0.001,0.72,0.72,0.0,0.75,0.75,0.0
LaBraM,1,2,13,0.001,0.535,0.535,0.0,0.865,0.865,0.0
LaBraM,1,2,18,0.001,0.7,0.7,0.0,0.6,0.6,0.0
LaBraM,1,2,27,0.001,0.515,0.49,-0.025000000000000022,0.595,0.39,-0.20499999999999996
LaBraM,1,2,36,0.001,0.9,0.9,0.0,0.945,0.945,0.0
LaBraM,1,2,44,0.001,0.7150000000000001,0.7150000000000001,0.0,0.815,0.815,0.0
LaBraM,1,2,45,0.001,0.855,0.855,0.0,0.895,0.895,0.0
LaBraM,2,0,9,0.001,0.675,0.6950000000000001,0.020000000000000018,0.615,0.61,-0.0050000000000000044
LaBraM,2,0,22,0.001,0.755,0.755,0.0,0.755,0.755,0.0
LaBraM,2,0,25,0.001,0.835,0.8200000000000001,-0.014999999999999902,0.97,0.965,-0.0050000000000000044
LaBraM,2,0,26,0.001,0.8799999999999999,0.875,-0.004999999999999893,0.75,0.75,0.0
LaBraM,2,0,29,0.001,0.905,0.89,-0.015000000000000013,0.825,0.865,0.040000000000000036
LaBraM,2,0,34,0.001,0.47500000000000003,0.48,0.004999999999999949,0.575,0.53,-0.04499999999999993
LaBraM,2,0,35,0.001,0.975,0.97,-0.0050000000000000044,0.94,0.935,-0.004999999999999893
LaBraM,2,0,49,0.001,0.89,0.9199999999999999,0.029999999999999916,0.9,0.905,0.0050000000000000044
LaBraM,2,1,9,0.001,0.7250000000000001,0.72,-0.0050000000000001155,0.62,0.65,0.030000000000000027
LaBraM,2,1,22,0.001,0.75,0.765,0.015000000000000013,0.72,0.73,0.010000000000000009
LaBraM,2,1,25,0.001,0.825,0.825,0.0,0.96,0.96,0.0
LaBraM,2,1,26,0.001,0.855,0.88,0.025000000000000022,0.8200000000000001,0.845,0.02499999999999991
LaBraM,2,1,29,0.001,0.9,0.81,-0.08999999999999997,0.845,0.74,-0.10499999999999998
LaBraM,2,1,34,0.001,0.43999999999999995,0.455,0.015000000000000069,0.51,0.515,0.0050000000000000044
LaBraM,2,1,35,0.001,0.975,0.975,0.0,0.9450000000000001,0.9450000000000001,0.0
LaBraM,2,1,49,0.001,0.9199999999999999,0.91,-0.009999999999999898,0.8899999999999999,0.905,0.015000000000000124
LaBraM,2,2,9,0.001,0.645,0.6499999999999999,0.004999999999999893,0.62,0.625,0.0050000000000000044
LaBraM,2,2,22,0.001,0.7050000000000001,0.7050000000000001,0.0,0.695,0.695,0.0
LaBraM,2,2,25,0.001,0.8,0.8049999999999999,0.004999999999999893,0.9450000000000001,0.9450000000000001,0.0
LaBraM,2,2,26,0.001,0.86,0.865,0.0050000000000000044,0.76,0.76,0.0
LaBraM,2,2,29,0.001,0.88,0.61,-0.27,0.8200000000000001,0.675,-0.14500000000000002
LaBraM,2,2,34,0.001,0.5,0.5,0.0,0.525,0.54,0.015000000000000013
LaBraM,2,2,35,0.001,0.985,0.985,0.0,0.955,0.96,0.0050000000000000044
LaBraM,2,2,49,0.001,0.885,0.9099999999999999,0.02499999999999991,0.835,0.835,0.0
LaBraM,3,0,6,0.001,0.8500000000000001,0.855,0.004999999999999893,0.915,0.915,0.0
LaBraM,3,0,23,0.001,0.92,0.92,0.0,0.955,0.955,0.0
LaBraM,3,0,24,0.001,0.8692929292929292,0.8692929292929292,0.0,0.8620580808080809,0.8620580808080809,0.0
LaBraM,3,0,30,0.001,0.935,0.935,0.0,0.845,0.845,0.0
LaBraM,3,0,31,0.001,0.56,0.5549999999999999,-0.0050000000000001155,0.59,0.59,0.0
LaBraM,3,0,38,0.001,0.805,0.7,-0.1050000000000001,0.5249999999999999,0.52,-0.004999999999999893
LaBraM,3,0,41,0.001,0.725,0.725,0.0,0.8,0.8,0.0
LaBraM,3,0,42,0.001,0.755,0.75,-0.0050000000000000044,0.67,0.675,0.0050000000000000044
LaBraM,3,1,6,0.001,0.845,0.8600000000000001,0.015000000000000124,0.935,0.9450000000000001,0.010000000000000009
LaBraM,3,1,23,0.001,0.9199999999999999,0.915,-0.004999999999999893,0.935,0.9450000000000001,0.010000000000000009
LaBraM,3,1,24,0.001,0.8992929292929293,0.9093939393939394,0.010101010101010166,0.8934659090909092,0.8934659090909092,0.0
LaBraM,3,1,30,0.001,0.885,0.89,0.0050000000000000044,0.885,0.885,0.0
LaBraM,3,1,31,0.001,0.54,0.56,0.020000000000000018,0.595,0.5700000000000001,-0.02499999999999991
LaBraM,3,1,38,0.001,0.79,0.78,-0.010000000000000009,0.505,0.535,0.030000000000000027
LaBraM,3,1,41,0.001,0.795,0.7949999999999999,-1.1102230246251565e-16,0.835,0.825,-0.010000000000000009
LaBraM,3,1,42,0.001,0.7250000000000001,0.745,0.019999999999999907,0.665,0.6799999999999999,0.014999999999999902
LaBraM,3,2,6,0.001,0.865,0.85,-0.015000000000000013,0.905,0.905,0.0
LaBraM,3,2,23,0.001,0.885,0.8899999999999999,0.004999999999999893,0.97,0.97,0.0
LaBraM,3,2,24,0.001,0.8746969696969698,0.8746969696969698,0.0,0.9018308080808081,0.9018308080808081,0.0
LaBraM,3,2,30,0.001,0.925,0.925,0.0,0.81,0.8300000000000001,0.020000000000000018
LaBraM,3,2,31,0.001,0.5449999999999999,0.53,-0.014999999999999902,0.575,0.595,0.020000000000000018
LaBraM,3,2,38,0.001,0.8,0.8300000000000001,0.030000000000000027,0.495,0.5,0.0050000000000000044
LaBraM,3,2,41,0.001,0.745,0.75,0.0050000000000000044,0.77,0.775,0.0050000000000000044
LaBraM,3,2,42,0.001,0.78,0.735,-0.04500000000000004,0.6950000000000001,0.685,-0.010000000000000009
LaBraM,4,0,7,0.001,0.74,0.745,0.0050000000000000044,0.8600000000000001,0.8500000000000001,-0.010000000000000009
LaBraM,4,0,12,0.001,0.5449999999999999,0.525,-0.019999999999999907,0.755,0.7749999999999999,0.019999999999999907
LaBraM,4,0,14,0.001,0.47,0.485,0.015000000000000013,0.48,0.49,0.010000000000000009
LaBraM,4,0,17,0.001,0.81,0.81,0.0,0.79,0.79,0.0
LaBraM,4,0,32,0.001,0.5181313131313131,0.4873232323232323,-0.030808080808080784,0.5800000000000001,0.585,0.004999999999999893
LaBraM,4,0,47,0.001,0.865,0.87,0.0050000000000000044,0.925,0.9199999999999999,-0.0050000000000001155
LaBraM,4,0,48,0.001,0.865,0.865,0.0,0.79,0.7849999999999999,-0.0050000000000001155
LaBraM,4,0,50,0.001,0.95,0.95,0.0,0.94,0.94,0.0
LaBraM,4,1,7,0.001,0.73,0.745,0.015000000000000013,0.815,0.785,-0.029999999999999916
LaBraM,4,1,12,0.001,0.49,0.51,0.020000000000000018,0.7,0.7150000000000001,0.015000000000000124
LaBraM,4,1,14,0.001,0.53,0.515,-0.015000000000000013,0.5,0.515,0.015000000000000013
LaBraM,4,1,17,0.001,0.7949999999999999,0.815,0.020000000000000018,0.77,0.79,0.020000000000000018
LaBraM,4,1,32,0.001,0.528888888888889,0.4958080808080808,-0.033080808080808155,0.605,0.62,0.015000000000000013
LaBraM,4,1,47,0.001,0.865,0.86,-0.0050000000000000044,0.89,0.9099999999999999,0.019999999999999907
LaBraM,4,1,48,0.001,0.805,0.83,0.02499999999999991,0.78,0.78,0.0
LaBraM,4,1,50,0.001,0.935,0.935,0.0,0.9299999999999999,0.94,0.010000000000000009
LaBraM,4,2,7,0.001,0.745,0.74,-0.0050000000000000044,0.8049999999999999,0.81,0.0050000000000001155
LaBraM,4,2,12,0.001,0.545,0.54,-0.0050000000000000044,0.7150000000000001,0.7150000000000001,0.0
LaBraM,4,2,14,0.001,0.48,0.485,0.0050000000000000044,0.535,0.545,0.010000000000000009
LaBraM,4,2,17,0.001,0.79,0.79,0.0,0.815,0.8049999999999999,-0.010000000000000009
LaBraM,4,2,32,0.001,0.49808080808080807,0.5125757575757576,0.014494949494949505,0.595,0.5900000000000001,-0.004999999999999893
LaBraM,4,2,47,0.001,0.8400000000000001,0.83,-0.01000000000000012,0.9299999999999999,0.94,0.010000000000000009
LaBraM,4,2,48,0.001,0.81,0.8200000000000001,0.010000000000000009,0.755,0.755,0.0
LaBraM,4,2,50,0.001,0.9299999999999999,0.9299999999999999,0.0,0.92,0.92,0.0
