backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
TeCh,0,P17_32,sub-1,0.8049999999999999,0.8049999999999999,0.8033499999999999,0.0007483944616853447,0.0028958533568791646,-0.0021474588951938198,0.0,-0.0016500000000000403,0.0016500000000000403,0.0194714565765778,0.02752334574815778,0.0,0.005868220300255922
TeCh,0,P17_32,sub-3,0.78,0.775,0.7726500000000002,0.0002574583422057016,0.0020676617047996042,-0.0018102033625939026,-0.0050000000000000044,-0.007349999999999857,0.002349999999999852,0.01900619020839387,0.02679047656404764,0.005,0.005452563320139969
TeCh,0,P17_32,sub-5,0.705,0.7050000000000001,0.7106999999999999,0.0001533041158491425,-0.0003855494462469209,0.0005388535620960634,1.1102230246251565e-16,0.005699999999999927,-0.005699999999999816,0.019090544169366667,0.02695052934722442,0.01,0.005074501890065426
TeCh,0,P17_32,sub-16,0.48,0.48,0.48340000000000005,0.0006937174727041848,-0.0030395817408439348,0.0037332992135481195,0.0,0.0034000000000000696,-0.0034000000000000696,0.01952553069636421,0.027587333493265573,0.0,0.006126164866766903
TeCh,0,P17_32,sub-19,0.875,0.87,0.8714500000000001,-6.634602686174662e-06,0.003630494080633288,-0.0036371286833194625,-0.0050000000000000044,-0.003549999999999942,-0.0014500000000000624,0.019054663590141543,0.026847294535223873,0.005,0.004179051635517929
TeCh,0,P17_32,sub-21,0.77,0.78,0.7762000000000002,0.00020382216883745204,0.0014959350183615578,-0.0012921128495241058,0.010000000000000009,0.006200000000000205,0.0037999999999998035,0.019335020978765837,0.027324238225404248,0.01,0.005142483548649551
TeCh,0,P17_32,sub-28,0.665,0.67,0.6663000000000001,-0.0014696247155236372,-0.0006215217099444698,-0.0008481030055791673,0.0050000000000000044,0.0013000000000000789,0.0036999999999999256,0.019370542806321424,0.027358310619753787,0.005,0.005520861514044196
TeCh,0,P17_32,sub-33,0.8049999999999999,0.8049999999999999,0.8011500000000001,-0.000816454596712089,0.002382052146301649,-0.003198506743013738,0.0,-0.003849999999999798,0.003849999999999798,0.01937093340758654,0.02736897064126959,0.0,0.004726161449604538
TeCh,0,P17_32,sub-37,0.665,0.675,0.6672499999999999,0.0010915004089535024,-0.0007953698365056278,0.0018868702454591301,0.010000000000000009,0.0022499999999998632,0.007750000000000146,0.01933894616663699,0.027308375671126095,0.02,0.005441540309425328
TeCh,1,P01_04,sub-2,0.655,0.5,0.63525,0.11396666178662165,0.017227286932470883,0.09673937485415077,-0.15500000000000003,-0.019750000000000045,-0.13524999999999998,0.7725692669481297,0.8792152282238905,0.485,0.20405613094672276
