backbone,config,fold,subject,n_S3_trials,balanced_accuracy,macro_f1,cross_entropy
EEGConformer,CONF_D64_BASE,2,sub-29,200,0.865,0.8644272049408752,0.30775817067142236
EEGConformer,CONF_D64_BASE,2,sub-34,200,0.5800000000000001,0.5586380832282472,1.000550901663861
EEGConformer,CONF_D64_BASE,2,sub-35,200,0.575,0.5749893747343684,0.7344057121768275
EEGConformer,CONF_D64_BASE,2,sub-49,200,0.6499999999999999,0.6494391025641025,0.7289497657425795
EEGConformer,CONF_D64_BASE,3,sub-6,200,0.53,0.51426209177346,0.7068945346382596
EEGConformer,CONF_D64_BASE,3,sub-23,200,0.815,0.8115657864582007,0.4267257568103932
EEGConformer,CONF_D64_BASE,3,sub-24,195,0.8366477272727273,0.8356856962291974,0.39083499812370387
EEGConformer,CONF_D64_BASE,3,sub-30,200,0.51,0.3551783129359126,1.6840454117592356
EEGConformer,CONF_D64_BASE,3,sub-31,200,0.63,0.6226030191758466,0.8937462869482061
EEGConformer,CONF_D64_BASE,3,sub-38,200,0.61,0.6032956972841013,0.7191451702996307
EEGConformer,CONF_D64_BASE,3,sub-41,200,0.73,0.7266929851199515,0.5234566096593853
EEGConformer,CONF_D64_BASE,3,sub-42,200,0.465,0.46197360150848527,0.8973669136468438
EEGConformer,CONF_D64_BASE,4,sub-7,200,0.5700000000000001,0.5481294661622531,0.7371093479190057
EEGConformer,CONF_D64_BASE,4,sub-12,200,0.505,0.5034980816971338,0.8350771927773999
EEGConformer,CONF_D64_BASE,4,sub-14,200,0.53,0.5261619114830124,0.8837679964414156
EEGConformer,CONF_D64_BASE,4,sub-17,200,0.5449999999999999,0.5270147353101692,0.8985832253954069
EEGConformer,CONF_D64_BASE,4,sub-32,200,0.67,0.67,0.6155241580038318
EEGConformer,CONF_D64_BASE,4,sub-47,200,0.475,0.4727724636589591,0.8088234040607774
EEGConformer,CONF_D64_BASE,4,sub-48,200,0.66,0.6458333333333333,0.6465155926771735
EEGConformer,CONF_D64_BASE,4,sub-50,200,0.69,0.6897207486738064,0.5664055026442505
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-1,200,0.515,0.5073015873015874,0.7721011078158879
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-3,200,0.47000000000000003,0.46567194273616297,0.9497649078607728
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-5,200,0.48,0.4781212364512244,0.8297882540527817
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-16,200,0.59,0.5829518868884143,0.668408817866275
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-19,200,0.49,0.4782608695652174,0.7723046180742447
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-21,200,0.54,0.5227720717916796,0.7294423235096832
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-28,200,0.575,0.5054545454545455,0.7831140143951839
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-33,200,0.575,0.5454423915077943,0.7476707721112217
EEGConformer,CONF_D64_CONSERVATIVE,0,sub-37,200,0.49,0.47980416156670747,0.8216755789793538
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-2,200,0.45499999999999996,0.44488299253902375,0.7710336873231705
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-11,200,0.5249999999999999,0.5117062013312431,0.7208409832889935
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-13,200,0.48,0.45095554851652414,0.7085737751722566
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-18,200,0.47000000000000003,0.4665861513687601,0.8089826404586568
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-27,200,0.535,0.5263680578543963,0.6986821522193472
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-36,200,0.605,0.589386418565971,0.6843257579760822
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-44,200,0.53,0.4643874643874644,0.7222234217589354
EEGConformer,CONF_D64_CONSERVATIVE,1,sub-45,200,0.555,0.5334329375376792,0.7141374431856571
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-9,200,0.505,0.5021998742928976,0.8306835880563642
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-22,200,0.62,0.6196576919227305,0.682839727338575
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-25,200,0.55,0.53125,0.7868859764919393
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-26,200,0.53,0.5288220551378446,0.8640831866413543
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-29,200,0.685,0.6849291090495362,0.6130562292927977
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-34,200,0.46,0.43977591036414565,0.9456640176390065
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-35,200,0.51,0.5039983804028747,0.8062612175988815
EEGConformer,CONF_D64_CONSERVATIVE,2,sub-49,200,0.635,0.6338925248877856,0.683436925483001
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-6,200,0.575,0.5478603154339211,0.7153796567472562
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-23,200,0.64,0.6396757081373237,0.6366985168492356
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-24,195,0.7279040404040404,0.7279475637684593,0.5329256872607627
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-30,200,0.5349999999999999,0.4906760864207673,0.8486778012881416
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-31,200,0.56,0.5397008055235903,0.7376764360530589
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-38,200,0.5800000000000001,0.5798319327731092,0.7066203031951894
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-41,200,0.64,0.64,0.6076636972730634
EEGConformer,CONF_D64_CONSERVATIVE,3,sub-42,200,0.485,0.4792588285851513,0.861204358586887
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-7,200,0.535,0.4998790029845931,0.8029697840662214
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-12,200,0.535,0.5348953514540772,0.770979446598763
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-14,200,0.5349999999999999,0.5219860707769012,0.7981671087395322
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-17,200,0.495,0.4771038803033833,0.967562218421934
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-32,200,0.69,0.69,0.5933101956818525
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-47,200,0.565,0.5649021029731689,0.7383843361715146
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-48,200,0.615,0.5695317959468903,0.8564704296237677
EEGConformer,CONF_D64_CONSERVATIVE,4,sub-50,200,0.665,0.6619490905421428,0.646476466259951
