Task,subject_id,contrast,WS_delta,Future_delta
WBCIC_MI,sub-40,J-P,0.078125,0.15937500000000004
WBCIC_MI,sub-40,P-R,0.10971875000000009,0.11499999999999988
WBCIC_MI,sub-40,U-R,0.1878437500000001,0.2743749999999999
WBCIC_MI,sub-43,J-U,0.0,0.0
WBCIC_MI,sub-43,J-P,0.22499999999999998,0.16874999999999996
WBCIC_MI,sub-43,P-R,0.1993125,0.21715624999999994
WBCIC_MI,sub-43,U-R,0.4243125,0.3859062499999999
WBCIC_MI,sub-46,J-U,0.0,0.0
WBCIC_MI,sub-46,J-P,0.21562499999999996,0.21562499999999996
WBCIC_MI,sub-46,P-R,0.19896875000000003,0.17118750000000005
WBCIC_MI,sub-46,U-R,0.41459375,0.3868125
WBCIC_MI,sub-51,J-U,0.0,0.0
WBCIC_MI,sub-51,J-P,0.13750000000000007,0.14375000000000004
WBCIC_MI,sub-51,P-R,0.07512499999999994,0.08840625000000002
WBCIC_MI,sub-51,U-R,0.212625,0.23215625000000006
