Task,fold,seed,selector,K,block_ids,coordinate_ids,selector_score,selector_freeze_sha256
OpenBMI_MI,3,0,PERSISTENCE_ONLY,8,"[1, 2]","[1, 2, 3, 4, 5, 6, 7, 8]",0.10682273698039355,8eed53386aa12891d66fb425a3aa7063d628bc0fcc8677d08965532a5f9cf35c
OpenBMI_MI,3,0,UTILITY_ONLY,8,"[1, 2]","[1, 2, 3, 4, 5, 6, 7, 8]",0.04913150507069342,8eed53386aa12891d66fb425a3aa7063d628bc0fcc8677d08965532a5f9cf35c
OpenBMI_MI,3,0,JOINT,8,"[1, 2]","[1, 2, 3, 4, 5, 6, 7, 8]",,8eed53386aa12891d66fb425a3aa7063d628bc0fcc8677d08965532a5f9cf35c
OpenBMI_MI,3,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,8eed53386aa12891d66fb425a3aa7063d628bc0fcc8677d08965532a5f9cf35c
OpenBMI_MI,4,0,PERSISTENCE_ONLY,5,"[0, 2]","[0, 2, 3, 4, 5]",0.3001304185949268,ad7f1d2879470a52f36dc6da33b4f597cf6b7daf60ca77159ec8ba63ac640c59
OpenBMI_MI,4,0,UTILITY_ONLY,5,"[1, 2]","[1, 2, 3, 4, 5]",0.0703022582541697,ad7f1d2879470a52f36dc6da33b4f597cf6b7daf60ca77159ec8ba63ac640c59
OpenBMI_MI,4,0,JOINT,5,"[1, 2]","[1, 2, 3, 4, 5]",,ad7f1d2879470a52f36dc6da33b4f597cf6b7daf60ca77159ec8ba63ac640c59
OpenBMI_MI,4,0,RANDOM,5,,100 exact-rank draws in corrected PSWA artifact,,ad7f1d2879470a52f36dc6da33b4f597cf6b7daf60ca77159ec8ba63ac640c59
OpenBMI_ERP,0,0,PERSISTENCE_ONLY,6,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5]",0.7053644532337785,2caea4524f63c9b9ac988d5f0a72d5ba147b6917786002f5082e332f902a8537
OpenBMI_ERP,0,0,UTILITY_ONLY,6,"[3, 4]","[4, 5, 6, 7, 8, 9]",0.14093740720345843,2caea4524f63c9b9ac988d5f0a72d5ba147b6917786002f5082e332f902a8537
OpenBMI_ERP,0,0,JOINT,6,"[3, 4]","[4, 5, 6, 7, 8, 9]",,2caea4524f63c9b9ac988d5f0a72d5ba147b6917786002f5082e332f902a8537
OpenBMI_ERP,0,0,RANDOM,6,,100 exact-rank draws in corrected PSWA artifact,,2caea4524f63c9b9ac988d5f0a72d5ba147b6917786002f5082e332f902a8537
OpenBMI_ERP,1,0,PERSISTENCE_ONLY,9,"[0, 3, 4]","[0, 3, 4, 5, 6, 7, 8, 9, 10]",0.4382690623868257,44c5172be7148147e365acf84975b600ed7ba15a1101e7e7341fe95ad41fddc6
OpenBMI_ERP,1,0,UTILITY_ONLY,9,"[2, 4, 5]","[2, 7, 8, 9, 10, 11, 12, 13, 14]",0.05466331593481387,44c5172be7148147e365acf84975b600ed7ba15a1101e7e7341fe95ad41fddc6
OpenBMI_ERP,1,0,JOINT,9,"[2, 4, 5]","[2, 7, 8, 9, 10, 11, 12, 13, 14]",,44c5172be7148147e365acf84975b600ed7ba15a1101e7e7341fe95ad41fddc6
OpenBMI_ERP,1,0,RANDOM,9,,100 exact-rank draws in corrected PSWA artifact,,44c5172be7148147e365acf84975b600ed7ba15a1101e7e7341fe95ad41fddc6
OpenBMI_ERP,2,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3, 5]","[0, 1, 2, 3, 5, 6, 7, 8]",0.9260040962137284,61081e87dd8d00efe5b271d251a2702089506137ad7dd2bb12ebd76c2d0c022b
OpenBMI_ERP,2,0,UTILITY_ONLY,8,"[5, 6]","[5, 6, 7, 8, 9, 10, 11, 12]",0.06619236175445424,61081e87dd8d00efe5b271d251a2702089506137ad7dd2bb12ebd76c2d0c022b
OpenBMI_ERP,2,0,JOINT,8,"[5, 6]","[5, 6, 7, 8, 9, 10, 11, 12]",,61081e87dd8d00efe5b271d251a2702089506137ad7dd2bb12ebd76c2d0c022b
OpenBMI_ERP,2,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,61081e87dd8d00efe5b271d251a2702089506137ad7dd2bb12ebd76c2d0c022b
OpenBMI_ERP,3,0,PERSISTENCE_ONLY,4,[2],"[3, 4, 5, 6]",0.10783855840563776,1a6f910f23503486c24f45e6fdeba5614c6071b14559c1912db9000b2ce3eb40
OpenBMI_ERP,3,0,UTILITY_ONLY,4,[3],"[7, 8, 9, 10]",0.1300311038345261,1a6f910f23503486c24f45e6fdeba5614c6071b14559c1912db9000b2ce3eb40
OpenBMI_ERP,3,0,JOINT,4,[3],"[7, 8, 9, 10]",,1a6f910f23503486c24f45e6fdeba5614c6071b14559c1912db9000b2ce3eb40
OpenBMI_ERP,3,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,1a6f910f23503486c24f45e6fdeba5614c6071b14559c1912db9000b2ce3eb40
OpenBMI_ERP,4,0,PERSISTENCE_ONLY,5,"[0, 4]","[0, 4, 5, 6, 7]",0.4422619977034629,de78a3c139a8a60cedbbacd2ce078608fb62fd65c14365288255956a74d59945
OpenBMI_ERP,4,0,UTILITY_ONLY,5,"[2, 6]","[2, 12, 13, 14, 15]",0.07733339082238,de78a3c139a8a60cedbbacd2ce078608fb62fd65c14365288255956a74d59945
OpenBMI_ERP,4,0,JOINT,5,"[2, 6]","[2, 12, 13, 14, 15]",,de78a3c139a8a60cedbbacd2ce078608fb62fd65c14365288255956a74d59945
OpenBMI_ERP,4,0,RANDOM,5,,100 exact-rank draws in corrected PSWA artifact,,de78a3c139a8a60cedbbacd2ce078608fb62fd65c14365288255956a74d59945
OpenBMI_SSVEP,0,0,PERSISTENCE_ONLY,4,"[0, 1, 2]","[0, 1, 2, 3]",0.5862207248806957,9072f3db2a1fea7443ddc90f54465ee7082df2836f97f5f872e56a7071767ce1
OpenBMI_SSVEP,0,0,UTILITY_ONLY,4,[5],"[12, 13, 14, 15]",0.1931529107706035,9072f3db2a1fea7443ddc90f54465ee7082df2836f97f5f872e56a7071767ce1
OpenBMI_SSVEP,0,0,JOINT,4,[5],"[12, 13, 14, 15]",,9072f3db2a1fea7443ddc90f54465ee7082df2836f97f5f872e56a7071767ce1
OpenBMI_SSVEP,0,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,9072f3db2a1fea7443ddc90f54465ee7082df2836f97f5f872e56a7071767ce1
OpenBMI_SSVEP,1,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",0.567173670232296,de5e85ecad52cce15987179ec3b7002096f50f6b3eb8abe98c312e028532d10b
OpenBMI_SSVEP,1,0,UTILITY_ONLY,8,"[4, 5]","[8, 9, 10, 11, 12, 13, 14, 15]",0.2224680685862644,de5e85ecad52cce15987179ec3b7002096f50f6b3eb8abe98c312e028532d10b
OpenBMI_SSVEP,1,0,JOINT,8,"[4, 5]","[8, 9, 10, 11, 12, 13, 14, 15]",,de5e85ecad52cce15987179ec3b7002096f50f6b3eb8abe98c312e028532d10b
OpenBMI_SSVEP,1,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,de5e85ecad52cce15987179ec3b7002096f50f6b3eb8abe98c312e028532d10b
OpenBMI_SSVEP,2,0,PERSISTENCE_ONLY,4,[3],"[3, 4, 5, 6]",0.08970041926950219,5ec4101754ad9cf5802f5a6e7712424604dea8a30a8655a81ea73936ecb3f819
OpenBMI_SSVEP,2,0,UTILITY_ONLY,4,[6],"[15, 16, 17, 18]",0.24515557503448115,5ec4101754ad9cf5802f5a6e7712424604dea8a30a8655a81ea73936ecb3f819
OpenBMI_SSVEP,2,0,JOINT,4,[5],"[11, 12, 13, 14]",,5ec4101754ad9cf5802f5a6e7712424604dea8a30a8655a81ea73936ecb3f819
OpenBMI_SSVEP,2,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,5ec4101754ad9cf5802f5a6e7712424604dea8a30a8655a81ea73936ecb3f819
OpenBMI_SSVEP,3,0,PERSISTENCE_ONLY,8,"[1, 2]","[1, 2, 3, 4, 5, 6, 7, 8]",0.17249586917459966,0e1275e4d58cea8e6d6417a2a39fdf27ab3ce098b70365666c05702cbad257f8
OpenBMI_SSVEP,3,0,UTILITY_ONLY,8,"[3, 4]","[9, 10, 11, 12, 13, 14, 15, 16]",0.2681603311912869,0e1275e4d58cea8e6d6417a2a39fdf27ab3ce098b70365666c05702cbad257f8
OpenBMI_SSVEP,3,0,JOINT,8,"[3, 4]","[9, 10, 11, 12, 13, 14, 15, 16]",,0e1275e4d58cea8e6d6417a2a39fdf27ab3ce098b70365666c05702cbad257f8
OpenBMI_SSVEP,3,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,0e1275e4d58cea8e6d6417a2a39fdf27ab3ce098b70365666c05702cbad257f8
OpenBMI_SSVEP,4,0,PERSISTENCE_ONLY,8,"[2, 3]","[2, 3, 4, 5, 6, 7, 8, 9]",0.1429450566414744,454096e32908af5363f57258bd44ecd24ed09d350fe991eb881ea045640f40dc
OpenBMI_SSVEP,4,0,UTILITY_ONLY,8,"[4, 5]","[10, 11, 12, 13, 14, 15, 16, 17]",0.23484267464451852,454096e32908af5363f57258bd44ecd24ed09d350fe991eb881ea045640f40dc
OpenBMI_SSVEP,4,0,JOINT,8,"[4, 5]","[10, 11, 12, 13, 14, 15, 16, 17]",,454096e32908af5363f57258bd44ecd24ed09d350fe991eb881ea045640f40dc
OpenBMI_SSVEP,4,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,454096e32908af5363f57258bd44ecd24ed09d350fe991eb881ea045640f40dc
WBCIC_MI,0,0,PERSISTENCE_ONLY,2,"[0, 1]","[0, 1]",0.18510613329708586,17ef19b0200fb3a8cf10c7935cd670ba7cb66b56be012c6f202448953b9fafe2
WBCIC_MI,0,0,UTILITY_ONLY,2,"[1, 2]","[1, 2]",0.10796523130816182,17ef19b0200fb3a8cf10c7935cd670ba7cb66b56be012c6f202448953b9fafe2
WBCIC_MI,0,0,JOINT,2,"[1, 2]","[1, 2]",,17ef19b0200fb3a8cf10c7935cd670ba7cb66b56be012c6f202448953b9fafe2
WBCIC_MI,0,0,RANDOM,2,,100 exact-rank draws in corrected PSWA artifact,,17ef19b0200fb3a8cf10c7935cd670ba7cb66b56be012c6f202448953b9fafe2
WBCIC_MI,1,0,PERSISTENCE_ONLY,2,"[0, 1]","[0, 1]",0.45429737716913265,a3b209b5b6298429f1dcb0262be7134efc32796866370dd532256195718dda18
WBCIC_MI,1,0,UTILITY_ONLY,2,"[1, 2]","[1, 2]",0.11757330381163925,a3b209b5b6298429f1dcb0262be7134efc32796866370dd532256195718dda18
WBCIC_MI,1,0,JOINT,2,"[1, 2]","[1, 2]",,a3b209b5b6298429f1dcb0262be7134efc32796866370dd532256195718dda18
WBCIC_MI,1,0,RANDOM,2,,100 exact-rank draws in corrected PSWA artifact,,a3b209b5b6298429f1dcb0262be7134efc32796866370dd532256195718dda18
WBCIC_MI,2,0,PERSISTENCE_ONLY,3,"[0, 1, 2]","[0, 1, 2]",0.4574853230267764,186e1d5531047a5de5131205db93380d39d0e5ea07cfdab397c9711f1fc6c2b4
WBCIC_MI,2,0,UTILITY_ONLY,3,"[2, 3]","[2, 3, 4]",0.1263104618466473,186e1d5531047a5de5131205db93380d39d0e5ea07cfdab397c9711f1fc6c2b4
WBCIC_MI,2,0,JOINT,3,"[2, 3]","[2, 3, 4]",,186e1d5531047a5de5131205db93380d39d0e5ea07cfdab397c9711f1fc6c2b4
WBCIC_MI,2,0,RANDOM,3,,100 exact-rank draws in corrected PSWA artifact,,186e1d5531047a5de5131205db93380d39d0e5ea07cfdab397c9711f1fc6c2b4
WBCIC_MI,3,0,PERSISTENCE_ONLY,2,"[0, 1]","[0, 1]",0.2168460708111526,8ad622a901139f55c61a26cd8b4fcd7e8c73b173f2991b32ddd804a74a9408b9
WBCIC_MI,3,0,UTILITY_ONLY,2,"[1, 2]","[1, 2]",0.10319545937369963,8ad622a901139f55c61a26cd8b4fcd7e8c73b173f2991b32ddd804a74a9408b9
WBCIC_MI,3,0,JOINT,2,"[1, 2]","[1, 2]",,8ad622a901139f55c61a26cd8b4fcd7e8c73b173f2991b32ddd804a74a9408b9
WBCIC_MI,3,0,RANDOM,2,,100 exact-rank draws in corrected PSWA artifact,,8ad622a901139f55c61a26cd8b4fcd7e8c73b173f2991b32ddd804a74a9408b9
WBCIC_MI,4,0,PERSISTENCE_ONLY,1,[0],[0],0.17752549946308138,68c05d04a751bef1798453406b0be7460068d9df37cc1a384121b0aedb85b242
WBCIC_MI,4,0,UTILITY_ONLY,1,[2],[2],0.14308203007367382,68c05d04a751bef1798453406b0be7460068d9df37cc1a384121b0aedb85b242
WBCIC_MI,4,0,JOINT,1,[2],[2],,68c05d04a751bef1798453406b0be7460068d9df37cc1a384121b0aedb85b242
WBCIC_MI,4,0,RANDOM,1,,100 exact-rank draws in corrected PSWA artifact,,68c05d04a751bef1798453406b0be7460068d9df37cc1a384121b0aedb85b242
