model,task,dataset,subject_id,session,fold,seed,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
EEGConformer,OpenBMI_MI,OpenBMI,39,S1,0,0,0.88,0.8798076923076923,0.88,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S1,0,0,0.6799999999999999,0.6798719487795117,0.68,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S1,0,0,0.75,0.7497747973175859,0.75,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S1,0,0,0.5900000000000001,0.5879811074263892,0.59,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S2,0,0,0.73,0.7266929851199515,0.73,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S2,0,0,0.69,0.6783898744683059,0.69,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S2,0,0,0.58,0.5495495495495495,0.58,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S2,0,0,0.5800000000000001,0.5793269230769231,0.58,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S2,0,0,0.64,0.625,0.64,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S2,0,0,0.53,0.49304282170208175,0.53,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S2,0,0,0.96,0.96,0.96,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S2,0,0,0.89,0.8899009108197378,0.89,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S2,0,0,0.9199999999999999,0.9197109594540345,0.92,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S2,0,0,0.61,0.5555555555555556,0.61,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,39,S2,0,0,0.74,0.7395833333333333,0.74,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S2,0,0,0.7,0.6998799519807923,0.7,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S2,0,0,0.6699999999999999,0.6697027324592133,0.67,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S2,0,0,0.69,0.6783898744683059,0.69,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S1,0,1,0.68,0.6753246753246753,0.68,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S1,0,1,0.81,0.8098288459613652,0.81,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S1,0,1,0.66,0.6427070197562001,0.66,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S1,0,1,0.71,0.7013695808876532,0.71,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S1,0,1,0.69,0.6874684948079444,0.69,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S1,0,1,0.59,0.5805626598465473,0.59,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S1,0,1,0.73,0.7237851662404092,0.73,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S1,0,1,0.66,0.6565656565656566,0.66,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S1,0,1,0.96,0.959983993597439,0.96,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S1,0,1,0.72,0.7144022847817217,0.72,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,39,S1,0,1,0.8999999999999999,0.8998397435897436,0.9,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S1,0,1,0.72,0.7181964573268921,0.72,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S1,0,1,0.66,0.66,0.66,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S1,0,1,0.64,0.6363636363636364,0.64,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S2,0,1,0.72,0.7083333333333334,0.72,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S2,0,1,0.78,0.7799119647859143,0.78,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S2,0,1,0.66,0.6565656565656566,0.66,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S2,0,1,0.62,0.62,0.62,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S2,0,1,0.62,0.6193910256410255,0.62,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S2,0,1,0.56,0.5416666666666666,0.56,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S2,0,1,0.96,0.96,0.96,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S2,0,1,0.8400000000000001,0.8397435897435898,0.84,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S2,0,1,0.95,0.9499949994999499,0.95,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S2,0,1,0.6799999999999999,0.6567996567996568,0.68,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,39,S2,0,1,0.8,0.8,0.8,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S2,0,1,0.73,0.7293233082706767,0.73,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S2,0,1,0.63,0.6296667000300271,0.63,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S2,0,1,0.72,0.7144022847817217,0.72,100,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S1,0,2,0.64,0.6216897856242118,0.64,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S1,0,2,0.76,0.7564935064935066,0.76,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S1,0,2,0.7,0.6989160979526294,0.7,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S1,0,2,0.76,0.7564935064935066,0.76,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S1,0,2,0.52,0.5,0.52,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S1,0,2,0.61,0.60996099609961,0.61,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S1,0,2,0.76,0.7536945812807883,0.76,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S1,0,2,0.54,0.5383380168606985,0.54,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S1,0,2,0.79,0.78997899789979,0.79,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S1,0,2,0.54,0.5392628205128205,0.54,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,39,S1,0,2,0.75,0.736036321402175,0.75,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S1,0,2,0.68,0.6753246753246753,0.68,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S1,0,2,0.65,0.6266666666666667,0.65,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S1,0,2,0.65,0.6496847162446202,0.65,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S2,0,2,0.7,0.6847414880201765,0.7,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S2,0,2,0.6599999999999999,0.6594551282051282,0.66,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S2,0,2,0.65,0.6496847162446202,0.65,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S2,0,2,0.51,0.5039983804028747,0.51,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S2,0,2,0.52,0.512987012987013,0.52,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S2,0,2,0.48,0.47916666666666663,0.48,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S2,0,2,0.98,0.9799919967987194,0.98,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S2,0,2,0.6699999999999999,0.6683750376846548,0.67,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S2,0,2,0.6599999999999999,0.6578099838969405,0.66,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S2,0,2,0.56,0.5592948717948718,0.56,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,39,S2,0,2,0.58,0.5442708333333334,0.58,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,42,S2,0,2,0.69,0.6897207486738064,0.69,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,51,S2,0,2,0.6699999999999999,0.6673051718923279,0.67,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,54,S2,0,2,0.71,0.7099709970997099,0.71,100,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,4,S1,1,0,0.55,0.508679986898133,0.55,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,12,S1,1,0,0.7,0.6782496782496783,0.7,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,13,S1,1,0,0.7,0.6980676328502415,0.7,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,17,S1,1,0,0.72,0.7028862478777589,0.72,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,18,S1,1,0,0.5700000000000001,0.5538956323270048,0.57,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,24,S1,1,0,0.62,0.6198479391756703,0.62,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,25,S1,1,0,0.75,0.7457023700539112,0.75,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,29,S1,1,0,0.65,0.6496847162446202,0.65,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,36,S1,1,0,0.8,0.797077922077922,0.8,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,37,S1,1,0,0.61,0.60996099609961,0.61,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,39,S1,1,0,0.79,0.7894736842105263,0.79,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,42,S1,1,0,0.69,0.6874684948079444,0.69,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,51,S1,1,0,0.6599999999999999,0.6486151302190988,0.66,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,54,S1,1,0,0.6699999999999999,0.6683750376846548,0.67,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGConformer,OpenBMI_MI,OpenBMI,4,S2,1,0,0.7,0.6899545266639107,0.7,100,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
