dataset,fold,method,bn_layer,running_mean_abs_L2,running_mean_relative_L2,running_var_abs_L2,running_var_relative_L2,source_num_batches_tracked,current_num_batches_tracked
WBCIC,1,NRRF-v1,temporal_norm.1,0.0005918306414969265,0.3355292478171583,0.2648444175720215,0.24510239481846635,3717,4977
WBCIC,1,NRRF-v1,temporal_norm.2,0.001014307956211269,0.4313500171441523,0.5746785998344421,0.25591797444011843,3717,4977
WBCIC,2,JOINT-CE,norm1,0.053975436836481094,0.19879766614667127,0.056943342089653015,0.0648732604221143,2646,3906
WBCIC,2,JOINT-CE,norm2,0.05335105583071709,0.22014374743008702,0.05022963881492615,0.07303868656918983,2646,3906
WBCIC,2,JOINT-CE,spatial_norm.0,0.0540132112801075,0.2517076781148956,0.05965403839945793,0.13548109028256664,2646,3906
WBCIC,2,JOINT-CE,spatial_norm.1,0.07058218121528625,0.33977062797890445,0.1716400384902954,0.20339862016409724,2646,3906
WBCIC,2,JOINT-CE,spatial_norm.2,0.046917714178562164,0.3077828151765507,0.07571051269769669,0.11091808588311226,2646,3906
WBCIC,2,JOINT-CE,temporal_norm.0,0.0011069680331274867,1.8977938134776924,0.17624926567077637,0.18474798187296496,2646,3906
WBCIC,2,JOINT-CE,temporal_norm.1,0.0009477983112446964,1.4794811314803948,0.19207270443439484,0.20127543335518971,2646,3906
WBCIC,2,JOINT-CE,temporal_norm.2,0.000921828206628561,0.313459276778103,0.44964197278022766,0.2801405214475036,2646,3906
WBCIC,2,NRRF-v1,norm1,0.055009759962558746,0.20260719573192865,0.06558473408222198,0.07471805092037632,2646,3906
WBCIC,2,NRRF-v1,norm2,0.048922471702098846,0.20186997401167778,0.055880967527627945,0.08125625763449942,2646,3906
WBCIC,2,NRRF-v1,spatial_norm.0,0.0626150518655777,0.2917932288527496,0.08367841690778732,0.19004317997504092,2646,3906
WBCIC,2,NRRF-v1,spatial_norm.1,0.06652151793241501,0.3202232848694053,0.16753488779067993,0.19853389282418418,2646,3906
WBCIC,2,NRRF-v1,spatial_norm.2,0.04663078859448433,0.30590056738251803,0.08255311101675034,0.12094268987763154,2646,3906
WBCIC,2,NRRF-v1,temporal_norm.0,0.0011123529402539134,1.9070257362838205,0.1790408194065094,0.187674143959393,2646,3906
WBCIC,2,NRRF-v1,temporal_norm.1,0.0009105719509534538,1.4213720411906514,0.1693720519542694,0.1774871304891599,2646,3906
WBCIC,2,NRRF-v1,temporal_norm.2,0.0009562962804920971,0.3251798310283503,0.4243530035018921,0.26438473024167347,2646,3906
WBCIC,3,JOINT-CE,norm1,0.051305875182151794,0.15997484136181067,0.06304920464754105,0.07887056159739332,2268,3528
WBCIC,3,JOINT-CE,norm2,0.04099290072917938,0.1491399070129153,0.06886045634746552,0.0990119899039984,2268,3528
WBCIC,3,JOINT-CE,spatial_norm.0,0.06853984296321869,0.30650583503848194,0.26840704679489136,0.39029804331015117,2268,3528
WBCIC,3,JOINT-CE,spatial_norm.1,0.03860892355442047,0.14369624079411897,0.15214766561985016,0.15023833708274628,2268,3528
WBCIC,3,JOINT-CE,spatial_norm.2,0.07341000437736511,0.35213052224124486,0.12086879462003708,0.19973054711099433,2268,3528
WBCIC,3,JOINT-CE,temporal_norm.0,0.0009176277089864016,0.4954025583610787,1.3135143518447876,552.5417681555061,2268,3528
WBCIC,3,JOINT-CE,temporal_norm.1,0.0007874119910411537,0.587478917410916,0.7658941149711609,532.2958116736496,2268,3528
WBCIC,3,JOINT-CE,temporal_norm.2,0.0006788157625123858,0.4982144624894827,1.643489122390747,783.5167338216157,2268,3528
WBCIC,3,NRRF-v1,norm1,0.06199825927615166,0.1933143457196318,0.06953184306621552,0.08697993166116992,2268,3528
WBCIC,3,NRRF-v1,norm2,0.04317113757133484,0.15706474361419367,0.07966078817844391,0.11454140116454437,2268,3528
WBCIC,3,NRRF-v1,spatial_norm.0,0.07928157597780228,0.35454218448215097,0.2285211831331253,0.3322989157581131,2268,3528
WBCIC,3,NRRF-v1,spatial_norm.1,0.0428166538476944,0.159356740226763,0.12279655784368515,0.12125556165952493,2268,3528
WBCIC,3,NRRF-v1,spatial_norm.2,0.07033198326826096,0.3373659790456499,0.11111562699079514,0.18361385203864353,2268,3528
WBCIC,3,NRRF-v1,temporal_norm.0,0.0009130307007580996,0.4929207570654059,1.3423675298690796,564.679120122812,2268,3528
WBCIC,3,NRRF-v1,temporal_norm.1,0.0007698063855059445,0.574343580131492,0.7687098979949951,534.2527786758379,2268,3528
WBCIC,3,NRRF-v1,temporal_norm.2,0.0006613488658331335,0.48539469456275564,1.66065514087677,791.7004586504877,2268,3528
WBCIC,4,JOINT-CE,norm1,0.044719744473695755,0.16488856432243765,0.08465886116027832,0.09576283471032901,3213,4473
WBCIC,4,JOINT-CE,norm2,0.04392161965370178,0.17784461757690698,0.0641443207859993,0.08776908135592851,3213,4473
WBCIC,4,JOINT-CE,spatial_norm.0,0.08262356370687485,0.3685061267875866,0.1195676177740097,0.22038214765608619,3213,4473
