seed,fold,candidate_order,eigenvalue,P_cross_session,U_signed_loss,U_signed_BA,D_decision_flip,PUD_score,passed,identity_required,source_subjects
1,2,26,0.0018580401096211317,0.4199969930896497,0.00043655850753465675,0.0008823529411765563,0.007941176470588234,1.6339210334679938e-05,True,False,34
1,2,27,0.0015162442497949297,0.39127558648672134,0.00022461273631080303,0.0008823529411764452,0.005588235294117647,6.569835197370044e-06,True,False,34
1,2,28,0.0012575345797394028,0.49443483210860034,4.0049271619602145e-06,0.0,0.0035294117647058825,1.176399553682242e-07,False,False,34
1,2,29,0.0005739719018616996,0.19195090422357447,5.150208644677523e-05,0.0020588235294116686,0.012647058823529412,1.1117567034794163e-06,True,False,34
1,2,30,0.00036526193626287254,0.22418776422901,1.6055480813625955e-05,-0.0002941176470587781,0.002058823529411765,1.633220392193353e-07,True,False,34
1,2,31,9.061213197164717e-05,0.13769989947196368,-1.7959336530481984e-05,0.0,0.00411764705882353,0.0,False,False,34
2,2,0,3.319580647838538,0.899911766897944,0.0007387783164938821,-0.0008823529411764452,0.009117647058823529,6.348271051340957e-05,True,False,34
2,2,1,0.3333481846569765,0.7540499733476632,0.011641671244562168,0.0052941176470587825,0.047058823529411764,0.0019043027433025674,True,False,34
2,2,2,0.19692460549231158,0.6714740333926701,0.0001046612518833534,-0.0014705882352940014,0.005,4.96935650418223e-06,True,False,34
2,2,3,0.16977324031134539,0.7176417825204957,0.009104085885134006,0.007058823529411784,0.04058823529411765,0.0013162674675330362,True,False,34
2,2,4,0.1358890069683876,0.732085462868028,0.0002141822709690322,-0.0011764705882352233,0.00411764705882353,1.0061665306198753e-05,True,False,34
2,2,5,0.10076904811096604,0.5884042339558421,0.01102964201999157,0.009411764705882342,0.039411764705882354,0.0012883983128568206,True,False,34
2,2,6,0.0695285226682824,0.6766559161359198,0.0028268862126513694,0.002941176470588336,0.02823529411764706,0.0003214196099663852,True,False,34
2,2,7,0.052263367217319355,0.6726329593264333,0.0034505425287413294,0.0014705882352942234,0.025,0.000366974201264052,True,False,34
2,2,8,0.046542789154302974,0.625072469095459,1.715459369533434e-05,-0.0005882352941176672,0.000588235294117647,2.600676801072521e-07,True,False,34
2,2,9,0.04477222569741374,0.7685038689450266,0.0012245615369623764,-0.0005882352941176672,0.02,0.00013308884970532922,True,False,34
2,2,10,0.0319118695897348,0.6458064443790681,-2.0679500288278696e-05,-0.0008823529411764452,0.0008823529411764706,0.0,False,False,34
2,2,11,0.026705777988116994,0.6756240783167557,-0.00031505168174267295,-0.0002941176470587781,0.006764705882352941,0.0,False,False,34
2,2,12,0.02366193267346669,0.5940030340996431,0.001104252099783376,0.0002941176470588891,0.008529411764705883,6.0578210508698426e-05,True,False,34
2,2,13,0.020069359914662657,0.6506260853407511,0.0001141767510234315,-0.0017647058823528905,0.0035294117647058825,4.4132682182581564e-06,True,False,34
2,2,14,0.01758478182790735,0.6964245237574657,-2.0783399172663586e-05,-0.0008823529411764452,0.0008823529411764706,0.0,False,False,34
2,2,15,0.016414799588182243,0.7224385316059556,-0.00017057351219962325,-0.0014705882352941124,0.007352941176470588,0.0,False,False,34
