comparison,task,target,feature_set,heldout_fold,evaluation_scope,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
X,OpenBMI_MI,SAFE_SWITCH,CONF_ONLY,3,seed0,140,61,0.6075949367088607,0.5951462950179522,0.5836273085702428,0.5135135135135135,0.6229508196721312
X,OpenBMI_MI,SAFE_SWITCH,CONF_ONLY,4,seed0,121,70,0.5117647058823529,0.6543449430398431,0.5226890756302521,0.6037735849056604,0.45714285714285713
X,OpenBMI_MI,SAFE_SWITCH,MECH,0,seed0,134,73,0.4199416123961374,0.48631559345695125,0.5104423983831126,0.5529411764705883,0.6438356164383562
X,OpenBMI_MI,SAFE_SWITCH,MECH,1,seed0,109,65,0.505944055944056,0.6336676648372479,0.5194055944055944,0.8,0.06153846153846154
X,OpenBMI_MI,SAFE_SWITCH,MECH,2,seed0,181,90,0.6240537240537241,0.6257061084612368,0.5900488400488401,0.6481481481481481,0.3888888888888889
X,OpenBMI_MI,SAFE_SWITCH,MECH,3,seed0,140,61,0.5156671508611745,0.5269298424775666,0.46078024486407965,0.40816326530612246,0.6557377049180327
X,OpenBMI_MI,SAFE_SWITCH,MECH,4,seed0,121,70,0.4969187675070028,0.5893563712035232,0.5091036414565826,0.6,0.21428571428571427
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,100,71,0.7809616318601262,0.8911424723008945,0.6843127731908694,0.8169014084507042,0.8169014084507042
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,95,55,0.8454545454545456,0.9103760586366357,0.7147727272727272,0.734375,0.8545454545454545
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,76,45,0.7290322580645162,0.7770255822538417,0.6537634408602151,0.7741935483870968,0.5333333333333333
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,65,34,0.6119544592030361,0.6013164114474007,0.603415559772296,0.6428571428571429,0.5294117647058824
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,21,16,0.8374999999999999,0.9485233709788663,0.6375,0.8235294117647058,0.875
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,100,71,0.6080621661000486,0.7505588452336263,0.5565808644973288,0.7402597402597403,0.8028169014084507
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,95,55,0.875909090909091,0.9267377633897428,0.6477272727272727,0.6666666666666666,0.9454545454545454
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,76,45,0.6559139784946236,0.7570151976004368,0.5526881720430108,0.7058823529411765,0.26666666666666666
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,65,34,0.5920303605313093,0.6148795831033714,0.5317836812144212,0.5476190476190477,0.6764705882352942
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,MECH,4,seed0,21,16,0.7875,0.9105827780750382,0.76875,0.8823529411764706,0.9375
X,OpenBMI_SSVEP,SAFE_SWITCH,CONF_ONLY,0,seed0,136,71,0.7300108342361864,0.7450899266790828,0.6167930660888408,0.6063829787234043,0.8028169014084507
X,OpenBMI_SSVEP,SAFE_SWITCH,CONF_ONLY,1,seed0,109,55,0.8222222222222223,0.8702811150728,0.7518518518518519,0.7333333333333333,0.8
X,OpenBMI_SSVEP,SAFE_SWITCH,CONF_ONLY,2,seed0,109,45,0.7211805555555555,0.6501888926682837,0.6663194444444445,0.6875,0.4888888888888889
X,OpenBMI_SSVEP,SAFE_SWITCH,CONF_ONLY,3,seed0,72,34,0.6749226006191951,0.6396200295563607,0.6478328173374612,0.6551724137931034,0.5588235294117647
X,OpenBMI_SSVEP,SAFE_SWITCH,CONF_ONLY,4,seed0,22,16,0.90625,0.9686855005159959,0.71875,0.8333333333333334,0.9375
X,OpenBMI_SSVEP,SAFE_SWITCH,MECH,0,seed0,136,71,0.6439869989165764,0.6471627925630364,0.5295774647887324,0.5398230088495575,0.8591549295774648
X,OpenBMI_SSVEP,SAFE_SWITCH,MECH,1,seed0,109,55,0.8171717171717172,0.7797839669576494,0.752020202020202,0.7413793103448276,0.7818181818181819
X,OpenBMI_SSVEP,SAFE_SWITCH,MECH,2,seed0,109,45,0.6284722222222222,0.5627549867277906,0.5473958333333333,0.5217391304347826,0.26666666666666666
X,OpenBMI_SSVEP,SAFE_SWITCH,MECH,3,seed0,72,34,0.6455108359133127,0.6793684733739696,0.5688854489164087,0.5428571428571428,0.5588235294117647
X,OpenBMI_SSVEP,SAFE_SWITCH,MECH,4,seed0,22,16,0.8333333333333334,0.9135067546832253,0.7708333333333333,0.875,0.875
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,257,127,0.5334948516050878,0.5659839686737673,0.5067231980617808,0.5,0.5826771653543307
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,218,118,0.7029661016949151,0.741674978357761,0.5963559322033899,0.8157894736842105,0.2627118644067797
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,170,87,0.4981304528458662,0.5321145918035682,0.48400498545907766,0.4931506849315068,0.41379310344827586
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,180,68,0.6200105042016807,0.5113327068685086,0.6024159663865546,0.49333333333333335,0.5441176470588235
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,156,70,0.570265780730897,0.5148682933421926,0.5166112956810631,0.46875,0.42857142857142855
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,257,127,0.5171411265899455,0.5299029537174192,0.49121744397334943,0.48936170212765956,0.905511811023622
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,218,118,0.49211864406779654,0.5833088049180523,0.5135593220338983,0.6,0.1271186440677966
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,170,87,0.5042237917185985,0.5450480377965499,0.48781332225453544,0.5,0.5057471264367817
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,180,68,0.6211922268907563,0.47015719395949473,0.5593487394957983,0.5135135135135135,0.27941176470588236
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,MECH,4,seed0,156,70,0.5470099667774085,0.4978973782475544,0.5493355481727575,0.5333333333333333,0.34285714285714286
X,WBCIC_MI,SAFE_SWITCH,CONF_ONLY,0,seed0,257,127,0.5334948516050878,0.5659839686737673,0.5067231980617808,0.5,0.5826771653543307
X,WBCIC_MI,SAFE_SWITCH,CONF_ONLY,1,seed0,218,118,0.7029661016949151,0.741674978357761,0.5963559322033899,0.8157894736842105,0.2627118644067797
X,WBCIC_MI,SAFE_SWITCH,CONF_ONLY,2,seed0,170,87,0.4981304528458662,0.5321145918035682,0.48400498545907766,0.4931506849315068,0.41379310344827586
X,WBCIC_MI,SAFE_SWITCH,CONF_ONLY,3,seed0,180,68,0.6200105042016807,0.5113327068685086,0.6024159663865546,0.49333333333333335,0.5441176470588235
X,WBCIC_MI,SAFE_SWITCH,CONF_ONLY,4,seed0,156,70,0.570265780730897,0.5148682933421926,0.5166112956810631,0.46875,0.42857142857142855
X,WBCIC_MI,SAFE_SWITCH,MECH,0,seed0,257,127,0.5171411265899455,0.5299029537174192,0.49121744397334943,0.48936170212765956,0.905511811023622
X,WBCIC_MI,SAFE_SWITCH,MECH,1,seed0,218,118,0.49211864406779654,0.5833088049180523,0.5135593220338983,0.6,0.1271186440677966
X,WBCIC_MI,SAFE_SWITCH,MECH,2,seed0,170,87,0.5042237917185985,0.5450480377965499,0.48781332225453544,0.5,0.5057471264367817
X,WBCIC_MI,SAFE_SWITCH,MECH,3,seed0,180,68,0.6211922268907563,0.47015719395949473,0.5593487394957983,0.5135135135135135,0.27941176470588236
X,WBCIC_MI,SAFE_SWITCH,MECH,4,seed0,156,70,0.5470099667774085,0.4978973782475544,0.5493355481727575,0.5333333333333333,0.34285714285714286
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,pooled,6096,3783,0.6620972222079367,0.7569683829894716,0.6115194502815346,0.7284366576819407,0.5715040972772931
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,1965,1254,0.6283913978784065,0.734855337587453,0.590850207605704,0.7237798546209762,0.5558213716108453
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed1,1896,1141,0.6550150617269619,0.7450856392704527,0.6006628320689995,0.6967808930425753,0.5880806310254163
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed2,2235,1388,0.6973170266987402,0.7881202263044536,0.6396239992650787,0.761996161228407,0.5720461095100865
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,pooled,3988,2014,0.6914199388475202,0.69183983943957,0.6287804014250802,0.6444082519001085,0.5893743793445879
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,1337,639,0.6602499428279323,0.6403167279769246,0.6003919089192911,0.5875613747954174,0.5618153364632238
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed1,1358,743,0.7230673275777172,0.7448394945620125,0.6696363894998304,0.718796992481203,0.6433378196500673
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed2,1293,632,0.6875993412359486,0.6895155751183856,0.6135099293360654,0.6183745583038869,0.5537974683544303
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,pooled,3970,1988,0.6491357326603414,0.6536518069237245,0.6055662938275466,0.6671961874503575,0.4225352112676056
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,1302,682,0.6586912307255699,0.68176701864586,0.6197214076246333,0.6750972762645915,0.5087976539589443
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed1,1442,630,0.6209183673469387,0.5593528741658067,0.5751915708812261,0.581081081081081,0.3412698412698413
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed2,1226,676,0.665185583647122,0.7184303698239158,0.6174394835933297,0.7413333333333333,0.41124260355029585
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,pooled,4691,3025,0.7110370759874198,0.8163111534677425,0.6536904348516266,0.7714723926380368,0.6651239669421488
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,1688,968,0.7235852846648302,0.7766214689524417,0.6592745638200184,0.7040714995034757,0.7324380165289256
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed1,1420,1017,0.7126663104396477,0.8629557388093615,0.6612451842254868,0.8637083993660856,0.5358898721730581
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed2,1583,1040,0.7427946593001841,0.8533390274660709,0.6692112905510695,0.7814432989690722,0.7288461538461538
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,pooled,5273,2924,0.6734761830717615,0.711913397130125,0.625923858509515,0.6616590463749183,0.6928864569083447
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,1884,983,0.6731505516081939,0.6898006874202288,0.6304710601874486,0.6361940298507462,0.6937945066124109
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed1,1686,937,0.6771675645791686,0.7152201411290697,0.6343050071742757,0.6729559748427673,0.6851654215581644
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed2,1703,1004,0.6671069655569425,0.7307936428213136,0.6106888611505338,0.6776061776061776,0.6992031872509961
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,pooled,6096,3783,0.6783987893137878,0.7576328418250613,0.6218762139176115,0.7174093551065597,0.6851704996034893
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,1965,1254,0.6546656886430371,0.7416574005358132,0.6102194496598228,0.7253705318221447,0.6634768740031898
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed1,1896,1141,0.6789002327457616,0.7530228045839129,0.602328038028684,0.6708766716196136,0.7914110429447853
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed2,2235,1388,0.715227332269512,0.7877640626574528,0.6534637421787015,0.7651785714285714,0.6174351585014409
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,pooled,3988,2014,0.7123157150201878,0.7118891475301208,0.6394662388609018,0.6171843485276322,0.759682224428997
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,1337,639,0.6859325324759766,0.6615978590589755,0.6061808610337607,0.5494949494949495,0.8513302034428795
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed1,1358,743,0.7563448555077745,0.7825532876572561,0.6758395430522273,0.699228791773779,0.7321668909825033
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed2,1293,632,0.7179546716712306,0.7188547575418274,0.6462039679044026,0.6216596343178622,0.6993670886075949
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,pooled,3970,1988,0.641994753587113,0.6451488651259638,0.5997587441906738,0.6535493827160493,0.426056338028169
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,1302,682,0.6495104531264781,0.6693219492505134,0.613782991202346,0.6981132075471698,0.4340175953079179
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed1,1442,630,0.644667292204238,0.5823625732854771,0.5935276409414341,0.5725971370143149,0.4444444444444444
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed2,1226,676,0.6432167832167832,0.7005591545066093,0.5986256051640667,0.7075718015665796,0.40088757396449703
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,pooled,4691,3025,0.7147428888910937,0.796658317191392,0.6480770490014187,0.7461783439490446,0.7745454545454545
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,1688,968,0.6914213154269973,0.7145050138268749,0.6387109733700642,0.6807116104868914,0.7510330578512396
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed1,1420,1017,0.7093553510910063,0.8418927023277705,0.622353001456627,0.7809349220898258,0.8377581120943953
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed2,1583,1040,0.7442059781838787,0.8440309987923539,0.6674918543703074,0.7787971457696228,0.7346153846153847
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,pooled,5273,2924,0.6764895152869428,0.7076916395184674,0.6155538725038858,0.7072552004058853,0.47674418604651164
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,seed0,1884,983,0.6759246818556978,0.684161848947414,0.6070840244195722,0.6926994906621392,0.4150559511698881
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,seed1,1686,937,0.684317617371009,0.7145893416799308,0.6138259051912689,0.7035881435257411,0.4813233724653148
XS,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,seed2,1703,1004,0.663389361010892,0.7227980201353492,0.6190809010025705,0.7219973009446694,0.5328685258964143
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,pooled,6096,3783,0.6620972222079367,0.7569683829894716,0.6115194502815346,0.7284366576819407,0.5715040972772931
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,seed0,1965,1254,0.6283913978784065,0.734855337587453,0.590850207605704,0.7237798546209762,0.5558213716108453
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,seed1,1896,1141,0.6550150617269619,0.7450856392704527,0.6006628320689995,0.6967808930425753,0.5880806310254163
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,seed2,2235,1388,0.6973170266987402,0.7881202263044536,0.6396239992650787,0.761996161228407,0.5720461095100865
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,pooled,3988,2014,0.6914199388475202,0.69183983943957,0.6287804014250802,0.6444082519001085,0.5893743793445879
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,seed0,1337,639,0.6602499428279323,0.6403167279769246,0.6003919089192911,0.5875613747954174,0.5618153364632238
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,seed1,1358,743,0.7230673275777172,0.7448394945620125,0.6696363894998304,0.718796992481203,0.6433378196500673
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,seed2,1293,632,0.6875993412359486,0.6895155751183856,0.6135099293360654,0.6183745583038869,0.5537974683544303
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,pooled,3970,1988,0.6491357326603414,0.6536518069237245,0.6055662938275466,0.6671961874503575,0.4225352112676056
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,seed0,1302,682,0.6586912307255699,0.68176701864586,0.6197214076246333,0.6750972762645915,0.5087976539589443
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,seed1,1442,630,0.6209183673469387,0.5593528741658067,0.5751915708812261,0.581081081081081,0.3412698412698413
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,seed2,1226,676,0.665185583647122,0.7184303698239158,0.6174394835933297,0.7413333333333333,0.41124260355029585
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,pooled,4691,3025,0.7110370759874198,0.8163111534677425,0.6536904348516266,0.7714723926380368,0.6651239669421488
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,seed0,1688,968,0.7235852846648302,0.7766214689524417,0.6592745638200184,0.7040714995034757,0.7324380165289256
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,seed1,1420,1017,0.7126663104396477,0.8629557388093615,0.6612451842254868,0.8637083993660856,0.5358898721730581
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,seed2,1583,1040,0.7427946593001841,0.8533390274660709,0.6692112905510695,0.7814432989690722,0.7288461538461538
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,4,pooled,5273,2924,0.6734761830717615,0.711913397130125,0.625923858509515,0.6616590463749183,0.6928864569083447
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,4,seed0,1884,983,0.6731505516081939,0.6898006874202288,0.6304710601874486,0.6361940298507462,0.6937945066124109
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,4,seed1,1686,937,0.6771675645791686,0.7152201411290697,0.6343050071742757,0.6729559748427673,0.6851654215581644
XS,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,4,seed2,1703,1004,0.6671069655569425,0.7307936428213136,0.6106888611505338,0.6776061776061776,0.6992031872509961
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,0,pooled,6096,3783,0.6783987893137878,0.7576328418250613,0.6218762139176115,0.7174093551065597,0.6851704996034893
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,0,seed0,1965,1254,0.6546656886430371,0.7416574005358132,0.6102194496598228,0.7253705318221447,0.6634768740031898
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,0,seed1,1896,1141,0.6789002327457616,0.7530228045839129,0.602328038028684,0.6708766716196136,0.7914110429447853
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,0,seed2,2235,1388,0.715227332269512,0.7877640626574528,0.6534637421787015,0.7651785714285714,0.6174351585014409
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,1,pooled,3988,2014,0.7123157150201878,0.7118891475301208,0.6394662388609018,0.6171843485276322,0.759682224428997
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,1,seed0,1337,639,0.6859325324759766,0.6615978590589755,0.6061808610337607,0.5494949494949495,0.8513302034428795
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,1,seed1,1358,743,0.7563448555077745,0.7825532876572561,0.6758395430522273,0.699228791773779,0.7321668909825033
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,1,seed2,1293,632,0.7179546716712306,0.7188547575418274,0.6462039679044026,0.6216596343178622,0.6993670886075949
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,2,pooled,3970,1988,0.641994753587113,0.6451488651259638,0.5997587441906738,0.6535493827160493,0.426056338028169
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,2,seed0,1302,682,0.6495104531264781,0.6693219492505134,0.613782991202346,0.6981132075471698,0.4340175953079179
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,2,seed1,1442,630,0.644667292204238,0.5823625732854771,0.5935276409414341,0.5725971370143149,0.4444444444444444
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,2,seed2,1226,676,0.6432167832167832,0.7005591545066093,0.5986256051640667,0.7075718015665796,0.40088757396449703
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,3,pooled,4691,3025,0.7147428888910937,0.796658317191392,0.6480770490014187,0.7461783439490446,0.7745454545454545
XS,OpenBMI_ERP,SAFE_SWITCH,MECH,3,seed0,1688,968,0.6914213154269973,0.7145050138268749,0.6387109733700642,0.6807116104868914,0.7510330578512396
