comparison,task,candidate,seed_scope,feature_set,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,ci_low_pp,ci_high_pp,nonnegative_folds,positive_folds,worst_fold_pp,switch_rate_disagreements,switch_rate_all_trials,intervention_precision,realized_rescue_count,realized_harm_count,switched_both_wrong_count,oracle_headroom_pp,recovered_oracle_fraction
XS,OpenBMI_MI,XS,seed0,MECH,0.7915,0.799,0.80525,1.3749999999999998,0.6250000000000002,0.6500000000000004,2.0999999999999988,5,5,0.4999999999999963,0.476123595505618,0.08475,0.5811209439528023,197,142,0,9.274999999999999,0.14824797843665768
XS,OpenBMI_MI,XS,seed1,MECH,0.7915,0.75075,0.7852499999999999,-0.6250000000000002,3.4499999999999993,-1.5000000000000013,0.22500000000000026,1,1,-1.6250000000000013,0.31543624161073824,0.05875,0.44680851063829785,105,130,0,7.275,-0.08591065292096223
XS,OpenBMI_MI,XS,seed2,MECH,0.7915,0.7787499999999999,0.7929999999999999,0.14999999999999986,1.4250000000000012,-0.7000000000000008,0.9499999999999998,4,3,-1.125000000000001,0.26390685640362227,0.051,0.5147058823529411,105,99,0,9.025,0.016620498614958432
XS,OpenBMI_SSVEP,XS,seed0,CONF_ONLY,0.8919999999999998,0.9332499999999999,0.9359999999999999,4.399999999999999,0.27499999999999974,2.0500000000000003,7.6256249999999905,5,5,1.375000000000001,0.6462264150943396,0.0685,0.8548387096774194,212,36,26,6.65,0.6616541353383456
XS,OpenBMI_SSVEP,XS,seed1,CONF_ONLY,0.8919999999999998,0.9092500000000001,0.91425,2.224999999999999,0.499999999999999,1.099999999999999,3.449999999999998,5,5,1.3750000000000013,0.5092592592592593,0.055,0.7305699481865285,141,52,27,5.499999999999999,0.4045454545454545
XS,OpenBMI_SSVEP,XS,seed2,CONF_ONLY,0.8919999999999998,0.909,0.9199999999999999,2.7999999999999994,1.1,1.1499999999999984,4.974999999999999,5,5,0.37500000000000033,0.542528735632184,0.059,0.7616822429906542,163,51,22,5.624999999999999,0.49777777777777776
XS,OpenBMI_SSVEP,XS,seed0,MECH,0.8919999999999998,0.9332499999999999,0.9352499999999999,4.325,0.20000000000000018,1.8249999999999997,7.975,5,5,1.5000000000000013,0.7476415094339622,0.07925,0.8035087719298246,229,56,32,6.65,0.650375939849624
XS,OpenBMI_SSVEP,XS,seed1,MECH,0.8919999999999998,0.9092500000000001,0.9129999999999999,2.0999999999999988,0.37499999999999895,0.9999999999999989,3.3999999999999995,5,5,1.1250000000000009,0.5115740740740741,0.05525,0.71875,138,54,29,5.499999999999999,0.38181818181818167
XS,OpenBMI_SSVEP,XS,seed2,MECH,0.8919999999999998,0.909,0.91875,2.6750000000000003,0.9750000000000011,0.7,5.45,5,5,0.7500000000000007,0.5816091954022988,0.06325,0.7296137339055794,170,63,20,5.624999999999999,0.4755555555555557
XS,WBCIC_MI,XS,seed0,CONF_ONLY,0.7870401596611274,0.7899348321928968,0.7941536331052459,0.7113473444118588,0.4218800912349296,-0.40322580645161393,1.7759052215705424,4,4,-0.40803872053872076,0.7023346303501945,0.116545601291364,0.5304709141274239,383,339,0,8.437805474095793,0.08430478121304257
XS,WBCIC_MI,XS,seed1,CONF_ONLY,0.7870401596611274,0.7907211225154775,0.7975289182144019,1.0488758553274653,0.6807795698924707,-0.06402737047898709,2.017595307917885,4,4,-0.5833333333333375,0.656350053361793,0.09927360774818401,0.5528455284552846,340,275,0,7.744420006516779,0.13543633408891262
XS,WBCIC_MI,XS,seed2,CONF_ONLY,0.7870401596611274,0.7957292684913653,0.796875203649397,0.9835043988269769,0.11459351580319196,-0.03263379765396428,1.9835043988269765,5,5,0.416666666666667,0.6797872340425531,0.10314769975786925,0.5477308294209703,350,289,0,8.018430270446396,0.12265547814911958
XS,WBCIC_MI,XS,seed0,MECH,0.7870401596611274,0.7899348321928968,0.7918786656891496,0.483850602802216,0.19438334962528697,-0.6129240998696649,1.5322580645161283,4,4,-0.9167718855218832,0.6478599221789884,0.10750605326876514,0.5225225225225225,348,318,0,8.437805474095793,0.057343180556561256
XS,WBCIC_MI,XS,seed1,MECH,0.7870401596611274,0.7907211225154775,0.7955883431085046,0.8548183447376974,0.48672205930270285,-0.2580645161290344,1.774153327631149,4,4,-0.6666666666666693,0.5560298826040555,0.0841000807102502,0.5508637236084453,287,234,0,7.744420006516779,0.1103786137655737
XS,WBCIC_MI,XS,seed2,MECH,0.7870401596611274,0.7957292684913653,0.7958905588139459,0.8850399152818484,0.016129032258063357,0.04633023786249402,1.770131252036492,4,4,-0.16666666666666496,0.6095744680851064,0.09249394673123487,0.5479930191972077,314,259,0,8.018430270446396,0.11037570764241081
XS,OpenBMI_ERP,XS,equal_seed_mean,CONF_ONLY,0.8325530303030302,0.8360328282828283,0.842780303030303,1.022727272727273,0.6747474747474748,0.5098169191919174,1.5603661616161617,5,5,0.6906565656565643,0.5229724909144354,0.052904040404040405,0.6910489799378495,8680,3890,0,5.482323232323233,0.18654997696913866
XS,OpenBMI_ERP,XS,equal_seed_mean,MECH,0.8325530303030302,0.8360328282828283,0.8419393939393939,0.9386363636363642,0.590656565656566,0.4171527777777776,1.4878914141414148,5,5,0.34595959595959447,0.5109022600849876,0.05160353535353535,0.7026197373344815,8607,3654,0,5.482323232323233,0.17121142330723177
XS,OpenBMI_MI,XS,equal_seed_mean,CONF_ONLY,0.7915,0.7761666666666667,0.7978333333333333,0.6333333333333325,2.1666666666666665,-0.06666666666666694,1.3083333333333333,4,4,-0.08333333333333616,0.3954684613575868,0.07333333333333335,0.5396003968825515,478,402,0,8.524999999999999,0.07429130009775163
XS,OpenBMI_MI,XS,equal_seed_mean,MECH,0.7915,0.7761666666666667,0.7944999999999999,0.29999999999999977,1.8333333333333333,-0.3749999999999999,0.9166666666666667,5,5,0.041666666666664874,0.35182223117332617,0.06483333333333334,0.5142117789813471,407,371,0,8.524999999999999,0.0351906158357771
XS,OpenBMI_SSVEP,XS,equal_seed_mean,CONF_ONLY,0.8919999999999998,0.9171666666666667,0.9234166666666667,3.1416666666666653,0.6249999999999997,1.5,5.2502083333333305,5,5,1.2083333333333346,0.5660048033285943,0.06083333333333333,0.7823636336182007,516,139,75,5.924999999999999,0.5302390998593529
XS,OpenBMI_SSVEP,XS,equal_seed_mean,MECH,0.8919999999999998,0.9171666666666667,0.9223333333333331,3.033333333333333,0.5166666666666667,1.233124999999999,5.5,5,5,1.1666666666666676,0.6136082596367783,0.06591666666666667,0.7506241686118013,537,173,81,5.924999999999999,0.5119549929676512
XS,WBCIC_MI,XS,equal_seed_mean,CONF_ONLY,0.7870401596611275,0.7921284077332466,0.7961859183230149,0.914575866188767,0.40575105897686403,-0.009572879330946296,1.7694145758661868,5,5,0.055555555555553804,0.6794906392515135,0.10632230293247243,0.5436824240012262,1073,903,0,8.066885250352989,0.11337410137930834
XS,WBCIC_MI,XS,equal_seed_mean,MECH,0.7870401596611275,0.7921284077332466,0.7944525225372,0.741236287607254,0.23241148039535106,-0.0920970457260791,1.5215053763440833,5,5,0.11111111111111112,0.6044880909560502,0.09470002690341672,0.5404597551093918,949,811,0,8.066885250352989,0.09188630612724027
