benchmark,outer_fold,utility_R2,utility_pearson,utility_spearman,utility_sign_accuracy,positive_target_fraction,rows,subjects,controller_id,mode,cross_fitted
WBCIC_S1S2_to_S3_authorized_development,1,0.082647937610256,0.2919248542769965,0.2822100331854603,0.6380471380471381,0.3922558922558922,594,33,EXTRA_TREES_D4,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,1,0.1460857103906331,0.3842367387347482,0.3360937159369854,0.6397306397306397,0.3922558922558922,594,33,RIDGE_A1,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,1,0.2207695409842893,0.4712128370911396,0.3408367118118134,0.6717171717171717,0.3922558922558922,594,33,RIDGE_A10,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,1,0.1493760226851077,0.3905651940133542,0.3357723364270333,0.6515151515151515,0.3922558922558922,594,33,EXTRA_TREES_D4,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,2,0.0914682619925161,0.3707416306946576,0.3175810995868529,0.6111111111111112,0.468013468013468,594,33,RIDGE_A1,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,2,0.02821961679422,0.3214776365184269,0.3330498002256756,0.6094276094276094,0.468013468013468,594,33,RIDGE_A10,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,2,0.0075480408838388,0.1308944537827084,0.172029566915762,0.5757575757575758,0.468013468013468,594,33,EXTRA_TREES_D4,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,2,0.1189752695229308,0.3488812419710318,0.3230785042311676,0.6178451178451179,0.468013468013468,594,33,RIDGE_A1,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,2,0.0871882678983136,0.3439105363517685,0.3142644149488708,0.5976430976430976,0.468013468013468,594,33,RIDGE_A10,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,2,0.0072907797163346,0.1409195147897336,0.2302641819158037,0.5707070707070707,0.468013468013468,594,33,EXTRA_TREES_D4,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,3,-0.0245511426052542,0.2509195589923714,0.2565105760225291,0.5925925925925926,0.4427609427609427,594,33,RIDGE_A1,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,3,0.0207927714101164,0.2645030548175672,0.2804987251173144,0.6060606060606061,0.4427609427609427,594,33,RIDGE_A10,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,3,0.0570757035390926,0.2403332619641206,0.2112044622341629,0.5959595959595959,0.4427609427609427,594,33,EXTRA_TREES_D4,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,3,0.0985317702833894,0.3165158921358362,0.3149926575975578,0.5892255892255892,0.4427609427609427,594,33,RIDGE_A1,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,3,0.0597142928278172,0.2954887567868285,0.3102571050393686,0.6178451178451179,0.4427609427609427,594,33,RIDGE_A10,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,3,0.1122640924695614,0.3379300582415441,0.3389901967225645,0.6144781144781145,0.4427609427609427,594,33,EXTRA_TREES_D4,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,4,0.1393869577789654,0.4211984844703971,0.2735982552865798,0.5808080808080808,0.468013468013468,594,33,RIDGE_A1,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,4,0.1449846316588166,0.4190798247424576,0.2875598560748842,0.5875420875420876,0.468013468013468,594,33,RIDGE_A10,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,4,-0.0250678590761848,0.1581415369759998,0.0850106060105067,0.5286195286195287,0.468013468013468,594,33,EXTRA_TREES_D4,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,4,0.161271616231307,0.4018165163143654,0.3212205378855511,0.6144781144781145,0.468013468013468,594,33,RIDGE_A1,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,4,0.177850376250493,0.4353419708909529,0.2947744338677777,0.5808080808080808,0.468013468013468,594,33,RIDGE_A10,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,4,0.0849192151701792,0.307928592406949,0.1815162408159134,0.5673400673400674,0.468013468013468,594,33,EXTRA_TREES_D4,PERSIST_META,True
