benchmark,method_id,family,mean_subject_BA,subjects,source_file,OUTER_TEST_USED
OpenBMI,CONFORMER_NORM_FIXED_CALIBRATION,compact EEG-Conformer,0.7975925925925927,54,OPENBMI_V7.csv,False
OpenBMI,CONFORMER_NORM_FROZEN,compact EEG-Conformer,0.795185185185185,54,OPENBMI_V7.csv,False
OpenBMI,META_GENERIC_HYPER_HALF,low-rank history hypernetwork,0.7935185185185183,54,OPENBMI_HYPERNETWORK_META.csv,False
OpenBMI,PERSIST_META_HYPER_HALF,low-rank history hypernetwork,0.7920370370370371,54,OPENBMI_V7.csv,False
OpenBMI,CAPACITY_MATCHED_EEGNET_FIXED_CALIBRATION,wide EEGNet identity control,0.7912962962962964,54,OPENBMI_CAPACITY_MATCHED_EEGNET.csv,False
OpenBMI,CAPACITY_MATCHED_EEGNET_FROZEN,wide EEGNet identity control,0.7905555555555553,54,OPENBMI_V7.csv,False
OpenBMI,PERSIST_META_HYPER,low-rank history hypernetwork,0.7825925925925925,54,OPENBMI_HYPERNETWORK_META.csv,False
OpenBMI,META_GENERIC_HYPER,low-rank history hypernetwork,0.7812962962962963,54,OPENBMI_V7.csv,False
OpenBMI,FBCVARIANCE_NORM_FIXED_HEAD,filter-bank log-variance,0.7655555555555554,54,OPENBMI_FBCVARIANCE_NORM.csv,False
OpenBMI,FBCVARIANCE_FIXED_HEAD,filter-bank log-variance,0.7612962962962962,54,OPENBMI_V7.csv,False
OpenBMI,FBCVARIANCE_NORM_FIXED_CALIBRATION,filter-bank log-variance,0.7562962962962965,54,OPENBMI_FBCVARIANCE_NORM.csv,False
OpenBMI,FBCVARIANCE_NORM_FROZEN,filter-bank log-variance,0.7544444444444446,54,OPENBMI_V7.csv,False
OpenBMI,FBCVARIANCE_FIXED_CALIBRATION,filter-bank log-variance,0.7516666666666666,54,OPENBMI_FBCVARIANCE.csv,False
OpenBMI,FBCVARIANCE_FROZEN,filter-bank log-variance,0.7483333333333334,54,OPENBMI_V7.csv,False
OpenBMI,HISTORY_EA_EEGNET_FIXED_CALIBRATION,history Euclidean alignment,0.7442592592592592,54,OPENBMI_HISTORY_EA_EEGNET.csv,False
OpenBMI,HISTORY_EA_EEGNET_FROZEN,history Euclidean alignment,0.742962962962963,54,OPENBMI_V7.csv,False
OpenBMI,HISTORY_EA_EEGNET_FIXED_HEAD,history Euclidean alignment,0.7416666666666666,54,OPENBMI_HISTORY_EA_EEGNET.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,compact EEG-Conformer,0.8249672025129341,41,WBCIC_CONFORMER_NORM.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,compact EEG-Conformer,0.8226462798718897,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,compact EEG-Conformer,0.8219145725548167,41,WBCIC_CONFORMER_NORM.csv,False
WBCIC,ANCHOR_PLUS_PERSIST_META_RESIDUAL,initial utility-controller / anchor,0.8216796008869179,41,WBCIC_DEV_V7.csv,False
WBCIC,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,initial utility-controller / anchor,0.8208170115792067,41,WBCIC_CAPACITY_MATCHED_EEGNET.csv,False
WBCIC,ANCHOR_PLUS_META_GENERIC_RESIDUAL,initial utility-controller / anchor,0.8193535969450603,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FIXED_HEAD,wide EEGNet identity control,0.81837536954915,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,history Euclidean alignment,0.8173985279625523,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_HEAD,class-conditional session alignment,0.8150942350332595,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FIXED_CALIBRATION,wide EEGNet identity control,0.8150802229613203,41,WBCIC_CAPACITY_MATCHED_EEGNET.csv,False
WBCIC,ANCHOR_BLEND_META_GENERIC,initial utility-controller / anchor,0.814965970682434,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,history Euclidean alignment,0.8145936499137719,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,history Euclidean alignment,0.8143497474747475,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_PLUS_PERSIST_META_HYPER,low-rank history hypernetwork,0.8138784183296378,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FROZEN,wide EEGNet identity control,0.8138607107661985,41,WBCIC_CAPACITY_MATCHED_EEGNET.csv,False
WBCIC,CONFORMER_NORM_FIXED_HEAD,compact EEG-Conformer,0.8137452266568119,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND_PERSIST_META,initial utility-controller / anchor,0.8136245072678,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_PLUS_META_GENERIC_HYPER,low-rank history hypernetwork,0.8120414510963291,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_CCALIGN_FIXED_CALIBRATION,class-conditional session alignment,0.8100942350332595,41,WBCIC_CONFORMER_CCALIGN.csv,False
WBCIC,CONFORMER_NORM_FIXED_CALIBRATION,compact EEG-Conformer,0.8082484910076373,41,WBCIC_DEV_V7.csv,False
WBCIC,CONFORMER_NORM_FROZEN,compact EEG-Conformer,0.8070289788125155,41,WBCIC_CONFORMER_NORM.csv,False
WBCIC,META_GENERIC_HYPER_HALF,low-rank history hypernetwork,0.7997131374722838,41,WBCIC_DEV_V7.csv,False
WBCIC,ANCHOR_BLEND__CONFORMER_CCALIGN_FROZEN,class-conditional session alignment,0.7996064301552106,41,WBCIC_DEV_V7.csv,False
WBCIC,PERSIST_META_HYPER_HALF,low-rank history hypernetwork,0.7982497228381374,41,WBCIC_DEV_V7.csv,False
WBCIC,PERSIST_META,initial utility-controller / anchor,0.7964230721852673,41,WBCIC_DEV_V7.csv,False
WBCIC,META_GENERIC,initial utility-controller / anchor,0.7953255112096576,41,WBCIC_DEV_V7.csv,False
WBCIC,CAPACITY_MATCHED_EEGNET_FIXED_HEAD,wide EEGNet identity control,0.7944629219019463,41,WBCIC_DEV_V7.csv,False
WBCIC,V7_FEATURE_BASE,initial utility-controller / anchor,0.7933742916974624,41,WBCIC_DEV_V7.csv,False
WBCIC,CAPACITY_MATCHED_EEGNET_FIXED_CALIBRATION,wide EEGNet identity control,0.7912921901946292,41,WBCIC_DEV_V7.csv,False
WBCIC,PERSIST_META_HYPER,low-rank history hypernetwork,0.7908106984478935,41,WBCIC_DEV_V7.csv,False
WBCIC,CAPACITY_MATCHED_EEGNET_FROZEN,wide EEGNet identity control,0.7892139381621088,41,WBCIC_DEV_V7.csv,False
WBCIC,META_GENERIC_HYPER,low-rank history hypernetwork,0.7873820522296133,41,WBCIC_DEV_V7.csv,False
WBCIC,CONFORMER_CCALIGN_FIXED_HEAD,class-conditional session alignment,0.7686397511702389,41,WBCIC_DEV_V7.csv,False
WBCIC,HISTORY_EA_EEGNET_FIXED_CALIBRATION,history Euclidean alignment,0.7564090601133284,41,WBCIC_DEV_V7.csv,False
WBCIC,HISTORY_EA_EEGNET_FROZEN,history Euclidean alignment,0.7547017430401576,41,WBCIC_DEV_V7.csv,False
WBCIC,HISTORY_EA_EEGNET_FIXED_HEAD,history Euclidean alignment,0.7534783813747228,41,WBCIC_DEV_V7.csv,False
WBCIC,CONFORMER_CCALIGN_FIXED_CALIBRATION,class-conditional session alignment,0.7488848854397634,41,WBCIC_DEV_V7.csv,False
WBCIC,CONFORMER_CCALIGN_FROZEN,class-conditional session alignment,0.6849824464153732,41,WBCIC_CONFORMER_CCALIGN.csv,False
