model,fold,seed,subject,session,BA,Macro_F1,trials,selected_epoch,checkpoint_sha256,parameter_count,frozen_reused
B0_FULL,1,0,sub-12,S2,0.625,0.6157688465380773,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
B0_FULL,2,0,sub-01,S1,0.84,0.8372495168345031,200,11,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,45626,True
B0_FULL,2,0,sub-04,S1,0.825,0.8248905565978737,200,11,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,45626,True
B0_FULL,2,0,sub-01,S2,0.91,0.909265046879726,200,11,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,45626,True
B0_FULL,2,0,sub-04,S2,0.7250000000000001,0.7163120567375887,200,11,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f,45626,True
B0_FULL,3,0,sub-07,S1,0.505,0.4645030425963489,200,10,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,45626,True
B0_FULL,3,0,sub-11,S1,0.535,0.4324942791762013,200,10,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,45626,True
B0_FULL,3,0,sub-07,S2,0.5,0.3929091792132103,200,10,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,45626,True
B0_FULL,3,0,sub-11,S2,0.52,0.4955863808322824,200,10,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87,45626,True
B0_FULL,4,0,sub-02,S1,0.795,0.7922525398393758,200,17,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45626,True
B0_FULL,4,0,sub-09,S1,0.59,0.5849782366636299,200,17,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45626,True
B0_FULL,4,0,sub-02,S2,0.835,0.8319370527870439,200,17,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45626,True
B0_FULL,4,0,sub-09,S2,0.6799999999999999,0.6784242789669379,200,17,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c,45626,True
B1_SAME_SCALE_63,0,0,sub-03,S1,0.72,0.6961805555555556,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B1_SAME_SCALE_63,0,0,sub-08,S1,0.54,0.47987336047037543,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B1_SAME_SCALE_63,0,0,sub-10,S1,0.525,0.4797228839782031,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B1_SAME_SCALE_63,0,0,sub-03,S2,0.78,0.7698504027617952,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B1_SAME_SCALE_63,0,0,sub-08,S2,0.55,0.51171875,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B1_SAME_SCALE_63,0,0,sub-10,S2,0.6,0.568547082299644,200,10,c6c90767df256c269ca1dedb19ba19097d2164fdfe0e986d451e8a5c0cdcdf2a,45498,False
B2_SCALE_COLLAPSE,0,0,sub-03,S1,0.745,0.7300944669365722,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B2_SCALE_COLLAPSE,0,0,sub-08,S1,0.59,0.5208041140719962,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B2_SCALE_COLLAPSE,0,0,sub-10,S1,0.54,0.4574831937728505,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B2_SCALE_COLLAPSE,0,0,sub-03,S2,0.8,0.7947454844006567,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B2_SCALE_COLLAPSE,0,0,sub-08,S2,0.5700000000000001,0.5174503422735944,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B2_SCALE_COLLAPSE,0,0,sub-10,S2,0.54,0.44147644487615345,200,41,60722e3605b3bed0c8fa3ac7ceac552603848fc65ef7fe2fed8c2a4d191f7be6,45626,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-03,S1,0.78,0.7688104245481295,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-08,S1,0.575,0.49161159125571935,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-10,S1,0.61,0.6060606060606061,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-03,S2,0.855,0.8533835536793144,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-08,S2,0.53,0.4506778868630201,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B3_SINGLE_SPATIAL_BASIS,0,0,sub-10,S2,0.56,0.5596036432789511,200,46,15df799d1bbe3994237f059a4dcfbcc5034db0f7a3f1f77ba14c0cd6665acf60,45698,False
B4_ONE_STAGE_BACKEND,0,0,sub-03,S1,0.65,0.6011396011396011,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B4_ONE_STAGE_BACKEND,0,0,sub-08,S1,0.525,0.42028985507246375,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B4_ONE_STAGE_BACKEND,0,0,sub-10,S1,0.5900000000000001,0.539894512400404,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B4_ONE_STAGE_BACKEND,0,0,sub-03,S2,0.685,0.6526916397916149,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B4_ONE_STAGE_BACKEND,0,0,sub-08,S2,0.53,0.4643874643874644,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B4_ONE_STAGE_BACKEND,0,0,sub-10,S2,0.63,0.6009060511271707,200,19,d34e868020a15645c74c476aad2954c669b5eb9e6fa028215e054e1d860e7cb1,39418,False
B1_SAME_SCALE_63,1,0,sub-05,S1,0.625,0.5865376664185893,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B1_SAME_SCALE_63,1,0,sub-06,S1,0.67,0.646074646074646,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B1_SAME_SCALE_63,1,0,sub-12,S1,0.525,0.5041624259505728,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B1_SAME_SCALE_63,1,0,sub-05,S2,0.525,0.5249881247031176,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B1_SAME_SCALE_63,1,0,sub-06,S2,0.62,0.5597265670258371,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B1_SAME_SCALE_63,1,0,sub-12,S2,0.575,0.5747342088805503,200,31,58353dec059f3904c477bc1e6826986279b8bb8199f8e15f0aa231296421b2a6,45498,False
B2_SCALE_COLLAPSE,1,0,sub-05,S1,0.5599999999999999,0.48574100046750823,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B2_SCALE_COLLAPSE,1,0,sub-06,S1,0.6799999999999999,0.6692848284415047,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B2_SCALE_COLLAPSE,1,0,sub-12,S1,0.525,0.514798641436196,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B2_SCALE_COLLAPSE,1,0,sub-05,S2,0.655,0.6524892347208582,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B2_SCALE_COLLAPSE,1,0,sub-06,S2,0.775,0.7708232538005144,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B2_SCALE_COLLAPSE,1,0,sub-12,S2,0.56,0.5164835164835164,200,43,69a1e6bae49e597b418c52d0097a6a709bb41bbde5742fe235e0ec946414a8dc,45626,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-05,S1,0.6,0.5404411764705883,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-06,S1,0.6799999999999999,0.6784242789669379,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-12,S1,0.515,0.48402883055400414,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-05,S2,0.565,0.4845818892739714,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-06,S2,0.6699999999999999,0.6396986570586308,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B3_SINGLE_SPATIAL_BASIS,1,0,sub-12,S2,0.645,0.6439228666716819,200,31,3e7d64f096f5b935d982f441daff30ab20edde24ce2de96862a7b377f1f1857c,45698,False
B4_ONE_STAGE_BACKEND,1,0,sub-05,S1,0.585,0.5127821314314226,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B4_ONE_STAGE_BACKEND,1,0,sub-06,S1,0.68,0.6753246753246753,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B4_ONE_STAGE_BACKEND,1,0,sub-12,S1,0.5349999999999999,0.5340564643402891,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B4_ONE_STAGE_BACKEND,1,0,sub-05,S2,0.5900000000000001,0.5464100011063171,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B4_ONE_STAGE_BACKEND,1,0,sub-06,S2,0.6699999999999999,0.6373626373626373,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B4_ONE_STAGE_BACKEND,1,0,sub-12,S2,0.575,0.5658724686534385,200,43,33c041ec3304cf4ee6902357316194943878d22f35d7a6312843e749e065c408,39418,False
B1_SAME_SCALE_63,2,0,sub-01,S1,0.745,0.7272654349046765,200,23,e0dd20f07ca26b134ad50c5035b672f1daa91eb01a476472cef29f1f9b8d28ff,45498,False
B1_SAME_SCALE_63,2,0,sub-04,S1,0.815,0.8148843026891808,200,23,e0dd20f07ca26b134ad50c5035b672f1daa91eb01a476472cef29f1f9b8d28ff,45498,False
B1_SAME_SCALE_63,2,0,sub-01,S2,0.81,0.8028841166096068,200,23,e0dd20f07ca26b134ad50c5035b672f1daa91eb01a476472cef29f1f9b8d28ff,45498,False
B1_SAME_SCALE_63,2,0,sub-04,S2,0.74,0.7226666666666667,200,23,e0dd20f07ca26b134ad50c5035b672f1daa91eb01a476472cef29f1f9b8d28ff,45498,False
B2_SCALE_COLLAPSE,2,0,sub-01,S1,0.865,0.8624939522803086,200,17,8be4231a51a01ba13b56a099074997d0484498b9a8d435da451ab30282d8c5c8,45626,False
B2_SCALE_COLLAPSE,2,0,sub-04,S1,0.79,0.7896634615384616,200,17,8be4231a51a01ba13b56a099074997d0484498b9a8d435da451ab30282d8c5c8,45626,False
B2_SCALE_COLLAPSE,2,0,sub-01,S2,0.94,0.9397832195905259,200,17,8be4231a51a01ba13b56a099074997d0484498b9a8d435da451ab30282d8c5c8,45626,False
B2_SCALE_COLLAPSE,2,0,sub-04,S2,0.69,0.6693333333333333,200,17,8be4231a51a01ba13b56a099074997d0484498b9a8d435da451ab30282d8c5c8,45626,False
B3_SINGLE_SPATIAL_BASIS,2,0,sub-01,S1,0.8200000000000001,0.8139727159983464,200,22,92183becff32d74f47292bd8b014a5c04ebf34575f34fbde589b1ec56f843e1f,45698,False
B3_SINGLE_SPATIAL_BASIS,2,0,sub-04,S1,0.8400000000000001,0.8389694041867954,200,22,92183becff32d74f47292bd8b014a5c04ebf34575f34fbde589b1ec56f843e1f,45698,False
B3_SINGLE_SPATIAL_BASIS,2,0,sub-01,S2,0.85,0.8465473145780051,200,22,92183becff32d74f47292bd8b014a5c04ebf34575f34fbde589b1ec56f843e1f,45698,False
B3_SINGLE_SPATIAL_BASIS,2,0,sub-04,S2,0.72,0.7028862478777589,200,22,92183becff32d74f47292bd8b014a5c04ebf34575f34fbde589b1ec56f843e1f,45698,False
B4_ONE_STAGE_BACKEND,2,0,sub-01,S1,0.76,0.7453310696095077,200,19,e0966fb3172519884f931e3fa21089298e76d065f1ead2d32aa0938bd39c57a0,39418,False
B4_ONE_STAGE_BACKEND,2,0,sub-04,S1,0.8400000000000001,0.8398558702832549,200,19,e0966fb3172519884f931e3fa21089298e76d065f1ead2d32aa0938bd39c57a0,39418,False
B4_ONE_STAGE_BACKEND,2,0,sub-01,S2,0.835,0.8303821541466423,200,19,e0966fb3172519884f931e3fa21089298e76d065f1ead2d32aa0938bd39c57a0,39418,False
B4_ONE_STAGE_BACKEND,2,0,sub-04,S2,0.6900000000000001,0.6710526315789473,200,19,e0966fb3172519884f931e3fa21089298e76d065f1ead2d32aa0938bd39c57a0,39418,False
B1_SAME_SCALE_63,3,0,sub-07,S1,0.6100000000000001,0.6085909273384182,200,10,5231348a424fd65ff7066c9d12d7a0173602f9737e26b093461521d81697307a,45498,False
B1_SAME_SCALE_63,3,0,sub-11,S1,0.54,0.45238095238095233,200,10,5231348a424fd65ff7066c9d12d7a0173602f9737e26b093461521d81697307a,45498,False
B1_SAME_SCALE_63,3,0,sub-07,S2,0.595,0.5806476663819212,200,10,5231348a424fd65ff7066c9d12d7a0173602f9737e26b093461521d81697307a,45498,False
B1_SAME_SCALE_63,3,0,sub-11,S2,0.515,0.4783684224678013,200,10,5231348a424fd65ff7066c9d12d7a0173602f9737e26b093461521d81697307a,45498,False
B2_SCALE_COLLAPSE,3,0,sub-07,S1,0.525,0.513307205614898,200,14,2fd11630bbfe52624f2e8fbced0624a07633bc7f6d35bd11aa5147ec85d39b09,45626,False
B2_SCALE_COLLAPSE,3,0,sub-11,S1,0.545,0.4912648497554158,200,14,2fd11630bbfe52624f2e8fbced0624a07633bc7f6d35bd11aa5147ec85d39b09,45626,False
B2_SCALE_COLLAPSE,3,0,sub-07,S2,0.535,0.480083857442348,200,14,2fd11630bbfe52624f2e8fbced0624a07633bc7f6d35bd11aa5147ec85d39b09,45626,False
B2_SCALE_COLLAPSE,3,0,sub-11,S2,0.5449999999999999,0.5270147353101692,200,14,2fd11630bbfe52624f2e8fbced0624a07633bc7f6d35bd11aa5147ec85d39b09,45626,False
B3_SINGLE_SPATIAL_BASIS,3,0,sub-07,S1,0.7,0.7,200,11,407da982a1c9c549afca487d9207f7130e5db55d2f4fe5375df1bd44aa445fb5,45698,False
B3_SINGLE_SPATIAL_BASIS,3,0,sub-11,S1,0.525,0.4318011902269805,200,11,407da982a1c9c549afca487d9207f7130e5db55d2f4fe5375df1bd44aa445fb5,45698,False
B3_SINGLE_SPATIAL_BASIS,3,0,sub-07,S2,0.63,0.6262626262626263,200,11,407da982a1c9c549afca487d9207f7130e5db55d2f4fe5375df1bd44aa445fb5,45698,False
B3_SINGLE_SPATIAL_BASIS,3,0,sub-11,S2,0.535,0.426474669297894,200,11,407da982a1c9c549afca487d9207f7130e5db55d2f4fe5375df1bd44aa445fb5,45698,False
B4_ONE_STAGE_BACKEND,3,0,sub-07,S1,0.545,0.5133559720848151,200,14,69a83a9937a5352d929568835c0862b47822eb03672f4a1f9e1f362975ce9cca,39418,False
B4_ONE_STAGE_BACKEND,3,0,sub-11,S1,0.5499999999999999,0.4692770373864843,200,14,69a83a9937a5352d929568835c0862b47822eb03672f4a1f9e1f362975ce9cca,39418,False
B4_ONE_STAGE_BACKEND,3,0,sub-07,S2,0.54,0.46236559139784944,200,14,69a83a9937a5352d929568835c0862b47822eb03672f4a1f9e1f362975ce9cca,39418,False
B4_ONE_STAGE_BACKEND,3,0,sub-11,S2,0.505,0.43362224319917614,200,14,69a83a9937a5352d929568835c0862b47822eb03672f4a1f9e1f362975ce9cca,39418,False
B1_SAME_SCALE_63,4,0,sub-02,S1,0.6699999999999999,0.6349153667441089,200,13,971f42e0576e7fd462ac3d585d50887eee561a474fa8819c81d8392d31272f73,45498,False
B1_SAME_SCALE_63,4,0,sub-09,S1,0.6,0.5894909688013137,200,13,971f42e0576e7fd462ac3d585d50887eee561a474fa8819c81d8392d31272f73,45498,False
B1_SAME_SCALE_63,4,0,sub-02,S2,0.685,0.6526916397916149,200,13,971f42e0576e7fd462ac3d585d50887eee561a474fa8819c81d8392d31272f73,45498,False
B1_SAME_SCALE_63,4,0,sub-09,S2,0.595,0.5668333377897805,200,13,971f42e0576e7fd462ac3d585d50887eee561a474fa8819c81d8392d31272f73,45498,False
B2_SCALE_COLLAPSE,4,0,sub-02,S1,0.8,0.797077922077922,200,31,4f8357bce480d4ad184d417875917d29bf0f2f3fac0885f7bdbe57605154bd79,45626,False
B2_SCALE_COLLAPSE,4,0,sub-09,S1,0.575,0.5749893747343684,200,31,4f8357bce480d4ad184d417875917d29bf0f2f3fac0885f7bdbe57605154bd79,45626,False
B2_SCALE_COLLAPSE,4,0,sub-02,S2,0.835,0.8334973132521002,200,31,4f8357bce480d4ad184d417875917d29bf0f2f3fac0885f7bdbe57605154bd79,45626,False
B2_SCALE_COLLAPSE,4,0,sub-09,S2,0.615,0.6128221244500314,200,31,4f8357bce480d4ad184d417875917d29bf0f2f3fac0885f7bdbe57605154bd79,45626,False
B3_SINGLE_SPATIAL_BASIS,4,0,sub-02,S1,0.8,0.7999199679871949,200,10,c91ce0e371f8343454b866fd9dd34773680e4c6e9537b7dbbfb95731b26703ce,45698,False
B3_SINGLE_SPATIAL_BASIS,4,0,sub-09,S1,0.595,0.5945032665014642,200,10,c91ce0e371f8343454b866fd9dd34773680e4c6e9537b7dbbfb95731b26703ce,45698,False
B3_SINGLE_SPATIAL_BASIS,4,0,sub-02,S2,0.825,0.8247853620685339,200,10,c91ce0e371f8343454b866fd9dd34773680e4c6e9537b7dbbfb95731b26703ce,45698,False
B3_SINGLE_SPATIAL_BASIS,4,0,sub-09,S2,0.64,0.6394230769230769,200,10,c91ce0e371f8343454b866fd9dd34773680e4c6e9537b7dbbfb95731b26703ce,45698,False
B4_ONE_STAGE_BACKEND,4,0,sub-02,S1,0.81,0.8067338012409724,200,21,af7e0726942d4e23edd4547651e54b782cdfaf476c5ff4b03e16c7ebe3eed957,39418,False
B4_ONE_STAGE_BACKEND,4,0,sub-09,S1,0.6,0.595959595959596,200,21,af7e0726942d4e23edd4547651e54b782cdfaf476c5ff4b03e16c7ebe3eed957,39418,False
B4_ONE_STAGE_BACKEND,4,0,sub-02,S2,0.795,0.7911945201293575,200,21,af7e0726942d4e23edd4547651e54b782cdfaf476c5ff4b03e16c7ebe3eed957,39418,False
B4_ONE_STAGE_BACKEND,4,0,sub-09,S2,0.67,0.6659580929243851,200,21,af7e0726942d4e23edd4547651e54b782cdfaf476c5ff4b03e16c7ebe3eed957,39418,False
