task,fold,subject,session,arm,label,trials,mean_P_distance,cosine_similarity,standardized_P_MSE,native_to_oracle_movement_recovery,movement_direction_agreement
OpenBMI_MI,0,19,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6131924986839294,0.8220256567001343,0.08728095144033432,-0.007428654003888369,-0.029029132798314095
OpenBMI_MI,0,26,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.776694893836975,0.8617455959320068,0.8785635232925415,-0.00167475501075387,0.05425804480910301
OpenBMI_MI,0,8,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0179035663604736,0.8644384741783142,0.33366847038269043,0.019664384424686432,0.06527780741453171
OpenBMI_MI,0,9,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6855165958404541,0.8050321340560913,0.11303776502609253,-0.005060384050011635,-0.003971958067268133
OpenBMI_MI,0,11,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.859134316444397,0.8409982323646545,0.22166380286216736,-0.02482645772397518,0.009544034488499165
OpenBMI_MI,0,14,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8285626173019409,0.829465925693512,0.1926315724849701,9.915635746438056e-05,0.04468219727277756
OpenBMI_MI,0,19,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6129110455513,0.8209395408630371,0.08735815435647964,-0.006167018786072731,-0.02259771339595318
OpenBMI_MI,0,26,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.7611922025680542,0.8621649742126465,0.8651829957962036,0.007901045493781567,0.08809197694063187
OpenBMI_MI,0,8,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0273828506469727,0.8622786998748779,0.3400287926197052,0.016209052875638008,0.05351032316684723
OpenBMI_MI,0,9,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.685119092464447,0.8051972389221191,0.11289054900407791,-0.0009847840992733836,0.001579714473336935
OpenBMI_MI,0,11,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8635542988777161,0.8384423851966858,0.224214106798172,-0.028615262359380722,0.0014432292664423585
OpenBMI_MI,0,14,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8330115675926208,0.8262356519699097,0.19545716047286987,-0.004412434063851833,0.037399131804704666
OpenBMI_MI,0,19,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6142514944076538,0.8203703165054321,0.08804255723953247,-0.005646473728120327,-0.02367423288524151
OpenBMI_MI,0,26,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.7581970691680908,0.8635262250900269,0.8592838644981384,0.011903880164027214,0.08741195499897003
OpenBMI_MI,0,8,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0179035663604736,0.8644386529922485,0.3336682915687561,0.019664613530039787,0.06527844071388245
OpenBMI_MI,0,9,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6855167150497437,0.8050320148468018,0.1130378246307373,-0.00506072212010622,-0.003973509185016155
OpenBMI_MI,0,11,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8591338992118835,0.8409984111785889,0.2216634899377823,-0.024825623258948326,0.00954490341246128
OpenBMI_MI,0,14,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.828562319278717,0.829465925693512,0.19263143837451935,9.961034811567515e-05,0.04468327388167381
OpenBMI_MI,0,19,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6129111647605896,0.8209394216537476,0.08735819905996323,-0.006167272105813026,-0.0225986335426569
OpenBMI_MI,0,26,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.7611918449401855,0.8621649742126465,0.8651827573776245,0.007901228964328766,0.08809269964694977
OpenBMI_MI,1,1,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.978343665599823,0.8892436027526855,0.32621756196022034,-0.027827922254800797,-0.0032807858660817146
OpenBMI_MI,1,8,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8921571969985962,0.8802983164787292,0.19974154233932495,-0.003391253761947155,-0.010833573527634144
OpenBMI_MI,1,11,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6199150085449219,0.9053683280944824,0.10285166651010513,0.012231645174324512,0.0015915376134216785
OpenBMI_MI,1,15,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8050479888916016,0.9410450458526611,0.2122451514005661,-0.0026732415426522493,0.02285950258374214
OpenBMI_MI,1,44,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4351155757904053,0.9310910701751709,0.04002348333597183,-0.01662469655275345,-0.03117169626057148
OpenBMI_MI,1,52,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4724709391593933,0.9486054182052612,0.05747999995946884,-0.008890610188245773,0.042272504419088364
OpenBMI_MI,1,1,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.9592412710189819,0.8961036205291748,0.3125160336494446,-0.015921443700790405,0.018098467960953712
OpenBMI_MI,1,8,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8558372259140015,0.8923129439353943,0.18599866330623627,0.0070129260420799255,0.013897823169827461
OpenBMI_MI,1,11,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.603542685508728,0.9093894362449646,0.09566225856542587,0.03291495516896248,0.03829994797706604
