task,arm,comparator,metric,biological_subjects,delta,ci95_lower,ci95_upper,bootstrap_replicates
OpenBMI_MI,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,BA,20,0.00041666666666667076,-0.002166666666666672,0.0030000000000000027,20000
OpenBMI_MI,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,macro_F1,20,0.00044615783280667066,-0.00215672395904116,0.0030399769158301593,20000
OpenBMI_MI,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,NLL,20,-0.0004419547816117642,-0.001088526565581571,0.00018522723267474668,20000
OpenBMI_MI,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,worst_session_BA,20,-8.333333333332971e-05,-0.0024166666666666724,0.0022500000000000133,20000
OpenBMI_MI,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,BA,20,0.0,0.0,0.0,20000
OpenBMI_MI,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,macro_F1,20,0.0,0.0,0.0,20000
OpenBMI_MI,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,NLL,20,5.0663948053530913e-08,-1.7335017523115172e-07,3.223679959754583e-07,20000
OpenBMI_MI,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,worst_session_BA,20,0.0,0.0,0.0,20000
OpenBMI_SSVEP,TOP3_DISTILL,CE_ONLY_CONTINUATION,BA,20,0.0015833333333333311,0.000333333333333341,0.0030833333333333325,20000
OpenBMI_SSVEP,TOP3_DISTILL,CE_ONLY_CONTINUATION,macro_F1,20,0.0016919790298237035,0.00045664909120032794,0.003228386242908521,20000
OpenBMI_SSVEP,TOP3_DISTILL,CE_ONLY_CONTINUATION,NLL,20,0.004961541920783927,-0.0006152425176454324,0.011471423816765304,20000
OpenBMI_SSVEP,TOP3_DISTILL,CE_ONLY_CONTINUATION,worst_session_BA,20,0.002583333333333332,0.0006666666666666598,0.005083333333333334,20000
OpenBMI_SSVEP,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,BA,20,0.00091666666666666,-0.0008333333333333415,0.002666666666666662,20000
OpenBMI_SSVEP,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,macro_F1,20,0.0009851344050427647,-0.0007702017197493583,0.0028892785440737976,20000
OpenBMI_SSVEP,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,NLL,20,0.01030884596305744,0.0015285529037161417,0.022855677177334017,20000
OpenBMI_SSVEP,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,worst_session_BA,20,0.00091666666666666,-0.001333333333333342,0.0031666666666666623,20000
OpenBMI_SSVEP,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,BA,20,0.0015833333333333422,1.1102230246251566e-17,0.0035833333333333385,20000
OpenBMI_SSVEP,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,macro_F1,20,0.0018700992115645687,0.00022067532610784424,0.003967540731214737,20000
OpenBMI_SSVEP,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,NLL,20,0.010402480785463315,0.0014898474267101846,0.022101430048714968,20000
OpenBMI_SSVEP,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,worst_session_BA,20,0.0015833333333333422,-0.0005833333333333301,0.0040000000000000036,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_ONLY_CONTINUATION,BA,20,0.002416666666666667,0.0006666666666666709,0.0044999999999999875,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_ONLY_CONTINUATION,macro_F1,20,0.0026871837403715294,0.0009398201988369215,0.00481783047397585,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_ONLY_CONTINUATION,NLL,20,0.011537177296607599,0.0018813005359576585,0.02429131270911357,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_ONLY_CONTINUATION,worst_session_BA,20,0.002416666666666667,0.0001666666666666372,0.004833333333333323,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,BA,20,0.0008333333333333248,0.0,0.001833333333333298,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,macro_F1,20,0.0008170845288069606,0.0,0.001786990560885976,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,NLL,20,0.001134696511144283,0.0002069242221962952,0.0025411898571595266,20000
OpenBMI_SSVEP,CE_UPPER_FULL,CE_UPPER_LOGIT_ONLY,worst_session_BA,20,0.0008333333333333248,0.0,0.001833333333333298,20000
OpenBMI_SSVEP,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,BA,20,0.001500000000000007,0.0002500000000000002,0.003000000000000014,20000
OpenBMI_SSVEP,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,macro_F1,20,0.0017020493353287647,0.00024086088469158496,0.0034772602595144714,20000
OpenBMI_SSVEP,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,NLL,20,0.0012283313335501578,1.4749652473254727e-05,0.0026767214836218036,20000
OpenBMI_SSVEP,CE_UPPER_FULL,MARGIN_UPPER_DISTILL,worst_session_BA,20,0.001500000000000007,0.0002500000000000002,0.003000000000000014,20000
