family,fold,seed,subject_id,L_P,L_N,SPL,q_variance_train,outer_test_used
C_SCLDGN,2,0,5,-0.188173684053891,-0.029863387891700954,-0.15831029616219006,0.17910126432180395,False
C_SCLDGN,2,0,6,-0.1549234947437631,-0.029389651344024104,-0.125533843399739,0.17910126432180395,False
C_SCLDGN,2,0,9,-0.0026942582210159882,0.03894872159931051,-0.0416429798203265,0.17910126432180395,False
C_SCLDGN,2,0,14,0.06568984125815658,-0.03802734755715431,0.10371718881531089,0.17910126432180395,False
C_SCLDGN,2,0,16,0.055614759668044966,0.20606918748451236,-0.1504544278164674,0.17910126432180395,False
C_SCLDGN,2,0,17,-0.26592367384769733,-0.008092947404455542,-0.2578307264432418,0.17910126432180395,False
C_SCLDGN,2,0,25,-0.06159073011810434,0.6213693536780625,-0.6829600837961668,0.17910126432180395,False
C_SCLDGN,2,0,30,-0.017858635672747036,0.06667935874196707,-0.0845379944147141,0.17910126432180395,False
C_SCLDGN,2,0,49,-0.04340125430675035,0.018667898447173203,-0.06206915275392355,0.17910126432180395,False
A_SUBJECT_GRL_EEGNET,2,1,5,-0.3224445870526055,-0.6093091494402776,0.2868645623876721,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,6,-0.14206526412401366,-0.35554663844018586,0.2134813743161722,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,9,-0.31103873897239454,-0.5054271566287132,0.19438841765631865,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,14,-0.17878570508514768,-0.4921686132819351,0.31338290819678744,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,16,-0.11738841831123314,-0.3778583917041321,0.26046997339289896,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,17,-0.10007415252620655,-0.5343788432614496,0.434304690735243,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,25,-0.0904230619463604,-0.26856060384150815,0.17813754189514774,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,30,-0.2220410394606338,-0.42178685962286744,0.19974582016223363,1.2603744009028444,False
A_SUBJECT_GRL_EEGNET,2,1,49,-0.21101765489291002,-0.5209300861541523,0.30991243126124224,1.2603744009028444,False
