family,fold,seed,subject_id,T_anchor_BA,T_replica_BA,invariant_BA,delta_BA_INV,T_anchor_ID,T_replica_ID,invariant_ID,delta_ID,replica_delta_ID,outer_test_used,outer_membership_enumerated
A_SUBJECT_GRL_EEGNET,1,0,38,0.58,0.61,0.57,-0.010000000000000009,0.18,0.25,0.16,-0.01999999999999999,0.07,False,False
A_SUBJECT_GRL_EEGNET,1,0,40,0.8,0.81,0.8,0.0,0.38,0.55,0.41,0.02999999999999997,0.17000000000000004,False,False
A_SUBJECT_GRL_EEGNET,1,0,50,0.58,0.55,0.6,0.020000000000000018,0.47,0.19,0.38,-0.08999999999999997,-0.27999999999999997,False,False
B_EEG_DG,1,0,3,0.9299999999999999,0.96,0.91,-0.019999999999999907,0.3,0.48,0.41,0.10999999999999999,0.18,False,False
B_EEG_DG,1,0,7,0.79,0.8,0.65,-0.14,0.55,0.54,0.36,-0.19000000000000006,-0.010000000000000009,False,False
B_EEG_DG,1,0,11,0.71,0.66,0.6799999999999999,-0.030000000000000027,0.39,0.34,0.21,-0.18000000000000002,-0.04999999999999999,False,False
B_EEG_DG,1,0,17,0.6,0.6,0.58,-0.020000000000000018,0.06,0.11,0.07,0.010000000000000009,0.05,False,False
B_EEG_DG,1,0,19,0.74,0.74,0.77,0.030000000000000027,0.41,0.36,0.61,0.2,-0.04999999999999999,False,False
B_EEG_DG,1,0,22,0.5800000000000001,0.6799999999999999,0.6,0.019999999999999907,0.33,0.29,0.33,0.0,-0.040000000000000036,False,False
B_EEG_DG,1,0,38,0.57,0.62,0.55,-0.019999999999999907,0.23,0.04,0.87,0.64,-0.19,False,False
B_EEG_DG,1,0,40,0.81,0.82,0.77,-0.040000000000000036,0.6,0.33,0.59,-0.010000000000000009,-0.26999999999999996,False,False
B_EEG_DG,1,0,50,0.5,0.5,0.5,0.0,0.21,0.58,0.31,0.1,0.37,False,False
C_SCLDGN,1,0,3,0.85,0.88,0.87,0.020000000000000018,0.18,0.21,0.02,-0.16,0.03,False,False
C_SCLDGN,1,0,7,0.72,0.62,0.6799999999999999,-0.040000000000000036,0.39,0.49,0.28,-0.10999999999999999,0.09999999999999998,False,False
C_SCLDGN,1,0,11,0.62,0.55,0.5800000000000001,-0.039999999999999925,0.25,0.49,0.42,0.16999999999999998,0.24,False,False
C_SCLDGN,1,0,17,0.47000000000000003,0.61,0.54,0.07,0.04,0.15,0.07,0.030000000000000006,0.10999999999999999,False,False
C_SCLDGN,1,0,19,0.71,0.57,0.76,0.050000000000000044,0.3,0.2,0.09,-0.21,-0.09999999999999998,False,False
C_SCLDGN,1,0,22,0.66,0.53,0.68,0.020000000000000018,0.32,0.16,0.2,-0.12,-0.16,False,False
C_SCLDGN,1,0,38,0.65,0.56,0.63,-0.020000000000000018,0.16,0.24,0.08,-0.08,0.07999999999999999,False,False
C_SCLDGN,1,0,40,0.6900000000000001,0.6799999999999999,0.74,0.04999999999999993,0.35,0.33,0.34,-0.009999999999999953,-0.019999999999999962,False,False
C_SCLDGN,1,0,50,0.54,0.5,0.5,-0.040000000000000036,0.61,0.36,0.59,-0.020000000000000018,-0.25,False,False
A_SUBJECT_GRL_EEGNET,1,1,3,0.8300000000000001,0.84,0.8200000000000001,-0.010000000000000009,0.6,0.46,0.52,-0.07999999999999996,-0.13999999999999996,False,False
A_SUBJECT_GRL_EEGNET,1,1,7,0.74,0.67,0.74,0.0,0.41,0.32,0.4,-0.009999999999999953,-0.08999999999999997,False,False
A_SUBJECT_GRL_EEGNET,1,1,11,0.68,0.75,0.6900000000000001,0.010000000000000009,0.41,0.32,0.29,-0.12,-0.08999999999999997,False,False
A_SUBJECT_GRL_EEGNET,1,1,17,0.5599999999999999,0.45999999999999996,0.53,-0.029999999999999916,0.19,0.07,0.17,-0.01999999999999999,-0.12,False,False
A_SUBJECT_GRL_EEGNET,1,1,19,0.67,0.6599999999999999,0.67,0.0,0.49,0.43,0.44,-0.04999999999999999,-0.06,False,False
