dataset,backbone,fold,subject_id,pair,BA,macro_F1,delta_vs_base_pp,delta_vs_partner_pp,delta_vs_best_pp
OpenBMI,EEGConformer,0,3,EEGConformer+EEGNet,0.9299999999999999,0.9299929992999301,0.0,8.999999999999996,0.0
OpenBMI,EEGConformer,0,5,EEGConformer+EEGNet,0.77,0.7681217864704104,-1.0000000000000009,4.0000000000000036,-1.0000000000000009
OpenBMI,EEGConformer,0,47,EEGConformer+EEGNet,0.94,0.9397832195905259,8.999999999999986,4.0000000000000036,4.0000000000000036
OpenBMI,CBraMod,0,15,CBraMod+LiteBN,0.87,0.8698828946051447,39.0,0.0,0.0
OpenBMI,CBraMod,0,38,CBraMod+LiteBN,0.76,0.7453310696095077,27.0,-1.0000000000000009,-1.0000000000000009
OpenBMI,CBraMod,0,6,CBraMod+LiteBN,0.9099999999999999,0.9099189270343309,33.999999999999986,0.0,0.0
OpenBMI,CBraMod,0,33,CBraMod+LiteBN,0.88,0.8799519807923168,38.0,0.0,0.0
OpenBMI,CBraMod,0,32,CBraMod+LiteBN,0.71,0.7097387648883995,24.0,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,0,3,CBraMod+LiteBN,0.87,0.8699869986998701,31.000000000000007,0.0,0.0
OpenBMI,CBraMod,0,5,CBraMod+LiteBN,0.75,0.7469379491851402,23.0,0.0,0.0
OpenBMI,CBraMod,0,47,CBraMod+LiteBN,0.86,0.8579545454545454,36.0,0.0,0.0
OpenBMI,CBraMod,0,15,CBraMod+EEGNet,0.8300000000000001,0.8298468621759583,35.00000000000001,0.0,0.0
OpenBMI,CBraMod,0,38,CBraMod+EEGNet,0.76,0.7519636213311285,27.0,0.0,0.0
OpenBMI,CBraMod,0,6,CBraMod+EEGNet,0.9299999999999999,0.9298245614035088,35.999999999999986,0.0,0.0
OpenBMI,CBraMod,0,33,CBraMod+EEGNet,0.76,0.7552019583843329,26.0,0.0,0.0
OpenBMI,CBraMod,0,32,CBraMod+EEGNet,0.66,0.6598639455782312,19.000000000000007,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,0,3,CBraMod+EEGNet,0.84,0.8383838383838383,28.000000000000004,0.0,0.0
OpenBMI,CBraMod,0,5,CBraMod+EEGNet,0.73,0.72997299729973,20.999999999999996,0.0,0.0
OpenBMI,CBraMod,0,47,CBraMod+EEGNet,0.8999999999999999,0.8993558776167472,39.99999999999999,0.0,0.0
OpenBMI,CodeBrain,0,15,CodeBrain+LiteBN,0.8200000000000001,0.8199279711884754,20.000000000000007,-4.999999999999993,-4.999999999999993
OpenBMI,CodeBrain,0,38,CodeBrain+LiteBN,0.78,0.7726333195535345,11.00000000000001,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,0,6,CodeBrain+LiteBN,0.94,0.94,3.0000000000000027,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,0,33,CodeBrain+LiteBN,0.88,0.8799519807923168,17.000000000000004,0.0,0.0
OpenBMI,CodeBrain,0,32,CodeBrain+LiteBN,0.73,0.72997299729973,12.99999999999999,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,0,3,CodeBrain+LiteBN,0.85,0.8498648783905515,14.000000000000002,-2.0000000000000018,-2.0000000000000018
OpenBMI,CodeBrain,0,5,CodeBrain+LiteBN,0.78,0.779205138498595,3.0000000000000027,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,0,47,CodeBrain+LiteBN,0.8400000000000001,0.8389694041867954,28.000000000000004,-1.9999999999999907,-1.9999999999999907
OpenBMI,CodeBrain,0,15,CodeBrain+EEGNet,0.8,0.7996794871794872,18.000000000000004,-3.0000000000000027,-3.0000000000000027
OpenBMI,CodeBrain,0,38,CodeBrain+EEGNet,0.77,0.7681217864704104,10.000000000000009,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,0,6,CodeBrain+EEGNet,0.95,0.9499949994999499,4.0000000000000036,2.0000000000000018,2.0000000000000018
OpenBMI,CodeBrain,0,33,CodeBrain+EEGNet,0.78,0.779205138498595,7.000000000000006,2.0000000000000018,2.0000000000000018
OpenBMI,CodeBrain,0,32,CodeBrain+EEGNet,0.63,0.6290726817042607,2.9999999999999916,-2.0000000000000018,-2.0000000000000018
OpenBMI,CodeBrain,0,3,CodeBrain+EEGNet,0.83,0.8279178054458953,12.0,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,0,5,CodeBrain+EEGNet,0.74,0.74,-1.0000000000000009,1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,0,47,CodeBrain+EEGNet,0.9099999999999999,0.9099189270343309,34.999999999999986,1.0000000000000009,1.0000000000000009
OpenBMI,EEGNet,0,15,EEGNet+LiteBN,0.8999999999999999,0.8998397435897436,6.999999999999984,2.9999999999999916,2.9999999999999916
OpenBMI,EEGNet,0,38,EEGNet+LiteBN,0.75,0.736036321402175,-1.0000000000000009,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGNet,0,6,EEGNet+LiteBN,0.95,0.9499949994999499,2.0000000000000018,4.0000000000000036,2.0000000000000018
OpenBMI,EEGNet,0,33,EEGNet+LiteBN,0.85,0.8487750781328763,8.999999999999996,-3.0000000000000027,-3.0000000000000027
OpenBMI,EEGNet,0,32,EEGNet+LiteBN,0.63,0.6290726817042607,-2.0000000000000018,-6.999999999999995,-6.999999999999995
OpenBMI,EEGNet,0,3,EEGNet+LiteBN,0.86,0.8590982286634461,2.0000000000000018,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGNet,0,5,EEGNet+LiteBN,0.75,0.7487689679429204,2.0000000000000018,0.0,0.0
OpenBMI,EEGNet,0,47,EEGNet+LiteBN,0.9199999999999999,0.9194847020933977,2.0000000000000018,5.999999999999995,2.0000000000000018
OpenBMI,EEGConformer,1,26,EEGConformer+LiteBN,0.83,0.8299829982998299,1.9999999999999907,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,1,2,EEGConformer+LiteBN,0.77,0.7699769976997699,6.000000000000005,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,1,14,EEGConformer+LiteBN,0.71,0.7050147492625369,-1.0000000000000009,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,1,31,EEGConformer+LiteBN,0.77,0.7631551848419318,4.0000000000000036,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,1,28,EEGConformer+LiteBN,0.8899999999999999,0.8897243107769424,4.999999999999982,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,1,35,EEGConformer+LiteBN,0.78,0.7726333195535345,3.0000000000000027,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,1,40,EEGConformer+LiteBN,0.77,0.7660461804495982,6.000000000000005,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,1,43,EEGConformer+LiteBN,0.8999999999999999,0.8993558776167472,8.999999999999986,-5.000000000000004,-5.000000000000004
OpenBMI,EEGConformer,1,26,EEGConformer+EEGNet,0.87,0.8699869986998701,5.999999999999995,1.0000000000000009,1.0000000000000009
OpenBMI,EEGConformer,1,2,EEGConformer+EEGNet,0.79,0.7889659330720531,8.000000000000007,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,1,14,EEGConformer+EEGNet,0.8,0.7999199679871949,8.000000000000007,8.000000000000007,8.000000000000007
OpenBMI,EEGConformer,1,31,EEGConformer+EEGNet,0.79,0.7851662404092072,6.000000000000005,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,1,28,EEGConformer+EEGNet,0.8799999999999999,0.8795664391810518,3.9999999999999813,9.999999999999986,3.9999999999999813
OpenBMI,EEGConformer,1,35,EEGConformer+EEGNet,0.82,0.8173701298701299,6.999999999999995,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,1,40,EEGConformer+EEGNet,0.78,0.7777777777777778,7.000000000000006,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,1,43,EEGConformer+EEGNet,0.89,0.8886526976414617,7.9999999999999964,4.0000000000000036,4.0000000000000036
OpenBMI,CBraMod,1,26,CBraMod+LiteBN,0.85,0.84998499849985,28.999999999999993,0.0,0.0
OpenBMI,CBraMod,1,2,CBraMod+LiteBN,0.78,0.7796474358974359,29.000000000000004,0.0,0.0
OpenBMI,CBraMod,1,14,CBraMod+LiteBN,0.75,0.7457023700539112,20.999999999999996,0.0,0.0
OpenBMI,CBraMod,1,31,CBraMod+LiteBN,0.8,0.797077922077922,29.000000000000004,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,1,28,CBraMod+LiteBN,0.9299999999999999,0.9298245614035088,41.99999999999999,0.0,0.0
OpenBMI,CBraMod,1,35,CBraMod+LiteBN,0.78,0.7708333333333333,27.0,-2.0000000000000018,-2.0000000000000018
OpenBMI,CBraMod,1,40,CBraMod+LiteBN,0.8200000000000001,0.8164014687882497,30.000000000000004,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,1,43,CBraMod+LiteBN,0.95,0.9499549594635172,46.0,0.0,0.0
OpenBMI,CBraMod,1,26,CBraMod+EEGNet,0.87,0.8698828946051447,30.999999999999993,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,1,2,CBraMod+EEGNet,0.81,0.8090644156366193,32.00000000000001,0.0,0.0
OpenBMI,CBraMod,1,14,CBraMod+EEGNet,0.72,0.7126436781609196,17.999999999999993,0.0,0.0
OpenBMI,CBraMod,1,31,CBraMod+EEGNet,0.8,0.7947454844006567,29.000000000000004,0.0,0.0
OpenBMI,CBraMod,1,28,CBraMod+EEGNet,0.78,0.7726333195535345,27.0,0.0,0.0
OpenBMI,CBraMod,1,35,CBraMod+EEGNet,0.87,0.8689384010484928,36.0,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,1,40,CBraMod+EEGNet,0.8300000000000001,0.8295739348370927,31.000000000000007,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,1,43,CBraMod+EEGNet,0.84,0.8399359743897559,35.0,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,1,26,CodeBrain+LiteBN,0.8799999999999999,0.8795664391810518,8.999999999999986,2.9999999999999916,2.9999999999999916
OpenBMI,CodeBrain,1,2,CodeBrain+LiteBN,0.79,0.7882851093860268,8.000000000000007,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,1,14,CodeBrain+LiteBN,0.74,0.7398959583833533,17.000000000000004,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,1,31,CodeBrain+LiteBN,0.76,0.76,15.000000000000002,-3.0000000000000027,-3.0000000000000027
OpenBMI,CodeBrain,1,28,CodeBrain+LiteBN,0.8999999999999999,0.8996386993175431,21.999999999999996,-3.0000000000000027,-3.0000000000000027
OpenBMI,CodeBrain,1,35,CodeBrain+LiteBN,0.84,0.8368013055895553,0.0,3.9999999999999925,0.0
OpenBMI,CodeBrain,1,40,CodeBrain+LiteBN,0.82,0.82,14.999999999999991,0.9999999999999898,0.9999999999999898
OpenBMI,CodeBrain,1,43,CodeBrain+LiteBN,0.8899999999999999,0.8897243107769424,23.99999999999999,-6.000000000000005,-6.000000000000005
OpenBMI,CodeBrain,1,26,CodeBrain+EEGNet,0.8600000000000001,0.8594941790445605,7.000000000000006,1.1102230246251565e-14,1.1102230246251565e-14
OpenBMI,CodeBrain,1,2,CodeBrain+EEGNet,0.77,0.7647058823529411,6.000000000000005,-4.0000000000000036,-4.0000000000000036
OpenBMI,CodeBrain,1,14,CodeBrain+EEGNet,0.63,0.6053333333333333,6.000000000000005,-8.999999999999996,-8.999999999999996
OpenBMI,CodeBrain,1,31,CodeBrain+EEGNet,0.8300000000000001,0.8298468621759583,22.000000000000007,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,1,28,CodeBrain+EEGNet,0.8,0.7933030177759405,12.00000000000001,2.0000000000000018,2.0000000000000018
OpenBMI,CodeBrain,1,35,CodeBrain+EEGNet,0.87,0.8693598633303186,3.0000000000000027,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,1,40,CodeBrain+EEGNet,0.8400000000000001,0.8397435897435898,17.000000000000004,2.0000000000000018,2.0000000000000018
OpenBMI,CodeBrain,1,43,CodeBrain+EEGNet,0.82,0.82,16.999999999999993,-3.0000000000000027,-3.0000000000000027
OpenBMI,EEGNet,1,26,EEGNet+LiteBN,0.87,0.8698828946051447,1.0000000000000009,2.0000000000000018,1.0000000000000009
OpenBMI,EEGNet,1,2,EEGNet+LiteBN,0.79,0.78997899789979,-2.0000000000000018,1.0000000000000009,-2.0000000000000018
OpenBMI,EEGNet,1,14,EEGNet+LiteBN,0.73,0.7297567811029927,1.0000000000000009,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGNet,1,31,EEGNet+LiteBN,0.8,0.7947454844006567,0.0,1.0000000000000009,0.0
OpenBMI,EEGNet,1,28,EEGNet+LiteBN,0.9199999999999999,0.9197109594540345,13.99999999999999,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGNet,1,35,EEGNet+LiteBN,0.8300000000000001,0.8260869565217391,-2.9999999999999916,3.0000000000000027,-2.9999999999999916
OpenBMI,EEGNet,1,40,EEGNet+LiteBN,0.86,0.8585858585858586,3.9999999999999925,4.999999999999993,3.9999999999999925
OpenBMI,EEGNet,1,43,EEGNet+LiteBN,0.94,0.9399759903961584,8.999999999999996,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,2,50,EEGConformer+LiteBN,0.5800000000000001,0.5625,7.000000000000006,-4.999999999999993,-4.999999999999993
OpenBMI,EEGConformer,2,52,EEGConformer+LiteBN,0.81,0.8076728413807066,2.0000000000000018,0.0,0.0
OpenBMI,EEGConformer,2,23,EEGConformer+LiteBN,0.74,0.7373737373737375,-4.0000000000000036,0.0,-4.0000000000000036
OpenBMI,EEGConformer,2,1,EEGConformer+LiteBN,0.73,0.7149192271143491,-2.0000000000000018,7.9999999999999964,-2.0000000000000018
OpenBMI,EEGConformer,2,30,EEGConformer+LiteBN,0.71,0.7099709970997099,2.0000000000000018,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,2,48,EEGConformer+LiteBN,0.59,0.5577607593571352,0.9999999999999898,-7.000000000000006,-7.000000000000006
OpenBMI,EEGConformer,2,11,EEGConformer+LiteBN,0.73,0.7293233082706767,3.0000000000000027,0.0,0.0
OpenBMI,EEGConformer,2,8,EEGConformer+LiteBN,0.8400000000000001,0.8397435897435898,7.000000000000006,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,2,50,EEGConformer+EEGNet,0.5800000000000001,0.5586380832282472,7.000000000000006,-8.999999999999986,-8.999999999999986
OpenBMI,EEGConformer,2,52,EEGConformer+EEGNet,0.8,0.7987117552334944,1.0000000000000009,2.0000000000000018,1.0000000000000009
OpenBMI,EEGConformer,2,23,EEGConformer+EEGNet,0.76,0.7564935064935066,-2.0000000000000018,6.000000000000005,-2.0000000000000018
OpenBMI,EEGConformer,2,1,EEGConformer+EEGNet,0.74,0.7312939231087227,-1.0000000000000009,10.999999999999998,-1.0000000000000009
OpenBMI,EEGConformer,2,30,EEGConformer+EEGNet,0.71,0.7076318177235609,2.0000000000000018,2.0000000000000018,2.0000000000000018
OpenBMI,EEGConformer,2,48,EEGConformer+EEGNet,0.62,0.5924495924495925,3.9999999999999925,-4.999999999999993,-4.999999999999993
OpenBMI,EEGConformer,2,11,EEGConformer+EEGNet,0.71,0.7097387648883995,1.0000000000000009,0.0,0.0
OpenBMI,EEGConformer,2,8,EEGConformer+EEGNet,0.79,0.7889659330720531,2.0000000000000018,14.000000000000002,2.0000000000000018
OpenBMI,CBraMod,2,50,CBraMod+LiteBN,0.62,0.6124031007751938,12.0,-1.0000000000000009,-1.0000000000000009
OpenBMI,CBraMod,2,52,CBraMod+LiteBN,0.81,0.8090644156366193,31.000000000000007,0.0,0.0
OpenBMI,CBraMod,2,23,CBraMod+LiteBN,0.73,0.7237851662404092,23.0,-1.0000000000000009,-1.0000000000000009
OpenBMI,CBraMod,2,1,CBraMod+LiteBN,0.65,0.6266666666666667,15.000000000000002,0.0,0.0
OpenBMI,CBraMod,2,30,CBraMod+LiteBN,0.75,0.7493734335839599,25.0,0.0,0.0
OpenBMI,CBraMod,2,48,CBraMod+LiteBN,0.6699999999999999,0.6673051718923279,16.999999999999993,0.9999999999999898,0.9999999999999898
OpenBMI,CBraMod,2,11,CBraMod+LiteBN,0.73,0.7286704853783539,23.0,0.0,0.0
OpenBMI,CBraMod,2,8,CBraMod+LiteBN,0.8500000000000001,0.8492613807657522,35.00000000000001,0.0,0.0
OpenBMI,CBraMod,2,50,CBraMod+EEGNet,0.6499999999999999,0.6482765551200884,14.999999999999991,-2.0000000000000018,-2.0000000000000018
OpenBMI,CBraMod,2,52,CBraMod+EEGNet,0.79,0.7898108297467721,29.000000000000004,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,2,23,CBraMod+EEGNet,0.6799999999999999,0.6767676767676768,17.999999999999993,-2.0000000000000018,-2.0000000000000018
OpenBMI,CBraMod,2,1,CBraMod+EEGNet,0.63,0.6254681647940075,13.0,0.0,0.0
OpenBMI,CBraMod,2,30,CBraMod+EEGNet,0.7,0.6989160979526294,19.999999999999996,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,2,48,CBraMod+EEGNet,0.6799999999999999,0.6715927750410509,17.999999999999993,1.0000000000000009,1.0000000000000009
OpenBMI,CBraMod,2,11,CBraMod+EEGNet,0.71,0.6991389148251893,20.999999999999996,0.0,0.0
OpenBMI,CBraMod,2,8,CBraMod+EEGNet,0.6599999999999999,0.6587715776796468,15.999999999999993,0.9999999999999898,0.9999999999999898
OpenBMI,CodeBrain,2,50,CodeBrain+LiteBN,0.62,0.6175523349436394,2.9999999999999916,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,2,52,CodeBrain+LiteBN,0.78,0.7785829307568438,7.000000000000006,-3.0000000000000027,-3.0000000000000027
OpenBMI,CodeBrain,2,23,CodeBrain+LiteBN,0.75,0.7457023700539112,5.000000000000004,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,2,1,CodeBrain+LiteBN,0.62,0.5824175824175825,2.0000000000000018,-3.0000000000000027,-3.0000000000000027
OpenBMI,CodeBrain,2,30,CodeBrain+LiteBN,0.77,0.7688674505074866,9.000000000000007,2.0000000000000018,2.0000000000000018
OpenBMI,CodeBrain,2,48,CodeBrain+LiteBN,0.7,0.6995192307692308,-2.0000000000000018,3.9999999999999925,-2.0000000000000018
OpenBMI,CodeBrain,2,11,CodeBrain+LiteBN,0.73,0.7297567811029927,15.999999999999993,0.0,0.0
OpenBMI,CodeBrain,2,8,CodeBrain+LiteBN,0.8300000000000001,0.8286117552172598,14.000000000000012,-2.0000000000000018,-2.0000000000000018
OpenBMI,CodeBrain,2,50,CodeBrain+EEGNet,0.6499999999999999,0.6491228070175439,5.999999999999983,-2.0000000000000018,-2.0000000000000018
OpenBMI,CodeBrain,2,52,CodeBrain+EEGNet,0.8300000000000001,0.8295739348370927,12.00000000000001,5.000000000000004,5.000000000000004
OpenBMI,CodeBrain,2,23,CodeBrain+EEGNet,0.75,0.7457023700539112,5.000000000000004,5.000000000000004,5.000000000000004
OpenBMI,CodeBrain,2,1,CodeBrain+EEGNet,0.6799999999999999,0.6666666666666666,7.9999999999999964,4.999999999999993,4.999999999999993
OpenBMI,CodeBrain,2,30,CodeBrain+EEGNet,0.72,0.7198879551820728,4.0000000000000036,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,2,48,CodeBrain+EEGNet,0.72,0.7106242248863166,0.0,5.000000000000004,0.0
OpenBMI,CodeBrain,2,11,CodeBrain+EEGNet,0.74,0.7383252818035426,16.999999999999993,3.0000000000000027,3.0000000000000027
OpenBMI,CodeBrain,2,8,CodeBrain+EEGNet,0.7,0.6980676328502415,1.0000000000000009,4.999999999999993,1.0000000000000009
OpenBMI,EEGNet,2,50,EEGNet+LiteBN,0.6599999999999999,0.6594551282051282,-1.0000000000000009,2.9999999999999916,-1.0000000000000009
OpenBMI,EEGNet,2,52,EEGNet+LiteBN,0.8400000000000001,0.8397435897435898,6.000000000000005,3.0000000000000027,3.0000000000000027
OpenBMI,EEGNet,2,23,EEGNet+LiteBN,0.77,0.7660461804495982,7.000000000000006,3.0000000000000027,3.0000000000000027
OpenBMI,EEGNet,2,1,EEGNet+LiteBN,0.65,0.6266666666666667,2.0000000000000018,0.0,0.0
OpenBMI,EEGNet,2,30,EEGNet+LiteBN,0.78,0.7796474358974359,9.000000000000007,3.0000000000000027,3.0000000000000027
OpenBMI,EEGNet,2,48,EEGNet+LiteBN,0.7,0.7,3.0000000000000027,3.9999999999999925,3.0000000000000027
OpenBMI,EEGNet,2,11,EEGNet+LiteBN,0.74,0.7348021215830274,3.0000000000000027,1.0000000000000009,1.0000000000000009
OpenBMI,EEGNet,2,8,EEGNet+LiteBN,0.8400000000000001,0.8389694041867954,19.000000000000007,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,3,45,EEGConformer+LiteBN,0.75,0.7487689679429204,5.000000000000004,1.0000000000000009,1.0000000000000009
OpenBMI,EEGConformer,3,34,EEGConformer+LiteBN,0.6799999999999999,0.6767676767676768,4.999999999999993,6.999999999999995,4.999999999999993
OpenBMI,EEGConformer,3,27,EEGConformer+LiteBN,0.94,0.9397832195905259,9.999999999999998,-1.0000000000000009,-1.0000000000000009
OpenBMI,EEGConformer,3,49,EEGConformer+LiteBN,0.8300000000000001,0.8286117552172598,6.000000000000005,-0.9999999999999898,-0.9999999999999898
OpenBMI,EEGConformer,3,10,EEGConformer+LiteBN,0.78,0.7796474358974359,7.000000000000006,-3.0000000000000027,-3.0000000000000027
OpenBMI,EEGConformer,3,22,EEGConformer+LiteBN,0.72,0.7189883580891208,6.000000000000005,2.0000000000000018,2.0000000000000018
OpenBMI,EEGConformer,3,19,EEGConformer+LiteBN,0.81,0.8099809980998101,-1.0000000000000009,3.0000000000000027,-1.0000000000000009
OpenBMI,EEGConformer,3,16,EEGConformer+LiteBN,0.88,0.88,2.0000000000000018,1.0000000000000009,1.0000000000000009
OpenBMI,EEGConformer,3,45,EEGConformer+EEGNet,0.72,0.7198879551820728,2.0000000000000018,-4.0000000000000036,-4.0000000000000036
OpenBMI,EEGConformer,3,34,EEGConformer+EEGNet,0.6599999999999999,0.6587715776796468,2.9999999999999916,0.0,0.0
OpenBMI,EEGConformer,3,27,EEGConformer+EEGNet,0.9199999999999999,0.9194847020933977,7.9999999999999964,0.0,0.0
OpenBMI,EEGConformer,3,49,EEGConformer+EEGNet,0.8200000000000001,0.8193496587715776,5.000000000000004,-1.9999999999999907,-1.9999999999999907
OpenBMI,EEGConformer,3,10,EEGConformer+EEGNet,0.69,0.6892230576441103,-2.0000000000000018,-2.0000000000000018,-2.0000000000000018
OpenBMI,EEGConformer,3,22,EEGConformer+EEGNet,0.69,0.6846709388668497,3.0000000000000027,2.9999999999999916,2.9999999999999916
OpenBMI,EEGConformer,3,19,EEGConformer+EEGNet,0.81,0.8098288459613652,-1.0000000000000009,8.000000000000007,-1.0000000000000009
OpenBMI,EEGConformer,3,16,EEGConformer+EEGNet,0.85,0.84998499849985,-1.0000000000000009,4.999999999999993,-1.0000000000000009
OpenBMI,CBraMod,3,45,CBraMod+LiteBN,0.74,0.74,26.0,0.0,0.0
OpenBMI,CBraMod,3,34,CBraMod+LiteBN,0.61,0.5953937130407718,12.0,0.0,0.0
OpenBMI,CBraMod,3,27,CBraMod+LiteBN,0.95,0.9499549594635172,44.99999999999999,0.0,0.0
OpenBMI,CBraMod,3,49,CBraMod+LiteBN,0.84,0.8383838383838383,31.999999999999996,0.0,0.0
OpenBMI,CBraMod,3,10,CBraMod+LiteBN,0.81,0.8095238095238095,31.000000000000007,0.0,0.0
OpenBMI,CBraMod,3,22,CBraMod+LiteBN,0.7,0.6980676328502415,24.999999999999993,0.0,0.0
OpenBMI,CBraMod,3,19,CBraMod+LiteBN,0.78,0.7799119647859143,28.000000000000004,0.0,0.0
OpenBMI,CBraMod,3,16,CBraMod+LiteBN,0.87,0.8699869986998701,35.0,0.0,0.0
OpenBMI,CBraMod,3,45,CBraMod+EEGNet,0.76,0.7596153846153846,28.000000000000004,0.0,0.0
OpenBMI,CBraMod,3,34,CBraMod+EEGNet,0.6599999999999999,0.6594551282051282,16.999999999999993,0.0,0.0
OpenBMI,CBraMod,3,27,CBraMod+EEGNet,0.9199999999999999,0.9197109594540345,41.99999999999999,0.0,0.0
OpenBMI,CBraMod,3,49,CBraMod+EEGNet,0.84,0.84,31.999999999999996,0.0,0.0
OpenBMI,CBraMod,3,10,CBraMod+EEGNet,0.71,0.7097387648883995,20.999999999999996,0.0,0.0
OpenBMI,CBraMod,3,22,CBraMod+EEGNet,0.66,0.6550324675324675,21.000000000000004,0.0,0.0
OpenBMI,CBraMod,3,19,CBraMod+EEGNet,0.73,0.7253585596582239,23.0,0.0,0.0
OpenBMI,CBraMod,3,16,CBraMod+EEGNet,0.8,0.7996794871794872,28.000000000000004,0.0,0.0
OpenBMI,CodeBrain,3,45,CodeBrain+LiteBN,0.66,0.6550324675324675,15.000000000000002,-7.9999999999999964,-7.9999999999999964
OpenBMI,CodeBrain,3,34,CodeBrain+LiteBN,0.6,0.5659722222222222,4.0000000000000036,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,3,27,CodeBrain+LiteBN,0.94,0.9399759903961584,5.999999999999995,-1.0000000000000009,-1.0000000000000009
OpenBMI,CodeBrain,3,49,CodeBrain+LiteBN,0.85,0.8474214220323466,14.000000000000002,1.0000000000000009,1.0000000000000009
OpenBMI,CodeBrain,3,10,CodeBrain+LiteBN,0.8,0.7999199679871949,9.000000000000007,-1.0000000000000009,-1.0000000000000009
