dataset,backbone,fold,pair,base_BA,partner_BA,fusion_BA,delta_vs_base_pp,delta_vs_partner_pp,delta_vs_best_pp
WBCIC,EEGConformer,4,EEGConformer+EEGNet,0.7508333333333334,0.7675,0.7608333333333333,0.9999999999999898,-0.666666666666671,-0.666666666666671
WBCIC,EEGNet,0,EEGNet+LiteBN,0.7714285714285715,0.7792857142857141,0.7985714285714286,2.7142857142857135,1.9285714285714461,1.9285714285714461
WBCIC,EEGNet,1,EEGNet+LiteBN,0.8125,0.7733333333333333,0.7933333333333333,-1.9166666666666665,2.0000000000000018,-1.9166666666666665
WBCIC,EEGNet,2,EEGNet+LiteBN,0.7491666666666666,0.7558333333333334,0.7566666666666665,0.749999999999984,0.08333333333331305,0.08333333333331305
WBCIC,EEGNet,3,EEGNet+LiteBN,0.8146811868686868,0.8405408249158249,0.8405839646464646,2.590277777777772,0.0043139730639629725,0.0043139730639629725
WBCIC,EEGNet,4,EEGNet+LiteBN,0.7675,0.7875000000000001,0.7800000000000001,1.2500000000000178,-0.7499999999999951,-0.7499999999999951
OpenBMI,EEGNet,0,EEGNet+LiteBN,0.8,0.8262499999999999,0.8262499999999999,2.6249999999999885,0.0,0.0
OpenBMI,EEGNet,1,EEGNet+LiteBN,0.8125,0.8325,0.8425,3.0000000000000027,1.0000000000000009,1.0000000000000009
OpenBMI,EEGNet,2,EEGNet+LiteBN,0.6875,0.7275,0.7475,6.000000000000005,2.0000000000000018,2.0000000000000018
OpenBMI,EEGNet,3,EEGNet+LiteBN,0.76,0.7875000000000001,0.8025,4.249999999999998,1.4999999999999902,1.4999999999999902
OpenBMI,EEGNet,4,EEGNet+LiteBN,0.72875,0.78375,0.78125,5.249999999999999,-0.24999999999999467,-0.24999999999999467
WBCIC,EEGNet,0,EEGNet+LiteBN,0.7714285714285715,0.7792857142857141,0.7985714285714286,2.7142857142857135,1.9285714285714461,1.9285714285714461
WBCIC,EEGNet,1,EEGNet+LiteBN,0.8125,0.7733333333333333,0.7933333333333333,-1.9166666666666665,2.0000000000000018,-1.9166666666666665
WBCIC,EEGNet,2,EEGNet+LiteBN,0.7491666666666666,0.7558333333333334,0.7566666666666665,0.749999999999984,0.08333333333331305,0.08333333333331305
WBCIC,EEGNet,3,EEGNet+LiteBN,0.8146811868686868,0.8405408249158249,0.8405839646464646,2.590277777777772,0.0043139730639629725,0.0043139730639629725
WBCIC,EEGNet,4,EEGNet+LiteBN,0.7675,0.7875000000000001,0.7800000000000001,1.2500000000000178,-0.7499999999999951,-0.7499999999999951
