dataset,fold,model,mean_abs_logit,mean_logit_l2,mean_decision_margin,predictive_entropy,confidence,fraction_finite,class_ordering
OpenBMI,2,CBraMod+LiteBN,0.6723449753015303,0.9973641635798437,1.3121199760469608,0.5032766448204443,0.759619444791467,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,CBraMod+EEGNet,0.4417559211712796,0.6781777004284713,0.7930119002563879,0.6015362311669624,0.676965826815993,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,CodeBrain,1.0604998211987549,1.6883379994589673,1.772908636261709,0.44430330219624364,0.7854518636748418,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,CodeBrain+LiteBN,1.0025829987274484,1.4741520591854347,1.9469937495235354,0.4077052210025005,0.8121886388600206,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,CodeBrain+EEGNet,0.7621476270072162,1.1380086134405507,1.4606888720486313,0.4825563845683004,0.7647754070816817,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,2,EEGNet+LiteBN,0.9875270721025299,1.4766262683064775,1.8912759876414202,0.4073885329431532,0.8139744750310102,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,EEGNet,1.094931833697483,1.6718769027506624,1.971870198212564,0.400073568814361,0.8157398004445487,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,LiteBN,1.3478135206946171,1.9948479296516177,2.6113576266146263,0.31828411470242224,0.8592638524116151,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,EEGConformer,1.9269239121559076,2.8062052494302465,3.825696899252944,0.23034373523386872,0.9004762616194297,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,EEGConformer+LiteBN,1.5432634549867361,2.2518028990361136,3.0510964149143547,0.2819995321654106,0.8778028987832783,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,EEGConformer+EEGNet,1.3942337693390436,2.039891500251096,2.7247583808610214,0.3151586537419842,0.8597839193443991,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,CBraMod,0.034287779879523445,0.0485395166261409,0.0025627653463743626,0.6931460191714498,0.5006406905350596,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,CBraMod+LiteBN,0.6732206385402242,0.9953666473157898,1.3056233965966384,0.5036793615216043,0.7568211052962804,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,CBraMod+EEGNet,0.5436381060123676,0.8282579736101806,0.9858628141426016,0.5645242928531427,0.7090833823258939,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,CodeBrain,0.8291150055761682,1.2870017977257924,1.5031909773207734,0.47717429916675724,0.769090608733841,1.0,"logit[0]=class0, logit[1]=class1"
