dataset,backbone,fold,subject_id,model,BA,macro_F1
OpenBMI,EEGNet,1,26,EEGNet,0.86,0.859775641025641
OpenBMI,EEGNet,1,2,EEGNet,0.81,0.8090644156366193
OpenBMI,EEGNet,1,14,EEGNet,0.72,0.7126436781609196
OpenBMI,EEGNet,1,31,EEGNet,0.8,0.7960016319869441
OpenBMI,EEGNet,1,28,EEGNet,0.78,0.7726333195535345
OpenBMI,EEGNet,1,35,EEGNet,0.86,0.8590982286634461
OpenBMI,EEGNet,1,40,EEGNet,0.8200000000000001,0.8197115384615384
OpenBMI,EEGNet,1,43,EEGNet,0.85,0.84998499849985
OpenBMI,LiteBN,1,26,LiteBN,0.85,0.84998499849985
OpenBMI,LiteBN,1,2,LiteBN,0.78,0.7796474358974359
OpenBMI,LiteBN,1,14,LiteBN,0.75,0.7457023700539112
OpenBMI,LiteBN,1,31,LiteBN,0.79,0.7874278773155178
OpenBMI,LiteBN,1,28,LiteBN,0.9299999999999999,0.9298245614035088
OpenBMI,LiteBN,1,35,LiteBN,0.8,0.7933030177759405
OpenBMI,LiteBN,1,40,LiteBN,0.81,0.8067338012409724
OpenBMI,LiteBN,1,43,LiteBN,0.95,0.9499549594635172
OpenBMI,EEGConformer,1,26,EEGConformer,0.81,0.8095238095238095
OpenBMI,EEGConformer,1,2,EEGConformer,0.71,0.7099709970997099
OpenBMI,EEGConformer,1,14,EEGConformer,0.72,0.7159090909090908
OpenBMI,EEGConformer,1,31,EEGConformer,0.73,0.7266929851199515
OpenBMI,EEGConformer,1,28,EEGConformer,0.8400000000000001,0.8397435897435898
OpenBMI,EEGConformer,1,35,EEGConformer,0.75,0.7457023700539112
OpenBMI,EEGConformer,1,40,EEGConformer,0.71,0.7050147492625369
OpenBMI,EEGConformer,1,43,EEGConformer,0.81,0.8056265984654731
OpenBMI,CBraMod,1,26,CBraMod,0.56,0.5598239295718287
OpenBMI,CBraMod,1,2,CBraMod,0.49,0.45599999999999996
OpenBMI,CBraMod,1,14,CBraMod,0.54,0.5383380168606985
OpenBMI,CBraMod,1,31,CBraMod,0.51,0.45790463546852533
OpenBMI,CBraMod,1,28,CBraMod,0.51,0.4650070968446337
OpenBMI,CBraMod,1,35,CBraMod,0.51,0.3710691823899371
OpenBMI,CBraMod,1,40,CBraMod,0.52,0.512987012987013
OpenBMI,CBraMod,1,43,CBraMod,0.49,0.4708994708994709
OpenBMI,CodeBrain,1,26,CodeBrain,0.79,0.7863899908452854
OpenBMI,CodeBrain,1,2,CodeBrain,0.71,0.6938021328265231
OpenBMI,CodeBrain,1,14,CodeBrain,0.57,0.5413333333333333
OpenBMI,CodeBrain,1,31,CodeBrain,0.61,0.5741893219783819
OpenBMI,CodeBrain,1,28,CodeBrain,0.6799999999999999,0.6567996567996568
OpenBMI,CodeBrain,1,35,CodeBrain,0.84,0.84
OpenBMI,CodeBrain,1,40,CodeBrain,0.67,0.6547756041426928
OpenBMI,CodeBrain,1,43,CodeBrain,0.65,0.6496847162446202
OpenBMI,EEGNet,2,50,EEGNet,0.6699999999999999,0.6697027324592133
OpenBMI,EEGNet,2,52,EEGNet,0.78,0.779205138498595
OpenBMI,EEGNet,2,23,EEGNet,0.7,0.6980676328502415
OpenBMI,EEGNet,2,1,EEGNet,0.63,0.6254681647940075
OpenBMI,EEGNet,2,30,EEGNet,0.69,0.6862030569895738
OpenBMI,EEGNet,2,48,EEGNet,0.6699999999999999,0.6624040920716112
OpenBMI,EEGNet,2,11,EEGNet,0.71,0.6991389148251893
OpenBMI,EEGNet,2,8,EEGNet,0.65,0.6496847162446202
OpenBMI,LiteBN,2,50,LiteBN,0.63,0.6236395076797885
OpenBMI,LiteBN,2,52,LiteBN,0.81,0.8090644156366193
OpenBMI,LiteBN,2,23,LiteBN,0.74,0.7348021215830274
OpenBMI,LiteBN,2,1,LiteBN,0.65,0.6266666666666667
OpenBMI,LiteBN,2,30,LiteBN,0.75,0.7493734335839599
OpenBMI,LiteBN,2,48,LiteBN,0.66,0.6565656565656566
OpenBMI,LiteBN,2,11,LiteBN,0.73,0.7286704853783539
OpenBMI,LiteBN,2,8,LiteBN,0.8500000000000001,0.8492613807657522
OpenBMI,EEGConformer,2,50,EEGConformer,0.51,0.47147017581706396
OpenBMI,EEGConformer,2,52,EEGConformer,0.79,0.7882851093860268
OpenBMI,EEGConformer,2,23,EEGConformer,0.78,0.7777777777777778
OpenBMI,EEGConformer,2,1,EEGConformer,0.75,0.7406369955389562
OpenBMI,EEGConformer,2,30,EEGConformer,0.69,0.6884735202492211
OpenBMI,EEGConformer,2,48,EEGConformer,0.5800000000000001,0.525101763907734
OpenBMI,EEGConformer,2,11,EEGConformer,0.7,0.7
OpenBMI,EEGConformer,2,8,EEGConformer,0.77,0.7694235588972431
OpenBMI,CBraMod,2,50,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,52,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,23,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,1,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,30,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,48,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,11,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,2,8,CBraMod,0.5,0.3333333333333333
OpenBMI,CodeBrain,2,50,CodeBrain,0.5900000000000001,0.5889724310776943
OpenBMI,CodeBrain,2,52,CodeBrain,0.71,0.7092731829573935
OpenBMI,CodeBrain,2,23,CodeBrain,0.7,0.6847414880201765
OpenBMI,CodeBrain,2,1,CodeBrain,0.6,0.5659722222222222
OpenBMI,CodeBrain,2,30,CodeBrain,0.6799999999999999,0.6767676767676768
OpenBMI,CodeBrain,2,48,CodeBrain,0.72,0.7083333333333334
OpenBMI,CodeBrain,2,11,CodeBrain,0.5700000000000001,0.5501621508525996
OpenBMI,CodeBrain,2,8,CodeBrain,0.69,0.6846709388668497
OpenBMI,EEGNet,3,45,EEGNet,0.76,0.7596153846153846
OpenBMI,EEGNet,3,34,EEGNet,0.6599999999999999,0.6594551282051282
OpenBMI,EEGNet,3,27,EEGNet,0.9199999999999999,0.9197109594540345
OpenBMI,EEGNet,3,49,EEGNet,0.84,0.84
OpenBMI,EEGNet,3,10,EEGNet,0.71,0.7097387648883995
OpenBMI,EEGNet,3,22,EEGNet,0.66,0.6550324675324675
OpenBMI,EEGNet,3,19,EEGNet,0.73,0.7253585596582239
OpenBMI,EEGNet,3,16,EEGNet,0.8,0.7996794871794872
OpenBMI,LiteBN,3,45,LiteBN,0.74,0.74
OpenBMI,LiteBN,3,34,LiteBN,0.61,0.5953937130407718
OpenBMI,LiteBN,3,27,LiteBN,0.95,0.9499549594635172
OpenBMI,LiteBN,3,49,LiteBN,0.84,0.8383838383838383
OpenBMI,LiteBN,3,10,LiteBN,0.81,0.8095238095238095
OpenBMI,LiteBN,3,22,LiteBN,0.7,0.6980676328502415
OpenBMI,LiteBN,3,19,LiteBN,0.78,0.7799119647859143
OpenBMI,LiteBN,3,16,LiteBN,0.87,0.8699869986998701
OpenBMI,EEGConformer,3,45,EEGConformer,0.7,0.6995192307692308
OpenBMI,EEGConformer,3,34,EEGConformer,0.63,0.6296667000300271
OpenBMI,EEGConformer,3,27,EEGConformer,0.84,0.8368013055895553
OpenBMI,EEGConformer,3,49,EEGConformer,0.77,0.7660461804495982
OpenBMI,EEGConformer,3,10,EEGConformer,0.71,0.7085720028137876
OpenBMI,EEGConformer,3,22,EEGConformer,0.6599999999999999,0.6587715776796468
OpenBMI,EEGConformer,3,19,EEGConformer,0.8200000000000001,0.8199279711884754
OpenBMI,EEGConformer,3,16,EEGConformer,0.86,0.8599439775910365
OpenBMI,CBraMod,3,45,CBraMod,0.48,0.32432432432432434
OpenBMI,CBraMod,3,34,CBraMod,0.49,0.4615140956604371
OpenBMI,CBraMod,3,27,CBraMod,0.5,0.37996031746031744
OpenBMI,CBraMod,3,49,CBraMod,0.52,0.4485294117647059
OpenBMI,CBraMod,3,10,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,3,22,CBraMod,0.45,0.44550861982054646
OpenBMI,CBraMod,3,19,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,3,16,CBraMod,0.52,0.52
OpenBMI,CodeBrain,3,45,CodeBrain,0.51,0.4415954415954416
OpenBMI,CodeBrain,3,34,CodeBrain,0.5599999999999999,0.48574100046750823
OpenBMI,CodeBrain,3,27,CodeBrain,0.88,0.88
OpenBMI,CodeBrain,3,49,CodeBrain,0.71,0.6906666666666667
OpenBMI,CodeBrain,3,10,CodeBrain,0.71,0.7050147492625369
OpenBMI,CodeBrain,3,22,CodeBrain,0.61,0.584
OpenBMI,CodeBrain,3,19,CodeBrain,0.55,0.47862356621480706
OpenBMI,CodeBrain,3,16,CodeBrain,0.72,0.7144022847817217
OpenBMI,EEGNet,4,9,EEGNet,0.61,0.6068152031454783
OpenBMI,EEGNet,4,53,EEGNet,0.77,0.767182913250329
OpenBMI,EEGNet,4,7,EEGNet,0.72,0.72
OpenBMI,EEGNet,4,20,EEGNet,0.88,0.88
OpenBMI,EEGNet,4,41,EEGNet,0.6799999999999999,0.6767676767676768
OpenBMI,EEGNet,4,46,EEGNet,0.66,0.6458333333333333
OpenBMI,EEGNet,4,21,EEGNet,0.84,0.84
OpenBMI,EEGNet,4,44,EEGNet,0.67,0.66996699669967
OpenBMI,LiteBN,4,9,LiteBN,0.6,0.586606035551881
OpenBMI,LiteBN,4,53,LiteBN,0.8200000000000001,0.818840579710145
OpenBMI,LiteBN,4,7,LiteBN,0.73,0.7237851662404092
OpenBMI,LiteBN,4,20,LiteBN,0.9099999999999999,0.9095568284594513
OpenBMI,LiteBN,4,41,LiteBN,0.77,0.7647058823529411
OpenBMI,LiteBN,4,46,LiteBN,0.69,0.6615351020853806
OpenBMI,LiteBN,4,21,LiteBN,0.9099999999999999,0.9097744360902256
OpenBMI,LiteBN,4,44,LiteBN,0.84,0.8368013055895553
OpenBMI,EEGConformer,4,9,EEGConformer,0.63,0.6161427533976553
OpenBMI,EEGConformer,4,53,EEGConformer,0.73,0.7266929851199515
OpenBMI,EEGConformer,4,7,EEGConformer,0.79,0.78997899789979
OpenBMI,EEGConformer,4,20,EEGConformer,0.78,0.7688104245481295
OpenBMI,EEGConformer,4,41,EEGConformer,0.68,0.6604414261460102
OpenBMI,EEGConformer,4,46,EEGConformer,0.71,0.6938021328265231
OpenBMI,EEGConformer,4,21,EEGConformer,0.99,0.9899989998999901
OpenBMI,EEGConformer,4,44,EEGConformer,0.6799999999999999,0.64349376114082
OpenBMI,CBraMod,4,9,CBraMod,0.6,0.5941558441558441
OpenBMI,CBraMod,4,53,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,4,7,CBraMod,0.51,0.3551783129359126
OpenBMI,CBraMod,4,20,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,4,41,CBraMod,0.55,0.5463252343986289
OpenBMI,CBraMod,4,46,CBraMod,0.5,0.3333333333333333
OpenBMI,CBraMod,4,21,CBraMod,0.51,0.3710691823899371
OpenBMI,CBraMod,4,44,CBraMod,0.54,0.4165398274987316
OpenBMI,CodeBrain,4,9,CodeBrain,0.54,0.5392628205128205
OpenBMI,CodeBrain,4,53,CodeBrain,0.63,0.6236395076797885
OpenBMI,CodeBrain,4,7,CodeBrain,0.73,0.7297567811029927
OpenBMI,CodeBrain,4,20,CodeBrain,0.72,0.7028862478777589
OpenBMI,CodeBrain,4,41,CodeBrain,0.5800000000000001,0.5384615384615385
OpenBMI,CodeBrain,4,46,CodeBrain,0.6499999999999999,0.6178622120318812
OpenBMI,CodeBrain,4,21,CodeBrain,0.66,0.6550324675324675
OpenBMI,CodeBrain,4,44,CodeBrain,0.63,0.5783475783475784
WBCIC,EEGNet,0,sub-6,EEGNet,0.9099999999999999,0.9097744360902256
WBCIC,EEGNet,0,sub-22,EEGNet,0.72,0.7177134791813691
WBCIC,EEGNet,0,sub-44,EEGNet,0.77,0.7685185185185186
WBCIC,EEGNet,0,sub-35,EEGNet,0.925,0.9249080123150859
WBCIC,EEGNet,0,sub-18,EEGNet,0.61,0.5953937130407718
WBCIC,EEGNet,0,sub-9,EEGNet,0.5900000000000001,0.5729166666666666
WBCIC,EEGNet,0,sub-49,EEGNet,0.875,0.8749968749218731
WBCIC,LiteBN,0,sub-6,LiteBN,0.935,0.934998374959374
WBCIC,LiteBN,0,sub-22,LiteBN,0.78,0.7794486215538847
WBCIC,LiteBN,0,sub-44,LiteBN,0.785,0.7826032002831214
WBCIC,LiteBN,0,sub-35,LiteBN,0.885,0.8841630782402861
WBCIC,LiteBN,0,sub-18,LiteBN,0.645,0.6410424934907354
WBCIC,LiteBN,0,sub-9,LiteBN,0.55,0.5471014492753623
WBCIC,LiteBN,0,sub-49,LiteBN,0.875,0.8744696342045141
WBCIC,EEGConformer,0,sub-6,EEGConformer,0.73,0.7104247104247103
WBCIC,EEGConformer,0,sub-22,EEGConformer,0.5599999999999999,0.5280995280995281
WBCIC,EEGConformer,0,sub-44,EEGConformer,0.685,0.6697334276952112
WBCIC,EEGConformer,0,sub-35,EEGConformer,0.86,0.8588567395906845
WBCIC,EEGConformer,0,sub-18,EEGConformer,0.56,0.5354239256678281
WBCIC,EEGConformer,0,sub-9,EEGConformer,0.54,0.4875222816399287
WBCIC,EEGConformer,0,sub-49,EEGConformer,0.685,0.6648847043804356
WBCIC,CBraMod,0,sub-6,CBraMod,0.88,0.8796992481203008
WBCIC,CBraMod,0,sub-22,CBraMod,0.5800000000000001,0.560623496181609
WBCIC,CBraMod,0,sub-44,CBraMod,0.71,0.7050147492625369
WBCIC,CBraMod,0,sub-35,CBraMod,0.89,0.8899559823929573
WBCIC,CBraMod,0,sub-18,CBraMod,0.57,0.5413333333333333
WBCIC,CBraMod,0,sub-9,CBraMod,0.585,0.5536554542765723
WBCIC,CBraMod,0,sub-49,CBraMod,0.72,0.7095134350036311
WBCIC,CodeBrain,0,sub-6,CodeBrain,0.91,0.9099639855942376
WBCIC,CodeBrain,0,sub-22,CodeBrain,0.645,0.6417669466939125
WBCIC,CodeBrain,0,sub-44,CodeBrain,0.78,0.7789166917897699
WBCIC,CodeBrain,0,sub-35,CodeBrain,0.915,0.9146393512590696
WBCIC,CodeBrain,0,sub-18,CodeBrain,0.6,0.5920032639738881
WBCIC,CodeBrain,0,sub-9,CodeBrain,0.605,0.5976674900053474
WBCIC,CodeBrain,0,sub-49,CodeBrain,0.81,0.8098288459613652
WBCIC,EEGNet,1,sub-28,EEGNet,0.675,0.6747967479674797
WBCIC,EEGNet,1,sub-37,EEGNet,0.885,0.8849280800500312
WBCIC,EEGNet,1,sub-12,EEGNet,0.715,0.7148217636022514
WBCIC,EEGNet,1,sub-30,EEGNet,0.835,0.8342999171499585
WBCIC,EEGNet,1,sub-45,EEGNet,0.935,0.9349853717086345
WBCIC,EEGNet,1,sub-7,EEGNet,0.8300000000000001,0.8289049919484701
WBCIC,LiteBN,1,sub-28,LiteBN,0.545,0.4326506437233081
WBCIC,LiteBN,1,sub-37,LiteBN,0.855,0.8547057792028858
WBCIC,LiteBN,1,sub-12,LiteBN,0.75,0.74997499749975
WBCIC,LiteBN,1,sub-30,LiteBN,0.77,0.7622984704423315
WBCIC,LiteBN,1,sub-45,LiteBN,0.925,0.9249981249531238
WBCIC,LiteBN,1,sub-7,LiteBN,0.795,0.7949538646195394
WBCIC,EEGConformer,1,sub-28,EEGConformer,0.645,0.6159567275185936
WBCIC,EEGConformer,1,sub-37,EEGConformer,0.675,0.6743405395926751
WBCIC,EEGConformer,1,sub-12,EEGConformer,0.735,0.7349403615813558
WBCIC,EEGConformer,1,sub-30,EEGConformer,0.855,0.8547057792028858
WBCIC,EEGConformer,1,sub-45,EEGConformer,0.9,0.9
WBCIC,EEGConformer,1,sub-7,EEGConformer,0.8,0.7999199679871949
WBCIC,CBraMod,1,sub-28,CBraMod,0.655,0.6348336905612448
WBCIC,CBraMod,1,sub-37,CBraMod,0.785,0.7849516141131755
WBCIC,CBraMod,1,sub-12,CBraMod,0.6799999999999999,0.6798719487795117
WBCIC,CBraMod,1,sub-30,CBraMod,0.865,0.8649966249156229
WBCIC,CBraMod,1,sub-45,CBraMod,0.885,0.8849741191768148
WBCIC,CBraMod,1,sub-7,CBraMod,0.7949999999999999,0.7927146793397204
WBCIC,CodeBrain,1,sub-28,CodeBrain,0.645,0.6362611747227132
WBCIC,CodeBrain,1,sub-37,CodeBrain,0.725,0.7248280175109443
WBCIC,CodeBrain,1,sub-12,CodeBrain,0.72,0.7181964573268921
WBCIC,CodeBrain,1,sub-30,CodeBrain,0.86,0.8599439775910365
WBCIC,CodeBrain,1,sub-45,CodeBrain,0.9299999999999999,0.9299929992999301
WBCIC,CodeBrain,1,sub-7,CodeBrain,0.75,0.748389694041868
WBCIC,EEGNet,2,sub-50,EEGNet,0.9550000000000001,0.9549718574108819
WBCIC,EEGNet,2,sub-14,EEGNet,0.575,0.5671105905120827
WBCIC,EEGNet,2,sub-1,EEGNet,0.9450000000000001,0.9449656035021888
WBCIC,EEGNet,2,sub-32,EEGNet,0.545,0.5416887008637405
WBCIC,EEGNet,2,sub-23,EEGNet,0.965,0.9649991249781245
WBCIC,EEGNet,2,sub-34,EEGNet,0.51,0.4987212276214834
WBCIC,LiteBN,2,sub-50,LiteBN,0.94,0.9399038461538461
WBCIC,LiteBN,2,sub-14,LiteBN,0.515,0.5144051463042227
WBCIC,LiteBN,2,sub-1,LiteBN,0.905,0.9045969219954307
WBCIC,LiteBN,2,sub-32,LiteBN,0.605,0.6005965772643393
WBCIC,LiteBN,2,sub-23,LiteBN,0.97,0.9699729756781104
WBCIC,LiteBN,2,sub-34,LiteBN,0.6000000000000001,0.5980303487086724
WBCIC,EEGConformer,2,sub-50,EEGConformer,0.935,0.934998374959374
WBCIC,EEGConformer,2,sub-14,EEGConformer,0.515,0.5073015873015874
WBCIC,EEGConformer,2,sub-1,EEGConformer,0.88,0.8792270531400965
WBCIC,EEGConformer,2,sub-32,EEGConformer,0.545,0.536553691018818
WBCIC,EEGConformer,2,sub-23,EEGConformer,0.95,0.9499198717948718
WBCIC,EEGConformer,2,sub-34,EEGConformer,0.54,0.5362435729408206
WBCIC,CBraMod,2,sub-50,CBraMod,0.935,0.934959349593496
WBCIC,CBraMod,2,sub-14,CBraMod,0.5449999999999999,0.543619448832719
WBCIC,CBraMod,2,sub-1,CBraMod,0.85,0.84998499849985
WBCIC,CBraMod,2,sub-32,CBraMod,0.525,0.5229846099771535
WBCIC,CBraMod,2,sub-23,CBraMod,0.915,0.9145191703331239
WBCIC,CBraMod,2,sub-34,CBraMod,0.495,0.4948863494286215
WBCIC,CodeBrain,2,sub-50,CodeBrain,0.8899999999999999,0.8897243107769424
WBCIC,CodeBrain,2,sub-14,CodeBrain,0.54,0.5166036149642708
WBCIC,CodeBrain,2,sub-1,CodeBrain,0.845,0.8441231929604023
WBCIC,CodeBrain,2,sub-32,CodeBrain,0.53,0.529811924769908
WBCIC,CodeBrain,2,sub-23,CodeBrain,0.905,0.9045969219954307
WBCIC,CodeBrain,2,sub-34,CodeBrain,0.535,0.5263680578543963
WBCIC,EEGNet,3,sub-24,EEGNet,0.9180871212121212,0.9179465600673259
WBCIC,EEGNet,3,sub-13,EEGNet,0.8799999999999999,0.8795664391810518
WBCIC,EEGNet,3,sub-11,EEGNet,0.625,0.6238621831038893
WBCIC,EEGNet,3,sub-29,EEGNet,0.85,0.84998499849985
WBCIC,EEGNet,3,sub-26,EEGNet,0.6699999999999999,0.6683750376846548
WBCIC,EEGNet,3,sub-47,EEGNet,0.9450000000000001,0.9449325423643964
WBCIC,LiteBN,3,sub-24,LiteBN,0.9182449494949495,0.9179465600673259
WBCIC,LiteBN,3,sub-13,LiteBN,0.89,0.89
WBCIC,LiteBN,3,sub-11,LiteBN,0.6950000000000001,0.6940745755911633
WBCIC,LiteBN,3,sub-29,LiteBN,0.895,0.8944060339409177
WBCIC,LiteBN,3,sub-26,LiteBN,0.73,0.7282608695652174
WBCIC,LiteBN,3,sub-47,LiteBN,0.915,0.9148957472904308
WBCIC,EEGConformer,3,sub-24,EEGConformer,0.8868371212121212,0.8870339161575732
WBCIC,EEGConformer,3,sub-13,EEGConformer,0.7949999999999999,0.794584032666149
WBCIC,EEGConformer,3,sub-11,EEGConformer,0.6950000000000001,0.6946259167480163
WBCIC,EEGConformer,3,sub-29,EEGConformer,0.655,0.6539532084555781
WBCIC,EEGConformer,3,sub-26,EEGConformer,0.63,0.6176105828854899
WBCIC,EEGConformer,3,sub-47,EEGConformer,0.725,0.7198950879784065
WBCIC,CBraMod,3,sub-24,CBraMod,0.7752525252525253,0.773877292852625
WBCIC,CBraMod,3,sub-13,CBraMod,0.835,0.8347976270931892
WBCIC,CBraMod,3,sub-11,CBraMod,0.6799999999999999,0.6726342710997443
WBCIC,CBraMod,3,sub-29,CBraMod,0.77,0.7699769976997699
WBCIC,CBraMod,3,sub-26,CBraMod,0.6799999999999999,0.6798719487795117
WBCIC,CBraMod,3,sub-47,CBraMod,0.715,0.7104761904761905
WBCIC,CodeBrain,3,sub-24,CodeBrain,0.8716856060606061,0.8717409034702308
WBCIC,CodeBrain,3,sub-13,CodeBrain,0.835,0.8348968105065666
WBCIC,CodeBrain,3,sub-11,CodeBrain,0.745,0.7444825772188681
WBCIC,CodeBrain,3,sub-29,CodeBrain,0.8049999999999999,0.8048780487804879
WBCIC,CodeBrain,3,sub-26,CodeBrain,0.65,0.6464646464646464
WBCIC,CodeBrain,3,sub-47,CodeBrain,0.855,0.8549093183239524
WBCIC,EEGNet,4,sub-36,EEGNet,0.98,0.98
WBCIC,EEGNet,4,sub-16,EEGNet,0.5549999999999999,0.552482715273413
WBCIC,EEGNet,4,sub-48,EEGNet,0.84,0.84
WBCIC,EEGNet,4,sub-41,EEGNet,0.87,0.8691626409017714
WBCIC,EEGNet,4,sub-5,EEGNet,0.765,0.7648530331457161
WBCIC,EEGNet,4,sub-27,EEGNet,0.595,0.5822050290135397
WBCIC,LiteBN,4,sub-36,LiteBN,0.965,0.9649781113195748
WBCIC,LiteBN,4,sub-16,LiteBN,0.575,0.5658724686534385
WBCIC,LiteBN,4,sub-48,LiteBN,0.865,0.8649696181640869
WBCIC,LiteBN,4,sub-41,LiteBN,0.87,0.8699869986998701
WBCIC,LiteBN,4,sub-5,LiteBN,0.78,0.7794486215538847
WBCIC,LiteBN,4,sub-27,LiteBN,0.6699999999999999,0.6683750376846548
WBCIC,EEGConformer,4,sub-36,EEGConformer,0.955,0.9549898727213624
WBCIC,EEGConformer,4,sub-16,EEGConformer,0.565,0.5542918619841697
WBCIC,EEGConformer,4,sub-48,EEGConformer,0.755,0.7522687631133245
WBCIC,EEGConformer,4,sub-41,EEGConformer,0.8200000000000001,0.818840579710145
WBCIC,EEGConformer,4,sub-5,EEGConformer,0.8400000000000001,0.8398558702832549
WBCIC,EEGConformer,4,sub-27,EEGConformer,0.5700000000000001,0.569827931172469
WBCIC,CBraMod,4,sub-36,CBraMod,0.97,0.96999699969997
WBCIC,CBraMod,4,sub-16,CBraMod,0.595,0.5920525798897031
WBCIC,CBraMod,4,sub-48,CBraMod,0.74,0.7378768020969856
WBCIC,CBraMod,4,sub-41,CBraMod,0.78,0.7782034479282185
WBCIC,CBraMod,4,sub-5,CBraMod,0.76,0.76
WBCIC,CBraMod,4,sub-27,CBraMod,0.615,0.6128221244500314
WBCIC,CodeBrain,4,sub-36,CodeBrain,0.9550000000000001,0.9549718574108819
WBCIC,CodeBrain,4,sub-16,CodeBrain,0.52,0.518796992481203
WBCIC,CodeBrain,4,sub-48,CodeBrain,0.72,0.7198879551820728
WBCIC,CodeBrain,4,sub-41,CodeBrain,0.76,0.7558742752517547
WBCIC,CodeBrain,4,sub-5,CodeBrain,0.745,0.744993624840621
WBCIC,CodeBrain,4,sub-27,CodeBrain,0.655,0.6539532084555781
