task,fold,stage,projector_mode,Q_rank,feature_dimension,train_group_centroids,ridge_alpha,pathfit_singular_values,orthogonality_max_abs,centering_vector_sha256,projector_sha256,target_coordinates,labels_scope
OpenBMI_SSVEP,0,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,12000,208,1.0,"[0.03220593612566834, 0.027354837767744916, 0.021891772679965997, 0.016685995947370823]",1.1920928955078125e-07,542928270db7470460ce52a60e6ff00b832ef505e8e35b568cabce7d2ab2d9d4,2f319284497a866635c53e513ecd5c7c1a9125b9694c42f908ec79e10085748c,"[9, 10, 11, 12]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,0,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,8000,208,1.0,"[0.030614224255256832, 0.02642624557129555, 0.025558032091825333, 0.015979366857166145]",1.1920928955078125e-07,8fa065c7dba17060c0689570b3ec512cfbeb14827d0d22ae4eb3f6a31acdadf8,adcc57969c20cda9cb4ed407a193059860cee9026f4c0439ff3bac6f29b15456,"[9, 10, 11, 12]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,1,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,12000,208,1.0,"[0.03650803203897935, 0.030107801430853398, 0.025311725516899728, 0.01709857520297495]",2.384185791015625e-07,5d9029efa8b105d7ba1c25939609d3b4a4adea6404aeb97cabf5c1196a27e0fd,85f2499028df2365d671ecf5166077295e9b891733b1bb432f7de2688646f6bb,"[8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,1,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,8000,208,1.0,"[0.036098685133389145, 0.02846789119456439, 0.025600353239660284, 0.018582132544211677]",1.1920928955078125e-07,68a100868c0dab2ab194ce435b2f059b29acc960b837402b6c7302776eb92582,c10ef45250d178b95bc6b168863e62441d56fc7a2bd70cdecb1d63092d1829f3,"[8, 9, 10, 11]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,2,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,12000,208,1.0,"[0.03511013257067554, 0.02545409466154863, 0.019740818620472916, 0.016182929151017673]",1.1920928955078125e-07,6a39e1a9f3527b16acf087c080ce32ff88a0a6c71b94d50d6c2e61705b483990,4a9867ffed2a2f3dd7fa23c914ffbea353c2f033dbd8f93f5b6e534245881e16,"[10, 11, 12, 13]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,2,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,4,8000,208,1.0,"[0.03213920930411994, 0.025216926283344446, 0.021150878480697473, 0.016495157199218326]",2.384185791015625e-07,b253201a58642925cbd687fdf371eb5e5cf33d74c9a4ddd9136ada1bf7026c0a,3341bf7bd43e1cc4df7781f736c1ccc78c8f41e83ff816f32a37d14d6fa1300b,"[10, 11, 12, 13]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,3,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,208,1.0,"[0.03790623527681571, 0.03354423044829618, 0.026108019499319037, 0.020801230506566886, 0.01982452195550639, 0.016729967098949035, 0.015334061554478662, 0.013517080514407271]",2.384185791015625e-07,5af69ae874817b64801172844040cefa6dc72e5661ae2f741136cb56bb2bc2cb,50ed4939552aeae5bb9bcdcfdb76d37c2fbb268bd44440e13354c685b25574a2,"[7, 8, 9, 10, 11, 12, 13, 14]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,3,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,208,1.0,"[0.036171231144024533, 0.03196192891236056, 0.026473358776860127, 0.023667133646980178, 0.021157513754250366, 0.018020790273807815, 0.016011181062077967, 0.014759403494785887]",1.1920928955078125e-07,6a587fa82bceec1cb1ce416fa0edd306032b958b77019a667169f94f7a4828ac,58d541d22469c3a18cb2557d9ddb7d726bcd4659b09092f66ae0c657f42a2b2c,"[7, 8, 9, 10, 11, 12, 13, 14]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,4,H_concat,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,12000,208,1.0,"[0.042005177049609835, 0.0322726893109654, 0.024430008128136657, 0.024235722605215632, 0.020335679208754533, 0.018545258720659003, 0.01740300227594335, 0.01640940826368979]",2.384185791015625e-07,03610c162115f7ccd6f3a39b4e444be28eaf774e50896df10e15068e5605dc65,b5014f753662747debffde6d4519b59e37affb06acb137a81ae1811d9c23bd87,"[5, 6, 7, 8, 9, 10, 11, 12]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
OpenBMI_SSVEP,4,H_shared1,TRAIN_ONLY_ORTHOGONAL_PATHFIT,8,8000,208,1.0,"[0.03993636084149766, 0.03048224467291877, 0.02733194050234094, 0.02588945856283512, 0.023373917580215172, 0.02021657873511224, 0.018506344739103443, 0.01644945192390582]",1.1920928955078125e-07,c1f1f4db449c885d4b6a09d410dbaff00941632206ea0529b0b3d082e8650717,0d640c9bfef7d3dda394f2c75fb18430ac0aafab43c3c532e519b4e92a54dcad,"[5, 6, 7, 8, 9, 10, 11, 12]",INNER_TRAIN_ONLY_NO_DISCOVERY_OR_FINAL_HELDOUT
