scope,task,fold,subject_id,method,BA,macro_F1,accuracy,trials
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,16,B0_Exact_LiteBN,0.8378787878787879,0.8143208700824169,0.8893939393939394,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,16,C0_LiteBN_DualCE,0.8406060606060606,0.8202005036807438,0.8939393939393939,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,19,B0_Exact_LiteBN,0.9566666666666667,0.9037905195973428,0.9398989898989899,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,19,C0_LiteBN_DualCE,0.9612121212121212,0.9091796683026558,0.9434343434343434,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,22,B0_Exact_LiteBN,0.8918181818181818,0.7889731962179611,0.847979797979798,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,22,C0_LiteBN_DualCE,0.906969696969697,0.8274214221866367,0.8833333333333333,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,27,B0_Exact_LiteBN,0.9609090909090909,0.9139084447989148,0.946969696969697,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,27,C0_LiteBN_DualCE,0.9645454545454546,0.9199787009850795,0.951010101010101,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,34,B0_Exact_LiteBN,0.8587878787878788,0.7597259301553988,0.8252525252525252,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,34,C0_LiteBN_DualCE,0.8796969696969696,0.7820668774210784,0.843939393939394,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,45,B0_Exact_LiteBN,0.8309090909090909,0.7896319654301522,0.8676767676767677,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,45,C0_LiteBN_DualCE,0.8351515151515152,0.7900709402148769,0.8666666666666667,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,49,B0_Exact_LiteBN,0.8693939393939394,0.7801412411498223,0.8449494949494949,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,49,C0_LiteBN_DualCE,0.883030303030303,0.7937307674375234,0.8555555555555555,1980
