task,fold,subject_id,method,BA,macro_F1,accuracy,trials
WBCIC_MI,4,sub-27,C1_LiteBN_SC,0.65,0.6368917937545389,0.65,200
WBCIC_MI,4,sub-36,B0_Exact_LiteBN,0.97,0.96999699969997,0.97,200
WBCIC_MI,4,sub-36,C0_LiteBN_DualCE,0.975,0.9749993749843746,0.975,200
WBCIC_MI,4,sub-36,C1_LiteBN_SC,0.97,0.97,0.97,200
WBCIC_MI,4,sub-41,B0_Exact_LiteBN,0.8600000000000001,0.8594941790445605,0.86,200
WBCIC_MI,4,sub-41,C0_LiteBN_DualCE,0.86,0.859873886497848,0.86,200
WBCIC_MI,4,sub-41,C1_LiteBN_SC,0.8600000000000001,0.8593106220480353,0.86,200
WBCIC_MI,4,sub-48,B0_Exact_LiteBN,0.855,0.8549093183239524,0.855,200
WBCIC_MI,4,sub-48,C0_LiteBN_DualCE,0.815,0.8148843026891808,0.815,200
WBCIC_MI,4,sub-48,C1_LiteBN_SC,0.8200000000000001,0.8199279711884754,0.82,200
WBCIC_MI,4,sub-5,B0_Exact_LiteBN,0.815,0.8149583656322672,0.815,200
WBCIC_MI,4,sub-5,C0_LiteBN_DualCE,0.84,0.83998399839984,0.84,200
WBCIC_MI,4,sub-5,C1_LiteBN_SC,0.8,0.7998198378540686,0.8,200
