status,mode,fold,seed,method_id,family,best_epoch,best_calibration_BA,best_calibration_macro_f1,best_calibration_CE,epochs_executed,parameter_count,checkpoint,elapsed_seconds,train_rows,calibration_rows,outcome_loader_constructed_during_training,outer_test_used
COMPLETE,full,1,0,B0_EEG_DG_TASK_ONLY,B,20,0.7733333333333333,0.7729700854700854,0.5390227236741229,27,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\B0_EEG_DG_TASK_ONLY.pt,114.88777136802672,5600,600,False,False
COMPLETE,full,1,0,B1_EEG_DG_FULL,B,28,0.6333333333333333,0.6327457264957266,0.7739373020484261,30,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\B1_EEG_DG_FULL.pt,135.02411341667175,5600,600,False,False
COMPLETE,full,1,0,C0_SCLDGN_TASK_ONLY,C,15,0.7733333333333333,0.771993159794794,0.549685084178122,20,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\C0_SCLDGN_TASK_ONLY.pt,32.90607476234436,5600,600,False,False
COMPLETE,full,1,0,C1_SCLDGN_FULL,C,8,0.7566666666666666,0.7564474693891169,0.5274693234527599,13,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-0\C1_SCLDGN_FULL.pt,50.99751663208008,5600,600,False,False
COMPLETE,full,1,1,A0_TASK_ONLY_EEGNET,A,20,0.73,0.7299519914651492,0.5810115333971033,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\A0_TASK_ONLY_EEGNET.pt,31.908121347427368,5600,600,False,False
COMPLETE,full,1,1,A1_SUBJECT_GRL_EEGNET_L0050,A,17,0.7083333333333333,0.7082352679650661,0.6158109074431088,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\A1_SUBJECT_GRL_EEGNET_L0050.pt,32.429755449295044,5600,600,False,False
COMPLETE,full,1,1,A1_SUBJECT_GRL_EEGNET_L0100,A,20,0.7133333333333334,0.713075100924165,0.5655246125457271,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\A1_SUBJECT_GRL_EEGNET_L0100.pt,32.31293439865112,5600,600,False,False
COMPLETE,full,1,1,A1_SUBJECT_GRL_EEGNET_L0300,A,20,0.7416666666666667,0.7416602081718711,0.5431347037154012,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\A1_SUBJECT_GRL_EEGNET_L0300.pt,32.60691213607788,5600,600,False,False
COMPLETE,full,1,1,A1_SUBJECT_GRL_EEGNET_L1000,A,19,0.6916666666666667,0.6913571664919544,0.5973048038130443,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\A1_SUBJECT_GRL_EEGNET_L1000.pt,32.30756711959839,5600,600,False,False
COMPLETE,full,1,1,B0_EEG_DG_TASK_ONLY,B,14,0.7949999999999999,0.7941302000954031,0.4655879593227571,21,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\B0_EEG_DG_TASK_ONLY.pt,89.41240787506104,5600,600,False,False
