family,fold,seed,subject_id,task_method,invariant_method,task_only_BA,invariant_BA,delta_BA_INV,task_only_macro_f1,invariant_macro_f1,task_only_ID_accuracy,invariant_ID_accuracy,delta_ID,task_only_PRS,invariant_PRS,delta_PRS,outer_test_used
A_SUBJECT_GRL_EEGNET_L0100,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.94,0.9,-0.039999999999999925,0.9399038461538463,0.8999599839935974,0.49,0.28,-0.20999999999999996,0.9999999999999541,0.4363568031500499,-0.5636431968499043,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.56,0.61,0.04999999999999993,0.5592948717948718,0.5920075321686369,0.82,0.52,-0.29999999999999993,0.9999999999999325,0.08696058604020185,-0.9130394139597307,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.52,0.5,-0.020000000000000018,0.4851994851994852,0.4429590017825312,0.24,0.08,-0.15999999999999998,0.9999999999999484,0.23688866499090255,-0.7631113350090458,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.8200000000000001,0.76,-0.06000000000000005,0.8164014687882497,0.7584541062801933,0.25,0.26,0.010000000000000009,0.9999999999999426,0.4101915454501369,-0.5898084545498057,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.71,0.6799999999999999,-0.030000000000000027,0.7092731829573935,0.6736026111791106,0.85,0.9,0.050000000000000044,0.9999999999999443,0.1974424732307415,-0.8025575267692028,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.61,0.63,0.020000000000000018,0.6096486838154338,0.629666700030027,0.35,0.34,-0.009999999999999953,0.9999999999999394,0.19751065348915597,-0.8024893465107834,False
A_SUBJECT_GRL_EEGNET_L0100,0,0,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.73,0.6799999999999999,-0.050000000000000044,0.72997299729973,0.6798719487795117,0.39,0.23,-0.16,0.9999999999999432,0.16716435229528137,-0.8328356477046618,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.6000000000000001,0.64,0.039999999999999925,0.5993589743589743,0.6347402597402597,0.25,0.18,-0.07,0.9999999999999414,0.2343808980732971,-0.7656191019266443,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.85,0.88,0.030000000000000027,0.84998499849985,0.8798076923076923,0.6,0.63,0.030000000000000027,0.99999999999994,0.401295483730822,-0.598704516269118,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.94,0.96,0.020000000000000018,0.9399038461538463,0.959983993597439,0.49,0.37,-0.12,0.9999999999999541,0.5245842372972033,-0.4754157627027509,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.56,0.56,0.0,0.5592948717948718,0.5598239295718288,0.82,0.52,-0.29999999999999993,0.9999999999999325,0.055263253204592466,-0.94473674679534,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.52,0.55,0.030000000000000027,0.4851994851994852,0.5366079703429101,0.24,0.03,-0.21,0.9999999999999484,0.4089425645396868,-0.5910574354602616,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.8200000000000001,0.8,-0.020000000000000018,0.8164014687882497,0.7987117552334944,0.25,0.26,0.010000000000000009,0.9999999999999426,0.3838803576284622,-0.6161196423714804,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.71,0.6599999999999999,-0.050000000000000044,0.7092731829573935,0.6594551282051282,0.85,0.75,-0.09999999999999998,0.9999999999999443,0.24735508887373792,-0.7526449111262064,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.61,0.7,0.08999999999999997,0.6096486838154338,0.6995192307692307,0.35,0.42,0.07,0.9999999999999394,0.10311284611638916,-0.8968871538835502,False
A_SUBJECT_GRL_EEGNET_L0300,0,0,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.73,0.74,0.010000000000000009,0.72997299729973,0.7395833333333335,0.39,0.32,-0.07,0.9999999999999432,0.2590843610768664,-0.7409156389230768,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.6000000000000001,0.63,0.029999999999999916,0.5993589743589743,0.6254681647940075,0.25,0.39,0.14,0.9999999999999414,0.20835445940645458,-0.7916455405934868,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.85,0.79,-0.05999999999999994,0.84998499849985,0.7894736842105263,0.6,0.55,-0.04999999999999993,0.99999999999994,0.2924934496158237,-0.7075065503841164,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.94,0.9299999999999999,-0.010000000000000009,0.9399038461538463,0.9299929992999301,0.49,0.35,-0.14,0.9999999999999541,0.48861519360279115,-0.511384806397163,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.56,0.5900000000000001,0.030000000000000027,0.5592948717948718,0.5879811074263892,0.82,0.62,-0.19999999999999996,0.9999999999999325,0.2045033870995021,-0.7954966129004304,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.52,0.5,-0.020000000000000018,0.4851994851994852,0.4429590017825312,0.24,0.04,-0.19999999999999998,0.9999999999999484,0.27234814943775,-0.7276518505621984,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.8200000000000001,0.74,-0.08000000000000007,0.8164014687882497,0.7395833333333335,0.25,0.29,0.03999999999999998,0.9999999999999426,0.3954307991829985,-0.6045692008169441,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.71,0.62,-0.08999999999999997,0.7092731829573935,0.6175523349436394,0.85,0.86,0.010000000000000009,0.9999999999999443,0.27446545141779577,-0.7255345485821485,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.61,0.6699999999999999,0.05999999999999994,0.6096486838154338,0.6697027324592133,0.35,0.39,0.040000000000000036,0.9999999999999394,0.18541871497109386,-0.8145812850288455,False
A_SUBJECT_GRL_EEGNET_L1000,0,0,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.73,0.72,-0.010000000000000009,0.72997299729973,0.7195512820512822,0.39,0.21,-0.18000000000000002,0.9999999999999432,0.2732059970918167,-0.7267940029081265,False
B_EEG_DG,0,0,1,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.66,0.46,-0.2,0.66,0.44191814799503926,0.21,0.17,-0.03999999999999998,0.9999999999561872,-0.0015688910786653132,-1.0015688910348524,False
B_EEG_DG,0,0,3,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.8500000000000001,0.63,-0.22000000000000008,0.8492613807657521,0.6129302228266555,0.34,0.54,0.2,0.9999999999504628,0.024083722274705677,-0.9759162776757572,False
B_EEG_DG,0,0,6,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.97,0.66,-0.30999999999999994,0.96999699969997,0.6532027743778049,0.35,0.21,-0.13999999999999999,0.9999999999731798,-0.06380542017025537,-1.063805420143435,False
B_EEG_DG,0,0,10,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.74,0.47,-0.27,0.7398959583833533,0.4608890245142916,0.61,0.15,-0.45999999999999996,0.99999999996192,0.05241512870934728,-0.9475848712525727,False
B_EEG_DG,0,0,17,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.52,0.51,-0.010000000000000009,0.46524064171123003,0.4415954415954416,0.13,0.04,-0.09,0.9999999999564372,0.17165323822375889,-0.8283467617326783,False
B_EEG_DG,0,0,28,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.87,0.54,-0.32999999999999996,0.8696741854636592,0.5398159263705482,0.21,0.18,-0.03,0.999999999954989,-0.03419216023157379,-1.0341921601865627,False
B_EEG_DG,0,0,45,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7,0.48,-0.21999999999999997,0.6899545266639107,0.3243243243243243,0.92,0.95,0.029999999999999916,0.9999999999440186,0.008958018967988868,-0.9910419809760297,False
B_EEG_DG,0,0,48,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7,0.53,-0.16999999999999993,0.6989160979526294,0.46438746438746437,0.44,0.06,-0.38,0.9999999999683323,0.1544948053502473,-0.845505194618085,False
B_EEG_DG,0,0,54,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.72,0.56,-0.15999999999999992,0.7189883580891208,0.5416666666666666,0.19,0.09,-0.1,0.9999999999619955,0.06122521621995114,-0.9387747837420444,False
C_SCLDGN,0,0,1,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.65,0.6699999999999999,0.019999999999999907,0.6224786970121886,0.6396986570586309,0.38,0.21,-0.17,0.9999999999942593,0.09471244659338496,-0.9052875534008743,False
C_SCLDGN,0,0,3,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.88,0.8999999999999999,0.019999999999999907,0.8792270531400966,0.8993558776167472,0.43,0.24,-0.19,0.999999999994489,0.07267696226203924,-0.9273230377324497,False
C_SCLDGN,0,0,6,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.9299999999999999,0.94,0.010000000000000009,0.9299929992999301,0.9399038461538463,0.29,0.39,0.10000000000000003,0.9999999999947753,0.22718896837363456,-0.7728110316211407,False
C_SCLDGN,0,0,10,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.64,0.62,-0.020000000000000018,0.639423076923077,0.5824175824175825,0.84,0.58,-0.26,0.9999999999936362,0.008582078684960304,-0.9914179213086759,False
C_SCLDGN,0,0,17,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.5700000000000001,0.55,-0.020000000000000018,0.5689223057644109,0.5331465919701215,0.16,0.08,-0.08,0.999999998762468,0.05848239899332641,-0.9415175997691416,False
C_SCLDGN,0,0,28,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.87,0.87,0.0,0.8696741854636592,0.8696741854636592,0.35,0.12,-0.22999999999999998,0.9999999999938753,0.11063158644791127,-0.8893684135459641,False
C_SCLDGN,0,0,45,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.73,0.6599999999999999,-0.07000000000000006,0.72997299729973,0.6310763888888888,0.87,0.88,0.010000000000000009,0.9999999999929364,0.1173298683995051,-0.8826701315934313,False
C_SCLDGN,0,0,48,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.66,0.64,-0.020000000000000018,0.6532027743778049,0.6398559423769508,0.49,0.29,-0.2,0.9999999999938243,0.025265416664852047,-0.9747345833289722,False
C_SCLDGN,0,0,54,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.69,0.75,0.06000000000000005,0.6862030569895738,0.7406369955389562,0.56,0.3,-0.26000000000000006,0.999999999993499,0.07323662572291445,-0.9267633742705845,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.58,0.66,0.08000000000000007,0.5738636363636364,0.6565656565656566,0.34,0.23,-0.11000000000000001,0.9999999999999227,0.27787259297516975,-0.722127407024753,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.82,0.81,-0.009999999999999898,0.82,0.8090644156366193,0.52,0.67,0.15000000000000002,0.9999999999999215,0.35158248818506754,-0.648417511814854,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.94,0.96,0.020000000000000018,0.9399759903961584,0.959983993597439,0.38,0.42,0.03999999999999998,0.9999999999999373,0.46789178400359255,-0.5321082159963447,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.6499999999999999,0.63,-0.019999999999999907,0.6491228070175439,0.6269785260610949,0.43,0.7,0.26999999999999996,0.9999999999999093,0.11151986584104834,-0.888480134158861,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.51,0.5,-0.010000000000000009,0.4650070968446337,0.415614773258532,0.14,0.19,0.04999999999999999,0.9999999999999214,0.460421904281744,-0.5395780957181774,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.79,0.6900000000000001,-0.09999999999999998,0.7874278773155178,0.6726850385386971,0.32,0.44,0.12,0.9999999999999231,0.23860135737919352,-0.7613986426207295,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.66,0.69,0.029999999999999916,0.6598639455782312,0.6897207486738064,0.88,0.83,-0.050000000000000044,0.9999999999999263,0.2783094780589135,-0.7216905219410128,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.59,0.6799999999999999,0.08999999999999997,0.5899589958995899,0.6736026111791106,0.39,0.4,0.010000000000000009,0.9999999999999287,0.30531959410405174,-0.694680405895877,False
A_SUBJECT_GRL_EEGNET_L0050,0,1,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.67,0.75,0.07999999999999996,0.66996699669967,0.7457023700539112,0.31,0.26,-0.04999999999999999,0.9999999999999213,0.20563287867937396,-0.7943671213205473,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.58,0.6699999999999999,0.08999999999999997,0.5738636363636364,0.6683750376846548,0.34,0.27,-0.07,0.9999999999999227,0.2297841143588274,-0.7702158856410953,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.82,0.79,-0.029999999999999916,0.82,0.7889659330720531,0.52,0.34,-0.18,0.9999999999999215,0.3001330298762186,-0.6998669701237029,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.94,0.92,-0.019999999999999907,0.9399759903961584,0.92,0.38,0.3,-0.08000000000000002,0.9999999999999373,0.42023154504965754,-0.5797684549502797,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.6499999999999999,0.61,-0.039999999999999925,0.6491228070175439,0.6096486838154338,0.43,0.58,0.14999999999999997,0.9999999999999093,0.05248593331522755,-0.9475140666846817,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.51,0.55,0.040000000000000036,0.4650070968446337,0.4871794871794872,0.14,0.06,-0.08000000000000002,0.9999999999999214,0.42026213800754264,-0.5797378619923788,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.79,0.83,0.039999999999999925,0.7874278773155178,0.8279178054458953,0.32,0.29,-0.030000000000000027,0.9999999999999231,0.2486737834020507,-0.7513262165978724,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.66,0.6599999999999999,-1.1102230246251565e-16,0.6598639455782312,0.6486151302190988,0.88,0.8,-0.07999999999999996,0.9999999999999263,0.2285708862055864,-0.7714291137943399,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.59,0.5900000000000001,1.1102230246251565e-16,0.5899589958995899,0.5879811074263892,0.39,0.25,-0.14,0.9999999999999287,0.27840701480315677,-0.721592985196772,False
A_SUBJECT_GRL_EEGNET_L0100,0,1,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.67,0.76,0.08999999999999997,0.66996699669967,0.7599039615846339,0.31,0.26,-0.04999999999999999,0.9999999999999213,0.1310155587752101,-0.8689844412247112,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.58,0.6,0.020000000000000018,0.5738636363636364,0.6,0.34,0.32,-0.020000000000000018,0.9999999999999227,0.2726178679618133,-0.7273821320381094,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.82,0.8400000000000001,0.02000000000000013,0.82,0.8389694041867956,0.52,0.56,0.040000000000000036,0.9999999999999215,0.31808485639072615,-0.6819151436091954,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.94,0.95,0.010000000000000009,0.9399759903961584,0.949954959463517,0.38,0.33,-0.04999999999999999,0.9999999999999373,0.4265890314956775,-0.5734109685042598,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.6499999999999999,0.5,-0.1499999999999999,0.6491228070175439,0.49919871794871795,0.43,0.62,0.19,0.9999999999999093,0.13042927835539042,-0.8695707216445189,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.51,0.58,0.06999999999999995,0.4650070968446337,0.5716034271725826,0.14,0.05,-0.09000000000000001,0.9999999999999214,0.41151922682542097,-0.5884807731745004,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.79,0.72,-0.07000000000000006,0.7874278773155178,0.7189883580891208,0.32,0.46,0.14,0.9999999999999231,0.27149543527548603,-0.728504564724437,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.66,0.6000000000000001,-0.05999999999999994,0.6598639455782312,0.5985547972701726,0.88,0.88,0.0,0.9999999999999263,0.2635324240255045,-0.7364675759744218,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.59,0.67,0.08000000000000007,0.5899589958995899,0.66996699669967,0.39,0.34,-0.04999999999999999,0.9999999999999287,0.22030460320517575,-0.779695396794753,False
A_SUBJECT_GRL_EEGNET_L0300,0,1,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0300,0.67,0.72,0.04999999999999993,0.66996699669967,0.72,0.31,0.2,-0.10999999999999999,0.9999999999999213,0.11399380298091755,-0.8860061970190037,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.58,0.6200000000000001,0.04000000000000015,0.5738636363636364,0.618627057406664,0.34,0.35,0.009999999999999953,0.9999999999999227,0.2927815655004754,-0.7072184344994473,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,3,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.82,0.73,-0.08999999999999997,0.82,0.7266929851199515,0.52,0.58,0.05999999999999994,0.9999999999999215,0.3864378920491862,-0.6135621079507353,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,6,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.94,0.85,-0.08999999999999997,0.9399759903961584,0.8474214220323468,0.38,0.32,-0.06,0.9999999999999373,0.48143327014160975,-0.5185667298583275,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,10,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.6499999999999999,0.6,-0.04999999999999993,0.6491228070175439,0.5998399359743898,0.43,0.62,0.19,0.9999999999999093,0.10564065869967276,-0.8943593413002365,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,17,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.51,0.61,0.09999999999999998,0.4650070968446337,0.5882166613873931,0.14,0.13,-0.010000000000000009,0.9999999999999214,0.4788292934647257,-0.5211707065351957,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,28,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.79,0.7,-0.09000000000000008,0.7874278773155178,0.6998799519807923,0.32,0.19,-0.13,0.9999999999999231,0.3065127549263643,-0.6934872450735587,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,45,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.66,0.5800000000000001,-0.07999999999999996,0.6598639455782312,0.5793269230769231,0.88,0.79,-0.08999999999999997,0.9999999999999263,0.2770071396994236,-0.7229928603005027,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,48,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.59,0.65,0.06000000000000005,0.5899589958995899,0.6496847162446201,0.39,0.4,0.010000000000000009,0.9999999999999287,0.26652713056606037,-0.7334728694338684,False
A_SUBJECT_GRL_EEGNET_L1000,0,1,54,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L1000,0.67,0.6699999999999999,-1.1102230246251565e-16,0.66996699669967,0.6691729323308271,0.31,0.13,-0.18,0.9999999999999213,0.21887840759009947,-0.7811215924098218,False
B_EEG_DG,0,1,1,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.71,0.66,-0.04999999999999993,0.7076318177235609,0.6458333333333334,0.24,0.19,-0.04999999999999999,0.9999999999838013,0.019279865175035327,-0.980720134808766,False
B_EEG_DG,0,1,3,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.8600000000000001,0.72,-0.14000000000000012,0.8594941790445605,0.7106242248863166,0.27,0.52,0.25,0.9999999999780729,0.003838757447371055,-0.9961612425307018,False
