seed,fold,subject_id,kind,source,target,condition,auroc
0,2,34,cross_paradigm,mi,ssvep,raw,0.42962646484375
0,2,4,cross_paradigm,mi,ssvep,raw,0.736083984375
0,2,44,cross_paradigm,mi,ssvep,raw,0.5478515625
0,2,51,cross_paradigm,mi,ssvep,raw,0.6075439453125
0,2,52,cross_paradigm,mi,ssvep,raw,0.8095703125
0,2,54,cross_paradigm,mi,ssvep,raw,0.72552490234375
0,2,7,cross_paradigm,mi,ssvep,raw,0.82861328125
0,2,18,cross_paradigm,mi,ssvep,erase_UL,0.37420654296875
0,2,22,cross_paradigm,mi,ssvep,erase_UL,0.58551025390625
0,2,26,cross_paradigm,mi,ssvep,erase_UL,0.4879150390625
0,2,29,cross_paradigm,mi,ssvep,erase_UL,0.607666015625
0,2,34,cross_paradigm,mi,ssvep,erase_UL,0.48638916015625
0,2,4,cross_paradigm,mi,ssvep,erase_UL,0.4652099609375
0,2,44,cross_paradigm,mi,ssvep,erase_UL,0.62005615234375
0,2,51,cross_paradigm,mi,ssvep,erase_UL,0.6927490234375
0,2,52,cross_paradigm,mi,ssvep,erase_UL,0.71405029296875
0,2,54,cross_paradigm,mi,ssvep,erase_UL,0.7139892578125
0,2,7,cross_paradigm,mi,ssvep,erase_UL,0.38739013671875
0,2,18,cross_paradigm,erp,ssvep,raw,0.4730224609375
0,2,22,cross_paradigm,erp,ssvep,raw,0.4149169921875
0,2,26,cross_paradigm,erp,ssvep,raw,0.6214599609375
0,2,29,cross_paradigm,erp,ssvep,raw,0.6395263671875
0,2,34,cross_paradigm,erp,ssvep,raw,0.475830078125
0,2,4,cross_paradigm,erp,ssvep,raw,0.73699951171875
0,2,44,cross_paradigm,erp,ssvep,raw,0.6163330078125
0,2,51,cross_paradigm,erp,ssvep,raw,0.46014404296875
0,2,52,cross_paradigm,erp,ssvep,raw,0.75384521484375
0,2,54,cross_paradigm,erp,ssvep,raw,0.6798095703125
0,2,7,cross_paradigm,erp,ssvep,raw,0.770263671875
0,2,18,cross_paradigm,erp,ssvep,erase_UL,0.447998046875
0,2,22,cross_paradigm,erp,ssvep,erase_UL,0.521240234375
0,2,26,cross_paradigm,erp,ssvep,erase_UL,0.5556640625
0,2,29,cross_paradigm,erp,ssvep,erase_UL,0.50469970703125
0,2,34,cross_paradigm,erp,ssvep,erase_UL,0.37286376953125
0,2,4,cross_paradigm,erp,ssvep,erase_UL,0.55303955078125
0,2,44,cross_paradigm,erp,ssvep,erase_UL,0.552734375
0,2,51,cross_paradigm,erp,ssvep,erase_UL,0.54766845703125
0,2,52,cross_paradigm,erp,ssvep,erase_UL,0.576904296875
0,2,54,cross_paradigm,erp,ssvep,erase_UL,0.55841064453125
0,2,7,cross_paradigm,erp,ssvep,erase_UL,0.5087890625
0,2,18,cross_session,mi,mi,raw,0.64007568359375
0,2,22,cross_session,mi,mi,raw,0.91851806640625
0,2,26,cross_session,mi,mi,raw,0.77899169921875
0,2,29,cross_session,mi,mi,raw,0.6708984375
0,2,34,cross_session,mi,mi,raw,0.58233642578125
0,2,4,cross_session,mi,mi,raw,0.90899658203125
0,2,44,cross_session,mi,mi,raw,0.7960205078125
0,2,51,cross_session,mi,mi,raw,0.5804443359375
0,2,52,cross_session,mi,mi,raw,0.89031982421875
0,2,54,cross_session,mi,mi,raw,0.87042236328125
0,2,7,cross_session,mi,mi,raw,0.95758056640625
0,2,18,cross_session,mi,mi,erase_UL,0.5252685546875
0,2,22,cross_session,mi,mi,erase_UL,0.73675537109375
0,2,26,cross_session,mi,mi,erase_UL,0.81402587890625
0,2,29,cross_session,mi,mi,erase_UL,0.7176513671875
0,2,34,cross_session,mi,mi,erase_UL,0.6575927734375
0,2,4,cross_session,mi,mi,erase_UL,0.850341796875
0,2,44,cross_session,mi,mi,erase_UL,0.7188720703125
0,2,51,cross_session,mi,mi,erase_UL,0.6029052734375
0,2,52,cross_session,mi,mi,erase_UL,0.87664794921875
0,2,54,cross_session,mi,mi,erase_UL,0.75128173828125
0,2,7,cross_session,mi,mi,erase_UL,0.9637451171875
0,2,18,cross_session,erp,erp,raw,0.650634765625
0,2,22,cross_session,erp,erp,raw,0.517333984375
0,2,26,cross_session,erp,erp,raw,0.62994384765625
0,2,29,cross_session,erp,erp,raw,0.65216064453125
0,2,34,cross_session,erp,erp,raw,0.62451171875
