fold,epoch,total_SBTR_loss,inner_val_mean_BA,inner_val_bottom50_BA,inner_val_SBTR_score,source
2,58,0.5418,0.7667,0.7,0.75,stdout_checkpoint_progress
2,60,0.5272,0.7283,0.66,0.7113,stdout_checkpoint_progress
3,1,0.8529,0.5167,0.4933,0.5108,stdout_checkpoint_progress
3,5,0.715,0.6,0.5467,0.5867,stdout_checkpoint_progress
3,10,0.6273,0.6383,0.6067,0.6304,stdout_checkpoint_progress
3,11,0.656,0.6417,0.6033,0.6321,stdout_checkpoint_progress
3,12,0.6539,0.6567,0.62,0.6475,stdout_checkpoint_progress
3,15,0.6373,0.6467,0.6133,0.6383,stdout_checkpoint_progress
3,17,0.5808,0.6567,0.62,0.6475,stdout_checkpoint_progress
3,18,0.5861,0.6583,0.62,0.6488,stdout_checkpoint_progress
3,20,0.6199,0.6567,0.6133,0.6458,stdout_checkpoint_progress
3,23,0.5936,0.6667,0.6167,0.6542,stdout_checkpoint_progress
3,24,0.5585,0.6767,0.62,0.6625,stdout_checkpoint_progress
3,25,0.5709,0.68,0.6267,0.6667,stdout_checkpoint_progress
3,30,0.5372,0.67,0.62,0.6575,stdout_checkpoint_progress
3,35,0.5139,0.6733,0.6167,0.6592,stdout_checkpoint_progress
3,37,0.5395,0.69,0.6367,0.6767,stdout_checkpoint_progress
3,38,0.5383,0.6933,0.6367,0.6792,stdout_checkpoint_progress
3,40,0.5485,0.69,0.6333,0.6758,stdout_checkpoint_progress
3,45,0.5503,0.6633,0.5867,0.6442,stdout_checkpoint_progress
3,50,0.5072,0.6767,0.6033,0.6583,stdout_checkpoint_progress
3,55,0.4907,0.6783,0.6,0.6588,stdout_checkpoint_progress
3,60,0.4909,0.675,0.5967,0.6554,stdout_checkpoint_progress
4,1,0.7743,0.5017,0.4933,0.4996,stdout_checkpoint_progress
4,5,0.6636,0.5633,0.53,0.555,stdout_checkpoint_progress
4,10,0.6337,0.6017,0.5833,0.5971,stdout_checkpoint_progress
4,12,0.6443,0.6117,0.5867,0.6054,stdout_checkpoint_progress
4,13,0.6501,0.6217,0.59,0.6138,stdout_checkpoint_progress
4,14,0.5956,0.6217,0.6033,0.6171,stdout_checkpoint_progress
4,15,0.6135,0.635,0.62,0.6312,stdout_checkpoint_progress
4,19,0.6075,0.645,0.63,0.6412,stdout_checkpoint_progress
4,20,0.6385,0.6467,0.63,0.6425,stdout_checkpoint_progress
4,25,0.6061,0.655,0.6333,0.6496,stdout_checkpoint_progress
4,26,0.5949,0.655,0.6333,0.6496,stdout_checkpoint_progress
4,27,0.5743,0.66,0.6467,0.6567,stdout_checkpoint_progress
4,30,0.5876,0.6467,0.63,0.6425,stdout_checkpoint_progress
4,31,0.5924,0.665,0.6433,0.6596,stdout_checkpoint_progress
4,32,0.5934,0.6667,0.6467,0.6617,stdout_checkpoint_progress
4,33,0.5605,0.6683,0.6467,0.6629,stdout_checkpoint_progress
4,35,0.5864,0.6833,0.6567,0.6767,stdout_checkpoint_progress
4,37,0.6026,0.7033,0.6733,0.6958,stdout_checkpoint_progress
4,40,0.5668,0.6983,0.6533,0.6871,stdout_checkpoint_progress
4,45,0.5281,0.68,0.64,0.67,stdout_checkpoint_progress
4,50,0.5556,0.6867,0.6433,0.6758,stdout_checkpoint_progress
4,51,0.4923,0.7067,0.67,0.6975,stdout_checkpoint_progress
4,52,0.5529,0.71,0.6667,0.6992,stdout_checkpoint_progress
4,53,0.5423,0.71,0.68,0.7025,stdout_checkpoint_progress
4,55,0.5267,0.7033,0.6667,0.6942,stdout_checkpoint_progress
4,60,0.5421,0.6967,0.6467,0.6842,stdout_checkpoint_progress
