dataset,model,seed,n,accuracy,balanced_accuracy,macro_f1,kappa,nll,brier,ece,probability_finite,probability_nonnegative,max_probability_sum_error,all_classes_predicted,minimum_fold_predicted_classes,nonconstant_subject_rate
hmc,biot,0,83621,0.5496585785867186,0.532408403804002,0.49253216017808243,0.4249116856364237,1.335934764115839,0.6814067743240948,0.2294725673751558,True,True,1.3783574104309082e-07,True,5,1.0
hmc,biot,1,83621,0.5347938914865883,0.5357604456837839,0.5122910635300837,0.41294824294097643,1.2978269507285836,0.6665817082102021,0.1985119446049841,True,True,1.3969838619232178e-07,True,5,1.0
hmc,biot,2,83621,0.36776647014505925,0.3341986659982099,0.2941866229549481,0.16684945493707226,1.5390422906471377,0.7712194661310785,0.1136555670932768,True,True,1.341104507446289e-07,True,4,1.0
hmc,biot,3,83621,0.5328685378074886,0.5269303660669388,0.5061674159705069,0.4074402579514864,1.2658047938503985,0.6536255796151481,0.17664207876351587,True,True,1.4528632164001465e-07,True,5,1.0
hmc,biot,4,83621,0.5160187034357399,0.5193215755213452,0.4883660592380269,0.39130460829050473,1.3514329425635094,0.6910791107515628,0.20445515918800972,True,True,1.341104507446289e-07,True,5,1.0
eegmmidb,cbramod,0,5853,0.2608918503331625,0.2609812747656284,0.26013358088455896,0.014619506729851683,1.4195510162972262,0.7656929356055788,0.07506894716009939,True,True,1.043081283569336e-07,True,4,1.0
eegmmidb,cbramod,1,5853,0.2511532547411584,0.25128202220714413,0.24850170572610167,0.001723053852719536,1.4346520994502843,0.7742480961554258,0.09991140070683362,True,True,1.1920928955078125e-07,True,4,1.0
eegmmidb,cbramod,2,5853,0.2545703058260721,0.2546160301019902,0.2534494537070482,0.00617730036702735,1.4117965982460448,0.7628377985196457,0.07300344106480133,True,True,1.1175870895385742e-07,True,4,1.0
eegmmidb,cbramod,3,5853,0.24807790876473604,0.24806019343820973,0.24410269638723375,-0.002586035339109616,1.431819280618018,0.7719148665233423,0.09688978804271892,True,True,1.1920928955078125e-07,True,4,1.0
eegmmidb,cbramod,4,5853,0.25388689560908934,0.2542654936163909,0.24982343099207158,0.005668765974768841,1.4111786629192393,0.7626205038493329,0.07506642611682998,True,True,1.043081283569336e-07,True,4,1.0
eegmmidb,labram,0,5853,0.250811549632667,0.25018834921851557,0.21746625220595406,0.00020525366805734802,1.4368072713240405,0.7732975944046302,0.08634319797084411,True,True,1.043081283569336e-07,True,2,1.0
eegmmidb,labram,1,5853,0.24756535110199898,0.24945080467737882,0.13465733913157774,-0.0007214061013205431,1.4637831867953663,0.7908630150254178,0.13718120902700337,True,True,1.1920928955078125e-07,True,1,0.5692307692307692
eegmmidb,labram,2,5853,0.25405774816333504,0.25504595185846674,0.22179776840828505,0.006711081219300197,1.519582166479082,0.826653328084966,0.17248045766779282,True,True,1.1175870895385742e-07,True,1,0.6307692307692307
eegmmidb,labram,3,5853,0.24636938322227916,0.2450061919576771,0.16779092352323416,-0.006702332948876455,1.5463281383020742,0.8226454742212348,0.18225802820543133,True,True,1.2665987014770508e-07,False,1,0.5538461538461539
eegmmidb,labram,4,5853,0.25149495984964976,0.2506803142234575,0.21880242120050897,0.0008940601807002624,1.4148675503854888,0.763042208298741,0.0680825777152003,True,True,1.043081283569336e-07,True,3,1.0
eegmmidb,biot,0,5853,0.25867076712796855,0.25830254581242684,0.24700788355676032,0.011097472493749594,1.4082375666229408,0.7601017599926284,0.05282826140438943,True,True,8.940696716308594e-08,True,4,0.9538461538461539
eegmmidb,biot,1,5853,0.25132410729540405,0.2512257527463868,0.2505319234027854,0.001706233169163407,1.3967031033868385,0.755021812154736,0.04447653733846898,True,True,1.043081283569336e-07,True,4,0.9538461538461539
eegmmidb,biot,2,5853,0.25781650435674014,0.2579378648447856,0.25287933560510045,0.010570084070343988,1.4111619507151338,0.7619209285687164,0.05905855457110223,True,True,1.043081283569336e-07,True,3,0.8769230769230769
eegmmidb,biot,3,5853,0.26260037587561935,0.26209887178401875,0.23007369335937033,0.016184295478066546,1.3983716862020785,0.7559639933007926,0.04176915192958454,True,True,8.940696716308594e-08,True,4,0.9384615384615385
eegmmidb,biot,4,5853,0.26242952332137365,0.26264995160401017,0.25874127149157244,0.016893774464918354,1.3935735531493068,0.7535186433817054,0.029195170921483375,True,True,8.940696716308594e-08,True,4,1.0
