backbone,dataset,method,fold,seed,BA,macro_F1,NLL,subjects
EEGNeX,WBCIC,PERSIST-RE,4,0,0.7526727386934674,0.7522392024363502,0.4865186416715925,8
EEGNeX,WBCIC,PERSIST-RE,4,1,0.7473539572864322,0.7467457744197178,0.49053680652749726,8
EEGNeX,WBCIC,PERSIST-RE,4,2,0.7448523869346734,0.7442580465731724,0.4985370316762843,8
EEGNeX,WBCIC,ProspectiveOnly,0,0,0.8211111111111111,0.8204795481671043,0.4374074474395315,9
EEGNeX,WBCIC,ProspectiveOnly,0,1,0.8233333333333334,0.8228512538771019,0.4285066536004315,9
EEGNeX,WBCIC,ProspectiveOnly,0,2,0.8233333333333334,0.822497856301481,0.42840323675905523,9
EEGNeX,WBCIC,ProspectiveOnly,1,0,0.7262500000000001,0.7255606604867901,0.5215295988558978,8
EEGNeX,WBCIC,ProspectiveOnly,1,1,0.73625,0.7359172653196521,0.5193092207690244,8
EEGNeX,WBCIC,ProspectiveOnly,1,2,0.725625,0.725212187546745,0.5172634014874736,8
EEGNeX,WBCIC,ProspectiveOnly,2,0,0.7840373743718593,0.7835281166753667,0.4697903445922671,8
EEGNeX,WBCIC,ProspectiveOnly,2,1,0.7840389447236181,0.783685843252002,0.47411005662755623,8
EEGNeX,WBCIC,ProspectiveOnly,2,2,0.7921592336683417,0.7920340214543213,0.4715685765320432,8
EEGNeX,WBCIC,ProspectiveOnly,3,0,0.8452810929648241,0.8442411094681932,0.400697408996945,8
EEGNeX,WBCIC,ProspectiveOnly,3,1,0.8380841708542713,0.837932033234001,0.4135807262376,8
EEGNeX,WBCIC,ProspectiveOnly,3,2,0.8280778894472361,0.8279721526270776,0.4129285080880172,8
EEGNeX,WBCIC,ProspectiveOnly,4,0,0.7523602386934674,0.7519608513179991,0.48682654147966636,8
EEGNeX,WBCIC,ProspectiveOnly,4,1,0.747668027638191,0.7470641886670683,0.4909558281391024,8
EEGNeX,WBCIC,ProspectiveOnly,4,2,0.7454773869346734,0.7448978243184684,0.499121020562492,8
EEGNeX,WBCIC,RandomEffectOnly,0,0,0.8216666666666667,0.8210274296534588,0.43911538565515057,9
EEGNeX,WBCIC,RandomEffectOnly,0,1,0.8233333333333334,0.8228749883399744,0.43035829538126447,9
EEGNeX,WBCIC,RandomEffectOnly,0,2,0.8244444444444444,0.8236632300594643,0.4302878523156466,9
EEGNeX,WBCIC,RandomEffectOnly,1,0,0.725625,0.7249420924582818,0.5222501402954508,8
EEGNeX,WBCIC,RandomEffectOnly,1,1,0.735,0.7346825774499164,0.5200607238536699,8
EEGNeX,WBCIC,RandomEffectOnly,1,2,0.7265625,0.7261662190283473,0.5180422078005461,8
EEGNeX,WBCIC,RandomEffectOnly,2,0,0.7827873743718593,0.7822226610228984,0.47105639904344293,8
EEGNeX,WBCIC,RandomEffectOnly,2,1,0.7831014447236181,0.7827233418788839,0.4751244197439959,8
EEGNeX,WBCIC,RandomEffectOnly,2,2,0.7918467336683417,0.7917192866770352,0.472596365840427,8
EEGNeX,WBCIC,RandomEffectOnly,3,0,0.8455951633165829,0.8445502282588049,0.40224857058810665,8
EEGNeX,WBCIC,RandomEffectOnly,3,1,0.8365201005025126,0.836364061647813,0.4150046150341545,8
EEGNeX,WBCIC,RandomEffectOnly,3,2,0.8280778894472361,0.8279672374393716,0.4145428280945562,8
EEGNeX,WBCIC,RandomEffectOnly,4,0,0.7523602386934674,0.751815760067619,0.48805703943116463,8
EEGNeX,WBCIC,RandomEffectOnly,4,1,0.7479789572864322,0.7473472115581014,0.4921485765010877,8
EEGNeX,WBCIC,RandomEffectOnly,4,2,0.7451648869346734,0.7445872609155604,0.49980808863854814,8
EEGNeX,WBCIC,SubjectBalancedERM,0,0,0.8208333333333333,0.8201872134636933,0.438757579340541,9
EEGNeX,WBCIC,SubjectBalancedERM,0,1,0.8236111111111111,0.8231147157774568,0.4299350154859706,9
EEGNeX,WBCIC,SubjectBalancedERM,0,2,0.8225,0.8216588459987197,0.4306603211296181,9
EEGNeX,WBCIC,SubjectBalancedERM,1,0,0.7265625,0.7258622607153801,0.5225977411569226,8
EEGNeX,WBCIC,SubjectBalancedERM,1,1,0.735,0.7347113730524549,0.519890223479966,8
EEGNeX,WBCIC,SubjectBalancedERM,1,2,0.7265625,0.726182087657621,0.5180105443340719,8
EEGNeX,WBCIC,SubjectBalancedERM,2,0,0.7824733040201005,0.7819382672324028,0.47095415229413295,8
EEGNeX,WBCIC,SubjectBalancedERM,2,1,0.782788944723618,0.7824298837755905,0.4750279910279614,8
EEGNeX,WBCIC,SubjectBalancedERM,2,2,0.7909092336683416,0.7907863074074553,0.4724123046584295,8
EEGNeX,WBCIC,SubjectBalancedERM,3,0,0.8459060929648241,0.8448636231795763,0.4019108998300424,8
EEGNeX,WBCIC,SubjectBalancedERM,3,1,0.8362076005025125,0.8360482791414556,0.41420236476725886,8
EEGNeX,WBCIC,SubjectBalancedERM,3,2,0.8265153894472361,0.826409606041957,0.4137461400387872,8
EEGNeX,WBCIC,SubjectBalancedERM,4,0,0.7526727386934673,0.7522023894583351,0.48779924535030805,8
EEGNeX,WBCIC,SubjectBalancedERM,4,1,0.7473555276381909,0.746786714789768,0.49190969471848967,8
EEGNeX,WBCIC,SubjectBalancedERM,4,2,0.7448523869346734,0.7442389326313668,0.4996182926416198,8
