dataset,fold,seed,method,subject_id,BA,macro_F1,NLL,trials,inference_random_effect
WBCIC,1,0,PERSIST-RE,36,0.935,0.934993499349935,0.34667947362521123,400,False
WBCIC,1,0,PERSIST-RE,44,0.7150000000000001,0.7146504467973267,0.5720756739036027,400,False
WBCIC,1,0,PERSIST-RE,45,0.8575,0.85702729649905,0.4428139377593142,400,False
WBCIC,1,1,ERM,2,0.6125,0.6107263720325734,0.6377028906310596,400,False
WBCIC,1,1,ERM,11,0.8775,0.8772783339907708,0.4097789811945381,400,False
WBCIC,1,1,ERM,13,0.7475,0.7474984218651366,0.5315571288668239,400,False
WBCIC,1,1,ERM,18,0.5874999999999999,0.5873736331751599,0.6517781295848303,400,False
WBCIC,1,1,ERM,27,0.5275,0.5121290147716493,0.6881988727220808,400,False
WBCIC,1,1,ERM,36,0.9225000000000001,0.9224995156219726,0.34763895790258764,400,False
WBCIC,1,1,ERM,44,0.7375,0.7373670420650454,0.5493015436316953,400,False
WBCIC,1,1,ERM,45,0.865,0.8644272049408752,0.430540252567199,400,False
WBCIC,1,1,SubjectBalancedERM,2,0.6125,0.6107263720325734,0.637697428578494,400,False
WBCIC,1,1,SubjectBalancedERM,11,0.8775,0.8772783339907708,0.40976697660914496,400,False
WBCIC,1,1,SubjectBalancedERM,13,0.7475,0.7474984218651366,0.53155559602405,400,False
WBCIC,1,1,SubjectBalancedERM,18,0.5874999999999999,0.5873736331751599,0.6517780667496861,400,False
WBCIC,1,1,SubjectBalancedERM,27,0.5249999999999999,0.5099935525467441,0.6881842186298441,400,False
WBCIC,1,1,SubjectBalancedERM,36,0.9225000000000001,0.9224995156219726,0.3476352575515613,400,False
WBCIC,1,1,SubjectBalancedERM,44,0.74,0.7398373983739837,0.5493084545310303,400,False
WBCIC,1,1,SubjectBalancedERM,45,0.865,0.8644272049408752,0.430532391381125,400,False
WBCIC,1,1,Mixup,2,0.6125,0.6104524406411199,0.6377334459787621,400,False
WBCIC,1,1,Mixup,11,0.875,0.8747463613817982,0.41222855866477626,400,False
WBCIC,1,1,Mixup,13,0.75,0.75,0.5326473064190531,400,False
WBCIC,1,1,Mixup,18,0.5974999999999999,0.5971953790053728,0.6519286976623853,400,False
WBCIC,1,1,Mixup,27,0.5249999999999999,0.5090946672178586,0.6882166706147494,400,False
WBCIC,1,1,Mixup,36,0.9225000000000001,0.9224995156219726,0.35035804024861195,400,False
WBCIC,1,1,Mixup,44,0.7375,0.7373670420650454,0.550085886991199,400,False
WBCIC,1,1,Mixup,45,0.865,0.8644272049408752,0.43280068866964455,400,False
WBCIC,1,1,GroupDRO,2,0.6125,0.6107263720325734,0.6376387823749723,400,False
WBCIC,1,1,GroupDRO,11,0.8775,0.8772783339907708,0.40980616813702087,400,False
WBCIC,1,1,GroupDRO,13,0.745,0.744993624840621,0.5316160818516971,400,False
WBCIC,1,1,GroupDRO,18,0.59,0.5899077292390789,0.6517881189559508,400,False
WBCIC,1,1,GroupDRO,27,0.5275,0.5130089732605853,0.6880171884380891,400,False
WBCIC,1,1,GroupDRO,36,0.9225000000000001,0.9224995156219726,0.3477851689330212,400,False
WBCIC,1,1,GroupDRO,44,0.7375,0.7373013341339387,0.5494484034608182,400,False
WBCIC,1,1,GroupDRO,45,0.865,0.8644272049408752,0.43058956484741645,400,False
WBCIC,1,1,ProspectiveOnly,2,0.6125,0.6107263720325734,0.6377118126899589,400,False
WBCIC,1,1,ProspectiveOnly,11,0.8775,0.8772783339907708,0.4098190229275223,400,False
WBCIC,1,1,ProspectiveOnly,13,0.7475,0.7474984218651366,0.531570394437092,400,False
WBCIC,1,1,ProspectiveOnly,18,0.59,0.5898359343737495,0.6517797041763962,400,False
WBCIC,1,1,ProspectiveOnly,27,0.5275,0.5121290147716493,0.688218525401928,400,False
WBCIC,1,1,ProspectiveOnly,36,0.9225000000000001,0.9224995156219726,0.3476738463110726,400,False
WBCIC,1,1,ProspectiveOnly,44,0.7375,0.7373670420650454,0.5493014774077797,400,False
WBCIC,1,1,ProspectiveOnly,45,0.865,0.8644272049408752,0.43057881417794436,400,False
WBCIC,1,1,RandomEffectOnly,2,0.6125,0.6107263720325734,0.6377100101117346,400,False
WBCIC,1,1,RandomEffectOnly,11,0.8775,0.8772783339907708,0.40979513450444954,400,False
WBCIC,1,1,RandomEffectOnly,13,0.7475,0.7474984218651366,0.531560196351099,400,False
WBCIC,1,1,RandomEffectOnly,18,0.59,0.5898359343737495,0.6517783273415239,400,False
WBCIC,1,1,RandomEffectOnly,27,0.5275,0.5121290147716493,0.6882141181381952,400,False
WBCIC,1,1,RandomEffectOnly,36,0.9225000000000001,0.9224995156219726,0.34764760776314413,400,False
WBCIC,1,1,RandomEffectOnly,44,0.7375,0.7373670420650454,0.5492961231657535,400,False
