dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,subject_count,future_session_used
OpenBMI,3,0,GroupDRO,1,0.001,0.5,0.08915447443723679,0.15382657945156097,2.3283064365386963e-10,5.849797313217664e-10,0.0006320009706541896,0.20740745961666107,32,False
OpenBMI,3,0,ProspectiveOnly,1,0.001,0.5,0.11043278872966766,0.16859786212444305,0.0,5.600124808324836e-10,0.0008445943240076303,0.23134508728981018,32,False
OpenBMI,3,0,RandomEffectOnly,1,0.001,0.5,0.13012495636940002,0.18058563768863678,1.1641532182693481e-10,6.689134246506967e-10,0.0010638474486768246,0.2900436222553253,32,False
OpenBMI,3,0,AdversarialMixed,1,0.001,0.5,0.14047056436538696,0.21200703084468842,2.3283064365386963e-10,2.3283064365386963e-10,0.001349959522485733,0.3255395293235779,32,False
OpenBMI,3,0,PERSIST-RE,1,0.001,0.5,0.14058756828308105,0.19518348574638367,3.4924596548080444e-10,5.820766091346741e-11,0.0012422839645296335,0.31138044595718384,32,False
OpenBMI,3,1,ERM,1,0.001,0.5,0.11412077397108078,0.17110750079154968,2.3283064365386963e-10,3.8418157544128917e-10,0.0008848411962389946,0.2395949810743332,32,False
OpenBMI,3,1,SubjectBalancedERM,1,0.001,0.5,0.11081636697053909,0.14832845330238342,0.0,6.813031805386061e-10,0.0007453651051037014,0.2206505686044693,32,False
OpenBMI,3,1,Mixup,1,0.001,0.5,0.10800617188215256,0.15733090043067932,2.3283064365386963e-10,5.206251540990081e-10,0.0007692059734836221,0.22207382321357727,32,False
OpenBMI,3,1,GroupDRO,1,0.001,0.5,0.10260015726089478,0.14199618995189667,4.656612873077393e-10,3.29272248356105e-10,0.0006596202729269862,0.20718388259410858,32,False
OpenBMI,3,1,ProspectiveOnly,1,0.001,0.5,0.09316454082727432,0.1328120231628418,2.3283064365386963e-10,2.6031257704950406e-10,0.000559972773771733,0.19897419214248657,32,False
OpenBMI,3,1,RandomEffectOnly,1,0.001,0.5,0.1449415236711502,0.1765376627445221,0.0,2.486632288967172e-10,0.0011723700445145369,0.29924121499061584,32,False
OpenBMI,3,1,AdversarialMixed,1,0.001,0.5,0.10459394007921219,0.23978549242019653,0.0,4.197414082973694e-10,0.0012655520113185048,0.3046509921550751,32,False
OpenBMI,3,1,PERSIST-RE,1,0.001,0.5,0.15317977964878082,0.21147774159908295,2.3283064365386963e-10,4.692851662824182e-10,0.0014667910290881991,0.3087967336177826,32,False
OpenBMI,3,2,ERM,1,0.001,0.5,0.08109387755393982,0.15268148481845856,1.1641532182693481e-10,2.3283064365386963e-10,0.0005821619997732341,0.20736142992973328,32,False
OpenBMI,3,2,SubjectBalancedERM,1,0.001,0.5,0.1057519018650055,0.14468121528625488,3.4924596548080444e-10,2.6031257704950406e-10,0.0006930212257429957,0.22820670902729034,32,False
OpenBMI,3,2,Mixup,1,0.001,0.5,0.11822542548179626,0.1655353605747223,0.0,2.473825588822365e-10,0.0008858307264745235,0.23276366293430328,32,False
OpenBMI,3,2,GroupDRO,1,0.001,0.5,0.14253729581832886,0.1878804713487625,2.3283064365386963e-10,9.599853134645286e-10,0.0012156858574599028,0.2584973871707916,32,False
OpenBMI,3,2,ProspectiveOnly,1,0.001,0.5,0.11618388444185257,0.1589326709508896,2.3283064365386963e-10,4.665698938310925e-10,0.0008363876258954406,0.2254665195941925,32,False
OpenBMI,3,2,RandomEffectOnly,1,0.001,0.5,0.1939837485551834,0.22606399655342102,1.1641532182693481e-10,2.098707041486847e-10,0.002025050576776266,0.3782487213611603,32,False
OpenBMI,3,2,AdversarialMixed,1,0.001,0.5,0.16092346608638763,0.2252446860074997,2.3283064365386963e-10,1.1641532182693481e-09,0.0016406866488978267,0.34314265847206116,32,False
OpenBMI,3,2,PERSIST-RE,1,0.001,0.5,0.1050131544470787,0.2097044736146927,0.0,3.540633897181067e-10,0.0010537654161453247,0.307327538728714,32,False
OpenBMI,4,0,ERM,1,0.001,0.5,0.12399499118328094,0.17138485610485077,2.3283064365386963e-10,5.732789798429394e-10,0.000962194288149476,0.2559019923210144,32,False
OpenBMI,4,0,SubjectBalancedERM,1,0.001,0.5,0.1181148886680603,0.1366724818944931,6.984919309616089e-10,2.6193447411060333e-10,0.0007465342641808093,0.22038564085960388,32,False
OpenBMI,4,0,Mixup,1,0.001,0.5,0.12064118683338165,0.17637313902378082,2.3283064365386963e-10,9.03625896331306e-10,0.0009632629808038473,0.2497142106294632,32,False
OpenBMI,4,0,GroupDRO,1,0.001,0.5,0.1233726218342781,0.1586192101240158,0.0,5.206251540990081e-10,0.0008903595735318959,0.2467729151248932,32,False
OpenBMI,4,0,ProspectiveOnly,1,0.001,0.5,0.1050395742058754,0.14753176271915436,1.4551915228366852e-10,6.507814287459723e-10,0.0007013992872089148,0.21946071088314056,32,False
OpenBMI,4,0,RandomEffectOnly,1,0.001,0.5,0.14546656608581543,0.21959984302520752,5.820766091346741e-10,4.197414082973694e-10,0.0014480592217296362,0.3152988851070404,32,False
OpenBMI,4,0,AdversarialMixed,1,0.001,0.5,0.16871321201324463,0.2324535995721817,4.656612873077393e-10,9.946529155868689e-10,0.0017758915200829506,0.3672768473625183,32,False
OpenBMI,4,0,PERSIST-RE,1,0.001,0.5,0.14624625444412231,0.20758545398712158,1.1641532182693481e-10,4.197414082973694e-10,0.0013739301357418299,0.3269350230693817,32,False
OpenBMI,4,1,ERM,1,0.001,0.5,0.12571875751018524,0.17320147156715393,1.1641532182693481e-10,7.809377033929366e-10,0.0009860158897936344,0.23465390503406525,32,False
OpenBMI,4,1,SubjectBalancedERM,1,0.001,0.5,0.1423151046037674,0.1815425604581833,4.0745362639427185e-10,5.206251540990081e-10,0.0011764797382056713,0.26658934354782104,32,False
