backbone,dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,future_session_used
EEGNeX,WBCIC,0,2,AdversarialMixed,1,0.001,0.5,0.17636685073375702,0.19176533818244934,4.656612873077393e-10,1.5618754067858731e-09,0.0015871089417487383,0.5541024208068848,False
EEGNeX,WBCIC,0,2,PERSIST-RE,1,0.001,0.5,0.1429569572210312,0.19130900502204895,2.3283064365386963e-10,4.656612873077393e-10,0.0012401868589222431,0.5026370286941528,False
EEGNeX,WBCIC,1,0,ERM,1,0.001,0.5,0.1313769817352295,0.16525894403457642,4.515503526647535e-10,6.079182712781517e-10,0.0009595340816304088,0.38747942447662354,False
EEGNeX,WBCIC,1,0,SubjectBalancedERM,1,0.001,0.5,0.11376921832561493,0.13768574595451355,3.9510655858165933e-10,5.559068760874197e-10,0.000696134171448648,0.38721588253974915,False
EEGNeX,WBCIC,1,0,Mixup,1,0.001,0.5,0.11037695407867432,0.16439639031887054,1.1288758816618838e-10,2.2577517633237676e-10,0.000796508276835084,0.38497456908226013,False
EEGNeX,WBCIC,1,0,GroupDRO,1,0.001,0.5,0.07789015024900436,0.16942736506462097,1.0159882934956954e-09,7.055473982831018e-10,0.0006312149344012141,0.3653355836868286,False
EEGNeX,WBCIC,1,0,ProspectiveOnly,1,0.001,0.5,0.11730756610631943,0.1575370728969574,1.6933138224928257e-10,3.3866276449856514e-10,0.0008118476253002882,0.37242552638053894,False
EEGNeX,WBCIC,1,0,RandomEffectOnly,1,0.001,0.5,0.13842807710170746,0.20035022497177124,2.2577517633237676e-10,1.1064279492600804e-09,0.0012163645587861538,0.556186318397522,False
EEGNeX,WBCIC,1,0,AdversarialMixed,1,0.001,0.5,0.1618749350309372,0.19002428650856018,2.2577517633237676e-10,5.89290505281781e-10,0.0013743857853114605,0.5635514259338379,False
EEGNeX,WBCIC,1,0,PERSIST-RE,1,0.001,0.5,0.21022871136665344,0.22075679898262024,2.2577517633237676e-10,7.902131171633187e-10,0.002130875363945961,0.617311954498291,False
EEGNeX,WBCIC,1,1,ERM,1,0.001,0.5,0.09999730437994003,0.1589660346508026,2.2577517633237676e-10,2.2577517633237676e-10,0.0007012553978711367,0.3714093863964081,False
EEGNeX,WBCIC,1,1,SubjectBalancedERM,1,0.001,0.5,0.11149445921182632,0.16258206963539124,3.3866276449856514e-10,3.3866276449856514e-10,0.0007951296865940094,0.3739086091518402,False
EEGNeX,WBCIC,1,1,Mixup,1,0.001,0.5,0.10942970961332321,0.1903829425573349,4.515503526647535e-10,5.048486628744797e-10,0.0009318400989286602,0.3872985541820526,False
EEGNeX,WBCIC,1,1,GroupDRO,1,0.001,0.5,0.1255769431591034,0.1531074196100235,3.3866276449856514e-10,1.206630462213809e-09,0.0008534432854503393,0.36750999093055725,False
EEGNeX,WBCIC,1,1,ProspectiveOnly,1,0.001,0.5,0.10958877205848694,0.17959241569042206,6.208817349140361e-10,8.81680228825843e-10,0.0008715098374523222,0.3741975724697113,False
EEGNeX,WBCIC,1,1,RandomEffectOnly,1,0.001,0.5,0.19869548082351685,0.2138746827840805,1.1288758816618838e-10,4.5506443058229706e-10,0.0019374755211174488,0.6066187620162964,False
EEGNeX,WBCIC,1,1,AdversarialMixed,1,0.001,0.5,0.2116251289844513,0.21285945177078247,9.03100705329507e-10,9.101288056534429e-10,0.002096601063385606,0.5856207013130188,False
EEGNeX,WBCIC,1,1,PERSIST-RE,1,0.001,0.5,0.1325491964817047,0.1781526356935501,1.1288758816618838e-10,3.1929431321131574e-10,0.0010373227996751666,0.55228590965271,False
EEGNeX,WBCIC,1,2,ERM,1,0.001,0.5,0.10531020909547806,0.15622051060199738,1.1288758816618838e-10,1.89318241639036e-10,0.0007220292463898659,0.3563605844974518,False
EEGNeX,WBCIC,1,2,SubjectBalancedERM,1,0.001,0.5,0.11812353879213333,0.15774153172969818,2.2577517633237676e-10,6.079182712781517e-10,0.0008188425563275814,0.365121990442276,False
EEGNeX,WBCIC,1,2,Mixup,1,0.001,0.5,0.08353882282972336,0.1524752974510193,3.3866276449856514e-10,7.139637769881801e-10,0.0005757581093348563,0.35721585154533386,False
EEGNeX,WBCIC,1,2,GroupDRO,1,0.001,0.5,0.10193655639886856,0.18653325736522675,5.644379408309419e-11,3.9510655858165933e-10,0.0008600230794399977,0.4075395464897156,False
EEGNeX,WBCIC,1,2,ProspectiveOnly,1,0.001,0.5,0.1218530684709549,0.1394575536251068,2.2577517633237676e-10,1.2621216571861993e-10,0.0007632116321474314,0.36467596888542175,False
EEGNeX,WBCIC,1,2,RandomEffectOnly,1,0.001,0.5,0.10080462694168091,0.2110568881034851,2.2577517633237676e-10,5.048486628744797e-10,0.0010028568794950843,0.49665403366088867,False
EEGNeX,WBCIC,1,2,AdversarialMixed,1,0.001,0.5,0.17388691008090973,0.20155960321426392,0.0,2.2577517633237676e-10,0.001569915097206831,0.56662917137146,False
EEGNeX,WBCIC,1,2,PERSIST-RE,1,0.001,0.5,0.20622682571411133,0.2005792111158371,3.3866276449856514e-10,3.1929431321131574e-10,0.0019480010960251093,0.5823190212249756,False
EEGNeX,WBCIC,2,0,ERM,1,0.001,0.5,0.10598255693912506,0.1819104105234146,2.2577517633237676e-10,2.411279786951326e-10,0.0008601078297942877,0.3609343469142914,False
EEGNeX,WBCIC,2,0,SubjectBalancedERM,1,0.001,0.5,0.09728623181581497,0.1643209010362625,5.644379408309419e-10,4.070219994378732e-10,0.0007111746817827225,0.3706664443016052,False
EEGNeX,WBCIC,2,0,Mixup,1,0.001,0.5,0.09506621211767197,0.15708833932876587,9.5954444390145e-10,4.2986314507942325e-10,0.0006620668573305011,0.361951619386673,False
EEGNeX,WBCIC,2,0,GroupDRO,1,0.001,0.5,0.09793291240930557,0.15274004638195038,0.0,4.515503526647535e-10,0.0006586299277842045,0.3756730556488037,False
EEGNeX,WBCIC,2,0,ProspectiveOnly,1,0.001,0.5,0.10819748789072037,0.17403264343738556,1.1288758816618838e-10,3.1929431321131574e-10,0.000831793702673167,0.3734492063522339,False
EEGNeX,WBCIC,2,0,RandomEffectOnly,1,0.001,0.5,0.16796715557575226,0.1982727199792862,6.773255289971303e-10,5.048486628744797e-10,0.0014864562544971704,0.6019955277442932,False
EEGNeX,WBCIC,2,0,AdversarialMixed,1,0.001,0.5,0.15803205966949463,0.17966164648532867,4.515503526647535e-10,3.1929431321131574e-10,0.001277030911296606,0.5428093075752258,False
EEGNeX,WBCIC,2,0,PERSIST-RE,1,0.001,0.5,0.16037878394126892,0.2097238153219223,1.3546510579942606e-09,7.982357830282893e-11,0.0014804704114794731,0.6059671640396118,False
EEGNeX,WBCIC,2,1,ERM,1,0.001,0.5,0.0973808541893959,0.14079348742961884,2.2577517633237676e-10,5.644379408309419e-10,0.0006013108650222421,0.35582590103149414,False
EEGNeX,WBCIC,2,1,SubjectBalancedERM,1,0.001,0.5,0.129328653216362,0.15463696420192719,5.644379408309419e-10,3.6141661885480403e-10,0.0008905704598873854,0.4057886004447937,False
EEGNeX,WBCIC,2,1,Mixup,1,0.001,0.5,0.09855213016271591,0.16121003031730652,4.515503526647535e-10,4.6544745835319645e-10,0.0007033420260995626,0.37824854254722595,False
EEGNeX,WBCIC,2,1,GroupDRO,1,0.001,0.5,0.10657164454460144,0.1512260138988495,7.337693230802245e-10,4.928742414200826e-10,0.0007067578844726086,0.38753125071525574,False
EEGNeX,WBCIC,2,1,ProspectiveOnly,1,0.001,0.5,0.1256800889968872,0.1575218290090561,1.6933138224928257e-10,5.644379408309419e-10,0.0008753493893891573,0.396469384431839,False
EEGNeX,WBCIC,2,1,RandomEffectOnly,1,0.001,0.5,0.17462405562400818,0.20694364607334137,3.3866276449856514e-10,1.1288758816618838e-10,0.001611780491657555,0.5988948941230774,False
EEGNeX,WBCIC,2,1,AdversarialMixed,1,0.001,0.5,0.14602799713611603,0.22353589534759521,4.515503526647535e-10,8.140439988757464e-10,0.0014351233839988708,0.563356876373291,False
EEGNeX,WBCIC,2,1,PERSIST-RE,1,0.001,0.5,0.149605393409729,0.20060722529888153,4.515503526647535e-10,4.6544745835319645e-10,0.0013185576535761356,0.5677084922790527,False
EEGNeX,WBCIC,2,2,ERM,1,0.001,0.5,0.13351097702980042,0.1660359650850296,0.0,2.394707487862746e-10,0.0009811591589823365,0.3805122673511505,False
EEGNeX,WBCIC,2,2,SubjectBalancedERM,1,0.001,0.5,0.13819968700408936,0.17321349680423737,5.644379408309419e-10,2.5242433143723986e-10,0.0010584318079054356,0.4051067531108856,False
EEGNeX,WBCIC,2,2,Mixup,1,0.001,0.5,0.08982954919338226,0.16207966208457947,2.2577517633237676e-10,2.5399707337392385e-10,0.0006563181523233652,0.35787221789360046,False
EEGNeX,WBCIC,2,2,GroupDRO,1,0.001,0.5,0.1250319927930832,0.16679443418979645,4.515503526647535e-10,1.651644238043204e-10,0.0009165371302515268,0.39364343881607056,False
EEGNeX,WBCIC,2,2,ProspectiveOnly,1,0.001,0.5,0.10145200043916702,0.12921014428138733,7.337693230802245e-10,4.6544745835319645e-10,0.0005784910172224045,0.35819318890571594,False
EEGNeX,WBCIC,2,2,RandomEffectOnly,1,0.001,0.5,0.1835443079471588,0.20956696569919586,2.2577517633237676e-10,6.825965903622944e-10,0.001728432602249086,0.5774121880531311,False
EEGNeX,WBCIC,2,2,AdversarialMixed,1,0.001,0.5,0.16335903108119965,0.2234322428703308,6.773255289971303e-10,6.189545542767405e-10,0.0016019733157008886,0.6023280024528503,False
EEGNeX,WBCIC,2,2,PERSIST-RE,1,0.001,0.5,0.1678752899169922,0.20886880159378052,4.515503526647535e-10,7.228332377096081e-10,0.0015518630389124155,0.5872430801391602,False
EEGNeX,WBCIC,3,0,ERM,1,0.001,0.5,0.112201988697052,0.18454253673553467,2.2577517633237676e-10,4.6544745835319645e-10,0.0009173528524115682,0.38144123554229736,False
EEGNeX,WBCIC,3,0,SubjectBalancedERM,1,0.001,0.5,0.10963357239961624,0.17564764618873596,2.2577517633237676e-10,8.081521563063632e-10,0.0008502576383762062,0.3714047074317932,False
EEGNeX,WBCIC,3,0,Mixup,1,0.001,0.5,0.10449907928705215,0.13522164523601532,0.0,1.017554998594683e-10,0.0006225578254088759,0.3570784330368042,False
EEGNeX,WBCIC,3,0,GroupDRO,1,0.001,0.5,0.13508009910583496,0.15120738744735718,2.2577517633237676e-10,4.515503526647535e-10,0.000921956030651927,0.3709987699985504,False
EEGNeX,WBCIC,3,0,ProspectiveOnly,1,0.001,0.5,0.14944599568843842,0.15501877665519714,5.644379408309419e-10,7.59373564029886e-10,0.0010676458477973938,0.397310346364975,False
EEGNeX,WBCIC,3,0,RandomEffectOnly,1,0.001,0.5,0.11203086376190186,0.20440171658992767,3.3866276449856514e-10,3.6141661885480403e-10,0.0010349863441661,0.49258682131767273,False
EEGNeX,WBCIC,3,0,AdversarialMixed,1,0.001,0.5,0.17501403391361237,0.21626591682434082,4.515503526647535e-10,4.6544745835319645e-10,0.0016767375636845827,0.544758677482605,False
EEGNeX,WBCIC,3,0,PERSIST-RE,1,0.001,0.5,0.150827094912529,0.2134629637002945,9.03100705329507e-10,1.3593465242323077e-09,0.0014119225088506937,0.5704168081283569,False
EEGNeX,WBCIC,3,1,ERM,1,0.001,0.5,0.1041993498802185,0.1516377329826355,1.1288758816618838e-10,2.2577517633237676e-10,0.0006930509116500616,0.35176751017570496,False
EEGNeX,WBCIC,3,1,SubjectBalancedERM,1,0.001,0.5,0.12154141068458557,0.1597890853881836,2.8221897041547095e-10,4.070219994378732e-10,0.0008544434094801545,0.39446619153022766,False
EEGNeX,WBCIC,3,1,Mixup,1,0.001,0.5,0.11725454032421112,0.14146366715431213,0.0,1.1288758816618838e-10,0.0007375210989266634,0.35166242718696594,False
EEGNeX,WBCIC,3,1,GroupDRO,1,0.001,0.5,0.11449065804481506,0.18396490812301636,2.2577517633237676e-10,6.606576952172816e-10,0.0009302913676947355,0.3636028468608856,False
EEGNeX,WBCIC,3,1,ProspectiveOnly,1,0.001,0.5,0.09771023690700531,0.16574445366859436,0.0,3.0395913563907584e-10,0.0007209869800135493,0.37673571705818176,False
EEGNeX,WBCIC,3,1,RandomEffectOnly,1,0.001,0.5,0.16860252618789673,0.18478292226791382,9.03100705329507e-10,3.3866276449856514e-10,0.0014136412646621466,0.5626136064529419,False
EEGNeX,WBCIC,3,1,AdversarialMixed,1,0.001,0.5,0.1593586802482605,0.20024584233760834,2.2577517633237676e-10,7.139637769881801e-10,0.0014104979345574975,0.5328490734100342,False
EEGNeX,WBCIC,3,1,PERSIST-RE,1,0.001,0.5,0.16125237941741943,0.1932203620672226,0.0,4.515503526647535e-10,0.0013869436224922538,0.5634638667106628,False
EEGNeX,WBCIC,3,2,ERM,1,0.001,0.5,0.127536341547966,0.17553895711898804,4.515503526647535e-10,2.8221897041547095e-10,0.0009823578875511885,0.36604198813438416,False
EEGNeX,WBCIC,3,2,SubjectBalancedERM,1,0.001,0.5,0.1408020555973053,0.15461771190166473,0.0,2.2577517633237676e-10,0.000987332547083497,0.37489980459213257,False
EEGNeX,WBCIC,3,2,Mixup,1,0.001,0.5,0.09558850526809692,0.1497669517993927,1.1288758816618838e-10,1.1288758816618838e-10,0.0006306153954938054,0.3553414046764374,False
EEGNeX,WBCIC,3,2,GroupDRO,1,0.001,0.5,0.11081568151712418,0.14548750221729279,0.0,5.644379408309419e-10,0.0007093938766047359,0.36813849210739136,False
EEGNeX,WBCIC,3,2,ProspectiveOnly,1,0.001,0.5,0.12015152722597122,0.16024236381053925,1.6933138224928257e-10,5.324896634739673e-10,0.0008461773977614939,0.37540894746780396,False
EEGNeX,WBCIC,3,2,RandomEffectOnly,1,0.001,0.5,0.19851969182491302,0.2342507541179657,2.2577517633237676e-10,9.101288611645941e-10,0.002075771102681756,0.6061264276504517,False
EEGNeX,WBCIC,3,2,AdversarialMixed,1,0.001,0.5,0.21687929332256317,0.19000115990638733,9.03100705329507e-10,9.857483718178628e-10,0.002025285968557,0.5695254802703857,False
EEGNeX,WBCIC,3,2,PERSIST-RE,1,0.001,0.5,0.18314729630947113,0.17756658792495728,2.2577517633237676e-10,0.0,0.0015332920011132956,0.5924383997917175,False
EEGNeX,WBCIC,4,0,ERM,1,0.001,0.5,0.1253599375486374,0.175953671336174,2.2577517633237676e-10,6.208817349140361e-10,0.0009674003231339157,0.4091162383556366,False
EEGNeX,WBCIC,4,0,SubjectBalancedERM,1,0.001,0.5,0.11210247874259949,0.17018656432628632,2.2577517633237676e-10,6.825966458734456e-10,0.0008383095264434814,0.37921637296676636,False
EEGNeX,WBCIC,4,0,Mixup,1,0.001,0.5,0.10635201632976532,0.17737209796905518,4.515503526647535e-10,7.139637769881801e-10,0.0008374741883017123,0.38181057572364807,False
EEGNeX,WBCIC,4,0,GroupDRO,1,0.001,0.5,0.12434430420398712,0.1694401651620865,0.0,3.1929431321131574e-10,0.0009248639107681811,0.3969811797142029,False
EEGNeX,WBCIC,4,0,ProspectiveOnly,1,0.001,0.5,0.1236102283000946,0.14831554889678955,4.515503526647535e-10,4.070219994378732e-10,0.0008159071439877152,0.38180461525917053,False
EEGNeX,WBCIC,4,0,RandomEffectOnly,1,0.001,0.5,0.15848280489444733,0.24649646878242493,6.773255289971303e-10,9.101288611645941e-10,0.001719677122309804,0.5875776410102844,False
EEGNeX,WBCIC,4,0,AdversarialMixed,1,0.001,0.5,0.18642279505729675,0.20505037903785706,0.0,0.0,0.0017329020192846656,0.570824146270752,False
EEGNeX,WBCIC,4,0,PERSIST-RE,1,0.001,0.5,0.14113181829452515,0.22722402215003967,6.773255289971303e-10,7.228332377096081e-10,0.001416762825101614,0.5433914661407471,False
EEGNeX,WBCIC,4,1,ERM,1,0.001,0.5,0.1051260381937027,0.1410272866487503,2.2577517633237676e-10,1.1288758816618838e-10,0.0006513388361781836,0.36597877740859985,False
EEGNeX,WBCIC,4,1,SubjectBalancedERM,1,0.001,0.5,0.12724319100379944,0.14306896924972534,0.0,3.0395913563907584e-10,0.0008208670187741518,0.3861994743347168,False
EEGNeX,WBCIC,4,1,Mixup,1,0.001,0.5,0.1268608123064041,0.18150600790977478,4.515503526647535e-10,4.628735172929055e-10,0.0010097643826156855,0.37581560015678406,False
EEGNeX,WBCIC,4,1,GroupDRO,1,0.001,0.5,0.10408835113048553,0.16401520371437073,1.1288758816618838e-10,3.1929431321131574e-10,0.000752435764297843,0.37333250045776367,False
EEGNeX,WBCIC,4,1,ProspectiveOnly,1,0.001,0.5,0.12172107398509979,0.1774369776248932,0.0,3.3866276449856514e-10,0.0009473679820075631,0.36640211939811707,False
EEGNeX,WBCIC,4,1,RandomEffectOnly,1,0.001,0.5,0.17938075959682465,0.22691048681735992,2.2577517633237676e-10,7.139637769881801e-10,0.001797674223780632,0.576623797416687,False
EEGNeX,WBCIC,4,1,AdversarialMixed,1,0.001,0.5,0.16448239982128143,0.20399576425552368,1.0159882934956954e-09,4.5506443058229706e-10,0.0014856713823974133,0.5651124715805054,False
EEGNeX,WBCIC,4,1,PERSIST-RE,1,0.001,0.5,0.17527997493743896,0.22040432691574097,0.0,7.57272966556144e-10,0.001707450719550252,0.5890619158744812,False
EEGNeX,WBCIC,4,2,ERM,1,0.001,0.5,0.10676319152116776,0.14938372373580933,1.6933138224928257e-10,4.070219994378732e-10,0.0006995146395638585,0.3538440465927124,False
EEGNeX,WBCIC,4,2,SubjectBalancedERM,1,0.001,0.5,0.12844544649124146,0.15179216861724854,0.0,4.070219994378732e-10,0.0008700445760041475,0.3827005922794342,False
EEGNeX,WBCIC,4,2,Mixup,1,0.001,0.5,0.107247494161129,0.1869724541902542,0.0,7.139637769881801e-10,0.0008972643408924341,0.4017431139945984,False
EEGNeX,WBCIC,4,2,GroupDRO,1,0.001,0.5,0.1310201734304428,0.15462253987789154,5.644379408309419e-11,2.3272372917659823e-10,0.0009042638121172786,0.3899223208427429,False
EEGNeX,WBCIC,4,2,ProspectiveOnly,1,0.001,0.5,0.11244016140699387,0.13603316247463226,5.644379408309419e-11,2.2577517633237676e-10,0.0006797797977924347,0.37876448035240173,False
EEGNeX,WBCIC,4,2,RandomEffectOnly,1,0.001,0.5,0.1483149379491806,0.22371120750904083,4.515503526647535e-10,1.1175300684840295e-09,0.001457365695387125,0.5736178755760193,False
EEGNeX,WBCIC,4,2,AdversarialMixed,1,0.001,0.5,0.1630660444498062,0.21027569472789764,4.515503526647535e-10,1.7849094424704504e-10,0.0015111982356756926,0.5922397971153259,False
EEGNeX,WBCIC,4,2,PERSIST-RE,1,0.001,0.5,0.14680737257003784,0.23083600401878357,4.515503526647535e-10,4.822559573902652e-10,0.0014932856429368258,0.534656286239624,False
