dataset,role,fold,seed,method,BA,macro_F1,CE,subjects
OpenBMI,outcome,2,1,eb_u_pda,0.7825,0.7795215167668769,0.4701062216325742,8
OpenBMI,outcome,2,1,intercept_only,0.7875,0.7856226757273409,0.4876985465685503,8
OpenBMI,outcome,2,1,oracle_alpha,0.79875,0.7969689868828619,0.46590076911124895,8
OpenBMI,outcome,2,1,ordinary_adapter,0.5,0.3333333333333333,2.1250635048637694,8
OpenBMI,outcome,2,1,persistent_ce,0.77,0.7676590229291065,0.45817422257914037,8
OpenBMI,outcome,2,1,population,0.785,0.7818879898155455,0.48034858057751106,8
OpenBMI,outcome,2,1,previous_full_pda,0.725,0.7047969204925921,0.5221369804442499,8
OpenBMI,outcome,2,1,random_gate,0.7875,0.7862550226819232,0.46423352588796774,8
OpenBMI,outcome,2,1,shuffled_adapter,0.77875,0.7746581853026482,0.47441564114885293,8
OpenBMI,outcome,2,1,u_pda,0.7825,0.7795215167668769,0.4701062216325742,8
OpenBMI,outcome,2,1,wrong_adapter,0.77875,0.7753861392615555,0.47768926142807855,8
OpenBMI,outcome,2,2,correct_adapter,0.77875,0.77222250851924,0.4820191208788701,8
OpenBMI,outcome,2,2,eb_u_pda,0.77875,0.77222250851924,0.4820191208788701,8
OpenBMI,outcome,2,2,intercept_only,0.78375,0.7805913473460564,0.48968685677130913,8
OpenBMI,outcome,2,2,oracle_alpha,0.80375,0.8025981950918735,0.44414928116421976,8
OpenBMI,outcome,2,2,ordinary_adapter,0.5,0.3333333333333333,2.031913573090299,8
OpenBMI,outcome,2,2,persistent_ce,0.79375,0.7925342420757043,0.44828327045265953,8
OpenBMI,outcome,2,2,population,0.78,0.7734756350323715,0.49500207731097906,8
OpenBMI,outcome,2,2,previous_full_pda,0.73875,0.7251825034554537,0.5003762883486815,8
OpenBMI,outcome,2,2,random_gate,0.78625,0.781926558667588,0.46382138117898136,8
OpenBMI,outcome,2,2,shuffled_adapter,0.775,0.767743731222368,0.4922706155659493,8
OpenBMI,outcome,2,2,u_pda,0.77875,0.77222250851924,0.4820191208788701,8
OpenBMI,outcome,2,2,wrong_adapter,0.78125,0.7747708366679197,0.4945067012527417,8
OpenBMI,outcome,3,0,correct_adapter,0.7625,0.7613982647696956,0.5358704925744188,8
OpenBMI,outcome,3,0,eb_u_pda,0.7625,0.7613982647696956,0.5358704925744188,8
OpenBMI,outcome,3,0,intercept_only,0.76375,0.7628601556400085,0.4938401570117996,8
OpenBMI,outcome,3,0,oracle_alpha,0.77125,0.7703312214992984,0.588261273957448,8
OpenBMI,outcome,3,0,ordinary_adapter,0.54375,0.40492316976902554,1.8014870441553166,8
OpenBMI,outcome,3,0,persistent_ce,0.74875,0.7432500058920016,0.6253742785357342,8
OpenBMI,outcome,3,0,population,0.7625,0.7617202575480415,0.49300885762122976,8
OpenBMI,outcome,3,0,previous_full_pda,0.69375,0.6626055360753973,0.5690338590853489,8
OpenBMI,outcome,3,0,random_gate,0.76375,0.7629628788089672,0.49412956311448913,8
OpenBMI,outcome,3,0,shuffled_adapter,0.75625,0.7551281803776466,0.4920107443774557,8
OpenBMI,outcome,3,0,u_pda,0.7625,0.7613982647696956,0.5358704925744188,8
OpenBMI,outcome,3,0,wrong_adapter,0.7625,0.7611421525347778,0.4992737043611206,8
OpenBMI,outcome,3,1,correct_adapter,0.79875,0.7959986433787303,0.4423371048856518,8
OpenBMI,outcome,3,1,eb_u_pda,0.79875,0.7959986433787303,0.4423371048856518,8
OpenBMI,outcome,3,1,intercept_only,0.7949999999999999,0.7913384521889439,0.42137023990754213,8
OpenBMI,outcome,3,1,oracle_alpha,0.81375,0.8086369005675085,0.4191451123300034,8
OpenBMI,outcome,3,1,ordinary_adapter,0.5475,0.40693865396069084,1.6718808396983835,8
OpenBMI,outcome,3,1,persistent_ce,0.7925,0.7852524835318535,0.500647623303476,8
OpenBMI,outcome,3,1,population,0.80125,0.7989288777144001,0.416880110415688,8
OpenBMI,outcome,3,1,previous_full_pda,0.72375,0.6964039164205239,0.5211340539277872,8
OpenBMI,outcome,3,1,random_gate,0.7949999999999999,0.7924892436599127,0.4242604271010904,8
OpenBMI,outcome,3,1,shuffled_adapter,0.8049999999999999,0.8005411920918258,0.4218266812315948,8
OpenBMI,outcome,3,1,u_pda,0.79875,0.7959986433787303,0.4423371048856518,8
OpenBMI,outcome,3,1,wrong_adapter,0.79875,0.7957048271385596,0.4252535721384486,8
OpenBMI,outcome,3,2,correct_adapter,0.77125,0.769592179056967,0.5061965724846204,8
OpenBMI,outcome,3,2,eb_u_pda,0.77125,0.769592179056967,0.5061965724846204,8
OpenBMI,outcome,3,2,intercept_only,0.77,0.7694581373757622,0.4903613139303272,8
OpenBMI,outcome,3,2,oracle_alpha,0.7825,0.781704661460569,0.47701232460878745,8
OpenBMI,outcome,3,2,ordinary_adapter,0.56625,0.44095878076725936,1.6918497594145305,8
OpenBMI,outcome,3,2,persistent_ce,0.76625,0.763080803786135,0.5667927084355668,8
OpenBMI,outcome,3,2,population,0.7725,0.770925408398831,0.49156035660095765,8
OpenBMI,outcome,3,2,previous_full_pda,0.7325,0.7223255186118096,0.5262000484676674,8
OpenBMI,outcome,3,2,random_gate,0.7725,0.7711449296686987,0.49950397451862094,8
OpenBMI,outcome,3,2,shuffled_adapter,0.775,0.7739357034259328,0.48934663475869467,8
OpenBMI,outcome,3,2,u_pda,0.77125,0.769592179056967,0.5061965724846204,8
OpenBMI,outcome,3,2,wrong_adapter,0.76875,0.7671142756597836,0.4935697838983606,8
OpenBMI,outcome,4,0,correct_adapter,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,eb_u_pda,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,intercept_only,0.78,0.7775789555969879,0.46609613756159124,8
OpenBMI,outcome,4,0,oracle_alpha,0.7887500000000001,0.7866128400634631,0.46340634159933414,8
OpenBMI,outcome,4,0,ordinary_adapter,0.5525,0.4120132833349729,2.060241875520828,8
OpenBMI,outcome,4,0,persistent_ce,0.7637499999999999,0.7522058862931882,0.4681467393411901,8
OpenBMI,outcome,4,0,population,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,previous_full_pda,0.65875,0.6302823188289424,0.6365167203652375,8
OpenBMI,outcome,4,0,random_gate,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,shuffled_adapter,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,u_pda,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,0,wrong_adapter,0.7737499999999999,0.7714106899380657,0.47175183922169933,8
OpenBMI,outcome,4,1,correct_adapter,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,eb_u_pda,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,intercept_only,0.795,0.7921292740659721,0.4315569515751462,8
OpenBMI,outcome,4,1,oracle_alpha,0.79625,0.7919852261947553,0.4466464710986546,8
OpenBMI,outcome,4,1,ordinary_adapter,0.55625,0.41896663908866216,1.9209434469882876,8
OpenBMI,outcome,4,1,persistent_ce,0.785,0.7785343473911279,0.4408428515755104,8
OpenBMI,outcome,4,1,population,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,previous_full_pda,0.6925,0.6832597981338108,0.5685203746335988,8
OpenBMI,outcome,4,1,random_gate,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,shuffled_adapter,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,u_pda,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,1,wrong_adapter,0.7875,0.7837635939257714,0.4509164545762426,8
OpenBMI,outcome,4,2,correct_adapter,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,eb_u_pda,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,intercept_only,0.8075,0.8069275738555208,0.44141648835593794,8
OpenBMI,outcome,4,2,oracle_alpha,0.79875,0.7975465487461559,0.4446670722511711,8
OpenBMI,outcome,4,2,ordinary_adapter,0.55625,0.4188380150551203,1.9816146207796104,8
OpenBMI,outcome,4,2,persistent_ce,0.7787499999999999,0.7730089822890194,0.44441332494934355,8
OpenBMI,outcome,4,2,population,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,previous_full_pda,0.70375,0.6911968789434391,0.596163465501248,8
OpenBMI,outcome,4,2,random_gate,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,shuffled_adapter,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,u_pda,0.7725,0.7701574467467339,0.46599164513497077,8
OpenBMI,outcome,4,2,wrong_adapter,0.7725,0.7701574467467339,0.46599164513497077,8
WBCIC,outcome,0,0,correct_adapter,0.8283333333333334,0.8247457413154587,0.34507144037870097,9
WBCIC,outcome,0,0,eb_u_pda,0.8283333333333334,0.8247457413154587,0.34507144037870097,9
WBCIC,outcome,0,0,intercept_only,0.8500000000000001,0.8495554490719452,0.33978636110467325,9
WBCIC,outcome,0,0,oracle_alpha,0.8355555555555555,0.8317827341252317,0.35848283802494474,9
WBCIC,outcome,0,0,ordinary_adapter,0.8244444444444444,0.8203797350818706,0.4515260086464355,9
WBCIC,outcome,0,0,persistent_ce,0.83,0.8253157040545323,0.35867452647432935,9
WBCIC,outcome,0,0,population,0.8277777777777778,0.8241091598290865,0.3541517604859173,9
WBCIC,outcome,0,0,previous_full_pda,0.7233333333333333,0.680008915904994,0.51337902264987,9
WBCIC,outcome,0,0,random_gate,0.8305555555555555,0.8269836260316529,0.35105964232191383,9
WBCIC,outcome,0,0,shuffled_adapter,0.8272222222222223,0.8233967087709159,0.34751797163031756,9
WBCIC,outcome,0,0,u_pda,0.8283333333333334,0.8247457413154587,0.34507144037870097,9
WBCIC,outcome,0,0,wrong_adapter,0.83,0.8262864171177202,0.3658838841165731,9
WBCIC,outcome,0,1,correct_adapter,0.8261111111111111,0.822264627229411,0.3454777589885382,9
WBCIC,outcome,0,1,eb_u_pda,0.8261111111111111,0.822264627229411,0.3454777589885382,9
WBCIC,outcome,0,1,intercept_only,0.835,0.833603878874434,0.3497709240814067,9
WBCIC,outcome,0,1,oracle_alpha,0.8277777777777778,0.8238736263959983,0.3569397278447289,9
WBCIC,outcome,0,1,ordinary_adapter,0.8155555555555556,0.8105546082142957,0.42932592643155054,9
WBCIC,outcome,0,1,persistent_ce,0.8211111111111111,0.8166034490556416,0.3737509048314267,9
WBCIC,outcome,0,1,population,0.826111111111111,0.8222386103188256,0.35792550879757296,9
WBCIC,outcome,0,1,previous_full_pda,0.7250000000000001,0.684865455216165,0.5082203068190638,9
WBCIC,outcome,0,1,random_gate,0.825,0.8210765034497811,0.3617103720685068,9
WBCIC,outcome,0,1,shuffled_adapter,0.8266666666666667,0.8223200652518957,0.3491304332902952,9
WBCIC,outcome,0,1,u_pda,0.8261111111111111,0.822264627229411,0.3454777589885382,9
WBCIC,outcome,0,1,wrong_adapter,0.8266666666666667,0.8228135576452663,0.3741895120608478,9
WBCIC,outcome,0,2,correct_adapter,0.8372222222222222,0.8357524706659631,0.313001763808457,9
WBCIC,outcome,0,2,eb_u_pda,0.8372222222222222,0.8357524706659631,0.313001763808457,9
WBCIC,outcome,0,2,intercept_only,0.8555555555555556,0.8553440873032566,0.3241773388424177,9
WBCIC,outcome,0,2,oracle_alpha,0.8416666666666667,0.8401662996575586,0.3237170257035778,9
WBCIC,outcome,0,2,ordinary_adapter,0.8244444444444444,0.8215634720038394,0.39744981925601824,9
WBCIC,outcome,0,2,persistent_ce,0.8311111111111111,0.82826114069563,0.3252212165225964,9
WBCIC,outcome,0,2,population,0.8344444444444444,0.8328976978639626,0.3293222420129781,9
WBCIC,outcome,0,2,previous_full_pda,0.7205555555555556,0.6864490994560696,0.4706112315119777,9
WBCIC,outcome,0,2,random_gate,0.8355555555555555,0.8341035683450032,0.31606219316320516,9
WBCIC,outcome,0,2,shuffled_adapter,0.8355555555555555,0.8339510713590301,0.3174354804142079,9
WBCIC,outcome,0,2,u_pda,0.8372222222222222,0.8357524706659631,0.313001763808457,9
WBCIC,outcome,0,2,wrong_adapter,0.8350000000000001,0.8334819212801474,0.3484303526170451,9
WBCIC,outcome,1,0,correct_adapter,0.724375,0.7159903446067223,0.5357563600769195,8
WBCIC,outcome,1,0,eb_u_pda,0.724375,0.7159903446067223,0.5357563600769195,8
WBCIC,outcome,1,0,intercept_only,0.7368750000000001,0.7356064979502741,0.5448326650388657,8
WBCIC,outcome,1,0,oracle_alpha,0.734375,0.7276010106752677,0.5463568696184126,8
WBCIC,outcome,1,0,ordinary_adapter,0.71125,0.6907357364800399,0.667071802286148,8
WBCIC,outcome,1,0,persistent_ce,0.724375,0.7146246797534619,0.5306878556420073,8
WBCIC,outcome,1,0,population,0.728125,0.7213442038796624,0.5572505727508092,8
WBCIC,outcome,1,0,previous_full_pda,0.54625,0.4952050319838601,0.7856851254552571,8
WBCIC,outcome,1,0,random_gate,0.730625,0.7237635529093907,0.5426122996480708,8
WBCIC,outcome,1,0,shuffled_adapter,0.725625,0.7156903553711201,0.5574231559740547,8
WBCIC,outcome,1,0,u_pda,0.724375,0.7159903446067223,0.5357563600769195,8
WBCIC,outcome,1,0,wrong_adapter,0.726875,0.7194814741718905,0.5459024086850613,8
WBCIC,outcome,1,1,correct_adapter,0.735,0.7343800989086815,0.5086701838113635,8
WBCIC,outcome,1,1,eb_u_pda,0.735,0.7343800989086815,0.5086701838113635,8
WBCIC,outcome,1,1,intercept_only,0.745625,0.7392317350537002,0.5201936000792904,8
WBCIC,outcome,1,1,oracle_alpha,0.745625,0.7437326334603234,0.5044643358635861,8
WBCIC,outcome,1,1,ordinary_adapter,0.715,0.703360133054935,0.6563706644062784,8
WBCIC,outcome,1,1,persistent_ce,0.7325,0.7312287629958296,0.5188312749577753,8
WBCIC,outcome,1,1,population,0.736875,0.7353601545318598,0.5149211220374211,8
WBCIC,outcome,1,1,previous_full_pda,0.518125,0.46869642750439106,0.8652970346664772,8
WBCIC,outcome,1,1,random_gate,0.73625,0.7350961675295711,0.5163946040045277,8
WBCIC,outcome,1,1,shuffled_adapter,0.73125,0.7270781321280002,0.5185548481622984,8
WBCIC,outcome,1,1,u_pda,0.735,0.7343800989086815,0.5086701838113635,8
WBCIC,outcome,1,1,wrong_adapter,0.73375,0.7315852897453847,0.5169911320763257,8
WBCIC,outcome,1,2,correct_adapter,0.733125,0.7260358957060696,0.5233705041554827,8
WBCIC,outcome,1,2,eb_u_pda,0.733125,0.7260358957060696,0.5233705041554827,8
WBCIC,outcome,1,2,intercept_only,0.73875,0.7353625521612035,0.5303791343731697,8
WBCIC,outcome,1,2,oracle_alpha,0.73875,0.733802363514935,0.5120094336553009,8
WBCIC,outcome,1,2,ordinary_adapter,0.714375,0.7045180344742804,0.7309237525892195,8
WBCIC,outcome,1,2,persistent_ce,0.725625,0.7194366348468079,0.5348988087612085,8
WBCIC,outcome,1,2,population,0.73125,0.7217653677166723,0.5387515234148714,8
WBCIC,outcome,1,2,previous_full_pda,0.50375,0.4454341498608895,0.8980545287446576,8
WBCIC,outcome,1,2,random_gate,0.7324999999999999,0.7247372100836748,0.5286293988353921,8
WBCIC,outcome,1,2,shuffled_adapter,0.729375,0.7185137999719102,0.5362559231523566,8
WBCIC,outcome,1,2,u_pda,0.733125,0.7260358957060696,0.5233705041554827,8
WBCIC,outcome,1,2,wrong_adapter,0.7325,0.7252208429630483,0.5308016861226357,8
WBCIC,outcome,2,0,correct_adapter,0.78,0.776411898207066,0.414592365309719,8
WBCIC,outcome,2,0,eb_u_pda,0.78125,0.7780162944196636,0.4173728528006591,8
WBCIC,outcome,2,0,intercept_only,0.78625,0.784067950053752,0.4461140980636078,8
WBCIC,outcome,2,0,oracle_alpha,0.809375,0.8063902662712257,0.37862059666937636,8
WBCIC,outcome,2,0,ordinary_adapter,0.755625,0.7366896029628719,0.4499364336922068,8
WBCIC,outcome,2,0,persistent_ce,0.736875,0.7142112871776151,0.45368041329609965,8
WBCIC,outcome,2,0,population,0.794375,0.7937003188505256,0.43693709318304974,8
WBCIC,outcome,2,0,previous_full_pda,0.745625,0.7393083116631903,0.47114389131752715,8
WBCIC,outcome,2,0,random_gate,0.7775,0.7752994207669952,0.45818608883592854,8
WBCIC,outcome,2,0,shuffled_adapter,0.7925,0.7920537073694364,0.48393323162868784,8
WBCIC,outcome,2,0,u_pda,0.78,0.776411898207066,0.414592365309719,8
WBCIC,outcome,2,0,wrong_adapter,0.796875,0.7916090733594012,0.4115772646964757,8
WBCIC,outcome,2,1,correct_adapter,0.818125,0.8147229569575447,0.4087970992183186,8
WBCIC,outcome,2,1,eb_u_pda,0.815625,0.8125623188843607,0.41407022671120974,8
WBCIC,outcome,2,1,intercept_only,0.8049999999999999,0.8010118454259002,0.43459653280446864,8
WBCIC,outcome,2,1,oracle_alpha,0.825,0.8231433123624737,0.42509714993381054,8
WBCIC,outcome,2,1,ordinary_adapter,0.756875,0.7347950096165872,0.44680363999849126,8
WBCIC,outcome,2,1,persistent_ce,0.759375,0.7372927507057514,0.45379710684599184,8
WBCIC,outcome,2,1,population,0.813125,0.8107247872558224,0.43124563664205867,8
WBCIC,outcome,2,1,previous_full_pda,0.7775,0.7709961460489159,0.4709241755031177,8
WBCIC,outcome,2,1,random_gate,0.8075,0.8045994901835558,0.4306176657403468,8
WBCIC,outcome,2,1,shuffled_adapter,0.8099999999999999,0.8077279247962972,0.467343574711367,8
WBCIC,outcome,2,1,u_pda,0.818125,0.8147229569575447,0.4087970992183186,8
WBCIC,outcome,2,1,wrong_adapter,0.80125,0.7981578337746545,0.4149466673776066,8
WBCIC,outcome,2,2,correct_adapter,0.82875,0.8235098243392578,0.3794837548022386,8
WBCIC,outcome,2,2,eb_u_pda,0.8262499999999999,0.8209351631155815,0.3819796598966864,8
WBCIC,outcome,2,2,intercept_only,0.82,0.8170133893172447,0.40656270733429445,8
WBCIC,outcome,2,2,oracle_alpha,0.831875,0.8236405839345331,0.3568963277621596,8
WBCIC,outcome,2,2,ordinary_adapter,0.780625,0.7516503118448429,0.40402702068905894,8
WBCIC,outcome,2,2,persistent_ce,0.785625,0.7629347102532316,0.4113402690273691,8
WBCIC,outcome,2,2,population,0.82375,0.8217696123819234,0.40160907403795,8
WBCIC,outcome,2,2,previous_full_pda,0.808125,0.8035294477633982,0.4258086097198408,8
WBCIC,outcome,2,2,random_gate,0.818125,0.8129516211712812,0.406885574280428,8
WBCIC,outcome,2,2,shuffled_adapter,0.824375,0.8230190866635403,0.4380335372933401,8
WBCIC,outcome,2,2,u_pda,0.82875,0.8235098243392578,0.3794837548022386,8
WBCIC,outcome,2,2,wrong_adapter,0.819375,0.8176483479718591,0.3790236686679978,8
WBCIC,outcome,3,0,correct_adapter,0.8218497474747475,0.817150520029282,0.36421559231240275,8
WBCIC,outcome,3,0,eb_u_pda,0.8218497474747475,0.817150520029282,0.36421559231240275,8
WBCIC,outcome,3,0,intercept_only,0.8456186868686869,0.8395824267526114,0.36291901660120984,8
WBCIC,outcome,3,0,oracle_alpha,0.8505997474747475,0.8446625273202408,0.34615917881348435,8
WBCIC,outcome,3,0,ordinary_adapter,0.7712184343434344,0.7652372340240315,0.45752304590642373,8
WBCIC,outcome,3,0,persistent_ce,0.8255871212121212,0.8191940723675184,0.38174602198564234,8
WBCIC,outcome,3,0,population,0.8443497474747474,0.8400424252242514,0.33571091609949516,8
WBCIC,outcome,3,0,previous_full_pda,0.7318371212121212,0.7035114569995686,0.48250408933247907,8
