dataset,role,fold,seed,subject,method,recipe,alpha,BA,macro_F1,margin,CE,ECE,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_unchanged,oracle_label,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,33,shuffled_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,33,oracle_alpha,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,3.358642578125,0.1578073786418514,0.055591921318823984,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,population,upda_r1_l20.001_one_se,0.0,0.77,0.769792813532179,1.2717800903320313,0.5284125986731508,0.0714642196820064,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,intercept_only,upda_r1_l20.001_one_se,1.0,0.78,0.7796474358974359,1.2717800903320313,0.5322595788303651,0.09937073861452997,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.5,0.3333333333333333,0.3415086934511301,2.3781213709534454,0.4894018155179752,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.71,0.7076318177235609,1.3841382333885128,0.5896660360630833,0.1319134019720997,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,persistent_ce,upda_r1_l20.001_one_se,1.0,0.74,0.7398959583833533,0.7319697897730231,0.5315527356480538,0.044021303362547656,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,u_pda,upda_r1_l20.001_one_se,0.25,0.77,0.769792813532179,1.136827515192279,0.521207791938121,0.07470732649044995,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,eb_u_pda,upda_r1_l20.001_one_se,0.25,0.77,0.769792813532179,1.136827515192279,0.521207791938121,0.07470732649044995,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,random_gate,upda_r1_l20.001_one_se,0.0,0.77,0.769792813532179,1.2717800903320313,0.5284125986731508,0.0714642196820064,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
