dataset,role,fold,seed,subject,recipe,alpha,mean_CE,SE_CE,mean_BA,selected_one_se,selected_eb,historical_utility,historical_utility_se,positive_held_blocks,future_labels_used_for_selection,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,1,49,upda_r1_l20.001_one_se,0.5,0.5040326297541298,0.2109005428116613,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,49,upda_r1_l20.001_one_se,0.75,0.4887287510004957,0.19626253037699373,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,49,upda_r1_l20.001_one_se,1.0,0.4751179188970003,0.1820854093589332,0.77,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,15,upda_r1_l20.001_one_se,0.0,0.2642361096830352,0.15572398428772297,0.89,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,15,upda_r1_l20.001_one_se,0.25,0.19994429443846706,0.11662215033738008,0.9,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,15,upda_r1_l20.001_one_se,0.5,0.16562686094442886,0.09026709028888971,0.91,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,15,upda_r1_l20.001_one_se,0.75,0.14118053725338228,0.06939786074835784,0.92,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,15,upda_r1_l20.001_one_se,1.0,0.12336694968474157,0.052212503075471296,0.94,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,19,upda_r1_l20.001_one_se,0.0,0.6276569751858239,0.26808633118984276,0.72,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,2,19,upda_r1_l20.001_one_se,0.25,0.5900167075500554,0.2245387711100324,0.7100000000000001,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
