dataset,role,fold,seed,subject,alpha,historical_utility,future_gain,BA_cert,BA_pop
OpenBMI,outcome,1,2,14,0.0,0.06960279774770918,0.010000000000000009,0.69,0.6799999999999999
OpenBMI,outcome,1,2,34,0.0,0.099598770769742,0.0,0.75,0.75
OpenBMI,outcome,1,2,40,0.0,-0.015613456914634505,0.0,0.72,0.72
OpenBMI,outcome,1,2,43,0.0,-0.04058716782704701,0.0,0.81,0.81
OpenBMI,outcome,1,2,44,0.0,-0.00017969935215932098,0.0,0.77,0.77
OpenBMI,outcome,1,2,48,0.0,-0.051729449705359726,0.0,0.6799999999999999,0.6799999999999999
OpenBMI,outcome,1,2,50,0.0,0.2580630538045766,1.1102230246251565e-16,0.5800000000000001,0.58
OpenBMI,outcome,2,0,9,0.0,0.03976736655107327,0.0,0.48,0.48
OpenBMI,outcome,2,0,10,0.0,0.04828023286637584,0.009999999999999898,0.62,0.6100000000000001
OpenBMI,outcome,2,0,16,0.0,0.08438806218435763,-0.010000000000000009,0.9299999999999999,0.94
OpenBMI,outcome,2,0,21,0.0,-0.39150422658867046,0.0,0.69,0.69
OpenBMI,outcome,2,0,22,0.0,0.02047649999104774,0.0,0.63,0.63
OpenBMI,outcome,2,0,31,0.0,0.0038487946073597415,0.0,0.83,0.83
OpenBMI,outcome,2,0,45,0.0,0.03342468428308615,0.0,0.6599999999999999,0.6599999999999999
OpenBMI,outcome,2,0,53,0.0,-0.002966983272080559,0.0,0.6699999999999999,0.6699999999999999
OpenBMI,outcome,2,1,9,0.0,0.03976736655107327,-0.020000000000000018,0.72,0.74
OpenBMI,outcome,2,1,10,0.0,0.04828023286637584,0.010000000000000009,0.71,0.7
OpenBMI,outcome,2,1,16,0.0,0.08438806218435763,-0.010000000000000009,0.89,0.9
OpenBMI,outcome,2,1,21,0.0,-0.39150422658867046,0.0,0.97,0.97
OpenBMI,outcome,2,1,22,0.0,0.02047649999104774,0.0,0.67,0.67
OpenBMI,outcome,2,1,31,0.0,0.0038487946073597415,0.0,0.81,0.81
OpenBMI,outcome,2,1,45,0.0,0.03342468428308615,0.0,0.77,0.77
OpenBMI,outcome,2,1,53,0.0,-0.002966983272080559,0.0,0.72,0.72
OpenBMI,outcome,2,2,9,0.0,0.03976736655107327,0.0,0.76,0.76
OpenBMI,outcome,2,2,10,0.0,0.04828023286637584,0.0,0.63,0.63
OpenBMI,outcome,2,2,16,0.0,0.08438806218435763,-0.010000000000000009,0.9199999999999999,0.9299999999999999
OpenBMI,outcome,2,2,21,0.0,-0.39150422658867046,0.0,0.98,0.98
OpenBMI,outcome,2,2,22,0.0,0.02047649999104774,0.0,0.62,0.62
OpenBMI,outcome,2,2,31,0.0,0.0038487946073597415,0.0,0.78,0.78
OpenBMI,outcome,2,2,45,0.0,0.03342468428308615,0.0,0.81,0.81
OpenBMI,outcome,2,2,53,0.0,-0.002966983272080559,0.0,0.73,0.73
OpenBMI,outcome,3,0,1,0.0,-0.07045970263216556,0.0,0.6599999999999999,0.6599999999999999
OpenBMI,outcome,3,0,5,0.0,0.013443614770183326,0.0,0.76,0.76
OpenBMI,outcome,3,0,6,0.0,-0.05350010347815606,0.0,0.92,0.92
OpenBMI,outcome,3,0,7,0.0,-0.03176934821648647,0.0,0.78,0.78
OpenBMI,outcome,3,0,20,0.0,-0.043904478031006944,0.0,0.79,0.79
OpenBMI,outcome,3,0,23,0.0,0.04433172104645311,0.0,0.6,0.6
OpenBMI,outcome,3,0,26,0.0,-0.40457483630357866,0.0,0.8,0.8
OpenBMI,outcome,3,0,35,0.0,0.03752550148052289,0.0,0.79,0.79
OpenBMI,outcome,3,1,1,0.0,-0.07045970263216556,0.0,0.71,0.71
OpenBMI,outcome,3,1,5,0.0,0.013443614770183326,0.0,0.8,0.8
OpenBMI,outcome,3,1,6,0.0,-0.05350010347815606,0.0,0.95,0.95
OpenBMI,outcome,3,1,7,0.0,-0.03176934821648647,0.0,0.74,0.74
OpenBMI,outcome,3,1,20,0.0,-0.043904478031006944,0.0,0.85,0.85
OpenBMI,outcome,3,1,23,0.0,0.04433172104645311,-0.010000000000000009,0.61,0.62
OpenBMI,outcome,3,1,26,0.0,-0.40457483630357866,0.0,0.89,0.89
OpenBMI,outcome,3,1,35,0.0,0.03752550148052289,-0.010000000000000009,0.84,0.85
OpenBMI,outcome,3,2,1,0.0,-0.07045970263216556,0.0,0.7,0.7
OpenBMI,outcome,3,2,5,0.0,0.013443614770183326,0.0,0.68,0.68
OpenBMI,outcome,3,2,6,0.0,-0.05350010347815606,0.0,0.94,0.94
OpenBMI,outcome,3,2,7,0.0,-0.03176934821648647,0.0,0.74,0.74
OpenBMI,outcome,3,2,20,0.0,-0.043904478031006944,0.0,0.86,0.86
OpenBMI,outcome,3,2,23,0.0,0.04433172104645311,0.010000000000000009,0.5900000000000001,0.5800000000000001
OpenBMI,outcome,3,2,26,0.0,-0.40457483630357866,0.0,0.8200000000000001,0.8200000000000001
OpenBMI,outcome,3,2,35,0.0,0.03752550148052289,-0.020000000000000018,0.84,0.86
OpenBMI,outcome,4,0,3,0.0,-0.018030444795522835,0.0,0.95,0.95
OpenBMI,outcome,4,0,8,0.0,0.02173666349234911,0.0,0.8300000000000001,0.8300000000000001
OpenBMI,outcome,4,0,11,0.0,0.030172697972084356,0.0,0.63,0.63
OpenBMI,outcome,4,0,27,0.0,-0.008549816032710794,0.0,0.81,0.81
OpenBMI,outcome,4,0,28,0.0,-0.29878615062434266,0.0,0.8799999999999999,0.8799999999999999
OpenBMI,outcome,4,0,30,0.0,0.024102895830207763,0.0,0.69,0.69
OpenBMI,outcome,4,0,38,0.0,0.05205413709593909,0.0,0.69,0.69
OpenBMI,outcome,4,0,52,0.0,-0.059070272156508945,0.0,0.71,0.71
OpenBMI,outcome,4,1,3,0.0,-0.018030444795522835,0.0,0.96,0.96
OpenBMI,outcome,4,1,8,0.0,0.02173666349234911,0.0,0.82,0.82
OpenBMI,outcome,4,1,11,0.0,0.030172697972084356,0.0,0.68,0.68
OpenBMI,outcome,4,1,27,0.0,-0.008549816032710794,0.0,0.81,0.81
OpenBMI,outcome,4,1,28,0.0,-0.29878615062434266,0.0,0.9199999999999999,0.9199999999999999
OpenBMI,outcome,4,1,30,0.0,0.024102895830207763,0.0,0.69,0.69
OpenBMI,outcome,4,1,38,0.0,0.05205413709593909,0.0,0.68,0.68
OpenBMI,outcome,4,1,52,0.0,-0.059070272156508945,0.0,0.74,0.74
OpenBMI,outcome,4,2,3,0.0,-0.018030444795522835,0.0,0.96,0.96
OpenBMI,outcome,4,2,8,0.0,0.02173666349234911,0.0,0.8,0.8
OpenBMI,outcome,4,2,11,0.0,0.030172697972084356,0.0,0.69,0.69
OpenBMI,outcome,4,2,27,0.0,-0.008549816032710794,0.0,0.84,0.84
OpenBMI,outcome,4,2,28,0.0,-0.29878615062434266,0.0,0.88,0.88
OpenBMI,outcome,4,2,30,0.0,0.024102895830207763,0.0,0.62,0.62
OpenBMI,outcome,4,2,38,0.0,0.05205413709593909,0.0,0.69,0.69
OpenBMI,outcome,4,2,52,0.0,-0.059070272156508945,0.0,0.7,0.7
WBCIC,outcome,0,0,1,0.0,0.0005787553131566883,0.0,0.94,0.94
WBCIC,outcome,0,0,3,0.0,0.009316970297310469,0.0,0.865,0.865
WBCIC,outcome,0,0,5,0.0,0.00192499868917647,0.0,0.9,0.9
WBCIC,outcome,0,0,16,0.0,0.11495357588438604,0.0,0.595,0.595
WBCIC,outcome,0,0,19,0.0,-0.005036355891226946,0.0,0.96,0.96
WBCIC,outcome,0,0,21,0.0,-0.0005913302804111675,0.0,0.865,0.865
WBCIC,outcome,0,0,28,0.0,-0.03929244334759459,0.0,0.63,0.63
WBCIC,outcome,0,0,33,0.0,0.030895104031238133,0.0050000000000000044,0.96,0.955
WBCIC,outcome,0,0,37,0.0,0.01736317227582454,0.0,0.74,0.74
WBCIC,outcome,0,1,1,0.0,0.0005787553131566883,0.0,0.9199999999999999,0.9199999999999999
WBCIC,outcome,0,1,3,0.0,0.009316970297310469,0.0,0.895,0.895
WBCIC,outcome,0,1,5,0.0,0.00192499868917647,0.0,0.875,0.875
WBCIC,outcome,0,1,16,0.0,0.11495357588438604,1.1102230246251565e-16,0.555,0.5549999999999999
WBCIC,outcome,0,1,19,0.0,-0.005036355891226946,0.0,0.97,0.97
WBCIC,outcome,0,1,21,0.0,-0.0005913302804111675,0.0,0.86,0.86
WBCIC,outcome,0,1,28,0.0,-0.03929244334759459,0.0,0.75,0.75
WBCIC,outcome,0,1,33,0.0,0.030895104031238133,1.1102230246251565e-16,0.9450000000000001,0.945
WBCIC,outcome,0,1,37,0.0,0.01736317227582454,0.0,0.665,0.665
WBCIC,outcome,0,2,1,0.0,0.0005787553131566883,0.0,0.905,0.905
WBCIC,outcome,0,2,3,0.0,0.009316970297310469,0.0,0.905,0.905
WBCIC,outcome,0,2,5,0.0,0.00192499868917647,0.0,0.905,0.905
WBCIC,outcome,0,2,16,0.0,0.11495357588438604,0.010000000000000009,0.5449999999999999,0.5349999999999999
WBCIC,outcome,0,2,19,0.0,-0.005036355891226946,0.0,0.97,0.97
WBCIC,outcome,0,2,21,0.0,-0.0005913302804111675,0.0,0.9,0.9
WBCIC,outcome,0,2,28,0.0,-0.03929244334759459,0.0,0.735,0.735
WBCIC,outcome,0,2,33,0.0,0.030895104031238133,0.015000000000000124,0.9450000000000001,0.9299999999999999
WBCIC,outcome,0,2,37,0.0,0.01736317227582454,0.0,0.7250000000000001,0.7250000000000001
WBCIC,outcome,1,0,2,0.0,0.06306915807505793,0.0,0.575,0.575
WBCIC,outcome,1,0,11,0.0,-0.05335840996607235,0.0,0.8400000000000001,0.8400000000000001
WBCIC,outcome,1,0,13,0.0,-0.056941790412190496,0.0,0.635,0.635
WBCIC,outcome,1,0,18,0.0,0.04364298937829875,-0.020000000000000018,0.6,0.62
WBCIC,outcome,1,0,27,0.0,0.08499551291840246,-0.010000000000000009,0.515,0.525
WBCIC,outcome,1,0,36,0.0,-0.008596307160807974,0.0,0.97,0.97
WBCIC,outcome,1,0,44,0.0,0.11270730337103205,0.0,0.815,0.815
WBCIC,outcome,1,0,45,0.0,0.015320854585071271,0.0,0.845,0.845
WBCIC,outcome,1,1,2,0.0,0.06306915807505793,0.0,0.575,0.575
WBCIC,outcome,1,1,11,0.0,-0.05335840996607235,0.0,0.825,0.825
WBCIC,outcome,1,1,13,0.0,-0.056941790412190496,0.0,0.625,0.625
WBCIC,outcome,1,1,18,0.0,0.04364298937829875,-0.015000000000000124,0.6799999999999999,0.6950000000000001
WBCIC,outcome,1,1,27,0.0,0.08499551291840246,0.020000000000000018,0.505,0.485
WBCIC,outcome,1,1,36,0.0,-0.008596307160807974,0.0,0.97,0.97
WBCIC,outcome,1,1,44,0.0,0.11270730337103205,-0.019999999999999907,0.8400000000000001,0.86
WBCIC,outcome,1,1,45,0.0,0.015320854585071271,0.0,0.86,0.86
WBCIC,outcome,1,2,2,0.0,0.06306915807505793,0.0,0.565,0.565
WBCIC,outcome,1,2,11,0.0,-0.05335840996607235,0.0,0.81,0.81
WBCIC,outcome,1,2,13,0.0,-0.056941790412190496,0.0,0.605,0.605
WBCIC,outcome,1,2,18,0.0,0.04364298937829875,-0.010000000000000009,0.7,0.71
WBCIC,outcome,1,2,27,0.0,0.08499551291840246,0.015000000000000013,0.51,0.495
WBCIC,outcome,1,2,36,0.0,-0.008596307160807974,0.0,0.975,0.975
WBCIC,outcome,1,2,44,0.0,0.11270730337103205,0.010000000000000009,0.865,0.855
WBCIC,outcome,1,2,45,0.0,0.015320854585071271,0.0,0.835,0.835
WBCIC,outcome,2,0,9,0.0,-0.009584147122044098,0.0,0.73,0.73
WBCIC,outcome,2,0,22,0.0,-0.006741770055420926,-0.015000000000000013,0.745,0.76
WBCIC,outcome,2,0,25,0.0,0.0028804642587841166,0.0,0.85,0.85
WBCIC,outcome,2,0,26,0.0,0.03453624296799009,0.0,0.905,0.905
WBCIC,outcome,2,0,29,0.0,0.24217448404925282,-0.13,0.76,0.89
WBCIC,outcome,2,0,34,0.0,0.18043065610366668,0.025000000000000022,0.41000000000000003,0.385
WBCIC,outcome,2,0,35,0.0,-0.01433684404743842,0.0,0.975,0.975
WBCIC,outcome,2,0,49,0.0,-0.03383042723222225,0.004999999999999893,0.865,0.8600000000000001
WBCIC,outcome,2,1,9,0.0,-0.009584147122044098,0.0,0.79,0.79
WBCIC,outcome,2,1,22,0.0,-0.006741770055420926,-0.050000000000000044,0.74,0.79
WBCIC,outcome,2,1,25,0.0,0.0028804642587841166,0.0,0.835,0.835
WBCIC,outcome,2,1,26,0.0,0.03453624296799009,0.0,0.895,0.895
WBCIC,outcome,2,1,29,0.0,0.24217448404925282,0.015000000000000124,0.9450000000000001,0.9299999999999999
WBCIC,outcome,2,1,34,0.0,0.18043065610366668,0.0050000000000000044,0.48,0.475
WBCIC,outcome,2,1,35,0.0,-0.01433684404743842,0.0,0.98,0.98
WBCIC,outcome,2,1,49,0.0,-0.03383042723222225,0.06999999999999995,0.88,0.81
WBCIC,outcome,2,2,9,0.0,-0.009584147122044098,0.0,0.755,0.755
WBCIC,outcome,2,2,22,0.0,-0.006741770055420926,-0.009999999999999898,0.755,0.7649999999999999
WBCIC,outcome,2,2,25,0.0,0.0028804642587841166,0.0,0.865,0.865
WBCIC,outcome,2,2,26,0.0,0.03453624296799009,0.0,0.905,0.905
WBCIC,outcome,2,2,29,0.0,0.24217448404925282,0.0,0.97,0.97
WBCIC,outcome,2,2,34,0.0,0.18043065610366668,0.020000000000000018,0.525,0.505
WBCIC,outcome,2,2,35,0.0,-0.01433684404743842,0.0,0.98,0.98
WBCIC,outcome,2,2,49,0.0,-0.03383042723222225,0.030000000000000027,0.875,0.845
WBCIC,outcome,3,0,6,0.0,-0.019443869722920157,0.0,0.92,0.92
WBCIC,outcome,3,0,23,0.0,0.007756361995409196,0.0,0.98,0.98
WBCIC,outcome,3,0,24,0.0,-0.01213404191208689,0.0,0.9247979797979797,0.9247979797979797
WBCIC,outcome,3,0,30,0.0,0.03694194542258095,0.004999999999999893,0.9299999999999999,0.925
WBCIC,outcome,3,0,31,0.0,0.01243198656729233,0.0,0.59,0.59
WBCIC,outcome,3,0,38,0.0,0.3290324933740305,-0.18499999999999994,0.65,0.835
WBCIC,outcome,3,0,41,0.0,0.04322164515916098,0.0,0.785,0.785
WBCIC,outcome,3,0,42,0.0,-0.004232053373463371,0.0,0.7949999999999999,0.7949999999999999
WBCIC,outcome,3,1,6,0.0,-0.019443869722920157,0.0,0.905,0.905
WBCIC,outcome,3,1,23,0.0,0.007756361995409196,0.0,0.98,0.98
WBCIC,outcome,3,1,24,0.0,-0.01213404191208689,0.0,0.9146969696969698,0.9146969696969698
WBCIC,outcome,3,1,30,0.0,0.03694194542258095,0.0050000000000001155,0.925,0.9199999999999999
WBCIC,outcome,3,1,31,0.0,0.01243198656729233,0.0,0.645,0.645
WBCIC,outcome,3,1,38,0.0,0.3290324933740305,-0.43499999999999994,0.36,0.7949999999999999
WBCIC,outcome,3,1,41,0.0,0.04322164515916098,0.0,0.7849999999999999,0.7849999999999999
WBCIC,outcome,3,1,42,0.0,-0.004232053373463371,0.0,0.7849999999999999,0.7849999999999999
WBCIC,outcome,3,2,6,0.0,-0.019443869722920157,0.0,0.9099999999999999,0.9099999999999999
WBCIC,outcome,3,2,23,0.0,0.007756361995409196,0.0,0.94,0.94
WBCIC,outcome,3,2,24,0.0,-0.01213404191208689,0.0,0.9145454545454546,0.9145454545454546
WBCIC,outcome,3,2,30,0.0,0.03694194542258095,-0.014999999999999902,0.925,0.94
WBCIC,outcome,3,2,31,0.0,0.01243198656729233,0.0,0.62,0.62
WBCIC,outcome,3,2,38,0.0,0.3290324933740305,-0.2849999999999999,0.5800000000000001,0.865
WBCIC,outcome,3,2,41,0.0,0.04322164515916098,0.0,0.7050000000000001,0.7050000000000001
WBCIC,outcome,3,2,42,0.0,-0.004232053373463371,0.0,0.815,0.815
WBCIC,outcome,4,0,7,0.0,-0.011602396584438894,0.0,0.7649999999999999,0.7649999999999999
WBCIC,outcome,4,0,12,0.0,0.11978753136622602,0.040000000000000036,0.53,0.49
WBCIC,outcome,4,0,14,0.0,0.03424105176074693,0.0050000000000001155,0.55,0.5449999999999999
WBCIC,outcome,4,0,17,0.0,-0.0070084085489165865,0.0,0.8300000000000001,0.8300000000000001
WBCIC,outcome,4,0,32,0.0,0.03346549191770898,-0.025606060606060632,0.5778787878787879,0.6034848484848485
WBCIC,outcome,4,0,47,0.0,-0.011210962426756864,0.0,0.85,0.85
WBCIC,outcome,4,0,48,0.0,-0.006974043714486927,0.0,0.86,0.86
WBCIC,outcome,4,0,50,0.0,-0.00802626834384719,0.0,0.96,0.96
WBCIC,outcome,4,1,7,0.0,-0.011602396584438894,0.0,0.8,0.8
WBCIC,outcome,4,1,12,0.0,0.11978753136622602,0.04999999999999993,0.5449999999999999,0.495
WBCIC,outcome,4,1,14,0.0,0.03424105176074693,0.0,0.5599999999999999,0.5599999999999999
WBCIC,outcome,4,1,17,0.0,-0.0070084085489165865,0.0,0.845,0.845
WBCIC,outcome,4,1,32,0.0,0.03346549191770898,-0.030404040404040322,0.5685353535353536,0.5989393939393939
WBCIC,outcome,4,1,47,0.0,-0.011210962426756864,0.0,0.8500000000000001,0.8500000000000001
WBCIC,outcome,4,1,48,0.0,-0.006974043714486927,0.0,0.855,0.855
WBCIC,outcome,4,1,50,0.0,-0.00802626834384719,0.0,0.9450000000000001,0.9450000000000001
WBCIC,outcome,4,2,7,0.0,-0.011602396584438894,0.0,0.79,0.79
WBCIC,outcome,4,2,12,0.0,0.11978753136622602,-0.02499999999999991,0.52,0.5449999999999999
WBCIC,outcome,4,2,14,0.0,0.03424105176074693,0.010000000000000009,0.53,0.52
WBCIC,outcome,4,2,17,0.0,-0.0070084085489165865,0.0,0.88,0.88
WBCIC,outcome,4,2,32,0.0,0.03346549191770898,0.044848484848484804,0.6428282828282827,0.597979797979798
WBCIC,outcome,4,2,47,0.0,-0.011210962426756864,0.0,0.845,0.845
WBCIC,outcome,4,2,48,0.0,-0.006974043714486927,0.0,0.865,0.865
WBCIC,outcome,4,2,50,0.0,-0.00802626834384719,0.0,0.9550000000000001,0.9550000000000001
