dataset,fold,seed,subject,correct_adapter,full_pda,ordinary_adapter,population,shuffled_adapter,wrong_adapter,full_pda_minus_population_future_BA,ordinary_adapter_minus_population_future_BA,correct_minus_wrong_future_BA,correct_minus_shuffled_future_BA,persistent_norm,transient_norm,persistent_transient_ratio,historical_crossfit_gain
OpenBMI,0,1,47,0.85,0.85,0.8,0.8,0.85,0.8400000000000001,0.04999999999999993,0.0,0.009999999999999898,0.0,0.0624235322868508,0.1140657559929894,0.5472591817187226,-0.12
OpenBMI,0,1,49,0.86,0.86,0.8400000000000001,0.8500000000000001,0.72,0.76,0.009999999999999898,-0.010000000000000009,0.09999999999999998,0.14,0.4757133252597991,0.0853697390846603,5.572388182984125,-0.35
OpenBMI,0,2,15,0.49,0.49,0.72,0.76,0.27,0.27,-0.27,-0.040000000000000036,0.21999999999999997,0.21999999999999997,1.2083984817296862,0.2509441119853907,4.815408786319864,-0.5700000000000001
OpenBMI,0,2,19,0.31,0.31,0.74,0.76,0.5700000000000001,0.5700000000000001,-0.45,-0.020000000000000018,-0.26000000000000006,-0.26000000000000006,1.0116975801932857,0.1455272669666986,6.951945166570023,-0.31
OpenBMI,0,2,32,0.6699999999999999,0.6699999999999999,0.73,0.74,0.62,0.62,-0.07000000000000006,-0.010000000000000009,0.04999999999999993,0.04999999999999993,0.438027406648643,0.0575883268863584,7.606183932258042,-0.47
OpenBMI,0,2,33,0.74,0.74,0.89,0.9,0.91,0.71,-0.16000000000000003,-0.010000000000000009,0.030000000000000027,-0.17000000000000004,0.4926479627844658,0.0242884391363711,20.283228577119303,-0.5
OpenBMI,0,2,41,0.74,0.74,0.6,0.71,0.6900000000000001,0.6900000000000001,0.030000000000000027,-0.10999999999999999,0.04999999999999993,0.04999999999999993,0.2531142983509135,0.0105899316760161,23.90140995188498,-0.6100000000000001
OpenBMI,0,2,46,0.74,0.74,0.6699999999999999,0.6599999999999999,0.71,0.5800000000000001,0.08000000000000007,0.010000000000000009,0.15999999999999992,0.030000000000000027,0.4244577377969494,0.0149167880143438,28.455035855493527,-0.43
OpenBMI,0,2,47,0.66,0.66,0.92,0.92,0.51,0.51,-0.26,0.0,0.15000000000000002,0.15000000000000002,0.4766200063021515,0.0002907754315312,1639.1343786929654,-0.5700000000000001
OpenBMI,0,2,49,0.67,0.67,0.8300000000000001,0.8,0.44,0.6,-0.13,0.030000000000000027,0.07000000000000006,0.23000000000000004,0.5403208329426378,0.0808032941798468,6.686866401016098,-0.53
OpenBMI,1,0,2,0.7,0.7,0.76,0.73,0.73,0.66,-0.030000000000000027,0.030000000000000027,0.039999999999999925,-0.030000000000000027,0.3172024421919695,0.0574180754974525,5.5244352835553086,-0.27
OpenBMI,1,0,14,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.65,0.65,0.0,0.0,0.029999999999999916,0.029999999999999916,0.2086398502849343,0.0047198344241602,44.20490880292974,-0.48
OpenBMI,1,0,34,0.72,0.72,0.58,0.73,0.72,0.76,-0.010000000000000009,-0.15000000000000002,-0.040000000000000036,0.0,0.3211837090436375,0.0128741554987495,24.947943892306817,-0.43
OpenBMI,1,0,40,0.69,0.69,0.71,0.71,0.6799999999999999,0.6799999999999999,-0.020000000000000018,0.0,0.010000000000000009,0.010000000000000009,0.1646795265793005,0.0139840686473246,11.776224125644982,-0.5
OpenBMI,1,0,43,0.78,0.78,0.78,0.81,0.74,0.78,-0.030000000000000027,-0.030000000000000027,0.0,0.040000000000000036,0.2010957081083819,0.0416735219225009,4.825503073206868,-0.37
OpenBMI,1,0,44,0.8,0.8,0.6900000000000001,0.6599999999999999,0.6799999999999999,0.6799999999999999,0.14000000000000012,0.030000000000000138,0.1200000000000001,0.1200000000000001,0.4695432422367557,0.0110142127464612,42.63066757881685,0.0
OpenBMI,1,0,48,0.62,0.62,0.65,0.67,0.6100000000000001,0.63,-0.050000000000000044,-0.020000000000000018,-0.010000000000000009,0.009999999999999898,0.4121454054699182,0.0123673779938267,33.325204879776685,-0.3999999999999999
OpenBMI,1,0,50,0.56,0.56,0.55,0.55,0.5700000000000001,0.56,0.010000000000000009,0.0,0.0,-0.010000000000000009,0.174103628562219,0.095414928406651,1.824700091166058,-0.3299999999999999
OpenBMI,1,1,2,0.71,0.71,0.69,0.6699999999999999,0.67,0.6599999999999999,0.040000000000000036,0.020000000000000018,0.050000000000000044,0.039999999999999925,0.0928617158490959,0.0028294295639148,32.81994258963264,-0.24
OpenBMI,1,1,14,0.8300000000000001,0.8300000000000001,0.79,0.76,0.77,0.79,0.07000000000000006,0.030000000000000027,0.040000000000000036,0.06000000000000005,0.0666618501344212,0.0038737147498938,17.208765858727173,-0.54
OpenBMI,1,1,34,0.63,0.63,0.6,0.63,0.62,0.62,0.0,-0.030000000000000027,0.010000000000000009,0.010000000000000009,0.1134527719572321,0.0235036383891775,4.8270301848020525,-0.43
OpenBMI,1,1,40,0.81,0.81,0.79,0.8,0.81,0.8,0.010000000000000009,-0.010000000000000009,0.010000000000000009,0.0,0.1184212059581407,0.0289686408133568,4.0879103276236215,-0.39
OpenBMI,1,1,43,0.84,0.84,0.83,0.84,0.83,0.84,0.0,-0.010000000000000009,0.0,0.010000000000000009,0.1926996236974182,0.1075340065008628,1.791987762456075,-0.41
OpenBMI,1,1,44,0.8999999999999999,0.8999999999999999,0.91,0.8999999999999999,0.88,0.86,0.0,0.01000000000000012,0.039999999999999925,0.019999999999999907,0.0820272182691792,0.0842720838032781,0.9733616942552508,-0.2299999999999999
OpenBMI,1,1,48,0.63,0.63,0.62,0.61,0.6399999999999999,0.6499999999999999,0.020000000000000018,0.010000000000000009,-0.019999999999999907,-0.009999999999999898,0.5037574272007769,0.142646246392798,3.5315154793039865,-0.1199999999999999
OpenBMI,1,1,50,0.6,0.6,0.66,0.6799999999999999,0.63,0.65,-0.07999999999999996,-0.019999999999999907,-0.050000000000000044,-0.030000000000000027,0.0492048408095972,0.0089525258686024,5.496196440176094,-0.19
OpenBMI,1,2,2,0.7,0.7,0.6699999999999999,0.71,0.73,0.72,-0.010000000000000009,-0.040000000000000036,-0.020000000000000018,-0.030000000000000027,0.2117925571273184,0.110120434395837,1.9232811629312367,-0.48
OpenBMI,1,2,14,0.6599999999999999,0.6599999999999999,0.7,0.6799999999999999,0.6799999999999999,0.6799999999999999,-0.020000000000000018,0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0.1368743929739942,0.0222441026615034,6.153289033810965,-0.5900000000000001
OpenBMI,1,2,34,0.75,0.75,0.7,0.75,0.75,0.72,0.0,-0.050000000000000044,0.030000000000000027,0.0,0.0578262097604163,0.1034988125882538,0.558713750567019,-0.41
OpenBMI,1,2,40,0.7,0.7,0.72,0.72,0.72,0.72,-0.020000000000000018,0.0,-0.020000000000000018,-0.020000000000000018,0.130366325139388,0.0206924052392027,6.300201626266391,-0.3899999999999999
OpenBMI,1,2,43,0.81,0.81,0.81,0.81,0.8200000000000001,0.8,0.0,0.0,0.010000000000000009,-0.010000000000000009,0.0471005289829689,0.038827715051217,1.2130646606641502,-0.32
OpenBMI,1,2,44,0.71,0.71,0.74,0.77,0.6599999999999999,0.7,-0.06000000000000005,-0.030000000000000027,0.010000000000000009,0.050000000000000044,0.2953844866469208,0.0757091255094694,3.9015704468806094,-0.44
OpenBMI,1,2,48,0.66,0.66,0.66,0.6799999999999999,0.69,0.69,-0.019999999999999907,-0.019999999999999907,-0.029999999999999916,-0.029999999999999916,0.5301494940029758,0.2171398366113707,2.441511895174808,-0.0499999999999999
OpenBMI,1,2,50,0.6,0.6,0.5800000000000001,0.58,0.58,0.58,0.020000000000000018,1.1102230246251565e-16,0.020000000000000018,0.020000000000000018,0.0607108198786112,0.0195002338488163,3.113338042471542,-0.32
OpenBMI,2,0,9,0.43,0.43,0.4499999999999999,0.48,0.44,0.48,-0.04999999999999999,-0.030000000000000082,-0.04999999999999999,-0.010000000000000009,0.3845068486724771,0.0191030150306193,20.128071304774025,-0.5800000000000001
OpenBMI,2,0,10,0.6,0.6,0.59,0.6100000000000001,0.51,0.63,-0.01000000000000012,-0.02000000000000013,-0.030000000000000027,0.08999999999999997,0.5003466338148872,0.0343224523792559,14.577822944763996,-0.55
OpenBMI,2,0,16,0.79,0.79,0.66,0.94,0.88,0.94,-0.1499999999999999,-0.2799999999999999,-0.1499999999999999,-0.08999999999999997,0.4481580409146079,0.0609820410846568,7.349016742362944,-0.58
OpenBMI,2,0,21,0.6,0.6,0.66,0.69,0.6699999999999999,0.63,-0.08999999999999997,-0.029999999999999916,-0.030000000000000027,-0.06999999999999995,0.3096381247740897,0.0120153446376881,25.770224168423603,-0.42
OpenBMI,2,0,22,0.63,0.63,0.65,0.63,0.5800000000000001,0.5800000000000001,0.0,0.020000000000000018,0.04999999999999993,0.04999999999999993,0.2600498164924375,0.0142121901266096,18.297659556745103,-0.6
OpenBMI,2,0,31,0.71,0.71,0.79,0.83,0.66,0.65,-0.12,-0.039999999999999925,0.05999999999999994,0.04999999999999993,0.4027399686023573,0.0044300042692441,90.91186918225448,-0.66
OpenBMI,2,0,45,0.61,0.61,0.5700000000000001,0.6599999999999999,0.56,0.64,-0.04999999999999993,-0.08999999999999986,-0.030000000000000027,0.04999999999999993,0.4460493156861219,0.0108738426307656,41.0203946141454,-0.59
OpenBMI,2,0,53,0.6,0.6,0.71,0.6699999999999999,0.64,0.64,-0.06999999999999995,0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.4258624703317359,0.0343961331023032,12.38111473359832,-0.62
OpenBMI,2,1,9,0.66,0.66,0.56,0.74,0.65,0.65,-0.07999999999999996,-0.17999999999999994,0.010000000000000009,0.010000000000000009,0.748393937810603,0.2439002487557248,3.0684426999504515,-0.42
OpenBMI,2,1,10,0.62,0.62,0.58,0.7,0.6799999999999999,0.5700000000000001,-0.07999999999999996,-0.12,0.04999999999999993,-0.05999999999999994,0.0981567290890026,0.1145998159174865,0.8565173364648061,-0.18
OpenBMI,2,1,16,0.91,0.91,0.88,0.9,0.92,0.8999999999999999,0.010000000000000009,-0.020000000000000018,0.01000000000000012,-0.010000000000000009,0.3154264421963622,0.1474426208433223,2.1393165720483585,-0.37
OpenBMI,2,1,21,0.96,0.96,0.94,0.97,0.92,0.96,-0.010000000000000009,-0.030000000000000027,0.0,0.039999999999999925,0.363898830265533,0.1881162734628021,1.9344356741017943,-0.25
OpenBMI,2,1,22,0.7,0.7,0.71,0.67,0.7,0.69,0.029999999999999916,0.039999999999999925,0.010000000000000009,0.0,0.4598720716197949,0.1281309931287235,3.5890775556371146,-0.47
OpenBMI,2,1,31,0.74,0.74,0.79,0.81,0.74,0.7,-0.07000000000000006,-0.020000000000000018,0.040000000000000036,0.0,0.5703276349711512,0.1930823925127492,2.953804474602688,-0.26
OpenBMI,2,1,45,0.73,0.73,0.6499999999999999,0.77,0.73,0.75,-0.040000000000000036,-0.1200000000000001,-0.020000000000000018,0.0,0.4631523562382938,0.0344168850652419,13.457125924101632,-0.5
