dataset,role,fold,seed,subject,alpha_oracle,oracle_minus_population_BA,oracle_label
OpenBMI,outcome,1,1,2,1.0,0.01000000000000012,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,14,0.75,0.050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,34,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,40,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,43,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,44,1.0,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,48,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,1,50,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,2,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,14,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,34,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,40,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,43,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,44,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,48,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,1,2,50,0.5,1.1102230246251565e-16,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,9,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,10,0.5,0.029999999999999916,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,16,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,21,0.25,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,22,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,31,0.5,1.1102230246251565e-16,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,45,0.5,0.01000000000000012,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,0,53,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,9,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,10,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,16,0.5,0.009999999999999898,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,21,0.25,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,22,0.5,0.029999999999999916,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,31,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,45,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,1,53,0.75,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,9,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,10,0.75,0.039999999999999925,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,16,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,21,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,22,1.0,0.10999999999999999,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,31,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,45,1.0,0.039999999999999925,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,2,2,53,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,1,1.0,0.01000000000000012,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,5,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,6,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,7,0.75,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,20,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,23,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,0,35,1.0,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,1,1.0,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,5,1.0,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,6,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,7,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,20,0.5,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,23,1.0,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,1,35,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,1,1.0,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,5,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,6,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,7,1.0,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,20,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,23,0.75,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,3,2,35,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,3,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,8,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,11,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,27,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,28,1.0,0.02000000000000013,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,30,0.75,0.06000000000000005,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,38,0.25,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,0,52,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,3,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,8,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,11,0.75,0.039999999999999925,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,27,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,28,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,30,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,38,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,1,52,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,3,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,8,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,11,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,27,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,28,1.0,0.05999999999999994,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,30,1.0,0.10999999999999999,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,38,0.75,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
OpenBMI,outcome,4,2,52,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,1,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,3,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,5,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,16,0.25,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,19,0.75,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,21,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,28,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,33,0.25,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,0,37,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,1,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,3,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,5,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,16,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,19,1.0,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,21,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,28,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,33,0.25,1.1102230246251565e-16,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,1,37,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,1,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,3,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,5,0.5,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,16,0.25,0.025000000000000133,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,19,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,21,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,28,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,33,0.25,0.015000000000000124,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,0,2,37,0.75,0.004999999999999893,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,2,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,11,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,13,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,18,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,27,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,36,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,44,0.5,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,0,45,0.75,0.025000000000000022,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,2,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,11,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,13,1.0,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,18,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,27,1.0,0.040000000000000036,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,36,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,44,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,1,45,1.0,0.015000000000000013,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,2,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,11,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,13,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,18,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,27,1.0,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,36,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,44,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,1,2,45,0.5,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,9,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,22,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,25,0.5,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,29,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,34,1.0,0.09000000000000002,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,35,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,0,49,0.25,0.004999999999999893,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,9,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,22,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,25,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,29,0.75,0.015000000000000124,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,34,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,35,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,1,49,0.25,0.06999999999999995,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,9,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,22,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,25,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,26,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,29,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,34,1.0,0.03500000000000003,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,35,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,2,2,49,0.25,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,6,1.0,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,23,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,24,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,30,0.25,0.004999999999999893,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,31,0.75,0.030000000000000027,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,38,0.5,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,41,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,0,42,1.0,1.1102230246251565e-16,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,6,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,23,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,24,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,30,0.5,0.01000000000000012,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,31,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,38,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,41,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,1,42,1.0,0.03500000000000003,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,6,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,23,0.75,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,24,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,30,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,31,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,38,0.25,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,41,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,3,2,42,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,7,1.0,0.025000000000000133,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,12,0.75,0.040000000000000036,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,14,0.25,0.0050000000000001155,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,17,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,32,0.75,0.004040404040404066,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,47,0.75,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,48,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,0,50,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,7,0.75,0.020000000000000018,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,12,1.0,0.06999999999999995,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,14,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,17,1.0,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,32,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,47,0.5,0.009999999999999898,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,48,0.75,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,1,50,0.75,0.004999999999999893,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,7,0.75,0.015000000000000013,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,12,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,14,1.0,0.04499999999999993,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,17,0.5,0.0050000000000000044,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,32,0.5,0.044848484848484804,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,47,0.5,0.010000000000000009,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,48,0.0,0.0,DIAGNOSTIC_UPPER_BOUND_ONLY
WBCIC,outcome,4,2,50,0.5,0.004999999999999893,DIAGNOSTIC_UPPER_BOUND_ONLY
