projector_id,seed,rank,matrix_sha256,idempotence_error,symmetry_error,orthonormality_error
37,7418468070956572353,16,0f2d321ed96eda2bce953584f15423c73e6500a1e258554856c081d916af8eda,8.940696716308594e-08,0.0,6.661338147750939e-16
38,3872533252727774765,16,16863d1756b73859bec0f280cd169fe83b5a6e14d652b6ee27c6bf8194cb05ca,1.1920928955078125e-07,0.0,6.661338147750939e-16
39,285699574353367124,16,b795ad37aecedc50905d55f27af5994b04be12ec38d975e9c46bc675f60ab119,8.940696716308594e-08,0.0,6.661338147750939e-16
40,1442290869763329730,16,94e810a5b33f6b8826792bfb7a9a1f2474e4043ced40c7bac97b8d48a53eaf95,8.940696716308594e-08,0.0,8.881784197001252e-16
41,6367795220101488251,16,2902d221b663861b2d8e04a8fdb47ffc8c597dff1248afe9bfe90cf14a6bb76d,1.1920928955078125e-07,0.0,5.551115123125783e-16
42,5675737575770932310,16,4d20e9ededacca5bc62fcd7c567466d7ba90e4dde8f255e7b9ccafaadafd1fcc,8.940696716308594e-08,0.0,7.771561172376096e-16
43,4031333220777377796,16,c8bc069f25374c932449f3863074c5eb5bea998f293e87d54bd62efc119b8f7d,1.1920928955078125e-07,0.0,5.551115123125783e-16
44,4888519943096042201,16,411f4d8439e79d963473dd8f1f9e5e4d26a0cc027cfad729b0d1f89e35099bf0,1.1920928955078125e-07,0.0,4.440892098500626e-16
45,1139364955855128380,16,b717c37115a7adf15965bdd7e76f96d2e429b0adcfb219dfd78f28b4c65dcdc9,5.960464477539063e-08,0.0,6.661338147750939e-16
46,1939816230800466303,16,ed31b8a1aaea27bcfaefc9e1580800b29d1559f0c5d6553e96364009e55a236c,8.940696716308594e-08,0.0,6.661338147750939e-16
47,716870118452666384,16,543a8d271ad37f579874d180716850f880cf479d504e93e30ec3fa9634b186fc,1.1920928955078125e-07,0.0,4.440892098500626e-16
48,7795708362643330179,16,6745299d8cec6f7a828f0352dc8d5f9ab170469468270d3df0c36f14a04b5cb1,1.1920928955078125e-07,0.0,4.440892098500626e-16
49,972068745699906679,16,f21d7b4c0db8397fdeb2cb3e4a94c879ddf863d25c05e8895dba66a325e8f683,1.1920928955078125e-07,0.0,7.771561172376096e-16
50,2550467078331186849,16,aed3c99a7b2f6b274f4076cc00f929bb323b9c8ead74e2562a19c4d57ef0cb1a,8.940696716308594e-08,0.0,8.881784197001252e-16
51,290076105471904726,16,4d810aa71f065ec594b76399192480c5ca234cc3234d95617a3fd4b9c369a8c6,1.1920928955078125e-07,0.0,7.771561172376096e-16
52,234353006867121045,16,407f1f36658a52af28662300fc8c49bc334dd5075b4b980310005c5e29b7ab41,1.1920928955078125e-07,0.0,7.771561172376096e-16
53,4000450602240288010,16,e074a6e884842f3b2a93b95948478802e24255fa7ce2bbdb520a1b9c15e24467,8.940696716308594e-08,0.0,4.440892098500626e-16
54,7361669152428103582,16,cfe0310ec60b627f58538d86ac86425dde301750ddb44635b333776dfef2885a,8.940696716308594e-08,0.0,6.661338147750939e-16
55,5259304903044251819,16,fd3f3b9f24a1750e8a3bf81675557141442aa066f5af8593915855ac41e7c01e,1.1920928955078125e-07,0.0,5.551115123125783e-16
56,8790542485523893709,16,a5e4f3a2b8d0ca0c1ba28056dba431f1833bc1ab1bff89e55571a43bc13cf665,5.960464477539063e-08,0.0,6.661338147750939e-16
57,3653255823251603368,16,aaa2439494149997f91c0e4040a3989865c0e9e16834a5a184e842b0d3931357,5.960464477539063e-08,0.0,5.551115123125783e-16
58,5285000952827709832,16,7f24265c7af09c228d478ea24c1b53fffee391403dff347179f06337c62f6836,1.1920928955078125e-07,0.0,4.440892098500626e-16
59,5293743573203838957,16,a24ef3f10dc8cbb803d4b134d17335cf34243ade3ec000f4d80a31e763d9ff71,8.940696716308594e-08,0.0,5.551115123125783e-16
60,4682872684440804918,16,2bcfea6de64d4ff134d5918de0f1de60f8d193eb9aa6239fa1e5d4a187630f1f,1.1920928955078125e-07,0.0,5.551115123125783e-16
61,3439398728795573251,16,041cc3af14b012f82187687ae861a354bec090687785bd3337cd844d54a95e78,5.960464477539063e-08,0.0,6.661338147750939e-16
62,4464831984157718745,16,fdc07a29e7b491ad03245f760dcc127b9855ba89c1de98ef783b72df317b86dc,1.1920928955078125e-07,0.0,6.661338147750939e-16
63,8470764404628633644,16,67607a570c6ee703861ebecb68fc395b4938109721c10ab51486ab4faac506fd,1.1920928955078125e-07,0.0,6.661338147750939e-16
64,8722806079765681389,16,03f9ba5a6a2a85e42786e808c6f228c2103e9daeb661b60f76b5c803d1f15e7f,8.940696716308594e-08,0.0,6.661338147750939e-16
65,7545509193505968859,16,c56e73ad54f775f019eb912cf75bfd13f4ceb758fe0c2778c6cb93adf8b08bb3,1.1920928955078125e-07,0.0,4.440892098500626e-16
66,2165235279102075026,16,3b516784e742cf8604780e1f139754dc67b62f0ac5c8c5b7fbd08183453ad743,1.1920928955078125e-07,0.0,5.551115123125783e-16
67,3263902110880549181,16,216eb23b0d8b8352494b2e4c0baa72cf61c3d728715d29cdd6773447e448ca73,5.960464477539063e-08,0.0,7.771561172376096e-16
68,1026534394579617744,16,6a0bee3dc259f3b027565223ee92cfb1f2ba6021827c995ace08fb01b63bfd64,1.1920928955078125e-07,0.0,4.440892098500626e-16
69,7072858143558038277,16,86771121d810c4763f7a3045a54cbf2ddb68d8c62ea22881d5632ab60f38641c,8.940696716308594e-08,0.0,6.661338147750939e-16
70,1887698953166955357,16,df7f905d752cc32f24781dd50808e906adc0be53cb784be3e904ff1cb0be0744,1.1920928955078125e-07,0.0,3.3306690738754696e-16
71,581068937974249782,16,5e8edf263627ecf6e650ee385bc0666126bf37fbd2839bb8eaad08fac3cb84d8,8.940696716308594e-08,0.0,4.440892098500626e-16
72,3887149636801807862,16,52903a78027b6c00bf04fc91e36aad863175f81c11d597642014376b844b26dd,1.1920928955078125e-07,0.0,9.992007221626409e-16
73,6076278011797114878,16,72ff6528038cba061017708d97ea527375a9961c1626daa7812d1ae5efc08cd2,8.940696716308594e-08,0.0,7.771561172376096e-16
74,6321285321011006540,16,7d413d78990bcd560674939afaf78c498f893dbc23829abee8a4447db2174a5d,8.940696716308594e-08,0.0,5.551115123125783e-16
75,2164230353997473716,16,c47169ecd6849420fbb67cb40c31a905471660bc350eb992988ae187f0a84a07,1.1920928955078125e-07,0.0,6.661338147750939e-16
76,5379554969181917915,16,d76ab1d2f2c4f598a854fc35c6f35d663d372ca76f2f252b8b52bb4b1d3156fd,5.960464477539063e-08,0.0,8.881784197001252e-16
77,981885151165367723,16,dd341c01915ef8c60825a4163e3ea98b5154c13d6ffc8117c5dafd14b356cb1c,8.940696716308594e-08,0.0,5.551115123125783e-16
78,5676793786850226865,16,576caabbc2329cbf2e0e239d1846b553ff04be15f6de4417608813aeae428d1d,1.1920928955078125e-07,0.0,5.551115123125783e-16
79,5059008476971082778,16,a1d1462fe121dfcf29b1db50d1b6af927ad500ca3e4c2e02fd34a642ff2f0d76,8.940696716308594e-08,0.0,7.771561172376096e-16
80,3804444795069447180,16,a888492ee343fe2f1f43debd951118f9de26fbf1d49a146a84c6c992a44df853,5.960464477539063e-08,0.0,7.771561172376096e-16
81,7149083987635128560,16,e5ff845f4974f9e987ec909885e3eb4b1ac2006371b924e9407b3d0faef4cd7d,5.960464477539063e-08,0.0,6.661338147750939e-16
82,2669411982886281689,16,2ef0835194756674c99ecae3a0cb3709c855792033efc5624926fae100d0af12,5.960464477539063e-08,0.0,5.551115123125783e-16
83,8642456927541339904,16,19034d6ae2899b4840e3c891a8c711b10f9950792e0d502b717b4ed3a350dcd1,1.1920928955078125e-07,0.0,5.551115123125783e-16
84,5154618900692191062,16,8d8475e8b77b216fe737212fbc8d449aa40bd457ba93a1b557de3ed1631f7f27,1.1920928955078125e-07,0.0,6.661338147750939e-16
85,9087177736493524449,16,628c3065eecdf0dd076e242f506e401f95257d13251b6929895ef3bee944e147,1.1920928955078125e-07,0.0,6.661338147750939e-16
86,41493014891135060,16,eb4da635df73ff8e1b5e10c10c1a3481d800ad46e4222206e98dd3d3f0186a53,1.1920928955078125e-07,0.0,8.881784197001252e-16
87,2608103246181760252,16,52d472088dee4865b0436bdc3b6f1d953c055e0ae4f8d58a1b0116ff546fd328,8.940696716308594e-08,0.0,9.992007221626409e-16
88,485039570532297465,16,f8545be819d05d328dec75d683e74ddf2127bb1814e26e068d37992810707385,8.940696716308594e-08,0.0,6.661338147750939e-16
89,4558283895104818592,16,9607287d29746c0cd1ea17741fba5fb8663ba692cd0fb8b060702ff6c09b0ae4,5.960464477539063e-08,0.0,6.661338147750939e-16
90,6604277306088849430,16,a46a75ca953c11c79fe45ab847a781038dc11d7a1d6c392010469470c6cccb34,1.1920928955078125e-07,0.0,3.3306690738754696e-16
91,7082027594367900115,16,534e8f75a6d9b9e2f484b655e85f6689278f844fee1dfae915e03034c07e4969,1.1920928955078125e-07,0.0,4.440892098500626e-16
92,7012954742757265947,16,5d6058a98b4b053b17d5813ebdabb50fa56181078f17d04199fadd8bed5981a2,8.940696716308594e-08,0.0,6.661338147750939e-16
93,7003203932012536638,16,64664cf29f129631e6aa071f018539a8ba34401e512f8f5b545dc7a70cbd61e3,1.1920928955078125e-07,0.0,8.881784197001252e-16
94,6544679006347260727,16,c2ded3ab5feff021e2352e6eb25b0644de77bffdf3185dd1425d6b0d6c950e6c,8.940696716308594e-08,0.0,6.661338147750939e-16
95,6645387741734064402,16,cba2d0b6accd1d4d162db77fbe9aa9ee6eaee1770b7bf533c55d4be8bb537608,5.960464477539063e-08,0.0,7.771561172376096e-16
96,1669645029865783330,16,ec29e2ee562acc5a5050ea411a5d8951828b23cc8bad03679f79fbb2117e21a4,1.1920928955078125e-07,0.0,5.551115123125783e-16
97,1779994195648022910,16,0c8552ece330594032e098560608d000d799eb65cf421ed8ff4894a5b8922245,1.1920928955078125e-07,0.0,6.661338147750939e-16
98,5232515668673759642,16,a2b6f93c067a8127a55343a0f8d36a447f4530fffa8771b22a91371e68e455d2,1.1920928955078125e-07,0.0,4.440892098500626e-16
99,2714986720523417699,16,5d68da960b12f990b5f36153b7b0a8c626b086e361b457128097a9bbffd8d0aa,1.1920928955078125e-07,0.0,6.661338147750939e-16
