task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
OpenBMI_MI,0,18,0.6799999999999999,0.6399999999999999,4.0000000000000036
OpenBMI_MI,0,24,0.55,0.55,0.0
OpenBMI_MI,0,25,0.96,0.96,0.0
OpenBMI_MI,0,29,0.6599999999999999,0.65,0.9999999999999898
OpenBMI_MI,0,36,0.9099999999999999,0.9099999999999999,0.0
OpenBMI_MI,0,37,0.71,0.72,-1.0000000000000009
OpenBMI_MI,0,39,0.75,0.76,-1.0000000000000009
OpenBMI_MI,0,42,0.67,0.69,-1.9999999999999907
OpenBMI_MI,0,51,0.7,0.7,0.0
OpenBMI_MI,0,54,0.71,0.71,0.0
OpenBMI_MI,1,4,0.81,0.81,0.0
OpenBMI_MI,1,12,0.76,0.76,0.0
OpenBMI_MI,1,13,0.78,0.75,3.0000000000000027
OpenBMI_MI,1,17,0.7,0.7,0.0
OpenBMI_MI,1,18,0.76,0.77,-1.0000000000000009
OpenBMI_MI,1,24,0.57,0.58,-1.0000000000000009
OpenBMI_MI,1,25,1.0,1.0,0.0
OpenBMI_MI,1,29,0.69,0.69,0.0
OpenBMI_MI,1,36,0.95,0.95,0.0
OpenBMI_MI,1,37,0.73,0.73,0.0
OpenBMI_MI,1,39,0.81,0.81,0.0
OpenBMI_MI,1,42,0.79,0.78,1.0000000000000009
OpenBMI_MI,1,51,0.71,0.71,0.0
OpenBMI_MI,1,54,0.74,0.76,-2.0000000000000018
OpenBMI_MI,2,4,0.8300000000000001,0.8300000000000001,0.0
OpenBMI_MI,2,12,0.78,0.77,1.0000000000000009
OpenBMI_MI,2,13,0.7,0.71,-1.0000000000000009
OpenBMI_MI,2,17,0.59,0.59,0.0
OpenBMI_MI,2,18,0.71,0.7,1.0000000000000009
OpenBMI_MI,2,24,0.62,0.62,0.0
OpenBMI_MI,2,25,0.98,0.98,0.0
OpenBMI_MI,2,29,0.78,0.78,0.0
OpenBMI_MI,2,36,0.9099999999999999,0.9199999999999999,-1.0000000000000009
OpenBMI_MI,2,37,0.76,0.75,1.0000000000000009
OpenBMI_MI,2,39,0.72,0.72,0.0
OpenBMI_MI,2,42,0.75,0.74,1.0000000000000009
OpenBMI_MI,2,51,0.6799999999999999,0.67,0.9999999999999898
OpenBMI_MI,2,54,0.79,0.8,-1.0000000000000009
OpenBMI_MI,3,4,0.81,0.83,-1.9999999999999907
OpenBMI_MI,3,12,0.66,0.67,-1.0000000000000009
OpenBMI_MI,3,13,0.79,0.79,0.0
OpenBMI_MI,3,17,0.5800000000000001,0.61,-2.9999999999999916
OpenBMI_MI,3,18,0.74,0.77,-3.0000000000000027
OpenBMI_MI,3,24,0.5,0.51,-1.0000000000000009
OpenBMI_MI,3,25,0.98,0.97,1.0000000000000009
OpenBMI_MI,3,29,0.6599999999999999,0.6599999999999999,0.0
OpenBMI_MI,3,36,0.8999999999999999,0.9299999999999999,-3.0000000000000027
OpenBMI_MI,3,37,0.75,0.76,-1.0000000000000009
OpenBMI_MI,3,39,0.83,0.84,-1.0000000000000009
OpenBMI_MI,3,42,0.6699999999999999,0.6699999999999999,0.0
OpenBMI_MI,3,51,0.6799999999999999,0.7,-2.0000000000000018
OpenBMI_MI,3,54,0.6499999999999999,0.6799999999999999,-3.0000000000000027
OpenBMI_MI,4,4,0.87,0.87,0.0
OpenBMI_MI,4,12,0.67,0.67,0.0
OpenBMI_MI,4,13,0.6799999999999999,0.73,-5.000000000000004
OpenBMI_MI,4,17,0.55,0.56,-1.0000000000000009
OpenBMI_MI,4,18,0.66,0.6799999999999999,-1.9999999999999907
OpenBMI_MI,4,24,0.6,0.59,1.0000000000000009
OpenBMI_MI,4,25,0.97,0.97,0.0
OpenBMI_MI,4,29,0.77,0.76,1.0000000000000009
OpenBMI_MI,4,36,0.94,0.94,0.0
OpenBMI_MI,4,37,0.6699999999999999,0.6699999999999999,0.0
OpenBMI_MI,4,39,0.75,0.75,0.0
OpenBMI_MI,4,42,0.6799999999999999,0.69,-1.0000000000000009
OpenBMI_MI,4,51,0.6399999999999999,0.6499999999999999,-1.0000000000000009
OpenBMI_MI,4,54,0.72,0.72,0.0
WBCIC_MI,0,sub-2,0.755,0.72,3.500000000000003
WBCIC_MI,0,sub-3,0.84,0.78,5.999999999999995
WBCIC_MI,0,sub-17,0.865,0.8500000000000001,1.4999999999999902
WBCIC_MI,0,sub-19,0.97,0.94,3.0000000000000027
WBCIC_MI,0,sub-21,0.895,0.8799999999999999,1.5000000000000124
WBCIC_MI,0,sub-25,0.96,0.95,1.0000000000000009
WBCIC_MI,0,sub-31,0.5800000000000001,0.61,-2.9999999999999916
WBCIC_MI,0,sub-33,0.98,0.975,0.5000000000000004
WBCIC_MI,0,sub-38,0.535,0.45999999999999996,7.500000000000007
WBCIC_MI,0,sub-42,0.6699999999999999,0.6950000000000001,-2.5000000000000133
WBCIC_MI,1,sub-2,0.78,0.78,0.0
WBCIC_MI,1,sub-3,0.77,0.7849999999999999,-1.4999999999999902
WBCIC_MI,1,sub-17,0.825,0.8300000000000001,-0.5000000000000115
WBCIC_MI,1,sub-19,0.94,0.9299999999999999,1.0000000000000009
