task,variant,seed,subject_id,session,BA,macro_F1,folds
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,37,S2,0.9435757575757575,0.9211549861284869,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,39,S1,0.8372727272727273,0.7737275006281785,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,39,S2,0.7196363636363636,0.6873057863520092,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,4,S1,0.7955757575757576,0.7913481575112687,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,4,S2,0.9049696969696971,0.8713813218461702,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,42,S1,0.9209696969696971,0.8729561270829678,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,42,S2,0.8382424242424242,0.8179841465042692,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,51,S1,0.876848484848485,0.826896274966653,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,51,S2,0.753030303030303,0.6977399349610592,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,54,S1,0.7037575757575758,0.6836897843209276,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,1,54,S2,0.7007878787878787,0.6834950404014665,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,12,S1,0.9349090909090909,0.8610266859232644,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,12,S2,0.9603030303030303,0.9181363533113076,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,13,S1,0.9004848484848484,0.821396913218598,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,13,S2,0.9082424242424242,0.8354422666199598,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,17,S1,0.8005454545454546,0.7091511622520287,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,17,S2,0.8058787878787879,0.6999627884198603,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,18,S1,0.7474270907988313,0.7429446699509225,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,18,S2,0.9133333333333334,0.883907291983326,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,24,S1,0.9378181818181819,0.8689899114680173,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,24,S2,0.8272121212121212,0.7642375158306898,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,25,S1,0.7968484848484849,0.7923312578988135,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,25,S2,0.7925454545454546,0.7780944597346275,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,29,S1,0.8037575757575757,0.7798448635553179,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,29,S2,0.8350909090909091,0.8089371076521322,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,36,S1,0.9428484848484848,0.8897546863753657,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,36,S2,0.9472727272727273,0.8845528991631542,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,37,S1,0.851030303030303,0.8018347964279577,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,37,S2,0.9456363636363637,0.9202048814794141,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,39,S1,0.848969696969697,0.772009721267049,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,39,S2,0.734,0.6923941649380139,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,4,S1,0.8032121212121213,0.7867590597981066,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,4,S2,0.8916363636363636,0.8571795882081851,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,42,S1,0.9212727272727272,0.8681887189338087,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,42,S2,0.8603030303030303,0.8320673635367097,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,51,S1,0.8684242424242423,0.808802191666457,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,51,S2,0.7487878787878788,0.6765486895134982,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,54,S1,0.725030303030303,0.6945756288624829,5
OpenBMI_ERP,B2_SCALE_COLLAPSE,2,54,S2,0.7212727272727273,0.6984504090548124,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,12,S1,0.9401818181818182,0.8727833843354735,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,12,S2,0.9601818181818181,0.9166479323562007,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,13,S1,0.9132121212121213,0.8439643603926001,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,13,S2,0.9224242424242425,0.8566164871616699,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,17,S1,0.7967272727272727,0.7277719279767677,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,17,S2,0.8101818181818181,0.738457854164215,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,18,S1,0.7637308194130511,0.7573926320527952,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,18,S2,0.9120000000000001,0.8828097552188566,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,24,S1,0.9484848484848485,0.8913575847136268,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,24,S2,0.8242424242424242,0.7780414375144982,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,25,S1,0.799030303030303,0.804416006694853,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,25,S2,0.790060606060606,0.7818155489781901,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,29,S1,0.8026666666666668,0.7783559109035488,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,29,S2,0.8369090909090909,0.8132496288437607,5
