fold,epoch,rank,decision_dependence,decision_median,decision_positive_fraction,decision_p_raw,n_subject_measurements,decision_p_holm,gate
0,20,2,-0.003166808400851569,-0.0011762181619237705,0.09375,1.0,32,1.0,False
0,20,4,-0.004790165327657445,-0.0051002597593904925,0.0,1.0,32,1.0,False
1,20,1,0.0003621562365524153,0.00012956498478350852,0.6666666666666666,0.02844,33,0.08532000000000001,False
1,20,2,-0.00023190846941410493,0.0010011153259209182,0.5151515151515151,0.64559,33,1.0,False
1,20,4,-0.0002540951000075457,-0.0003993878332450478,0.45454545454545453,0.70069,33,1.0,False
2,20,1,0.0027079489898959534,0.004456295025584086,0.696969696969697,0.03372,33,0.10116,False
2,20,2,-0.03176351736741726,-0.03301281723810282,0.24242424242424243,0.99999,33,1.0,False
2,20,4,-0.018637422335707674,-0.02004099117831911,0.24242424242424243,1.0,33,1.0,False
3,20,1,-0.05911085769743594,0.0014987394645769835,0.5151515151515151,0.99997,33,1.0,False
3,20,2,-0.07989464774283606,-0.06838717004743217,0.0,1.0,33,1.0,False
3,20,4,-0.06308203676811835,-0.0799121735553449,0.24242424242424243,1.0,33,1.0,False
4,20,1,-0.026593060498575048,-0.0038980408300227747,0.0,1.0,33,1.0,False
4,20,2,-0.042077118019851305,-0.03581141059229738,0.0,1.0,33,1.0,False
4,20,4,-0.04429841819000377,-0.04350689368835511,0.0,1.0,33,1.0,False
0,25,1,-0.0019817439792399567,-0.0016085063415379461,0.3125,0.99598,32,1.0,False
0,25,2,-0.0023047690515120784,-0.0029389711929744297,0.25,0.9994,32,1.0,False
0,25,4,-0.011751716012235531,-0.011055613616547912,0.0,1.0,32,1.0,False
1,25,1,-0.0009556319956483691,0.00021335460401716204,0.5151515151515151,0.91574,33,1.0,False
1,25,2,0.0013773039711042487,0.0005433100852438723,0.5454545454545454,0.00602,33,0.01806,False
1,25,4,-0.0007957325540305983,0.000306578807945412,0.5151515151515151,0.82831,33,1.0,False
2,25,1,-0.00021383143963490435,0.006033672872267264,0.5757575757575758,0.53545,33,1.0,False
2,25,2,-0.04756515228097418,-0.04203278577686702,0.0,1.0,33,1.0,False
2,25,4,-0.035212785681467636,-0.03780768615330571,0.0,1.0,33,1.0,False
3,25,1,-0.08353389873624961,-0.07062619808207732,0.0,1.0,33,1.0,False
3,25,2,-0.06920874344558799,-0.06603794173553858,0.0,1.0,33,1.0,False
3,25,4,-0.06713501777806496,-0.06852495117751758,0.0,1.0,33,1.0,False
4,25,1,-0.01782524160052449,-0.009863647110063106,0.0,1.0,33,1.0,False
4,25,2,-0.051279507542821796,-0.03991421179703371,0.0,1.0,33,1.0,False
4,25,4,-0.02124575876265767,-0.016991266093080278,0.0,1.0,33,1.0,False
