fold,epoch,rank,persistence,signed_utility,utility_median,utility_positive_fraction,utility_p_raw,decision_dependence,decision_median,decision_positive_fraction,decision_p_raw,energy_relative_mismatch_mean,n_subject_measurements,utility_p_holm,decision_p_holm,gate
2,5,1,0.21831962174171266,0.00040358530752586597,5.945563316345215e-05,0.5151515151515151,0.19491,-0.005794353087683136,-0.004860674985415661,0.48484848484848486,0.99892,0.0035110970776863846,33,0.58473,1.0,False
2,5,2,0.32289020627226145,-0.0003925182602622292,-0.0012341141700744629,0.3939393939393939,0.67433,-0.036706144375141275,-0.0364799224339232,0.0,1.0,0.004531435180011366,33,1.0,1.0,False
2,5,4,0.4277307630391561,-0.0020521183808644614,-0.0016893446445465088,0.3939393939393939,0.98754,-0.021341335607919096,-0.01933470532049903,0.0,1.0,0.04722009346126361,33,1.0,1.0,False
3,5,1,0.17114785678671868,-0.0012013000069242535,0.0005390048027038574,0.5151515151515151,0.81559,-0.02551881031171724,0.0022597802776362867,0.5151515151515151,0.99867,0.012564466138256476,33,1.0,1.0,False
3,5,2,0.29602981566666814,-0.004954250924515001,-0.0007645487785339355,0.45454545454545453,0.95849,-0.06106112044877964,-0.04049229955617317,0.0,1.0,0.004931520875631906,33,1.0,1.0,False
3,5,4,0.3975181563770436,-0.004732381213795055,-0.0007675886154174805,0.45454545454545453,0.97445,-0.045477980549836025,-0.027597179675901022,0.0,1.0,0.0006618122559448877,33,1.0,1.0,False
4,5,1,0.19989725158534466,-9.101471214583425e-05,2.4080276489257812e-05,0.5151515151515151,0.66496,-0.006002751444942379,-0.0017798119974717138,0.36363636363636365,0.99996,0.004746296719052579,33,1.0,1.0,False
4,5,2,0.3086546200730402,-0.0011938340736157966,-0.0008762478828430176,0.30303030303030304,0.88399,-0.0364008247167796,-0.025402083071854473,0.0,1.0,0.002785518699347913,33,1.0,1.0,False
4,5,4,0.4245071093836932,-0.00300634607221141,-0.0021597594022750854,0.30303030303030304,0.99749,-0.04190915076992681,-0.033783790543106006,0.0,1.0,0.0016189719033994532,33,1.0,1.0,False
0,10,1,0.17000230762430202,-0.002214021049439907,-0.0017136931419372559,0.28125,0.99965,-0.008409727216002808,-0.008148616796303479,0.03125,1.0,0.0059618006174743015,32,1.0,1.0,False
0,10,2,0.1975527038347572,-0.0012639015913009644,-0.0010470151901245117,0.21875,0.99969,-0.0051338377450273025,-0.005284403875218351,0.1875,1.0,0.004278541103684665,32,1.0,1.0,False
0,10,4,0.2370533264708476,-0.0010942453518509865,-0.0005490481853485107,0.28125,0.99899,-0.004849353093654588,-0.004009337676174979,0.0,1.0,0.022079183730048708,32,1.0,1.0,False
1,10,1,0.13774851810673477,0.00013969206448757288,0.00017648935317993164,0.696969696969697,0.18969,-0.0033666374242474163,-0.003619964292737914,0.24242424242424243,1.0,0.008889168201849047,33,0.56907,1.0,False
1,10,2,0.184622330680795,-1.0950547276121197e-05,-0.00018262863159179688,0.36363636363636365,0.51402,-0.0017881665656627936,-0.0007858614426136134,0.30303030303030304,0.94,0.01923288773913832,33,1.0,1.0,False
1,10,4,0.23493975932907782,-0.00029127931956088906,-3.3348798751831055e-05,0.48484848484848486,0.90179,-0.0010278016154306932,-0.002014599711581277,0.2727272727272727,0.96856,0.14781270073036168,33,1.0,1.0,False
2,10,1,0.21831946591896864,-0.0003209452737461437,-0.0002798140048980713,0.36363636363636365,0.84837,-0.001464067451413275,0.005257048601135428,0.7575757575757576,0.72069,0.0025863566970440793,33,1.0,1.0,False
2,10,2,0.322890037223333,-0.001256404501019102,-3.0517578125e-05,0.48484848484848486,0.92397,-0.021173427296955514,-0.00794709447068542,0.3939393939393939,0.99894,0.0031201635798436384,33,1.0,1.0,False
2,10,4,0.42773033351114187,-0.0016319602727890015,-0.0010780692100524902,0.3939393939393939,0.97769,-0.012234676124350398,-0.009452134384547149,0.24242424242424243,0.99999,0.039378064620254734,33,1.0,1.0,False
3,10,1,0.17114776293767434,-0.005461111664772034,-0.0050581395626068115,0.3333333333333333,0.9984,-0.06299862017992922,-0.043268685359533245,0.0,1.0,0.01919686330805603,33,1.0,1.0,False
3,10,2,0.29602932442784213,-0.0032846552856040725,-0.004133015871047974,0.3939393939393939,0.93482,-0.07764418764692023,-0.0752529556130188,0.0,1.0,0.003213534771508747,33,1.0,1.0,False
3,10,4,0.3975178130793094,0.001464835170543555,-0.00029665231704711914,0.45454545454545453,0.13121,-0.027371789393632946,-0.026967962885312932,0.24242424242424243,0.99994,0.0002865268044176118,33,0.39363,1.0,False
4,10,1,0.19989539671085632,0.0002988394011150707,-0.00032633543014526367,0.42424242424242425,0.31338,-0.026449842268537957,-0.016431758195123183,0.0,1.0,0.0033960820057095747,33,0.94014,1.0,False
4,10,2,0.30865215975356924,-0.003441424983920473,-0.0029938817024230957,0.36363636363636365,0.99001,-0.0391055254994475,-0.03395333528589946,0.0,1.0,0.0017252716224680706,33,1.0,1.0,False
4,10,4,0.4245042722461989,-0.00329408659176393,-0.0026202648878097534,0.2727272727272727,0.99244,-0.05131141501799397,-0.04177514840052969,0.0,1.0,0.0024405588964774125,33,1.0,1.0,False
0,15,1,0.17000187857124271,-0.000926741398870945,-0.00026276707649230957,0.40625,0.98258,-0.004805851247093354,-0.005885030905141585,0.25,0.99999,0.0052392192811754855,32,1.0,1.0,False
0,15,2,0.19755178266309398,-0.000686093233525753,-0.0008040517568588257,0.28125,0.99862,-0.0030068521580375947,-0.0029135613113246348,0.0,1.0,0.006827957987512464,32,1.0,1.0,False
0,15,4,0.23705098354308557,-0.000955105759203434,-0.0011476129293441772,0.28125,0.9969,-0.007677882347122423,-0.007699695590266146,0.0,1.0,0.1507366643133748,32,1.0,1.0,False
1,15,1,0.1377476363272246,-8.633281245376125e-05,-1.5467405319213867e-05,0.45454545454545453,0.76276,-0.0020045959394513627,-0.0011335285518642938,0.06060606060606061,1.0,0.01100504784005411,33,1.0,1.0,False
1,15,2,0.18462148326072822,-0.00022403399149576822,-5.412101745605469e-05,0.42424242424242425,0.90817,-0.00028881650316262307,0.000631138699617304,0.6666666666666666,0.65722,0.02825676636283106,33,1.0,1.0,False
1,15,4,0.23493829927322119,-3.228946165605025e-05,-0.00015395879745483398,0.42424242424242425,0.58385,-0.00012343067939567476,-0.0005554239936956216,0.42424242424242425,0.62854,0.22922344730667257,33,1.0,1.0,False
2,15,1,0.21831942043510785,0.00032977534062934643,-0.0001402050256729126,0.45454545454545453,0.2428,-0.00762319127281143,-0.010377197622877598,0.48484848484848486,0.99802,0.00390697485036715,33,0.7283999999999999,1.0,False
2,15,2,0.32288998294442883,-0.0005787624554200606,-0.00031936168670654297,0.48484848484848486,0.68711,-0.03609895412820792,-0.033335940670966464,0.030303030303030304,1.0,0.0015188407301805573,33,1.0,1.0,False
2,15,4,0.4277300846670862,-4.553749705805923e-05,-0.0002046823501586914,0.48484848484848486,0.5108,-0.03227381096341742,-0.038859477371705656,0.36363636363636365,0.99998,0.06680685008974115,33,1.0,1.0,False
3,15,1,0.17114769675735966,0.00028348149675311464,0.0005800724029541016,0.5757575757575758,0.34823,-0.020513926004969936,-0.0169425657506568,0.0,1.0,0.019806377102515597,33,1.0,1.0,False
3,15,2,0.296029100397069,-0.0067799976377776175,-0.005155622959136963,0.45454545454545453,0.97666,-0.1001556067568288,-0.08442571638497198,0.0,1.0,0.0008682155450252284,33,1.0,1.0,False
3,15,4,0.3975176297767972,-0.005865677739634659,-0.004326850175857544,0.30303030303030304,0.99078,-0.061903646402270605,-0.070609771600789,0.15151515151515152,1.0,0.0010236932698177456,33,1.0,1.0,False
4,15,1,0.1998940083089354,0.00013027340173721313,0.0001201629638671875,0.5454545454545454,0.45255,-0.016652141627779813,-0.012595813487359577,0.0,1.0,0.0047214918786029824,33,1.0,1.0,False
4,15,2,0.308650329748322,-0.0023123211029804115,-0.0013232827186584473,0.18181818181818182,0.99803,-0.026946235108879172,-0.02028999121912859,0.0,1.0,0.0031642384854343284,33,1.0,1.0,False
4,15,4,0.4245018343801291,-0.0011495220841783466,-0.0022484958171844482,0.36363636363636365,0.82364,-0.050519208968348606,-0.04582262389166312,0.0,1.0,0.009780600092279218,33,1.0,1.0,False
0,20,1,0.17000142767529974,-6.931833922863007e-05,-2.73287296295166e-05,0.46875,0.65383,0.0004700204879555839,-0.0003733632919839195,0.3125,0.21762,0.0033282249650987555,32,1.0,0.65286,False
0,20,2,0.19755085520495824,-0.0002588038332760334,-0.00015398859977722168,0.40625,0.80505,-0.003166808400851569,-0.0011762181619237705,0.09375,1.0,0.0034292164751405633,32,1.0,1.0,False
0,20,4,0.237049905017398,-0.0006165136583149433,-0.0008911490440368652,0.375,0.98729,-0.004790165327657445,-0.0051002597593904925,0.0,1.0,0.15344387427943337,32,1.0,1.0,False
1,20,1,0.13774783516657785,-4.5638644334041714e-05,-4.583597183227539e-05,0.3939393939393939,0.69276,0.0003621562365524153,0.00012956498478350852,0.6666666666666666,0.02844,0.005487203225980506,33,0.69276,0.08532000000000001,False
1,20,2,0.18462165420799606,0.00016719283479632753,3.5434961318969727e-05,0.5151515151515151,0.08211,-0.00023190846941410493,0.0010011153259209182,0.5151515151515151,0.64559,0.0124243690222771,33,0.24633,1.0,False
1,20,4,0.2349379128745286,0.00010396314389777906,-5.4270029067993164e-05,0.45454545454545453,0.29856,-0.0002540951000075457,-0.0003993878332450478,0.45454545454545453,0.70069,0.3049156233629906,33,0.59712,1.0,False
2,20,1,0.2183193840277119,0.00013842049873236454,5.5730342864990234e-05,0.5757575757575758,0.1929,0.0027079489898959534,0.004456295025584086,0.696969696969697,0.03372,0.002049284330473279,33,0.5787,0.10116,False
2,20,2,0.3228899378051359,-0.0010632290081544356,-0.0006673932075500488,0.42424242424242425,0.87446,-0.03176351736741726,-0.03301281723810282,0.24242424242424243,0.99999,0.003188568374157681,33,1.0,1.0,False
2,20,4,0.42772985146371756,-0.0007752067211902503,-0.0009877681732177734,0.3939393939393939,0.7875,-0.018637422335707674,-0.02004099117831911,0.24242424242424243,1.0,0.032378117442834455,33,1.0,1.0,False
3,20,1,0.1711477134119499,-0.006557372483340177,-0.001057654619216919,0.3939393939393939,0.99554,-0.05911085769743594,0.0014987394645769835,0.5151515151515151,0.99997,0.00453347287077092,33,1.0,1.0,False
3,20,2,0.2960290175375169,-0.009040413932366804,-0.010509133338928223,0.3939393939393939,0.99554,-0.07989464774283606,-0.06838717004743217,0.0,1.0,0.0037826076002996055,33,1.0,1.0,False
3,20,4,0.3975175219127663,-0.0014907166813359115,-0.002035290002822876,0.48484848484848486,0.72214,-0.06308203676811835,-0.0799121735553449,0.24242424242424243,1.0,0.0007227416921379757,33,1.0,1.0,False
4,20,1,0.19989308051427712,-0.0011312478419506188,-0.00015842914581298828,0.36363636363636365,0.85391,-0.026593060498575048,-0.0038980408300227747,0.0,1.0,0.0016107663873285748,33,1.0,1.0,False
4,20,2,0.30864901332043776,-0.0020394298163327303,-0.001584470272064209,0.42424242424242425,0.93064,-0.042077118019851305,-0.03581141059229738,0.0,1.0,0.0018540340383644603,33,1.0,1.0,False
4,20,4,0.42450021697807905,-0.0017433019750046008,-0.0014248490333557129,0.3333333333333333,0.95949,-0.04429841819000377,-0.04350689368835511,0.0,1.0,0.00939985501021867,33,1.0,1.0,False
0,25,1,0.17000087855645424,-0.0003398694097995758,-0.0004455298185348511,0.375,0.87021,-0.0019817439792399567,-0.0016085063415379461,0.3125,0.99598,0.0025985680232704015,32,1.0,1.0,False
0,25,2,0.1975493975020081,-0.00038093654438853264,-0.000380195677280426,0.3125,0.97108,-0.0023047690515120784,-0.0029389711929744297,0.25,0.9994,0.00869826570950125,32,1.0,1.0,False
0,25,4,0.23704861406473965,-0.0008196132257580757,-0.0013981163501739502,0.34375,0.91228,-0.011751716012235531,-0.011055613616547912,0.0,1.0,0.27829667505493555,32,1.0,1.0,False
1,25,1,0.1377481685884221,6.926285498069994e-05,4.178285598754883e-05,0.5454545454545454,0.30659,-0.0009556319956483691,0.00021335460401716204,0.5151515151515151,0.91574,0.005407925050263742,33,0.91977,1.0,False
1,25,2,0.18462201856175522,-0.00019280883398923007,-0.00023621320724487305,0.36363636363636365,0.95635,0.0013773039711042487,0.0005433100852438723,0.5454545454545454,0.00602,0.027022124163764205,33,0.95635,0.01806,False
1,25,4,0.23493775146425327,0.00016680675925630513,-0.00010335445404052734,0.3939393939393939,0.31609,-0.0007957325540305983,0.000306578807945412,0.5151515151515151,0.82831,0.3357781947930127,33,0.91977,1.0,False
2,25,1,0.21831935610560738,-3.8823395064382844e-05,0.00025027990341186523,0.6363636363636364,0.55075,-0.00021383143963490435,0.006033672872267264,0.5757575757575758,0.53545,0.0023934836788352745,33,1.0,1.0,False
2,25,2,0.3228898982699503,-0.001628823352582527,-0.0028589069843292236,0.3333333333333333,0.90649,-0.04756515228097418,-0.04203278577686702,0.0,1.0,0.001032510883333599,33,1.0,1.0,False
2,25,4,0.42772972164278866,-0.0019735152071172542,-0.0025413334369659424,0.30303030303030304,0.98697,-0.035212785681467636,-0.03780768615330571,0.0,1.0,0.05245093512112063,33,1.0,1.0,False
3,25,1,0.1711477405543822,-0.008912244980985468,-0.00512540340423584,0.30303030303030304,0.99835,-0.08353389873624961,-0.07062619808207732,0.0,1.0,0.000603660153674308,33,1.0,1.0,False
3,25,2,0.29602903633615957,-0.006247436006863912,-0.010046660900115967,0.30303030303030304,0.99675,-0.06920874344558799,-0.06603794173553858,0.0,1.0,0.0017950372842458417,33,1.0,1.0,False
3,25,4,0.39751757299378304,-0.005383914618781118,-0.008283108472824097,0.30303030303030304,0.98836,-0.06713501777806496,-0.06852495117751758,0.0,1.0,0.0011616459152692686,33,1.0,1.0,False
4,25,1,0.1998922196349711,-0.0009340558088187015,-2.0951032638549805e-05,0.48484848484848486,0.65398,-0.01782524160052449,-0.009863647110063106,0.0,1.0,0.0056939362614043506,33,1.0,1.0,False
4,25,2,0.30864783923937683,-0.001324111313530893,-0.0005232691764831543,0.3939393939393939,0.86383,-0.051279507542821796,-0.03991421179703371,0.0,1.0,0.004095165921688171,33,1.0,1.0,False
4,25,4,0.42449861505677444,-0.0013256215236403725,-0.001155257225036621,0.2727272727272727,0.99826,-0.02124575876265767,-0.016991266093080278,0.0,1.0,0.019919602294612863,33,1.0,1.0,False
