fold,epoch,rank,signed_utility,utility_median,utility_positive_fraction,utility_p_raw,n_subject_measurements,utility_p_holm,gate
4,5,1,-9.101471214583425e-05,2.4080276489257812e-05,0.5151515151515151,0.66496,33,1.0,False
4,5,2,-0.0011938340736157966,-0.0008762478828430176,0.30303030303030304,0.88399,33,1.0,False
4,5,4,-0.00300634607221141,-0.0021597594022750854,0.30303030303030304,0.99749,33,1.0,False
0,10,1,-0.002214021049439907,-0.0017136931419372559,0.28125,0.99965,32,1.0,False
0,10,2,-0.0012639015913009644,-0.0010470151901245117,0.21875,0.99969,32,1.0,False
0,10,4,-0.0010942453518509865,-0.0005490481853485107,0.28125,0.99899,32,1.0,False
1,10,1,0.00013969206448757288,0.00017648935317993164,0.696969696969697,0.18969,33,0.56907,False
1,10,2,-1.0950547276121197e-05,-0.00018262863159179688,0.36363636363636365,0.51402,33,1.0,False
1,10,4,-0.00029127931956088906,-3.3348798751831055e-05,0.48484848484848486,0.90179,33,1.0,False
2,10,1,-0.0003209452737461437,-0.0002798140048980713,0.36363636363636365,0.84837,33,1.0,False
2,10,2,-0.001256404501019102,-3.0517578125e-05,0.48484848484848486,0.92397,33,1.0,False
2,10,4,-0.0016319602727890015,-0.0010780692100524902,0.3939393939393939,0.97769,33,1.0,False
3,10,1,-0.005461111664772034,-0.0050581395626068115,0.3333333333333333,0.9984,33,1.0,False
3,10,2,-0.0032846552856040725,-0.004133015871047974,0.3939393939393939,0.93482,33,1.0,False
3,10,4,0.001464835170543555,-0.00029665231704711914,0.45454545454545453,0.13121,33,0.39363,False
4,10,1,0.0002988394011150707,-0.00032633543014526367,0.42424242424242425,0.31338,33,0.94014,False
4,10,2,-0.003441424983920473,-0.0029938817024230957,0.36363636363636365,0.99001,33,1.0,False
4,10,4,-0.00329408659176393,-0.0026202648878097534,0.2727272727272727,0.99244,33,1.0,False
0,15,1,-0.000926741398870945,-0.00026276707649230957,0.40625,0.98258,32,1.0,False
0,15,2,-0.000686093233525753,-0.0008040517568588257,0.28125,0.99862,32,1.0,False
0,15,4,-0.000955105759203434,-0.0011476129293441772,0.28125,0.9969,32,1.0,False
1,15,1,-8.633281245376125e-05,-1.5467405319213867e-05,0.45454545454545453,0.76276,33,1.0,False
1,15,2,-0.00022403399149576822,-5.412101745605469e-05,0.42424242424242425,0.90817,33,1.0,False
1,15,4,-3.228946165605025e-05,-0.00015395879745483398,0.42424242424242425,0.58385,33,1.0,False
2,15,1,0.00032977534062934643,-0.0001402050256729126,0.45454545454545453,0.2428,33,0.7283999999999999,False
2,15,2,-0.0005787624554200606,-0.00031936168670654297,0.48484848484848486,0.68711,33,1.0,False
2,15,4,-4.553749705805923e-05,-0.0002046823501586914,0.48484848484848486,0.5108,33,1.0,False
3,15,1,0.00028348149675311464,0.0005800724029541016,0.5757575757575758,0.34823,33,1.0,False
3,15,2,-0.0067799976377776175,-0.005155622959136963,0.45454545454545453,0.97666,33,1.0,False
3,15,4,-0.005865677739634659,-0.004326850175857544,0.30303030303030304,0.99078,33,1.0,False
4,15,1,0.00013027340173721313,0.0001201629638671875,0.5454545454545454,0.45255,33,1.0,False
4,15,2,-0.0023123211029804115,-0.0013232827186584473,0.18181818181818182,0.99803,33,1.0,False
4,15,4,-0.0011495220841783466,-0.0022484958171844482,0.36363636363636365,0.82364,33,1.0,False
0,20,1,-6.931833922863007e-05,-2.73287296295166e-05,0.46875,0.65383,32,1.0,False
0,20,2,-0.0002588038332760334,-0.00015398859977722168,0.40625,0.80505,32,1.0,False
0,20,4,-0.0006165136583149433,-0.0008911490440368652,0.375,0.98729,32,1.0,False
1,20,1,-4.5638644334041714e-05,-4.583597183227539e-05,0.3939393939393939,0.69276,33,0.69276,False
1,20,2,0.00016719283479632753,3.5434961318969727e-05,0.5151515151515151,0.08211,33,0.24633,False
1,20,4,0.00010396314389777906,-5.4270029067993164e-05,0.45454545454545453,0.29856,33,0.59712,False
2,20,1,0.00013842049873236454,5.5730342864990234e-05,0.5757575757575758,0.1929,33,0.5787,False
2,20,2,-0.0010632290081544356,-0.0006673932075500488,0.42424242424242425,0.87446,33,1.0,False
2,20,4,-0.0007752067211902503,-0.0009877681732177734,0.3939393939393939,0.7875,33,1.0,False
3,20,1,-0.006557372483340177,-0.001057654619216919,0.3939393939393939,0.99554,33,1.0,False
3,20,2,-0.009040413932366804,-0.010509133338928223,0.3939393939393939,0.99554,33,1.0,False
3,20,4,-0.0014907166813359115,-0.002035290002822876,0.48484848484848486,0.72214,33,1.0,False
4,20,1,-0.0011312478419506188,-0.00015842914581298828,0.36363636363636365,0.85391,33,1.0,False
4,20,2,-0.0020394298163327303,-0.001584470272064209,0.42424242424242425,0.93064,33,1.0,False
4,20,4,-0.0017433019750046008,-0.0014248490333557129,0.3333333333333333,0.95949,33,1.0,False
0,25,1,-0.0003398694097995758,-0.0004455298185348511,0.375,0.87021,32,1.0,False
0,25,2,-0.00038093654438853264,-0.000380195677280426,0.3125,0.97108,32,1.0,False
0,25,4,-0.0008196132257580757,-0.0013981163501739502,0.34375,0.91228,32,1.0,False
1,25,1,6.926285498069994e-05,4.178285598754883e-05,0.5454545454545454,0.30659,33,0.91977,False
1,25,2,-0.00019280883398923007,-0.00023621320724487305,0.36363636363636365,0.95635,33,0.95635,False
1,25,4,0.00016680675925630513,-0.00010335445404052734,0.3939393939393939,0.31609,33,0.91977,False
2,25,1,-3.8823395064382844e-05,0.00025027990341186523,0.6363636363636364,0.55075,33,1.0,False
2,25,2,-0.001628823352582527,-0.0028589069843292236,0.3333333333333333,0.90649,33,1.0,False
2,25,4,-0.0019735152071172542,-0.0025413334369659424,0.30303030303030304,0.98697,33,1.0,False
3,25,1,-0.008912244980985468,-0.00512540340423584,0.30303030303030304,0.99835,33,1.0,False
3,25,2,-0.006247436006863912,-0.010046660900115967,0.30303030303030304,0.99675,33,1.0,False
3,25,4,-0.005383914618781118,-0.008283108472824097,0.30303030303030304,0.98836,33,1.0,False
4,25,1,-0.0009340558088187015,-2.0951032638549805e-05,0.48484848484848486,0.65398,33,1.0,False
4,25,2,-0.001324111313530893,-0.0005232691764831543,0.3939393939393939,0.86383,33,1.0,False
4,25,4,-0.0013256215236403725,-0.001155257225036621,0.2727272727272727,0.99826,33,1.0,False
