fold,subject,method,seed_aggregation,BA,Frozen_BA,delta_BA_vs_Frozen,macro_F1,accuracy
1,sub-44,Frozen,single_seed,0.6799999999999999,0.6799999999999999,0.0,0.6483516483516483,0.68
1,sub-45,Frozen,single_seed,0.81,0.81,0.0,0.8036378668871434,0.81
1,sub-2,Generic,mean_logits,0.785,0.62,0.16500000000000004,0.7849946248656217,0.785
1,sub-11,Generic,mean_logits,0.735,0.645,0.08999999999999997,0.7349403615813558,0.735
1,sub-13,Generic,mean_logits,0.815,0.64,0.17499999999999993,0.8148843026891808,0.815
1,sub-18,Generic,mean_logits,0.64,0.545,0.09499999999999997,0.637060187518903,0.64
1,sub-27,Generic,mean_logits,0.635,0.51,0.125,0.6282243894986123,0.635
1,sub-36,Generic,mean_logits,0.975,0.87,0.10499999999999998,0.9749993749843746,0.975
1,sub-44,Generic,mean_logits,0.7849999999999999,0.6799999999999999,0.10499999999999998,0.7843476516462298,0.785
1,sub-45,Generic,mean_logits,0.9199999999999999,0.81,0.10999999999999988,0.9199679871948779,0.92
2,sub-9,Frozen,single_seed,0.595,0.595,0.0,0.5932816148226256,0.595
2,sub-22,Frozen,single_seed,0.65,0.65,0.0,0.6498599439775911,0.65
2,sub-25,Frozen,single_seed,0.975,0.975,0.0,0.9749993749843746,0.975
2,sub-26,Frozen,single_seed,0.665,0.665,0.0,0.6639835502394744,0.665
2,sub-29,Frozen,single_seed,0.715,0.715,0.0,0.7149928748218706,0.715
2,sub-34,Frozen,single_seed,0.56,0.56,0.0,0.5599559955995599,0.56
2,sub-35,Frozen,single_seed,0.915,0.915,0.0,0.9149808706959066,0.915
2,sub-49,Frozen,single_seed,0.915,0.915,0.0,0.9149978749468737,0.915
2,sub-9,Generic,mean_logits,0.62,0.595,0.025000000000000022,0.6161616161616161,0.62
2,sub-22,Generic,mean_logits,0.6499999999999999,0.65,-1.1102230246251565e-16,0.6494391025641025,0.65
2,sub-25,Generic,mean_logits,0.98,0.975,0.0050000000000000044,0.9799979997999799,0.98
2,sub-26,Generic,mean_logits,0.6499999999999999,0.665,-0.015000000000000124,0.648735447611401,0.65
2,sub-29,Generic,mean_logits,0.73,0.715,0.015000000000000013,0.7298919567827131,0.73
2,sub-34,Generic,mean_logits,0.545,0.56,-0.015000000000000013,0.544897601960441,0.545
2,sub-35,Generic,mean_logits,0.925,0.915,0.010000000000000009,0.9249981249531238,0.925
2,sub-49,Generic,mean_logits,0.925,0.915,0.010000000000000009,0.9249981249531238,0.925
3,sub-6,Frozen,single_seed,0.895,0.895,0.0,0.8945544927317919,0.895
3,sub-23,Frozen,single_seed,0.9450000000000001,0.9450000000000001,0.0,0.9449325423643964,0.945
3,sub-24,Frozen,single_seed,0.9075126262626263,0.9075126262626263,0.0,0.9076315789473685,0.9076923076923077
3,sub-30,Frozen,single_seed,0.845,0.845,0.0,0.8441231929604023,0.845
3,sub-31,Frozen,single_seed,0.5650000000000001,0.5650000000000001,0.0,0.5601506610379433,0.565
3,sub-38,Frozen,single_seed,0.54,0.54,0.0,0.5166036149642708,0.54
3,sub-41,Frozen,single_seed,0.79,0.79,0.0,0.7882851093860268,0.79
3,sub-42,Frozen,single_seed,0.655,0.655,0.0,0.6542999574137629,0.655
3,sub-6,Generic,mean_logits,0.8899999999999999,0.895,-0.0050000000000001155,0.8897243107769424,0.89
3,sub-23,Generic,mean_logits,0.94,0.9450000000000001,-0.0050000000000001155,0.9399459513562206,0.94
3,sub-24,Generic,mean_logits,0.9076704545454546,0.9075126262626263,0.00015782828282828731,0.9076704545454546,0.9076923076923077
3,sub-30,Generic,mean_logits,0.88,0.845,0.03500000000000003,0.8799519807923168,0.88
3,sub-31,Generic,mean_logits,0.565,0.5650000000000001,-1.1102230246251565e-16,0.563154327031709,0.565
3,sub-38,Generic,mean_logits,0.535,0.54,-0.0050000000000000044,0.5078193220608082,0.535
3,sub-41,Generic,mean_logits,0.7949999999999999,0.79,0.004999999999999893,0.7938403519798869,0.795
3,sub-42,Generic,mean_logits,0.665,0.655,0.010000000000000009,0.6649246080368083,0.665
4,sub-7,Frozen,single_seed,0.7949999999999999,0.7949999999999999,0.0,0.7948717948717949,0.795
4,sub-12,Frozen,single_seed,0.6950000000000001,0.6950000000000001,0.0,0.6915998887737304,0.695
4,sub-14,Frozen,single_seed,0.5800000000000001,0.5800000000000001,0.0,0.5586380832282472,0.58
4,sub-17,Frozen,single_seed,0.8,0.8,0.0,0.7994987468671679,0.8
4,sub-32,Frozen,single_seed,0.56,0.56,0.0,0.5564068958564372,0.56
4,sub-47,Frozen,single_seed,0.905,0.905,0.0,0.9048072346501665,0.905
4,sub-48,Frozen,single_seed,0.73,0.73,0.0,0.7290244881573664,0.73
4,sub-50,Frozen,single_seed,0.9099999999999999,0.9099999999999999,0.0,0.9098557692307692,0.91
4,sub-7,Generic,mean_logits,0.78,0.7949999999999999,-0.014999999999999902,0.7785829307568438,0.78
4,sub-12,Generic,mean_logits,0.72,0.6950000000000001,0.02499999999999991,0.7192982456140351,0.72
4,sub-14,Generic,mean_logits,0.595,0.5800000000000001,0.014999999999999902,0.5836652874508493,0.595
4,sub-17,Generic,mean_logits,0.8,0.8,0.0,0.7999199679871949,0.8
4,sub-32,Generic,mean_logits,0.5700000000000001,0.56,0.010000000000000009,0.5699569956995699,0.57
4,sub-47,Generic,mean_logits,0.9299999999999999,0.905,0.02499999999999991,0.9299719887955182,0.93
4,sub-48,Generic,mean_logits,0.755,0.73,0.025000000000000022,0.7548467792370231,0.755
4,sub-50,Generic,mean_logits,0.915,0.9099999999999999,0.0050000000000001155,0.9149468417761101,0.915
