subject_id,dose,group_id,identity_drop,baseline_identity_BA,post_identity_BA
50,HIGH,N,0.03189021739130435,0.29500000000000004,0.26310978260869566
50,HIGH,P,0.04375000000000005,0.29500000000000004,0.2512499999999999
50,LOW,N,0.0005250000000000005,0.29500000000000004,0.29447500000000004
50,LOW,P,0.0,0.29500000000000004,0.29500000000000004
50,MEDIUM,N,0.0060906250000000006,0.29500000000000004,0.288909375
50,MEDIUM,P,0.0,0.29500000000000004,0.29500000000000004
54,HIGH,N,0.0026499999999999822,0.725,0.7223499999999999
54,HIGH,P,0.04624999999999998,0.725,0.67875
54,LOW,N,0.0,0.725,0.725
54,LOW,P,0.0,0.725,0.725
54,MEDIUM,N,0.0,0.725,0.725
54,MEDIUM,P,0.0,0.725,0.725
