subject_id,dose,group_id,harm,baseline_BA,post_BA,identity_drop
11,HIGH,P,0.04750000000000003,0.665,0.6174999999999999,0.01124999999999995
11,LOW,N,-4.999999999999845e-05,0.665,0.66505,0.0007249999999999985
11,LOW,P,0.0,0.665,0.665,0.0
11,MEDIUM,N,0.00015625000000000158,0.665,0.66484375,0.0009458333333333297
11,MEDIUM,P,0.0,0.665,0.665,0.0
14,HIGH,N,-0.0018367346938775637,0.615,0.6168367346938775,-0.018035714285714276
14,HIGH,P,-0.002500000000000025,0.615,0.6174999999999999,0.026250000000000023
14,LOW,N,0.0,0.615,0.615,0.0
14,LOW,P,0.0,0.615,0.615,0.0
14,MEDIUM,N,-0.0016500000000000043,0.615,0.6166499999999999,-0.008799999999999995
14,MEDIUM,P,0.0,0.615,0.615,0.0
16,HIGH,N,0.0005102040816326531,0.795,0.7944897959183674,0.048341836734693874
16,HIGH,P,0.05,0.795,0.745,0.03249999999999997
16,LOW,N,0.0,0.795,0.795,0.0
16,LOW,P,0.0,0.795,0.795,0.0
16,MEDIUM,N,-0.00045,0.795,0.79545,0.02015
16,MEDIUM,P,0.0,0.795,0.795,0.0
17,HIGH,N,0.000733510795622594,0.595,0.5942664892043774,-0.014690661047027502
17,HIGH,P,0.042499999999999954,0.595,0.5525000000000001,-0.00749999999999999
17,LOW,N,-5.000000000000033e-05,0.595,0.59505,-1.6666666666666667e-05
17,LOW,P,0.0,0.595,0.595,0.0
17,MEDIUM,N,-0.0004680555555555547,0.595,0.5954680555555555,-0.0071763888888888875
17,MEDIUM,P,0.0,0.595,0.595,0.0
19,HIGH,N,-0.000304347826086955,0.79,0.7903043478260869,0.01057717391304348
19,HIGH,P,0.0625,0.79,0.7275,-0.015
19,LOW,N,-0.0001,0.79,0.7901,0.0001
19,LOW,P,0.0,0.79,0.79,0.0
19,MEDIUM,N,-4.7916666666666695e-05,0.79,0.7900479166666667,0.0017437499999999996
19,MEDIUM,P,0.0,0.79,0.79,0.0
22,HIGH,N,0.0034413043478260857,0.71,0.7065586956521739,0.006657608695652172
22,HIGH,P,0.09999999999999987,0.71,0.6100000000000001,0.008750000000000056
22,LOW,N,0.00025,0.71,0.7097499999999999,0.000325
22,LOW,P,0.0,0.71,0.71,0.0
22,MEDIUM,N,0.0015062500000000002,0.71,0.7084937499999999,0.0012406250000000004
22,MEDIUM,P,0.0,0.71,0.71,0.0
25,HIGH,N,-0.0023979591836734695,0.94,0.9423979591836735,0.0593877551020408
25,HIGH,P,0.009999999999999974,0.94,0.93,0.05625
25,LOW,N,0.0,0.94,0.94,0.0
25,LOW,P,0.0,0.94,0.94,0.0
25,MEDIUM,N,-0.0011,0.94,0.9411,0.017724999999999994
25,MEDIUM,P,0.0,0.94,0.94,0.0
28,HIGH,N,0.0001,0.94,0.9399,0.0024250000000000044
28,HIGH,P,0.13749999999999993,0.94,0.8025,0.17000000000000007
28,LOW,N,0.0,0.94,0.94,0.0
28,LOW,P,0.0,0.94,0.94,0.0
28,MEDIUM,N,0.0,0.94,0.94,0.0
28,MEDIUM,P,0.0,0.94,0.94,0.0
30,HIGH,N,-0.0011224489795918248,0.745,0.7461224489795919,0.012576530612244887
30,HIGH,P,0.10249999999999995,0.745,0.6425,0.0175
30,LOW,N,0.0,0.745,0.745,0.0
30,LOW,P,0.0,0.745,0.745,0.0
30,MEDIUM,N,-0.0009999999999999948,0.745,0.746,0.005199999999999995
30,MEDIUM,P,0.0,0.745,0.745,0.0
38,HIGH,N,-0.001941304347826082,0.625,0.626941304347826,0.01722717391304348
38,HIGH,P,0.0174999999999999,0.625,0.6075,0.02125000000000005
38,LOW,N,-0.00034999999999999945,0.625,0.6253500000000001,0.0010999999999999994
38,LOW,P,0.0,0.625,0.625,0.0
38,MEDIUM,N,-0.0014041666666666634,0.625,0.6264041666666667,0.003669791666666666
38,MEDIUM,P,0.0,0.625,0.625,0.0
40,HIGH,N,0.010258695652173912,0.77,0.759741304347826,0.00518695652173914
40,HIGH,P,0.05,0.77,0.72,0.04625000000000005
40,LOW,N,0.0005999999999999995,0.77,0.7694000000000001,-0.00032499999999999906
40,LOW,P,0.0,0.77,0.77,0.0
40,MEDIUM,N,0.0030479166666666662,0.77,0.7669520833333334,0.0005541666666666693
40,MEDIUM,P,0.0,0.77,0.77,0.0
45,HIGH,N,-0.0025999999999999812,0.8500000000000001,0.8526,0.00037499999999999995
45,HIGH,P,0.10250000000000002,0.8500000000000001,0.7475,0.01125
45,LOW,N,0.0,0.8500000000000001,0.8500000000000001,0.0
45,LOW,P,0.0,0.8500000000000001,0.8500000000000001,0.0
45,MEDIUM,N,0.0,0.8500000000000001,0.8500000000000001,0.0
45,MEDIUM,P,0.0,0.8500000000000001,0.8500000000000001,0.0
48,HIGH,N,0.0003500000000000014,0.5700000000000001,0.56965,0.006599999999999998
48,HIGH,P,0.012499999999999975,0.5700000000000001,0.5575,-0.01124999999999995
48,LOW,N,0.0,0.5700000000000001,0.5700000000000001,0.0
48,LOW,P,0.0,0.5700000000000001,0.5700000000000001,0.0
48,MEDIUM,N,0.0,0.5700000000000001,0.5700000000000001,0.0
48,MEDIUM,P,0.0,0.5700000000000001,0.5700000000000001,0.0
49,HIGH,N,0.0006632653061224449,0.685,0.6843367346938776,0.007984693877551038
49,HIGH,P,0.027500000000000004,0.685,0.6575,0.026249999999999975
49,LOW,N,0.0,0.685,0.685,0.0
49,LOW,P,0.0,0.685,0.685,0.0
49,MEDIUM,N,-0.0008500000000000016,0.685,0.6858500000000001,0.004425000000000008
49,MEDIUM,P,0.0,0.685,0.685,0.0
50,HIGH,N,-0.002991304347826087,0.5,0.502991304347826,0.03189021739130435
50,HIGH,P,0.02,0.5,0.48,0.04375000000000005
50,LOW,N,-0.0001,0.5,0.5001,0.0005250000000000005
50,LOW,P,0.0,0.5,0.5,0.0
50,MEDIUM,N,-0.0006229166666666667,0.5,0.5006229166666667,0.0060906250000000006
50,MEDIUM,P,0.0,0.5,0.5,0.0
54,HIGH,N,-0.0020999999999999873,0.5700000000000001,0.5721,0.0026499999999999822
54,HIGH,P,-0.022499999999999975,0.5700000000000001,0.5925,0.04624999999999998
54,LOW,N,0.0,0.5700000000000001,0.5700000000000001,0.0
54,LOW,P,0.0,0.5700000000000001,0.5700000000000001,0.0
54,MEDIUM,N,0.0,0.5700000000000001,0.5700000000000001,0.0
54,MEDIUM,P,0.0,0.5700000000000001,0.5700000000000001,0.0
