fold,seed,dose,group_id,subject_id,identity_drop,baseline_identity_BA,post_identity_BA
1,1,HIGH,N,11,0.005199999999999995,0.72,0.7148
1,1,HIGH,N,17,-0.0006,0.0,0.0006
1,1,HIGH,N,19,0.008000000000000005,0.55,0.542
1,1,HIGH,N,22,0.007899999999999994,0.745,0.7371
1,1,HIGH,N,38,0.00010000000000001007,0.695,0.6949000000000001
1,1,HIGH,N,40,0.0027000000000000023,0.53,0.5273
1,1,HIGH,N,50,0.0355,0.31,0.27449999999999997
1,1,HIGH,P,3,0.075,0.775,0.7
1,1,HIGH,P,7,-0.01,0.8999999999999999,0.91
1,1,HIGH,P,11,0.03,0.72,0.69
1,1,HIGH,P,17,-0.02,0.0,0.02
1,1,HIGH,P,19,-0.03,0.55,0.5800000000000001
1,1,HIGH,P,22,-0.0699999999999999,0.745,0.815
1,1,HIGH,P,38,-0.0199999999999999,0.6950000000000001,0.715
1,1,HIGH,P,40,0.045,0.53,0.485
1,1,HIGH,P,50,-0.0249999999999999,0.31,0.3349999999999999
1,1,LOW,N,3,0.0,0.775,0.775
1,1,LOW,N,7,0.0,0.8999999999999999,0.8999999999999999
1,1,LOW,N,11,0.0,0.72,0.72
1,1,LOW,N,17,0.0,0.0,0.0
1,1,LOW,N,19,0.0,0.55,0.55
1,1,LOW,N,22,0.0,0.745,0.745
1,1,LOW,N,38,0.0,0.695,0.695
1,1,LOW,N,40,0.0,0.53,0.53
1,1,LOW,N,50,0.0,0.31,0.31
1,1,LOW,P,3,0.0,0.775,0.775
1,1,LOW,P,7,0.0,0.8999999999999999,0.8999999999999999
1,1,LOW,P,11,0.0,0.72,0.72
1,1,LOW,P,17,0.0,0.0,0.0
1,1,LOW,P,19,0.0,0.55,0.55
1,1,LOW,P,22,0.0,0.745,0.745
1,1,LOW,P,38,0.0,0.6950000000000001,0.6950000000000001
1,1,LOW,P,40,0.0,0.53,0.53
1,1,LOW,P,50,0.0,0.31,0.31
1,1,MEDIUM,N,3,0.0,0.775,0.775
1,1,MEDIUM,N,7,0.0,0.8999999999999999,0.8999999999999999
1,1,MEDIUM,N,11,0.0,0.72,0.72
1,1,MEDIUM,N,17,0.0,0.0,0.0
1,1,MEDIUM,N,19,0.0,0.55,0.55
1,1,MEDIUM,N,22,0.0,0.745,0.745
1,1,MEDIUM,N,38,0.0,0.695,0.695
1,1,MEDIUM,N,40,0.0,0.53,0.53
1,1,MEDIUM,N,50,0.0,0.31,0.31
1,1,MEDIUM,P,3,0.0,0.775,0.775
